BRIG_MODEL_AUS_1_3;15 cm schwere Feldhaubitze M 15/16;15 cm schwere Feldhaubitze M 15/16;15 cm schwere Feldhaubitze M 15/16;15 cm schwere Feldhaubitze M 15/16;15 cm schwere Feldhaubitze M 15/16;15 cm schwere Feldhaubitze M 15/16;;;;;x
BRIG_MODEL_AUS_1_6;75 mm M.28;75 mm M.28;75 mm M.28;75 mm M.28;75 mm M.28;75 mm M.28;;;;;x
BRIG_MODEL_AUS_1_7;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;10,5-cm-Kanone 35;;;x
BRIG_MODEL_AUS_1_8;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;21 cm Kanone 39;;;X
BRIG_MODEL_AUS_7_0;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;Burstyn Motorgeshütz;;;X
BRIG_MODEL_AUS_10_0;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;Panzerauto Junovicz;;;X
BRIG_MODEL_AUS_10_1;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;Panzerauto Romfell;;;X
BRIG_MODEL_AUS_10_2;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;Skoda PA-II Schildkröte;;;X
BRIG_MODEL_AUS_10_3;Skoda PA-III;Skoda PA-III;Skoda PA-III;Skoda PA-III;Skoda PA-III;Skoda PA-III;Skoda PA-III;Skoda PA-III;;;X
BRIG_MODEL_AUS_10_4;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;Steyr ADGZ;;;X
BRIG_MODEL_AUS_11_0;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;8cm M.5 AA;;;X
BRIG_MODEL_AUS_11_1;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;9 cm PL kanon vz. 12/20;;x
BRIG_MODEL_AUS_11_2;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;8.35 cm PL kanon vz. 22;;;X
BRIG_MODEL_AUS_11_3;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;7.5 cm Flak M 37;;x
BRIG_MODEL_AUS_11_4;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;7.65 cm Flak M 37;;;X
BRIG_MODEL_ARM_1_13;12,2cm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;;X
BRIG_MODEL_AZB_1_13;12,2cm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;122 mm howitzer D-30;;X
BRIG_MODEL_BEL_1_1;15cm sFh 13;15cm sFh 13;15cm sFh 13;15cm sFh 13;15cm sFh 13;15cm sFh 13;;15cm sFh 13;;;X
BRIG_MODEL_BEL_1_2;10,5 cm leFh 16;10,5cm leFh 16;10,5cm leFh 16;10,5cm leFh 16;10,5cm leFh 16;10,5 cm leFh 16;;10,5cm leFh 16;;;X
BRIG_MODEL_BEL_1_3;15cm K 16;15cm K 16;15cm K 16;15cm K 16;15cm K 16;15cm K 16;;15cm K 16;;;X
BRIG_MODEL_BRA_1_4;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;;BL 6inch Mk. XIX;;;X
BRIG_MODEL_BRA_7_0;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;;Renault FT 17;;;X
BRIG_MODEL_BUL_1_6;10,5cm leFh 18;10,5cm leFh 18;10,5cm leFh 18;10,5cm leFh 18;10,5cm leFh 18;10,5cm leFh 18;;10,5cm leFh 18;;;X
BRIG_MODEL_CAN_1_0;Ordnance BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;Artillería BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;;Ordnance BL 15pdr;;;X
BRIG_MODEL_CAN_1_1;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Artillería QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;;Ordnance QF 4.5inch;;;X
BRIG_MODEL_CAN_1_2;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;;BL 6inch Mk. VII;;;X
BRIG_MODEL_CAN_1_3;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;;BL 8inch Mk. VI ;;;X
BRIG_MODEL_CAN_1_4;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;;BL 6inch Mk. XIX;;;X
BRIG_MODEL_CAN_1_5;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Artillería QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;;Ordnance QF 18pdr Mk II;;;X
BRIG_MODEL_CAN_1_7;203mm Howitzer M115;203mm Howitzer M116;203mm Howitzer M117;203mm Howitzer M118;203mm Howitzer M119;203mm Howitzer M120;203mm Howitzer M121;203mm Howitzer M122;;;x
BRIG_MODEL_CAN_1_8;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;15,5cm Long Tom;;;x
BRIG_MODEL_CAN_1_9;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;;105mm M2A1;;;X
BRIG_MODEL_CAN_1_10;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;203mm Howitzer M115;;155mm Howitzer M114;;;X
BRIG_MODEL_CAN_1_11;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;15,5cm M59 Long Tom;;;x
BRIG_MODEL_CAN_4_1;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;;;x
BRIG_MODEL_CAN_4_2;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;;;x
BRIG_MODEL_CAN_4_3;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;;;x
BRIG_MODEL_CAN_6_0;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;;;x
BRIG_MODEL_CAN_6_1;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;;;x
BRIG_MODEL_CAN_7_0;Six-Ton Tank M1917;Six-Ton Tank M1918;Six-Ton Tank M1919;Six-Ton Tank M1920;Six-Ton Tank M1921;Six-Ton Tank M1922;Six-Ton Tank M1923;Six-Ton Tank M1924;;;X
BRIG_MODEL_CAN_7_1;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;;;x
BRIG_MODEL_CAN_7_2;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;;;x
BRIG_MODEL_CAN_7_3;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;;;x
BRIG_MODEL_CAN_7_4;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;;;x
BRIG_MODEL_CAN_7_5;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;;;x
BRIG_MODEL_CAN_7_6;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;;;x
BRIG_MODEL_CAN_7_7;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;;;x
BRIG_MODEL_CAN_7_8;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;;;x
BRIG_MODEL_CAN_8_0;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;;;x
BRIG_MODEL_CAN_8_1;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;;;x
BRIG_MODEL_CAN_8_2;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;;;x
BRIG_MODEL_CAN_8_3;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;;;x
BRIG_MODEL_CAN_8_4;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;;;x
BRIG_MODEL_CAN_8_5;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;;;x
BRIG_MODEL_CAN_14_0;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;;;x
BRIG_MODEL_CAN_14_1;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;;;x
BRIG_MODEL_CAN_14_2;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;;;x
BRIG_MODEL_CAN_14_3;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;;;x
BRIG_MODEL_CAN_14_4;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;;;x
BRIG_MODEL_CAN_14_5;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;;;x
BRIG_MODEL_CAN_14_6;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;;;x
BRIG_MODEL_CAN_14_7;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;;;x
BRIG_MODEL_CAN_14_8;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;;;x
BRIG_MODEL_CAN_15_1;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;Canadian Vickers Whirlwind;;;x
BRIG_MODEL_CAN_15_2;Avro Reaper;Avro Reaper;Avro Reaper;Avro Reaper;Avro Reaper;Avro Reaper;Avro Reaper;Avro Reaper;;;x
BRIG_MODEL_CAN_15_3;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;North American Mustang Mk.X;;;x
BRIG_MODEL_CAN_15_4;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;North American Mustang Mk.XI;;;x
BRIG_MODEL_CAN_15_5;Martin-Baker MB14;Martin-Baker MB14;Martin-Baker MB15;Martin-Baker MB16;Martin-Baker MB17;Martin-Baker MB18;Martin-Baker MB19;Martin-Baker MB20;;;x
BRIG_MODEL_CAN_15_6;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;CF-100 Canuck;;;x
BRIG_MODEL_CAN_15_7;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;Canadair CL-13D Sabre;;;x
BRIG_MODEL_CAN_15_8;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;CF-105 Arrow;;;x
BRIG_MODEL_CAN_32_0;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;AFV50 Caiman;;;x
BRIG_MODEL_CAN_32_1;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;Duplex Drive Grizzly;;;x
BRIG_MODEL_U10_6_0;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;;;x
BRIG_MODEL_U10_6_1;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;Deacon;;;x
BRIG_MODEL_CAN_6_2;Archer;Archer;Archer;Archer;Archer;Archer;Archer;Archer;;;x
BRIG_MODEL_U10_4_1;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;Skink AA Tank;;;x
BRIG_MODEL_U10_4_2;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;Skink AA Tank Mk. II;;;x
BRIG_MODEL_U10_4_3;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;Skink AA Tank Mk. III;;;x
BRIG_MODEL_U10_7_0;Six-Ton Tank M1917;Six-Ton Tank M1918;Six-Ton Tank M1919;Six-Ton Tank M1920;Six-Ton Tank M1921;Six-Ton Tank M1922;Six-Ton Tank M1923;Six-Ton Tank M1924;;;X
BRIG_MODEL_U10_7_1;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;Carden Loyd Mk. VI;;;x
BRIG_MODEL_U10_7_2;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;;;x
BRIG_MODEL_U10_7_3;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;Vickers Mk. II;;;x
BRIG_MODEL_U10_7_4;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;Vickers Mk. III;;;x
BRIG_MODEL_U10_7_5;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;Vickers Mk. IV/V;;;x
BRIG_MODEL_U10_7_6;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;Vickers Light Tank Mk.VI;;;x
BRIG_MODEL_U10_7_7;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;M3 Arctic Fox;;;x
BRIG_MODEL_U10_7_8;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;M5 Arctic Fox;;;x
BRIG_MODEL_U10_8_0;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;Juggernaut Mk.II;;;x
BRIG_MODEL_U10_8_1;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;Mk.IV A22 Churchill Mk.I;;;x
BRIG_MODEL_U10_8_2;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;Mk.IV A22 Churchill Mk.VII;;;x
BRIG_MODEL_U10_8_3;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;Mk.V  A43 Churchill Mk.VIII;;;x
BRIG_MODEL_U10_8_4;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;FV 214 Timber Wolf;;;x
BRIG_MODEL_U10_8_5;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;FV 214 Timber Wolf Mk. II;;;x
BRIG_MODEL_U10_14_0;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;Gnatsnapper / Hanley;;;x
BRIG_MODEL_U10_14_1;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;Gauntlet / Shark;;;x
BRIG_MODEL_U10_14_2;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;Sea Gladiator / Shark;;;x
BRIG_MODEL_U10_14_3;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;Martlet / Chesapeake / Shark;;;x
BRIG_MODEL_U10_14_4;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;Martlet / Chesapeake / Woomra;;;x
BRIG_MODEL_U10_14_5;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;Hellcat / Avenger / Woomra;;;x
BRIG_MODEL_U10_14_6;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;Hellcat / Firebrand;;;x
BRIG_MODEL_U10_14_7;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;Sea Fury / Wyvern / Mauler;;;x
BRIG_MODEL_U10_14_8;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;Sea Venom / Battleaxe / Skyraider / Seahawk;;;x
