##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
##;;;;;;;;;;;X
JAN;JAN;JAN;GEN;ENE;JAN;sty;;ЯНВ;;;X
FEB;FEB;FEV;FEB;FEB;FEB;lut;;ФЕВ;;;X
MAR;MAR;MAR;MAR;MAR;MДR;mar;;МАР;;;X
APR;APR;AVR;APR;ABR;APR;kwi;;АПР;;;X
MAYS;MAY;MAI;MAG;MAY;MAI;maj;;МАЙ;;;X
JUN;JUN;JUI;GIU;JUN;JUN;cze;;ИЮН;;;X
JUL;JUL;JUL;LUG;JUL;JUL;lip;;ИЮЛ;;;X
AUG;AUG;AOU;AGO;AGO;AUG;sie;;АВГ;;;X
SEP;SEP;SEP;SET;SEP;SEP;wrz;;СЕН;;;X
OCT;OCT;OCT;OTT;OCT;OKT;paџ;;ОКТ;;;X
NOV;NOV;NOV;NOV;NOV;NOV;lis;;НОЯ;;;X
DEC;DEC;DEC;DIC;DIC;DEZ;gru;;ДЕК;;;X
##;;;;;;;;;;;X
BORDER;Border between countries;Frontiиre;Confine fra due nazioni;Frontera entre paнses;Landesgrenze;Granica miкdzy paсstwami;;Граница между странами;;;X
##;;;;;;;;;;;X
CHAR_BILLION;G;G;G;G;G;G;; Млрд.;;;X
CHAR_MILLION;M;M;M;M;M;M;; Млн.;;;X
CHAR_THOUSAND;K;K;K;K;K;k;; Тыс.;;;X
##;;;;;;;;;;;X
RESOURCE_OIL;Oil;Pйtrole;Petrolio;Petrуleo;Цl;Ropa;;Нефть;;;X
RESOURCE_METAL;Metal;Acier;Acciaio;Metal;Metall;Stal;;Металл;;;X
RESOURCE_RARE_MATERIALS;Rare Materials;Matйriaux rares;Materiali rari;Materiales raros;Seltenes Material;Materiaіy Rzadkie;;Дефицитное сырье;;;X
RESOURCE_MONEY;Money;Argent;Denaro;Dinero;Geld;Pieni№dze;;Деньги;;;X
RESOURCE_TC;Transport Capacity;Capacitй de transport;Capacitа di trasporto;Capac. transporte;Transportkapazitдt;Zdolnoњж transportowa;;Пропускная способность;;;X
RESOURCE_MANPOWER;Manpower;Main d'oeuvre;Forza lavoro;Rec. hum.;Wehrfдhige;Zasoby ludzkie ;;Людские ресурсы;;;X
RESOURCE_ENERGY;Energy;Energie;Energia;Energнa;Energie;Energia;;Энергия;;;X
RESOURCE_IC;Industrial Capacity;Points de production;Produzione industriale;Capacidad industrial;Industriekapazitдt;Potencjaі przemysіowy;;Промышленный потенциал;;;X
RESOURCE_SUPPLY;Supplies;Ravitaillement;Rifornimenti;Suministros;Nachschub;Zaopatrzenie;;Военные припасы;;;X
RESOURCE_DISSENT;Dissent;Instabilitй;Dissenso;Disensiуn;Unruhe;Niezadowolenie;;Недовольство;;;X
NUKE_NEXT;Our next atomic bomb will be ready at %s.;Mise а disposition de la prochaine ogive nuclйaire: %s.;La prossima bomba atomica sarа pronta a %s.;La siguiente bomba atуmica estarб disponible: %s.;Unsere nдchste Atombombe wird am %s einsatzbereit sein.;Kolejna bomba atomowa bкdzie gotowa w %s.;;Наша следующая атомная бомба будет готова %s.;;;X
NUKES;Nuclear Bombs;Ogives nuclйaires;Bombe atomiche;Bombas nucleares;Atombombe(n);Bomby j№drowe;;Атомные бомбы;;;X
NUKES_UNKNOWN;We do not know how to produce A-Bombs yet.;Nous ne savons pas comment produire des ogives nuclйaires.;Al momento, non sappiamo come produrre delle bombe atomiche.;Aъn no sabemos cуmo producir bombas atуmicas.;Unser Wissen reicht momentan nicht aus, um weitere Atombomben zu produzieren.;Nie potrafimy jeszcze produkowaж broni atomowej.;;Мы еще не умеем делать атомные бомбы.;;;X
NUKES_LOW_CAP;Our Nuclear Reactor is too small to allow A-Bomb production.;Notre Rйacteur nuclйaire est trop petit pour produire une ogive nuclйaire.;Il nostro reattore nucleare и troppo piccolo per la produzione della bomba atomica.;Nuestro reactor nuclear es demasiado pequeсo para producir bombas-A.;Unser Kernreaktor reicht nicht aus, um A-Bomben zu produzieren.;Nasz reaktor nuklearny jest zbyt maіy do produkcji broni atomowej.;;Наш ядерный реактор слишком мал для производства атомных бомб.;;;X
##;;;;;;;;;;;X
CG_NEED;Consumer Goods Need;Besoins en biens de consommation;Fabbisogno di beni di consumo;Bienes de consumo necesarios;Bedarf an Konsumgьtern;Wymagane dobra konsumpcyjne;;Необходимо ТНП;;;X
##;;;;;;;;;;;X
OIL_DRO;We are currently producing %.2f oil each day.\nOur armed forces use %.2f each day.\nIf we lack oil, energy will be converted at a %.2f ratio;Production quotidienne de pйtrole: %.2f.\nConsommation journaliиre (forces armйes): %.2f.\nEn cas de pйnurie, nous convertirons de l'йnergie en pйtrole (ratio: %.2f).;Al momento, produciamo %.2f di petrolio al giorno.\nLe nostre forze armate ne utilizzano quotidianamente %.2f.\nQualora le risorse dovessero scarseggiare, possiamo convertire l'energia in petrolio con un rapporto di %.2f.;Producimos %.2f de petr. cada dнa.\nNuestras fuerzas armadas gastan %.2f al dнa.\nSi se agota el combustible, la energнa se convertirб en proporciуn de %.2f.;Wir produzieren momentan tдglich %.2f Цl.\nUnsere Streitkrдfte verbrauchen tдglich %.2f Цl.\nSollte es an Цl fehlen, wird Energie mit einer Rate von %.2f  umgewandelt.;Wydobywamy obecnie %.2f ropy dziennie.\nNasza armia zuїywa %.2f .\nJeїeli zabraknie ropy, energia zostanie na ni№ zamieniona z wydajnoњci№ %.2f.;;Сейчас мы ежедневно добываем %.2f нефти.\nНаши вооруженные силы ежедневно используют %.2f.\nЕсли нефти не хватает, энергия будет обменена на нефть в отношении 1 к %.2f;;;X
METAL_DRO;We are currently producing %.2f metal each day.\nOur industries require %.2f metal daily to work at maximum capacity.;Production quotidienne d'acier: %.2f.\nConsommation journaliиre de nos industries (pour tourner а 100 pour cent): %.2f.;Al momento, produciamo %.2f di acciaio al giorno.\nPer funzionare a pieno regime, le nostre industrie necessitano di %.2f di acciaio al giorno.;Producimos %.2f de metal cada dнa.\nNuestras industrias necesitan %.2f de metal al dнa para trabajar a pleno rendimiento.;Wir produzieren momentan tдglich%.2f Metall.\nUm mit maximaler Leistung  arbeiten zu kцnnen, fordert unsere Industrie%.2f Metall pro Tag.;Produkujemy %.2f stali dziennie. Nasz przemysі wymaga %.2f do pracy z maksymaln№ wydajnoњci№.;;Сейчас мы ежедневно производим %.2f металла.\nНашей промышленности необходимо %.2f металла ежедневно, чтобы использовать все мощности.;;;X
RARE_MATERIALS_DRO;We are currently producing %.2f rare materials each day.\nOur industries require %.2f rare materials daily to work at maximum capacity.\nIf we lack rare materials, oil will be converted at a %.2f ratio;Production quotidienne de matйriaux rares: %.2f.\nConsommation journaliиre de nos industries (pour tourner а 100 pour cent): %.2f.\nEn cas de pйnurie, nous convertirons du pйtrole (ratio: %.2f).;Al momento, produciamo %.2f di materiali rari al giorno.\nPer lavorare a pieno regime, le nostre industrie necessitano quotidianamente del %.2f di materiali rari.\nQualora le risorse dovessero scarseggiare, possiamo convertire il petrolio con un rapporto di %.2f;Producimos %.2f de materiales raros dнa.\nNuestras industrias necesitan %.2f de materiales raros al dнa para trabajar a pleno rendimiento.\nSi se agotan, se obtendrбn del petrуleo en proporciуn de %.2f.;Wir produzieren momentan %.2f seltenes Material.\nUm mit maximaler Leistung arbeiten zu kцnnen, fordert unsere Industrie %.2f seltenes Material pro Tag.\nWenn kein seltenes Material mehr vorhanden ist, dann wird Цl mit einer Ratio von %.2f konvertiert;Produkujemy %.2f materiaіуw rzadkich dziennie. Nasz przemysі wymaga %.2f do pracy z peіn№ wydajnoњci№. Jeїeli ich zabraknie, zostan№ wyprodukowane z ropy z wydajnoњci№ %.2f.;;Сейчас мы ежедневно производим %.2f дефицитного сырья.\nНашей промышленности необходимо %.2f дефицитного сырья ежедневно, чтобы использовать все мощности.\nЕсли дефицитного сырья не хватает, нефть будет обменена на него в отношении 1 к %.2f;;;X
RES_DRO;Daily Change: %.2f;Modification journaliиre : %.2f;Cambiamento giornaliero: %.2f;Variaciуn diaria: %.2f;tдgliche Verдnderung: %.2f;Dzienna zmiana: %.2f;;Изменение в день: %.2f;;;X
RES_DRO_PROD;\n Home Produced: %.2f;\n Production nationale : %.2f;\n Produzione interna: %.2f;\n Producciуn en patria: %.2f;\n Eigenproduktion: %.2f;\n Produkcja wіasna: %.2f;;\n Внутреннее производство: %.2f;;;X
RES_DRO_TRADE_IN;\n Traded For: %.2f;\n Achat commercial : %.2f;\n In cambio di: %.2f;\n Entrada por comercio: %.2f;\n importiert: %.2f;\n Nabyte:%.2f;;\n Закупки: %.2f;;;X
RES_DRO_PUPPET;\n From Puppets: %.2f;\n Provenant de satellites: %.2f;\n Da parte di nazioni fantoccio: %.2f;\n De tнteres: %.2f;\n von Marionettenstaaten: %.2f;\n Z paсstw satelickich: %.2f;;\n От сателлитов: %.2f;;;X
RES_DRO_CONVOY_IN;\n Convoyed In: %.2f;\n Amenйs par convois : %.2f;\n Spedito in: %.2f;\n Entrada por convoyes: %.2f;\n per Konvoi gebracht: %.2f;\n Sprowadzone w konwojach: %.2f;;\n Доставка морем: %.2f;;;X
RES_DRO_CONVERTED;\n Converted: %.2f;\n Conversion industrielle : %.2f;\n Riconvertito: %.2f;\n Por conversiуn: %.2f;\n konvertiert %.2f;\n Skonwertowane: %.2f;;\n Обмен: %.2f;;;X
RES_DRO_TRADE_OUT;\n Traded Away: %.2f;\n Vente commerciale : %.2f;\n Scambiato: %.2f;\n Salida por comercio: %.2f;\n exportiert %.2f;\n Sprzedane: %.2f;;\n Экспорт: %.2f;;;X
RES_DRO_CONVOY_OUT;\n Convoyed Out: %.2f;\n Envoyйs par convois : %.2f;\n Spedito all’esterno: %.2f;\n Salida por convoyes: %.2f;\n per Konvoi weggebracht: %.2f;\n Wywiezione w konwojach: %.2f;;\n Вывоз морем: %.2f;;;X
RES_DRO_MASTER;\n To Master: %.2f;\n Vers йtat maоtre : %.2f;\n Imparare alla perfezione: %.2f;\n Para el amo: %.2f;\n an den Herrscher geliefert: %.2f;\n Dla paсstwa dominuj№cego: %.2f;;\n В метрополию: %.2f;;;X
RES_DRO_USAGE;\n Usage: %.2f;\n Consommation : %.2f;\n Utilizzo: %.2f;\n Uso: %.2f;\n verbraucht: %.2f;\n Zuїycie: %.2f;;\n Потребление: %.2f;;;X
RES_DRO_ALLIED_USAGE;\n Allied Usage: %.2f;\n Consommation Alliйs : %.2f;\n Utilizzo alleato: %.2f;\n Uso de los aliados: %.2f;\n verbraucht von Verbьndeten: %.2f;\n Zuїycie sojusznicze: %.2f;;\n Потребление союзников: %.2f;;;X
DEPRECATED_RES_DRO_OVER_STOCKPILE_LIMIT_LOSS;\n Over stockpile limit loss: %.2f;\n Pertes de surplus de rйserves : %.2f;\n Perdita oltre il limite della riserva: %.2f;\n Perdida del limite de la reserva: %.2f;\n Verlust durch Ьberschuss: %.2f;\n Efekt grom. nadmiernych zapasуw: %.2f;;\n Лимит потерь сверх запаса: %.2f;;;X
DEPRECATED_RES_DRO_STOCKPILE_LIMIT;\n Max stockpile: %.0f (%s%.0f);\n Rйserves max. : %.0f (%s%.0f);\n Massima riserva: %.0f (%s%.0f);\n Mбxima Reserva: %.0f (%s%.0f);\n max.Reserve: %.0f (%s%.0f);\n Maks. zapasy: %.0f (%s%.0f);;\n Максимальный запас: %.0f (%s%.0f);;;X
DEPRECATED_RES_DRO_CRITICAL_STOCKPILE;\n Critical stockpile: %.0f (%s%.0f);\n Rйserves critiques : %.0f (%s%.0f);\n Riserva critica: %.0f (%s%.0f);\n Reserva critica: %.0f (%s%.0f);\n kritische Reserve: %.0f (%s%.0f);\n Poziom krytyczny zapasуw: %.0f (%s%.0f);;\n Критический запас: %.0f (%s%.0f);;;X
DEPRECATED_RES_DRO_DESIRED_STOCKPILE;\n Desired stockpile: %.0f (%s%.0f);\n Rйserves dйsirйes : %.0f (%s%.0f);\n Riserva desiderata: %.0f (%s%.0f);\n Reserva deseada: %.0f (%s%.0f);\n gewьnschte Reserve: %.0f (%s%.0f);\n Poї№dany poziom zapasуw: %.0f (%s%.0f);;\n Желаемый запас: %.0f (%s%.0f);;;X
DEPRECATED_RES_DRO_CONVOYED_FROM_PUPPETS;\n Convoyed from puppets: %.2f;\n convoyйs des йtats fantoches : %.2f;\n Convogliato dai fantocci: %.2f;\n Enviado por los tнteres: %.2f;\n Von Marionetten geliefert: %.2f;\n Konwojowane od marionetek: %.2f;;\n Привозится конвоями от марионеток: %.2f;;;X
DEPRECATED_RES_DRO_PUPPET_TO_PROVINCIAL_DEPOTS;\n From puppets to depots: (%.2f);\n des йtats fantoches vers les dйpфts: (%.2f);\n Dai fantocci ai depositi: (%.2f);\n De los tнteres a los depуsitos: (%.2f);\n Von Marionetten zu den Depots: (%.2f);\n Od marionetek do magazynуw: (%.2f);;\n От марионеток на склады: (%.2f);;;X
RES_OFFMAP; Off-map Production: %.3f; Production hors carte : %.3f; Produzione fuori-mappa: %.3f; Producciуn fuera del mapa: %.3f;Produktion auЯerhalb der Karte: %.3f; Produkcja poza map№: %.3f;; Дополнительное производство: %.2f;;;X
ENERGY_DRO;We are currently producing %.2f energy each day.\nOur industries require %.2f energy daily to work at maximum capacity.;Production quotidienne de l'йnergie: %.2f.\nConsommation journaliиre de nos industries (pour tourner а 100 pour cent): %.2f.;Al momento, produciamo %.2f di energia al giorno.\nPer funzionare a pieno regime, le nostre industrie necessitano di %.2f di energia al giorno.;Producimos %.2f de energнa cada dнa.\nNuestras industrias necesitan %.2f de energнa al dнa para trabajar a pleno rendimiento.;Wir produzieren momentan %.2f Energie tдglich.\nUm mit maximaler Leistung arbeiten zu kцnnen, fordert unsere Industrie %.2f Energie pro Tag ;Wytwarzamy obecnie %.2f energii dziennie.\nNasz przemysі potrzebuje %.2f do pracy z maksymaln№ wydajnoњci№. ;;Сейчас мы ежедневно производим %.2f энергии.\nНашей промышленности необходимо %.2f энергии ежедневно, чтобы использовать все мощности.;;;X
SUPPLIES_DRO;We are currently producing %.2f supplies each day.\nOur troops need %.2f supplies each day.;Production quotidienne de ravitaillement: %.2f.\nConsommation journaliиre (forces armйes): %.2f.;Al momento, produciamo %.2f di rifornimenti al giorno.\nLe nostre truppe ne utilizzano quotidianamente %.2f.;Producimos %.2f de suministros cada dнa.\nNuestras tropas necesitan %.2f de suministros al dнa.;Wir produzieren momentan %.2f Nachschub tдglich.\nUnsere Streitkrдfte verbrauchen tдglich %.2f Nachschub.;Produkujemy %.2f jednostek zaopatrzenia. Dziennie nasi їoіnierze potrzebuj№ %.2f.;;Сейчас мы ежедневно производим %.2f военных припасов. Нашим войскам необходимо %.2f военных припасов ежедневно.;;;X
