#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X,,
DIPROL_SE_2;You may only send expeditionary forces to your allies.;Des corps expéditionnaires peuvent seulement être prêtés à vos alliés. ;Puoi solo inviare delle forze di spedizione ai tuoi alleati.;Sólo puedes enviar fuerzas expedicionarias a aliados.;Sie können Truppen nur an Verbündete entsenden.;Korpus ekspedycyjny wys³aæ mo¿esz jedynie do sojusznika.;;;;;x,,,,,
TCHAT_ALL;everyone;tout le monde;tutti;todos;Alle;Wszyscy;;;;;x,,,,,
TCHAT_COOP;co-op;co-op;co-op;coop;Ko-op;Kooperacja;;;;;x,,,,,
TCHAT_ALLIES;allies;alliés;alleati;aliados;Verbündete;Sojusznicy;;;;;x,,,,,
TCHAT_ENEMY;enemies;ennemis;nemici;enemigos;Feinde;Wrogowie;;;;;x,,,,,
TCHAT_CUSTOM;custom;personalisé;personalizzato;personaliz.;Angepasst;Inni;;;;;x,,,,,
ALREADY_UNDERDEV;Under development: %d;Sous développement: %d;In via di sviluppo: %d;En desarrollo: %d;In Produktion: %d;W produkcji: %d;;;;;x,,,,,
SINGLEUNITN;You may only set orders for these naval units individually, as they have different restrictions or range.;Vous ne pouvez donner des ordres pour ces unités navales qu' individuellement car ils ont des restrictions de distance différentes.;A queste unità navali puoi impartire solo ordini individuali, poiché esse hanno restrizioni diverse per il raggio d'azione.;Sólo puedes dar órdenes individuales a estas unidades navales, pues tienen diferentes restricciones o radios de acción.;Sie müssen diesen Marineeinheiten gesondert Befehle geben, da sie unterschiedliche Reichweiten haben.;Tym jednostkom morskim musisz indywidualnie przydzieliæ rozkazy - maj¹ one ró¿ny zasiêg lub ograniczenia.;;;;;x,
LOCATED_IN;%s is a part of %s, currently in %s.;%s fait partie de %s, currently in %s;%s fa parte di %s, attualmente in %s.;%s forma parte de %s, actualmente en %s.;%s ist ein Teil von %s, momentan in %s.;%s jest czêœci¹ %s i stacjonuje aktualnie w: %s.;;;;;x
NOT_IN_SUPPLY_NO_BUILD;It is not possible to construct anything in provinces which are not supplied.;Il n'est pas possible de construire dans des provinces qui sont sans ravitaillement.;È impossibile costruire nelle province non raggiunte dai rifornimenti.;No es posible construir nada en provincias desabastecidas.;Es ist nicht möglich etwas in Provinzen zu bauen die nicht versorgt sind.;Nie ma mo¿liwoœci budowania niczego w prowincjach nie zaopatrywanych.;;;;;x,,,,,
BADWEATHER_MSG;The weather is too bad for the planes to perform their mission there.;Le temps est trop mauvais pour que les avions puissent exécuter leur mission là-bas. ;A causa delle condizioni meteo avverse, i mezzi aerei non possono eseguire la loro missione laggiù.;El tiempo es demasiado malo para que los aviones lleven a cabo la misión.;Das Wetter ist zu schlecht als dass die Flugzeuge dort ihre Mission ausführen könnten.;Samoloty nie mog¹ tutaj dzia³aæ z powodu z³ej pogody.;;;;;x,,,,
UIW_RETURNFORCETOUS;Take back this unit to serve under our command.;Reprendre cette unité pour servir sous nos ordres. ;Prendi nuovamente possesso di questa unità e ponila sotto il nostro comando.;Recupera esta unidad y la pone a nuestras órdenes.;Rufen sie diese Einheit zurück unter Ihr Kommando.;Odzyskaj jednostkê, aby s³u¿y³a pod naszym dowództwem.;;;;;x,,,,
NEXTPART;Next Ready at: %s\n;Prochain prêt: %s\n;Prossimo pronto a: %s\n;Siguiente listo(a) en: %s\n; Nächste Einheit bereit: %s\n;Kolejny element gotowy: %s\n;;;;;x,,,,,
SERIESFINISHED;Series done at: %s;Fin de série: %s;Serie conclusa a: %s;Serie terminada en: %s;Produktion beendet: %s;Seria zakoñczy siê: %s;;;;;x,,,,,
DIPROL_INV99;Only a leader of an alliance may invite new members to it.;Seulement le leader d'une alliance peut inviter de nouveaux membres. ;Solo il leader dell'alleanza può invitare nuovi membri.;Sólo el líder de la alianza puede invitar a nuevos miembros.;Nur der Anführer eines Bündnisses kann neue Mitglieder dazu einladen.;Tylko przywódca sojuszu mo¿e do niego zapraszaæ.;;;;;x,,,,,
ROL_TC_TECHMOD;\n Technology Modifier On IC->TC: %+.f percent.;\n Modificateur de technologie  IC-> TC: %+.f percent.;\n Modificatore tecnologico PI->CT: %+.f percento.;\n Mod. de tecnología a CI->CT: %+.f por ciento.;\nTechnologie-Modifikator: %+.f Prozent.\n;\n Technologiczny modyfikator PP->ZT: %+.f procent.;;;;;x,,,,,
ROL_TC_MINMOD;\n Minister Modifier On IC->TC: %+.f percent.\n;\n Modificateur de ministre  IC-> TC: %+.f percent \n.;\n Modificatore ministro PI->CT: %+.f percento.;\n Mod. Por Ministro a CI->CT: %+.f por ciento.\n;\n Minister-Modifikator: %+.f Prozent.\n;\n Ministerialny modyfikator PP->ZT: %+.f procent.\n;;;;;x
EE_NUCLEAR_CARRIER_NEW;%s may now carry nukes.;%s peut maintenant porter des armes nucléaires. ;%s può ora trasportare testate nucleari.;%s ya puede llevar armas nucleares.;%s kann nun Nuklearraketen tragen.;%s mo¿e przenosiæ ³adunki j¹drowe.;;;;;x
#;;;;;;;;;;;x
REGION_EASTERN_CANADA_DEPRECATED;Eastern Canada;Le Canada de l'Est;Canada orientale;Canadá oriental;Ostkanada;Wschodnia Kanada;;;;;x
REGION_WESTERN_CANADA_DEPRECATED;Western Canada;Le Canada de l'Ouest;Canada occidentale;Canadá occidental;Westkanada;Zachodnia Kanada;;;;;x
REGION_NORTHERN_CANADA_DEPRECATED;Northern Canada;Le Canada du Nord;Canada settentrionale;Canadá septentrional;Nordkanada;Pó³nocna Kanada;;;;;x
AREA_RYUKYULAND_DEPRECATED;Ryukyus;Ryukyus;Ryukyus;Ryukyu;Ryukyus;Riukiu;;;;;x
AREA_NORTH_BISMARCK_ARCHIPELAGO_DEPRECATED;North Bismarck Archipelago;L'Archipel de Bismarck du Nord;Arcipelago di Bismarck sett.;Norte del Archipiélago de Bismarck;Nördliches Bismark-Archipel;Pó³nocny Archipelag Bismarcka;;;;;x
AREA_NORTH_NEW_HEBRIDES_DEPRECATED;North New Hebrides;Les Nouvelles Hébrides du Nord;Nuove Ebridi settentrionali;Norte de las Nuevas Hébridas;Nördliche Neue Hebriden;Pó³nocne Nowe Hebrydy;;;;;x
AREA_SOUTH_NEW_HEBRIDES_DEPRECATED;South New Hebrides;Les Nouvelles Hébrides du Sud;Nuove Ebridi meridionali;Sur de las Nuevas Hébridas;Südliche Neue Hebriden;Po³udniowe Nowe Hebrydy;;;;;x
AREA_CENTRAL_SOLOMONS_DEPRECATED;Central Solomons;Centre des Salomon;Isole Salomone centrali;Salomón centrales;Zentrale Solomoninseln;Œrodkowe Wyspy Salomona;;;;;x
AREA_WEST_ALEUTIANS_DEPRECATED;West Aleutians;Aléoutiennes de l'Ouest;Isole Aleutine occidentali;Oeste de las Auletianas;Westliche Aleuten;Zachodnie Aleuty;;;;;x
AREA_CEYLON_DEPRECATED;Ceylon;Ceylan;Ceylon;Ceilán;Ceylon;Cejlon;;;;;x
AREA_HOKKAIDO_DEPRECATED;Hokkaido;Hokkaido;Hokkaido;Hokkaido;Hokkaido;Hokkaido;;;;;x
AREA_NORTH_BURMA_DEPRECATED;North Burma;Birmanie du Nord;Birmania settentrionale;Norte de Birmania;Nordburma;Pó³nocna Birma;;;;;x
AREA_EAST_BENGAL_DEPRECATED;East Bengal;Le Bengale de l'Est;Bengala orientale;Este de Bengala;Ostbengal;Wschodni Bengal;;;;;x
AREA_KRA_PENINSULA_DEPRECATED;Kra Peninsula;Péninsule de Kra ;Penisola di Kra;Península de Malaca;Kra Halbinsel;Przyl¹dek Kra;;;;;x,,,,,,,,,,,,,,,,,
AREA_TRIPOLI_DEPRECATED;Tripoli;Tripolis;Tripoli;Trípoli;Tripolis;Trypolis;;;;;x,,,,,,,,,,,,,,,,,
AREA_GREENLAND_DEPRECATED;Greenland;Groenland;Groenlandia;Groenlandia;Grönland;Grenlandia;;;;;x,,,,,,,,,,,,,,,,,
#;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
ESE_AVERAGE;Average Division ESE: %.2f\n;ERR moyenne de division: %.2f\n;EER media di divisione: %.2f\n;ERS media de la división: %.2f\n;Durchschnittliche TVE der Einheit: %.2f\n;Œredni EWZ dywizji: %.2f\n;;;;;x,,,,,,,,,,,,,,,,,
ESE_INFRA;Infrastructure: %.2f\n;Infrastructure: %.2f\n;Infrastrutture: %.2f\n;Infraestructuras: %.2f\n;Infrastruktur: %.2f\n;Infrastruktura: %.2f\n;;;;;x,,,,,,,,,,,,,,,,,
ESE_HQ;HQ Bonus: %.2f\n;Bonus QG: %.2f\n;Bonus QG: %.2f\n;Bonif. por EM: %.2f\n;HQ Bonus: %.2f\n;Premia HQ: %.2f\n;;;;;x,,,,,,,,,,,,,,,,,
ESE_TOTAL;(Average %.2f + Infra: %.2f) /2 + HQ %.2f;(Moyenne %.2f + Infra: %.2f) /2 + HQ %.2f;(Media %.2f + Infra.: %.2f) /2 + QG %.2f;(%.2f de media + %.2f por infra.) /2 + %.2f por EM;(Durchschnitt %.2f + Infra %.2f) /2 + HQ %.2f;(Œrednio %.2f + Infra: %.2f)/2 + HQ %.2f;;;;;x,,,,,,,,,,,,,,,,,
RCDM_DIPLO;Open Diplomacy;Ouvrir diplomatie;Apri Diplomazia;Abrir diplomacia;Diplomatie öffnen;Rozpocznij rozmowy dyplomatyczne;;;;;x,,,,,,,,,,,,,,,,,
NATIONAL_PROV_OF;It is one of %s's national provinces.;C'est une des provinces nationales de %s. ;È una delle province nazionali di %s.;Es una de las provincias nacionales de %s.;Es ist eine nationale Provinz von %s.;Jest prowincj¹ narodow¹ pañstwa: %s;;;;;x,,,,,,,,,,,,,,,,,
PROV_CONTROLLED_BY;%s is controlled by %s.;%s est contrôlé par %s.;%s è sotto il controllo di %s.;%s está bajo el control de %s.;%s wird von %s kontrolliert.;%s jest pod kontrol¹ pañstwa: %s.;;;;;x,,,,,,,,,,,,,,,,,
PROV_ORIGOWNED_BY;%s has taken %s from its legal owner %s.;%s a pris %s de son propriétaire légal %s.;%s ha preso il controllo di %s dal legittimo proprietario %s.;%s ha arrebatado %s a %s, su propietario legítimo.;%s hat %s seinem Eigentümer %s abgenommen.;Pañstwo: %s przejê³o prowincjê: %s od jej w³aœciciela: %s.;;;;;x,,,,,,,,,,,,,,,,
CLIMATE_ARID;Arid;Aride;Arido;Árido;Trocken;Suchy;;;;;x,,,,,,,,,,,,,,,,,
EYR_C_MONEY;Money;Argent;Denaro;Dinero;Geld;Pieni¹dze;;;;;x,,,,,,,,,,,,,,,,,
FLEET_COMPOSITION_IRO;The ratio of capital ships and screening units is at %.2f percent efficiency.;The ratio de navires principaux et d'unités d'escorte est à %.2f pourcent d'efficacité.;La proporzione tra le navi principali e i mezzi navali di supporto è al %.2f percento di efficienza.;La proporción de grandes unidades y barcos de escoltas está a %.2f por ciento de eficacia.;Das Verhältnis zwischen Großkampf- und Begleitschiffen bringt eine Effizienz von %.2f.;Wydajnoœæ statków g³ównych i eksorty wynosi %.2f procent.;;;;;x,,,,,,,,,,,,,,,,,
FLEET_COMPOSITION_DRO;You need at least as many screening units (DD, CL) as capital ships (CV, BB, BC, CA) in your fleet to fight effectively.;Il vous faut autant d'unités d'escorte (DD, CL) que de navires principaux (CV, BB, BC, CA) dans vôtre flotte afin de combattre efficacement.;Per combattere efficacemente, la tua flotta deve contenere un numero di navi di supporto (CT, IL) almeno pari a quello delle navi principali (PA, CO, IP, IN).;En tu flota necesitas al menos tantos escoltas (Des y Cru L) como grandes unidades (Pav, Aco, Cru Bat y Cru P) para luchar con eficacia.;Sie benötigen zumindest so viele Begleitschiffe wie Großkampfschiffe in Ihrer Flotte um effizient zu kämpfen.;Aby flota dzia³a³a efektywnie, potrzebujesz przynajmniej tyle samo statków eskorty, co statków g³ównych.;;;;;x
TC_IRO_INFO;This fleet is currently transporting %d divisions and has the capacity to carry %d.;Cette flotte transporte actuellement %d divisions et a la capacité de porter %d.;Questa flotta sta trasportando %d divisioni e può contenerne al massimo %d.;Esta flota transporta ahora %d divisiones y tiene capacidad para llevar %d.;Die Flotte transportiert momentan %d Divisionen. Die Maximalkapazität liegt bei %d Divisionen.  ;Ta flota transportuje obecnie %d dywizji. Jej pojemnoœæ to %d dywizji.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_DRO_INFO;Each transport flotilla can carry one land division.;Chaque flottille de transport peut porter une division.;Ogni nave di trasporto può contenere una divisione terrestre.;cada flotilla de transporte puede llevar una división terrestre.;Jede Transportereinheit kann eine Landdivision transportieren.;Ka¿da flotylla transportowa mo¿e przewoziæ jedn¹ dywizjê l¹dow¹.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_MONTH;Month >= %d.;Mois >= %d.;Mese >= %d.;Mes >= %d.;Monat >= %d.;Miesi¹c >= %d.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE_DOMESTIC_CURRENT; (Current: %d); (Courant: %d); (Attuale: %d); (Actual: %d);(Momentan: %d);(Aktualny poziom: %d);;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE_SET_RELATION;Relations with %s set to %d.;Relations avec %s mises à %d.;Relazioni con %s impostate a %d.;Relaciones con %s fijadas a %d.;Beziehungen zu %s auf %d gesetzt.;Relacje z pañstwem: %s ustawione na: %d.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE_RESOURCE;Stockpile of %s changed by %s%.1f\%% of daily max income.;Stock de %s changés de %s%.1f\%% de la production maximale journalière.;Riserve di %s modificate di %s%.1f\%% della produzione massima giornaliera.;La reserva de %s ha cambiado en un %s%.1f\%% de ingreso máx. diario.;Lagerbestand an %s um %s%.1f\%% des täglichen Höchsteinkommens verändert.;Iloœæ %s zmieniona o %s%.1f\%% maks. przychodu dziennego.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_SETUP;When we guarantee the independence of another nation;Quand nous garantissons l'indépendance d'une autre nation;Se garantiamo l'indipendenza di un'altra nazione;Cuando garanticemos la independencia de otra nación.;Wenn wir die Unabhängigkeit einer anderen Nation garantieren;Kiedy gwarantujemy niepodleg³oœæ innemu krajowi;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_HEADER;FOREIGN POLICY BRIEFING\nConcerning;RAPPORT POLITIQUE ETRANGERE\nConcernant;RAPPORTO DI POLITICA ESTERA\nsu;INFORME DE ASUNTOS EXTERIORES\nRelativo a:;Auslandpolitische Nachrichten\nBetreffend;Raport MSZ\nDotycz¹cy;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_1;%s;%s;%s;%s;%s;%s;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_2;%t, we have now;%t,  nous avons garanti;%t, abbiamo;%t, ya hemos;%t, wir garantieren ab jetzt die ;%t, w³aœnie;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_3;GUARANTEED;L'INDEPENDANCE;GARANTITO;GARANTIZADO;UNABHÄNGIGKEIT;zagwarantowaliœmy;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_4;the independence of;de;l'indipendenza di;la independencia de;von;niepodleg³oœæ:;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_5;%s;%s;%s;%s.;%s;%s;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_6;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_LOG;We now guarantee the independence of %s.;Nous garantissons maintenant l'indépendance de %s.;Ora siamo i garanti dell'indipendenza di %s.;Ya hemos garantizado la independencia de %s.;Wir garantieren nun die Unabhängigkeit von %s.;Od teraz jesteœmy gwarantem niepodleg³oœci %s.;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_BTN1;OK;OK;OK;Aceptar;OK;OK.;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEGUARA_BTN2;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
DISBAND_BRIGADE;Click to disband this brigade.;Cliquez pour dissoudre cette brigade.;Clicca per smantellare questa brigata.;Haz clic para disolver esta brigada.;Klicken Sie um diese Brigade aufzulösen.;Kliknij, aby rozwi¹zaæ brygadê.;;;;;x,,
STRAIT_NOT_BLOCKED;You can not pass through this strait, because %s is not allowing you this.;Vous ne pouvez passer par ce détroit: car cela vous est interdit par %s.;Non puoi passare attraverso questo stretto poiché %s ti nega l'accesso.;No puedes pasar por este estrecho porque %s no te lo permite.;Sie können diese Enge nicht passieren, weil %s Ihnen das nicht erlaubt.;Nie mo¿esz têdy przejœæ - %s nie zezwala na to.;;;;;x,
STRAIT_BLOCKED;You can currently pass through this strait. This is possible as long as you are not at war with %s. ;Vous pouvez actuellement passer par ce détroit. C'est possible tant que vous n'êtes pas en guerre contre%s. ;Puoi passare attraverso questo stretto. L'accesso ti viene garantito finché non dichiari guerra contro %s.;Puedes pasar por este estrecho siempre y cuando no estés en guerra con %s.;Sie können im Augenblick diese Enge passieren. Dies bleibt möglich so lange Sie sich nicht im Krieg mit %s befinden.;Mo¿esz têdy przejœæ tak d³ugo, jak nie pozostajesz w stanie wojny z: %s;;;;;x,,
STRAIT_BOS; (Please note that the Bosphorus is a special case, and the controller will only allow through his allies at war.);(Remarquez que le Bosphore est un cas spécial et le contrôleur permettra seulement à ses allies de passer pendant une guerre.); (Lo stretto del Bosforo è un caso particolare: chi lo controlla garantirà l'accesso solo ai propri alleati.); (El Bósforo es un caso especial, ya que quien lo controle sólo permitirá que pasen sus aliados en tiempos de guerra).; Bitte nehmen Sie zur Kenntnis, dass der Bosporus ein Sonderfall ist und der Besitzer im Kriegsfall nur Verbündeten die Durchfahrt erlaubt.;(Uwaga - Bosfor jest specjalnym przypadkiem - kontroluj¹cy cieœninê pozwala korzystaæ z niej tylko sojusznikom w czasie wojny.);;;;;x
STRAIT_CONTROLLER;The controller of %s decides who goes through this strait.;Le contrôleur du %s decide de qui peut passer par ce détroit.;Il possessore di %s decide chi può passare attraverso lo stretto.;El que controle %s decide quien pasa por este estrecho.; Der Besitzer von %s entscheidet, wer diese Enge passieren darf.;Kontroluj¹cy %s decyduje o tym, kto mo¿e têdy przejœæ.;;;;;x,
#;;;;;;;;;;;x,,,
TOVV_MANPOWER;Manpower Growth;Croiss. main d'oeuvre;Incremento forza lavoro;Crecimiento de rec. hum.;Wehrfähigen-Anstieg;Wzrost zasobów ludzkich;;;;;x,,,
TC_AXIS_VP;Axis controlling at least %d Victory Points\n;Contrôle par l'Axe d'au moins %d points de victoire\n;L'Asse controlla almeno %d punti vittoria\n;Eje controlando al menos %d puntos de victoria\n;Die Achsenmächte haben mindestens %d Siegpunkte\n;Oœ kontroluje przynajmniej %d punktów zwyciêstwa\n;;;;;x,,,
TC_ALLIES_VP;Allies controlling at least %d Victory Points\n;Contrôle par les alliés d'au moins %d Points de victoire\n;Gli Alleati controllano almeno %d punti vittoria\n;Aliados controlando al menos %d puntos de victoria\n;Die Alliierten haben mindestens %d Siegpunkte\n;Alianci kontroluj¹ przynajmniej %d punktów zwyciêstwa\n;;;;;x,,,
TC_COMINTERN_VP;Internationale controlling at least %d Victory Points\n;Contrôle par le Komintern d'au moins %d Points de victoire\n;Il Comintern controlla almeno %d punti vittoria\n;Comintern controlando al menos %d puntos de victoria\n;Die Komintern hat mindestens %d Siegpunkte\n;Komintern kontroluje przynajmniej %d punktów zwyciêstwa\n;;;;;x,,,
#;;;;;;;;;;;x,,,
#;;;;;;;;;;;x,,,
TCNOT_FLAG;Global Flag '%s' not set\n;Drapeau global %s pas mis en place\n;Bandiera globale '%s' non collocata\n;La bandera global '%s' no está fijada\n;Globale Flagge '%s' nicht gesetzt\n;Flaga globalna '%s' nie ustawiona\n;;;;;X,,,
TCNOT_LOCAL_FLAG;Local Flag '%s' not set\n;Drapeau local %s pas mis en place\n;Bandiera locale '%s' non collocata\n;La bandera local '%s' no está fijada\n;Lokale Flagge '%s' nicht gesetzt\n;Flaga lokalna '%s' nie ustawiona\n;;;;;X,
TCNOT_DIVISION;Below %d %s divisions\n;Moins de %d %s des divisions\n;Meno di %d divisioni %s\n;Menos de %d divisiones de %s\n;Unter %d %s Divisionen\n;Poni¿ej %d %s dywizji\n;;;;;X,
TCNOT_HEAD_OF_STATE;%s is not Head of State\n;%s is n'est pas chef d'état\n;%s non è Capo di Stato\n;%s no es Jefe de Estado\n;%s ist nicht Staatschef\n;%s nie jest g³ow¹ pañstwa\n;;;;;X,
TCNOT_HEAD_OF_GOV;%s is not Head of Government\n;%s n'est pas chef de gouvernement\n;%s non è Capo del Governo\n;%s no es Jefe de Gobierno\n;%s ist nicht Regierungschef\n;%s nie jest szefem rz¹du\n;;;;;X,
TCNOT_LEADER_EXISTS;Leader %s is not active\n;Leader %s n'est pas actif.\n;Il comandante %s è inattivo\n;El líder %s no está activo\n;Offizier %s ist nicht aktiv\n;Oficer %s nie jest dostêpny\n;;;;;X,
TCNOT_MINISTER_EXISTS;Minister %s is not active\n;Ministre %s n'est pas actif.\n;Il ministro %s è inattivo\n;El ministro %s no está activo\n;Minister %s ist nicht aktiv\n;Minister %s nie jest dostêpny\n;;;;;X,
TCNOT_TECH_KNOWN;Tech %s is not known\n;Tech %s n'est pas connue.\n;La tecnologia %s è sconosciuta\n;Tecnología de %s desconocida\n;Technologie %s ist nicht erforscht\n;Techn. %s nie jest znana\n;;;;;X,
TCNOT_TECH_ACTIVE;Tech %s is not active\n;Tech %s n'est pas aktive.\n;La tecnologia %s è inattiva\n;La tecnología de %s no está activa\n;Technologie %s ist nicht Aktiv\n;Techn. %s nie jest aktywna\n;;;;;X,
TCNOT_OIL;Below %d Oil in pool\n;Moins de %d de pétrole ;Meno di %d di petrolio a disposizione\n;Menos de %d de petróleo en reserva\n;Unter %d Öl im Lager\n;Poni¿ej %d ropy w puli\n;;;;;X,
TCNOT_ENERGY;Below %d Energy in pool\n;Moins de %d d'Energie\n;Meno di %d di energia a disposizione\n;Menos de %d de energía en reserva\n;Unter %d Energie im Lager\n;Poni¿ej %d energii w puli\n;;;;;X,
TCNOT_METAL;Below %d Metal in pool\n;Moins de %d de métal\n;Meno di %d di metallo a disposizione\n;Menos de %d de metal en reserva\n;Unter %d Metall im Lager\n;Poni¿ej %d stali w puli\n;;;;;X,
