#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the colour of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
ALLIANCE_ENTENTE1948;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;;;X
DPERSONALITY_SOUTHERN_DEMAGOGUE;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;Huey Pierce Long, Jr. is an American politician from the U.S. state of Louisiana and the leader of the America First Union Party.;;;X
NPERSONALITY_SYNDICALIST_DEMAGOGUE;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;Syndicalist Demagogue;;;X
DPERSONALITY_SYNDICALIST_DEMAGOGUE;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;The Leader of the Syndicalist movement in his country can inspire the workers and gain the support of the people.;;;X
NPERSONALITY_TOTALIST_PRESIDENT;Totalist President;Totalist President;Totalist President;Totalist President;Totalist President;Totalist President;Totalist President;Totalist President;;;X
DPERSONALITY_TOTALIST_PRESIDENT;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;The Totalist President is a believer in Totalism and is ready to use military power to spread his ideology.;;;X
NPERSONALITY_TOTALIST_CHAIRMAN;Totalist Chairman;Totalist Chairman;Totalist Chairman;Totalist Chairman;Totalist Chairman;Totalist Chairman;Totalist Chairman;Totalist Chairman;;;X
DPERSONALITY_TOTALIST_CHAIRMAN;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;The Totalist Chairman supports Totalism and believes in state controlled economics and the total involvement of the state in the internal affairs of the country.;;;X
NPERSONALITY_UNPOPULAR_PRESIDENT;Unpopular President;Unpopular President;Unpopular President;Unpopular President;Unpopular President;Unpopular President;Unpopular President;Unpopular President;;;X
DPERSONALITY_UNPOPULAR_PRESIDENT;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;The Unpopular President does not have the support of the people and struggles to keep his position.;;;X
NPERSONALITY_RUTHLESS_DICTATOR;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;;;X
DPERSONALITY_RUTHLESS_DICTATOR;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;;;X
NPERSONALITY_WELTKRIEG_EMPEROR;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;Weltkrieg Emperor;;;X
DPERSONALITY_WELTKRIEG_EMPEROR;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;Wilhelm II is the current German Emperor and King of Prussia, ruling both the German Empire and the Kingdom of Prussia since 15 June 1888. He led the German Empire to victory during the Weltkrieg and gained the support of his people.;;;X
NPERSONALITY_GERMAN_ARISTOCRAT;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;;;X
DPERSONALITY_GERMAN_ARISTOCRAT;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;;;X
NPERSONALITY_RUSSIAN_ARISTOCRAT;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;;;X
DPERSONALITY_RUSSIAN_ARISTOCRAT;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the hearts and minds of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;;;X
NPERSONALITY_MADAME;Madame Sun;Madame Sun;Madame Sun;Madame Sun;Madame Sun;Madame Sun;Madame Sun;Madame Sun;;;X
DPERSONALITY_MADAME;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;Soong Ching-ling, widow of late revolutionary Sun Yat-sen is the head of the Kuomintang's Central Executive Committee, and is as such the leader of the largest of the Chinese republican parties. The collapse of the AOG heralded a new surge of support for republicanism after the failure of the Xinhai Revolution of 1911 had led the country into chaotic civil war and Manchu resurrection. Madame Sun has taken up the mantle of defending the fledging Chinese republic with a vigour rivalling that of her husband.;X
NPERSONALITY_SONOFHEAVEN_PRETENDER;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;Son of Heaven Pretender;;;X
DPERSONALITY_SONOFHEAVEN_PRETENDER;As someone who ascended to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent ruler and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;As someone who ascend to the dragon throne by strange coincidence Zhu remains relatively unknown to the general public, and many see him as mere puppet. However despite his young age Zhu was toughened up by the many hardships he encountered and he is eager to prove himself as a competent manager and a skilled politician.;;;X
NPERSONALITY_PRAGMATIC_STATESMAN;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;;;X
DPERSONALITY_PRAGMATIC_STATESMAN;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;;;X
NPERSONALITY_YOUNG_KAISER;Young Kaiser;Young Kaiser;Young Kaiser;Young Kaiser;Young Kaiser;Young Kaiser;Young Kaiser;Young Kaiser;;;X
