Quote;Author;FR;FR;ITA?;ITA?;SPA?;SPA?;GER;GER;POL?;POL?
The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914;'The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914;'The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914;'The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914;'The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914;'The United States must be neutral in fact as well as in name...We must be impartial in thought as well as in action.';Woodrow Wilson, 19 August 1914
'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin;'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin;'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin;'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin;'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin;'Less care for internationalism and more concern for national prosperity';Father Charles Edward Coughlin
'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster;'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster;'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster;'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster;'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster;'The party must be ready to put into its program the definite statement that mass action culminates in open insurrection;and armed conflict with the capitalist state.' - William Z. Foster
'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster;'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster;'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster;'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster;'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster;'At heart and in their daily action the trade unions are revolutionary. Their unchangeable policy is to withhold from the exploiters;all they have the power to. That is the true meaning of the trade union movement.' - William Z. Foster
'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia;'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia;'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia;'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia;'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia;'Exceptional circumstances require exceptional measures. That's why imprisonment of Nicholas and his wife are justified by events ...';Cyril Vladimirovich, Grand Duke of Russia
'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910;'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910;'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910;'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910;'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910;'I am the last monarch of the old school. It's my job to protect my peoples from their politicians!'; Franz Joseph I to Theodore Roosevelt, 1910
'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin;'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin;'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin;'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin;'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin;'People always have been the foolish victims of deception and self-deception in politics, and they always will be, until they have learned;to seek out the interests of some class or other behind all moral, religious, political and social phrases, declarations and promises.' - Lenin
'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom;for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin;'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom; for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin;'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom; for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin;'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom; for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin;'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom; for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin;'We see now that infringement of freedom is necessary with regard to the opponents of the revolution. At a time of revolution we cannot allow freedom; for the enemies of the people and of the revolution. That is a surely clear, irrefutable conclusion.' - Nikolai Bukharin
'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi;'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi;'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi;'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi;'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi;'The ideally non-violent state will be an ordered anarchy. That State is the best governed which is governed the least.';Mohandas Karamchand Gandhi
'Does one have to be God-fearing and Christian to be decent?';Louise Bryant;'Does one have to be God-fearing and Christian to be decent?';Louise Bryant;'Does one have to be God-fearing and Christian to be decent?';Louise Bryant;'Does one have to be God-fearing and Christian to be decent?';Louise Bryant;'Does one have to be God-fearing and Christian to be decent?';Louise Bryant;'Does one have to be God-fearing and Christian to be decent?';Louise Bryant
'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair;'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair;'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair;'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair;'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair;'Looking at the world as a whole, the drift for many decades has been not towards anarchy but towards the reimposition of slavery';Eric Blair
'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph;'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph;'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph;'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph;'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph;'A community is democratic only when the humblest and weakest person can enjoy the highest civil, economic, and social rights;that the biggest and most powerful possess.' - Asa Randolph
'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn;'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn;'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn;'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn;'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn;'History has a long-range perspective. It ultimately passes stern judgement on tyrants and vindicates those who fought, suffered, were imprisoned, and died;for human freedom, against political oppression and economic slavery.' - Elizabeth Gurley Flynn
'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto;'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto;'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto;'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto;'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto;'A soldier who is politically conscious that he is right and who has a feeling of community with his society... will do his job well.';William Aalto
'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian;'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian;'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian;'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian;'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian;'It is sometimes tougher to fight my superiors than the French.';Heinz Guderian
'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton;'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton;'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton;'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton;'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton;'No bastard ever won a war by dying for his country. He won it by making the other poor dumb bastard die for his country.';George Patton
'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev;'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev;'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev;'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev;'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev;'If you live among dogs, keep a stick. After all, this is what a hound has teeth for - to bit when he feels like it!';Nikita Khrushchev
'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky;'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky;'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky;'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky;'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky;'The Russian people are suffering from economic fatigue and from disillusionment with the Allies! The world thinks the Russian Revolution is at an end.;Do not be mistaken. The Russian Revolution is just beginning.' - Alexandr Kerensky
'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur;'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur;'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur;'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur;'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur;'Talk of imminent threat to our national security through the application of external force is pure nonsense.';Douglas MacArthur
'France has no friends, only interests.';Charles de Gaulle;'France has no friends, only interests.';Charles de Gaulle;'France has no friends, only interests.';Charles de Gaulle;'France has no friends, only interests.';Charles de Gaulle;'France has no friends, only interests.';Charles de Gaulle;'France has no friends, only interests.';Charles de Gaulle
'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle;'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle;'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle;'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle;'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle;'Yes, it is Europe, from the Atlantic to the Urals, it is Europe, it is the whole of Europe, that will decide the fate of the world.';Charles de Gaulle
'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas;'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas;'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas;'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas;'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas;'Heroes never die - instead they fall, and the soil, by drinking their blood, borns them again…';Ioannis Metaxas
One nation, One Empire, One Vozhd!';Petr Wrangel;'One nation, One Empire, One Vozhd!';Petr Wrangel;'One nation, One Empire, One Vozhd!';Petr Wrangel;'One nation, One Empire, One Vozhd!';Petr Wrangel;'One nation, One Empire, One Vozhd!';Petr Wrangel;'One nation, One Empire, One Vozhd!';Petr Wrangel
'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg;'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg;'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg;'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg;'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg;'My name is surrounded with such hate and fear that no one can judge what is the truth and what is false, what is history and what is myth.';Baron Roman Ungern von Sternberg
'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas;'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas;'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas;'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas;'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas;'It would appear that we select presidents as we select jurors, on the ground that they have no opinions that can be discovered.';Norman Thomas
'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao;'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao;'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao;'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao;'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao;'Freedom means Freedom for the Group, not Freedom for the Individual. Men must not be slaves to other men, but they must be slaves to their group.;For, if they are not slaves to their own group, they will assuredly become slaves to some other.' - Liang Qichao
