##  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#;;;;;;;;;;;x
EYRBOMBERSFROM;Aircrafts;Avions;Aerei;Aviones;Flugzeuge;Samoloty;;;;;x
CORE_SCREENS;%d capital ships and %d screens.;%d navires principaux et %d navires d'escorte.[/;%d navi principali e %d navi di supporto.;%d grandes unidades y %d escoltas.;%d Kernschiffe und %d Begleitschiffe.;%d okrêtów g³ównych i %d okr. os³ony.;;;;;x
#;;;;;;;;;;;x
EE_FREE_IC;Offmap IC changed by %+.0f.;PP hors-carte changés de %+.0f.;PI fuori-mappa cambiata di %+.0f.;La CI fuera de mapa cambia en %+.0f.;IK ausserhalb der Karte verändert um %+.0f.;PP poza map¹ zmieniony o %+.0f.;;;;;x
EE_FREE_MP;Offmap Manpower changed by %+.0f.;Offmap Manpower changed by %+.0f.;Offmap Manpower changed by %+.0f.;Offmap Manpower changed by %+.0f.;Offmap Manpower changed by %+.0f.;Offmap Manpower changed by %+.0f.;;;;;x
EE_WAKE_LEADER;%s is now available as a leader.;%s est maintenant disponible en tant que chef militaire.;%s è ora disponibile come comandante.;%s ya está disponible como líder.;%s steht jetzt als Anführer bereit.;Nowy dowódca dostêpny: %s.;;;;;x
EE_DEACTIVATE_UNIT_TYPE;Deactive;Désactivé;Inattivo;Desactivar;Inaktiv ;Nieaktywny;;;;;x
EYR_REDPLOYING_TO;(Strat Redep);(Redepl. Strat.);(Avvia rischieramento);(Trasl. estrat.);(Strat. Verlegung);(Przem. strat.);;;;;x
#;;;;;;;;;;;x
# 1.2 & 1.3 is above.;;;;;;;;;;;x
#;;;;;;;;;;;x
TCNOT_ARMY_SIZE;%s has below %d divisions.\n;@;@;@;@;@;;;;;x
TC_ARMY_SIZE;%s has at least %d divisions.\n;@;@;@;@;@;;;;;x
TCNOT_DAY;It is not %d day of the month.\n;@;@;@;@;@;;;;;x
TC_DAY;It is the %d day of the month.\n;@;@;@;@;@;;;;;x
TCNOT_ARMYPER_BY;Has less than %.f percent of %s's number of divisions.;@;@;@;@;@;;;;;x
TC_ARMYPER_BY;Has at least %.f percent of %s's number of divisions.;@;@;@;@;@;;;;;x
#EOF;;;;;;;;;;;x
#EOF;;;;;;;;;;;x
