##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV40;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;;;;;X
PROV41;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;;;;;X
PROV42;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;;;;X
PROV43;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;;;;X
PROV44;Caen;Caen;Caen;Caen;Caen;Caen;;;;;X
PROV45;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;;;;X
PROV46;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;;;;;X
PROV47;Falaise;Falaise;Falaise;Falaise;Falaise;Falaise;;;;;X
PROV48;Evreux;Evreux;Evreux;Evreux;Evreux;Evreux;;;;;X
PROV49;Calais;Calais;Calais;Calais;Calais;Calais;;;;;X
PROV50;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;;;;X
PROV51;Dunkirk;Dunkirk;Dunkirk;Dunkirk;Dunkirk;Dunkirk;;;;;X
PROV52;Lille;Lille;Lille;Lille;Lille;Lille;;;;;X
PROV53;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;;;;;X
PROV54;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;;;;X
PROV55;Paris;Paris;Paris;Paris;Paris;Paris;;;;;X
PROV56;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;Chateau Thierry;;;;;X
PROV57;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;;;;X
PROV58;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;;;;X
PROV59;Angers;Angers;Angers;Angers;Angers;Angers;;;;;X
PROV60;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;;;;;X
PROV61;Tours;Tours;Tours;Tours;Tours;Tours;;;;;X
PROV62;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;;;;;X
PROV63;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;;;;X
PROV64;Le Creusot;Le Creusot;Le Creusot;Le Creusot;Le Creusot;Le Creusot;;;;;X
PROV65;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;;;;X
PROV66;Orleans;Orleans;Orleans;Orleans;Orleans;Orleans;;;;;X
PROV67;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;;;;;X
PROV68;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;;;;;X
PROV69;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;;;;;X
PROV70;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;Angouleme;;;;;X
PROV71;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;;;;;X
PROV72;Chateauroux;Chateauroux;Chateauroux;Chateauroux;Chateauroux;Chateauroux;;;;;X
PROV73;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;;;;;X
PROV74;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;;;;;X
PROV75;Perigueux;Perigueux;Perigueux;Perigueux;Perigueux;Perigueux;;;;;X
PROV76;Tulle;Tulle;Tulle;Tulle;Tulle;Tulle;;;;;X
PROV77;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;;;;;X
PROV78;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;Saint-Etienne;;;;;X
PROV79;Beziers;Beziers;Beziers;Beziers;Beziers;Beziers;;;;;X
PROV80;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;;;;;X
PROV81;Rodez;Rodez;Rodez;Rodez;Rodez;Rodez;;;;;X
PROV82;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;;;;;X
PROV83;Pau;Pau;Pau;Pau;Pau;Pau;;;;;X
PROV84;Agen;Agen;Agen;Agen;Agen;Agen;;;;;X
PROV85;Lyon;Lyon;Lyon;Lyon;Lyon;Lyon;;;;;X
PROV86;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;;;;;X
PROV87;Nice;Nice;Nice;Nice;Nice;Nice;;;;;X
PROV88;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;Bourg-en-Bresse;;;;;X
PROV89;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;;;;;X
PROV90;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;;;;;X
PROV91;Chambery;Chambery;Chambery;Chambery;Chambery;Chambery;;;;;X
PROV92;Valence;Valence;Valence;Valence;Valence;Valence;;;;;X
PROV93;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;;;;;X
PROV94;Corsica;Corsica;Corsica;Corsica;Corsica;Corsica;;;;;X
PROV95;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;Chaumont;;;;;X
PROV96;Longwy;Longwy;Longwy;Longwy;Longwy;Longwy;;;;;X
PROV97;Belfort;Belfort;Belfort;Belfort;Belfort;Belfort;;;;;X
PROV98;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;Pontarlier;;;;;X
PROV99;Reims;Reims;Reims;Reims;Reims;Reims;;;;;X
PROV100;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;;;;;X
PROV101;Laon;Laon;Laon;Laon;Laon;Laon;;;;;X
PROV102;Sedan;Sedan;Sedan;Sedan;Sedan;Sedan;;;;;X
PROV103;Hirson;Hirson;Hirson;Hirson;Hirson;Hirson;;;;;X
PROV104;Metz;Metz;Metz;Metz;Metz;Metz;;;;;X
PROV105;Colmar;Colmar;Colmar;Colmar;Colmar;Colmar;;;;;X
PROV106;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;;;;;X
PROV107;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;;;;X
PROV108;Liege;Liege;Liege;Liege;Liege;Liege;;;;;X
PROV109;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;;;;;X
PROV110;Eupen;Eupen;Eupen;Eupen;Eupen;Eupen;;;;;X
PROV111;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;;;;X
PROV112;Mons;Mons;Mons;Mons;Mons;Mons;;;;;X
PROV113;Namur;Namur;Namur;Namur;Namur;Namur;;;;;X
PROV114;Bruges;Bruges;Bruges;Bruges;Bruges;Bruges;;;;;X
PROV115;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;;;;;X
PROV116;Brussels;Brussels;Brussels;Brussels;Brussels;Brussels;;;;;X
PROV117;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;;;;;X
PROV118;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;;;;X
PROV119;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;;;;X
PROV120;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;;;;;X
PROV121;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;;;;;X
PROV122;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;;;;X
PROV123;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;;;;;X
PROV124;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;;;;X
PROV125;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;;;;X
PROV126;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;;;;;X
PROV127;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;Saarbrucken;;;;;X
PROV128;Trier;Trier;Trier;Trier;Trier;Trier;;;;;X
PROV129;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;;;;;X
PROV130;Mainz;Mainz;Mainz;Mainz;Mainz;Mainz;;;;;X
PROV131;Cologne;Cologne;Cologne;Cologne;Cologne;Cologne;;;;;X
PROV132;Freiburg;Freiburg;Freiburg;Freiburg;Freiburg;Freiburg;;;;;X
PROV133;Konstanz;Konstanz;Konstanz;Konstanz;Konstanz;Konstanz;;;;;X
PROV134;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;;;;;X
PROV135;Tubingen;Tubingen;Tubingen;Tubingen;Tubingen;Tubingen;;;;;X
PROV136;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;;;;;X
PROV137;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;;;;X
PROV138;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;Frankfurt/Main;;;;;X
PROV139;Darmstadt;Darmstadt;Darmstadt;Darmstadt;Darmstadt;Darmstadt;;;;;X
PROV140;Hanau;Hanau;Hanau;Hanau;Hanau;Hanau;;;;;X
PROV141;Muenster;Muenster;Muenster;Muenster;Muenster;Muenster;;;;;X
PROV142;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;Duesseldorf;;;;;X
PROV143;Neuwied;Neuwied;Neuwied;Neuwied;Neuwied;Neuwied;;;;;X
PROV144;Bielefeld;Bielefeld;Bielefeld;Bielefeld;Bielefeld;Bielefeld;;;;;X
PROV145;Essen;Essen;Essen;Essen;Essen;Essen;;;;;X
PROV146;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;;;;X
PROV147;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;;;;;X
PROV148;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;;;;X
PROV149;Luneburg;Luneburg;Luneburg;Luneburg;Luneburg;Luneburg;;;;;X
PROV150;Flensburg;Flensburg;Flensburg;Flensburg;Flensburg;Flensburg;;;;;X
PROV151;Lubeck;Lubeck;Lubeck;Lubeck;Lubeck;Lubeck;;;;;X
PROV152;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;;;;X
PROV153;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;;;;;X
PROV154;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;;;;;X
PROV155;Stolp;Stolp;Stolp;Stolp;Stolp;Stolp;;;;;X
PROV156;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;;;;;X
PROV157;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;;;;;X
PROV158;Stettin;Stettin;Stettin;Stettin;Stettin;Stettin;;;;;X
PROV159;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;;;;;X
PROV160;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;Frankfurt/Oder;;;;;X
PROV161;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;Deutsch Krone;;;;;X
PROV162;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;;;;;X
PROV163;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;;;;;X
PROV164;Oppeln;Oppeln;Oppeln;Oppeln;Oppeln;Oppeln;;;;;X
PROV165;Liegnitz;Liegnitz;Liegnitz;Liegnitz;Liegnitz;Liegnitz;;;;;X
PROV166;Waldenburg;Waldenburg;Waldenburg;Waldenburg;Waldenburg;Waldenburg;;;;;X
PROV167;Breslau;Breslau;Breslau;Breslau;Breslau;Breslau;;;;;X
PROV168;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;Gleiwitz;;;;;X
PROV169;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburg;;;;;X
PROV170;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;;;;;X
PROV171;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;;;;;X
PROV172;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;;;;;X
PROV173;Dresden;Dresden;Dresden;Dresden;Dresden;Dresden;;;;;X
PROV174;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;;;;;X
PROV175;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;;;;;X
PROV176;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;;;;;X
PROV177;Nuremberg;Nuremberg;Nuremberg;Nuremberg;Nuremberg;Nuremberg;;;;;X
PROV178;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;;;;;X
PROV179;Munich;Munich;Munich;Munich;Munich;Munich;;;;;X
PROV180;Wurzburg;Wurzburg;Wurzburg;Wurzburg;Wurzburg;Wurzburg;;;;;X
PROV181;Danzig;Danzig;Danzig;Danzig;Danzig;Danzig;;;;;X
PROV182;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;Tilsit;;;;;X
PROV183;Elbing;Elbing;Elbing;Elbing;Elbing;Elbing;;;;;X
PROV184;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;Koenigsberg;;;;;X
PROV185;Allenstein;Allenstein;Allenstein;Allenstein;Allenstein;Allenstein;;;;;X
PROV186;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;;;;;X
PROV187;Linz;Linz;Linz;Linz;Linz;Linz;;;;;X
PROV188;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;Eisenstadt;;;;;X
PROV189;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;;;;;X
PROV190;Graz;Graz;Graz;Graz;Graz;Graz;;;;;X
PROV191;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;;;;;X
PROV192;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;;;;;X
PROV193;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;Sankt Poelten;;;;;X
PROV194;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;;;;;X
PROV195;Vienna;Vienna;Vienna;Vienna;Vienna;Vienna;;;;;X
PROV196;Brno;Brno;Brno;Brno;Brno;Brno;;;;;X
PROV197;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;;;;;X
PROV198;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;Hradec Kralove;;;;;X
PROV199;Plzen;Plzen;Plzen;Plzen;Plzen;Plzen;;;;;X
PROV200;Liberec;Liberec;Liberec;Liberec;Liberec;Liberec;;;;;X
PROV201;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;;;;;X
PROV202;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;Ceske Budejovice;;;;;X
PROV203;Tesin;Tesin;Tesin;Tesin;Tesin;Tesin;;;;;X
PROV204;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;;;;;X
PROV205;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;;;;;X
PROV206;Opava;Opava;Opava;Opava;Opava;Opava;;;;;X
PROV207;Prague;Prague;Prague;Prague;Prague;Prague;;;;;X
PROV208;Pressburg;Pressburg;Pressburg;Pressburg;Pressburg;Pressburg;;;;;X
PROV209;Kosice;Kosice;Kosice;Kosice;Kosice;Kosice;;;;;X
PROV210;Komarno;Komarno;Komarno;Komarno;Komarno;Komarno;;;;;X
PROV211;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;Banska Bystrica;;;;;X
PROV212;Zilina;Zilina;Zilina;Zilina;Zilina;Zilina;;;;;X
PROV213;Chust;Chust;Chust;Chust;Chust;Chust;;;;;X
PROV214;Presov;Presov;Presov;Presov;Presov;Presov;;;;;X
PROV215;Uzhorod;Uzhorod;Uzhorod;Uzhorod;Uzhorod;Uzhorod;;;;;X
PROV216;Abenra;Abenra;Abenra;Abenra;Abenra;Abenra;;;;;X
PROV217;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;;;;;X
PROV218;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;;;;;X
PROV219;Odense;Odense;Odense;Odense;Odense;Odense;;;;;X
PROV220;Arhus;Arhus;Arhus;Arhus;Arhus;Arhus;;;;;X
PROV221;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;;;;;X
PROV222;Torun;Torun;Torun;Torun;Torun;Torun;;;;;X
PROV223;Lodz;Lodz;Lodz;Lodz;Lodz;Lodz;;;;;X
PROV224;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;;;;;X
PROV225;Bromberg;Bromberg;Bromberg;Bromberg;Bromberg;Bromberg;;;;;X
PROV226;Gdingen;Gdingen;Gdingen;Gdingen;Gdingen;Gdingen;;;;;X
PROV227;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czestochowa;;;;;X
PROV228;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;;;;;X
PROV229;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostro³êka;;;;;X
PROV230;Schr�ttersburg;Schr�ttersburg;Schr�ttersburg;Schr�ttersburg;Schr�ttersburg;Schr�ttersburg;;;;;X
PROV231;Wloclawek;Wloclawek;Wloclawek;Wloclawek;Wloclawek;W³oc³awek;;;;;X
PROV232;Warsaw;Warsaw;Warsaw;Warsaw;Warsaw;Warsaw;;;;;X
PROV233;Sosnowiec;Sosnowiec;Sosnowiec;Sosnowiec;Sosnowiec;Czestochowa;;;;;X
PROV234;Radom;Radom;Radom;Radom;Radom;Radom;;;;;X
PROV235;Krakow;Krakow;Krakow;Krakow;Krakow;Krakow;;;;;X
PROV236;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;;;;;X
PROV237;Tarnow;Tarnow;Tarnow;Tarnow;Tarnow;Tarnow;;;;;X
PROV238;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanislawow;Stanis³awow;;;;;X
PROV239;Przemysl;Przemysl;Przemysl;Przemysl;Przemysl;Przemyœl;;;;;X
PROV240;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;Tarnopol;;;;;X
PROV241;Stryj;Stryj;Stryj;Stryj;Stryj;Stryj;;;;;X
PROV242;Lwow;Lwow;Lwow;Lwow;Lwow;Lwow;;;;;X
PROV243;Lublin;Lublin;Lublin;Lublin;Lublin;Lublin;;;;;X
PROV244;Rowne;Rowne;Rowne;Rowne;Rowne;Rowne;;;;;X
PROV245;Luck;Luck;Luck;Luck;Luck;£uck;;;;;X
PROV246;Chelm;Chelm;Chelm;Chelm;Chelm;Chelm;;;;;X
PROV247;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzeœa Litewski;;;;;X
PROV248;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;;;;;X
PROV249;Sarny;Sarny;Sarny;Sarny;Sarny;Sarny;;;;;X
PROV250;Lomza;Lomza;Lomza;Lomza;Lomza;£om¿a;;;;;X
PROV251;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;Nowogrodek;;;;;X
PROV252;Suwalki;Suwalki;Suwalki;Suwalki;Suwalki;Suwa³ki;;;;;X
PROV253;Slonim;Slonim;Slonim;Slonim;Slonim;S³onim;;;;;X
PROV254;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bia³ystok;;;;;X
PROV255;Grodno;Grodno;Grodno;Grodno;Grodno;Grodno;;;;;X
PROV256;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Mo³odeczno;;;;;X
PROV257;Glebokie;Glebokie;Glebokie;Glebokie;Glebokie;G³êbokie;;;;;X
PROV258;Wilno;Wilno;Wilno;Wilno;Wilno;Wilno;;;;;X
PROV259;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;Siauliai;;;;;X
PROV260;Panevezys;Panevezys;Panevezys;Panevezys;Panevezys;Panevezys;;;;;X
PROV261;Memel;Memel;Memel;Memel;Memel;Memel;;;;;X
PROV262;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;Kaunas;;;;;X
PROV263;Alytus;Alytus;Alytus;Alytus;Alytus;Alytus;;;;;X
PROV264;Riga;Riga;Riga;Riga;Riga;Riga;;;;;X
PROV265;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;Valmiera;;;;;X
PROV266;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;Daugavpils;;;;;X
PROV267;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;Jekabpils;;;;;X
PROV268;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;Liepaja;;;;;X
PROV269;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;Jelgava;;;;;X
PROV270;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;Tallinn;;;;;X
PROV271;Parnu;Parnu;Parnu;Parnu;Parnu;Parnu;;;;;X
PROV272;Tartu;Tartu;Tartu;Tartu;Tartu;Tartu;;;;;X
PROV273;Voru;Voru;Voru;Voru;Voru;Voru;;;;;X
PROV274;Narva;Narva;Narva;Narva;Narva;Narva;;;;;X
PROV275;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;Kuressaare;;;;;X
PROV276;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;Zalaegerszeg;;;;;X
PROV277;Pecs;Pecs;Pecs;Pecs;Pecs;Pecs;;;;;X
PROV278;Szekesfehervar;Szekesfehervar;Szekesfehervar;Szekesfehervar;Szekesfehervar;Szekesfehervar;;;;;X
PROV279;Gyor;Gyor;Gyor;Gyor;Gyor;Gyor;;;;;X
PROV280;Szeged;Szeged;Szeged;Szeged;Szeged;Szeged;;;;;X
PROV281;Debrecen;Debrecen;Debrecen;Debrecen;Debrecen;Debrecen;;;;;X
PROV282;Miskolc;Miskolc;Miskolc;Miskolc;Miskolc;Miskolc;;;;;X
PROV283;Bekescsaba;Bekescsaba;Bekescsaba;Bekescsaba;Bekescsaba;Bekescsaba;;;;;X
PROV284;Budapest;Budapest;Budapest;Budapest;Budapest;Budapest;;;;;X
PROV285;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;;;;;X
PROV286;Arad;Arad;Arad;Arad;Arad;Arad;;;;;X
PROV287;Turda;Turda;Turda;Turda;Turda;Turda;;;;;X
PROV288;Cluj;Cluj;Cluj;Cluj;Cluj;Cluj;;;;;X
PROV289;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;;;;;X
PROV290;Store Belt;Store Belt;Store Belt;Store Belt;Store Belt;Store Belt;;;;;X
PROV291;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;;;;;X
PROV292;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;;;;;X
PROV293;Miercurea Ciuc;Miercurea Ciuc;Miercurea Ciuc;Miercurea Ciuc;Miercurea Ciuc;Miercurea Ciuc;;;;;X
PROV294;Copenhagen;Copenhagen;Copenhagen;Copenhagen;Copenhagen;Copenhagen;;;;;X
PROV295;Resita;Resita;Resita;Resita;Resita;Resita;;;;;X
PROV296;Oradea;Oradea;Oradea;Oradea;Oradea;Oradea;;;;;X
PROV297;Iasi;Iasi;Iasi;Iasi;Iasi;Iasi;;;;;X
PROV298;Galati;Galati;Galati;Galati;Galati;Galati;;;;;X
