79032desc;We were convinced of the weakness of the old Republic even when Foch's command did not benefit the front, when it was unable to escape the German breakthrough, and was forced to sign a surrender. The people spoke their word: workers, peasants, opponents of the old system took up the defence of the Revolution. The Republicans could not overcome them, and those who were lucky enough to reach the shore evacuated to Algeria, complaining of exile. The communes of France are celebrating the creation of a federation that will serve the proletariat. Mankind received the first successful example of the socialist revolution.;;;;;;;;;;;X
79033desc;After the defeat of the Germans, we were persuaded that the embittered people had disbanded the French Republic. But we managed to gather, go on the offensive and defeat the rebels. Disappointed members of the trade unionists surrender their weapons and leave their ranks. Although the revolution has been defeated, hard times await us: the Germans will want the northern border and unconditional adherence to Versailles. But the events of recent months have shown: hope is alive, and revenge sooner or later, but it will happen.;;;;;;;;;;;X
79034desc;France entered the Great War, to avenge the loss of Alsace-Lorraine and the painful forty-year defeat of Germany. This attempt could have failed in the first months of the war, when the Germans invaded Paris through neutral Belgium, and the British helped us hold on to the Western Front and cement it for many years. When Germany withdrew its troops to the Hindenburg Line in 1917, the Allies launched a successful offensive in Arras and a catastrophic one in Chemin des Dames, which led to the fall of Nivelles. As the US is still neutral and the uprisings paralyse the army, the French government decides to provide carte blanche to Ferdinand Foch. Attempts to appoint Petain as commander-in-chief were blocked by his 'pessimistic' nature and difficult relationship with British High-Command. Meanwhile, the situation for the Entente is deteriorating: morale has fallen to a minimum, Foch's success is meagre, trust between the French and British High-Command begins to waver. It was difficult in such a situation to prepare for the enemy's attack, the Spring Offensive, which began on March 2nd 1919. The rapid breakthrough of the Germans near St. Mihiel broke the Western Front and cut off communication and supply lines. The Entente retreated to Paris and stabilized for several months. A miraculous counter-breakthrough in the Oise region deludes the French leadership into thinking that a last-ditch offensive could reach the beleaguered British forces. However, the rear front collapses however and with production coming to a halt, the French Army soon finds itself unable to continue fighting as desertion and mutinies deliver the final blows.;;;;;;;;;;;X
79035desc;Confirming that the fall of Paris was inevitable, on October 4th 1919, the French went to Versailles to sign a armistice with the Germans. The French felt offended. When the Kaiser and his own guard held a parade on the Champs Elysees, the people whistled at the probable perpetrators of the tragedy - the Briand government, the bourgeoisie, the aristocracy. The working class and the military were especially furious, among whom were left-wing ideas with growing radicalism. The strikes almost halted industry, students protested in the streets, and the Socialists boycotted parliament. On November 1st, the Treaty of Versailles was signed, a peace with harsh, degrading conditions, which finally levelled old France in the eyes of the people. According to her, the northeast of France was occupied by the Germans, they captured Paris 'for the sake of stability', the government ordered to pay grand reparations, and the French army was to be demobilised. The patience of the people broke, the gendarmes could not cope with the situation on their own. The CGT ultimatum became a natural wick that ignited the revolution: it supported demobilised rebel soldiers and threatened to take up arms against those who remained with the Republicans. This too daring act finally split the country in half.;;;;;;;;;;;X
79036desc;The General Confederation of Labour (Confederation Generale du Travail) was founded in September 1895 in Limoges. The Great War greatly affected the CGT. In the first year of the war, workers were mobilized to the front, which destroyed trade union branches and led to a sharp reduction in contributions. The standard of living remained calm, although the reorientation to military needs led to high inflation. The trade union movement was organized against the war, and for the last three years industrial centres experienced significant uprisings, such as protests against the introduction of a new wage scale in April 1917 or strikes in the Loire department in November of that year. The situation at the front became tense: disappointed soldiers in the trenches paralysed half the army, Foch successfully restored discipline, but the lack of decisive attacks lowered morale throughout the war and caused a conflict between French and British high commands. In opposition to the unstable army, the CGT organized a defence committee in May 1918, organizing walkouts in solidarity with the protesters. The CGT welcomed the Spring Offensive with 1.6M members who were hostile to the government, which broke the front of the Germans. In general, the failures of the French in the war and the feeling of a future revenge fiasco shed light on radical action.;;;;;;;;;;;X
79037desc;A large-scale general strike has engulfed France, with one million workers taking to the streets calling for the country not to give in to the victors and to protect their rights. The grand May Day demonstration gathered 250,000 people in Paris, including the military. Local administrations were seized in Lyon, Dijon, and Saint-Etienne. After a summer break, the protests resumed with greater force on October 4, when France signed the armistice at Versailles. The outrage of the French crossed all borders, riots and strikes swept through every department, the CGT officially declared the culprits of the defeat: Clemenceau with Briand, the head of government, and above them - the aristocrats and the bourgeoisie. Socialists and Syndicalists in parliament boycotted and declared themselves allies of the CGT. On November 1, when the Treaty of Versailles, which was destructive for old France, was signed, the CGT issued an ultimatum to the remaining soldiers: either with the people or against the people. The deadline expired today, but patience ran out a long time ago. A painting more majestic than 1789 and bloodier than 1871 must be transmitted. The time to make a revolution is more successful than ever.;;;;;;;;;;;X
SCW_NAME;Spanish Civil War;;;;;;;;;;x
SCW_SPA;The precarious situation of the Spanish monarchy was irreparably disturbed. When, under fear of rebellion, Alfonso XII approved the Dictabland government, he was unlikely to worry about Carlists or anarchists. After Black Monday, the weakness of power became apparent to almost everyone, and opponents of the monarchy raised their heads. How will the Bourbons cope with the ripe fruit of popular dislike?;;;;;;;;;;;X
SCW_SPR;After the defeat of the Spaniards in the war for Cuba, radical working groups began to receive support, especially in republican Catalonia. CNT-FAI, firmly linked since the general strike of 1917, tried to ignite revolutionary fervour, as in Britain or France, but to no avail. The unprecedented unrest in the East and the anarchy that came out of it served as a horn for the syndicalists. Will the fraternal help of the International be enough for the Revolution to take place?;;;;;;;;;;;X
SCW_EUS;Carlists are a phenomenon peculiar to Spain. It is a powerful, long-running far-right movement that stands for the restoration of the descendants of the Don Carlos line and that defends regionalism. The current contender for the throne, Francis Xavier, successfully took advantage of the economic crisis of 1936 and enlisted the support of Catholic states. On his side - the rural north and fearless racketeering. But won't these starting positions be enough for the Carlists to sit on the throne?;;;;;;;;;;;X
SCW_53desc;After three and a half years of struggle, none of the forces was able to take control of most of Spain, dooming it to terrible ruin. The entire country turned into a wasteland soaked with the blood of a generation of Spanish young men and women. Against the background of the unfolding Weltkrieg, neither side is going to retreat, although aware of what an illustration of the terrible war was Spain.;;;;;;;;;;;X
FV_NAME;Kutuzov: Invasion of Mitteleuropa;;;;;;;;;;x
FV_GER;The German war machine was re-launched in France, crushing local syndicalists and occupying Paris for the third time. Meanwhile, relations between Germany and Russia deteriorated, and Savinkov has since come to power. In revenge for the long-standing defeat, he intervened to weaken Mitteleuropa, and gained the support of anti-German organizations. The death of Wilhelm II struck us deeply, but the Russians scoffed at it. Only the Vozhd' can so heartlessly find the moment of invasion of us. The still uncrowned Wilhelm III will be baptized in fire on the eastern borders of the Reich.;;;;;;;;;;;X
FV_POL;Poland was rebuilt after the Weltkrieg in shabby condition. The election of the king was fierce, and ended with the election of Lithuanian ruler Mindaugas. He re-announced the Commonwealth, which comforted the Poles and Lithuanians. However, the threat of Savinkov's expansion did not leave us, and the death of Wilhelm II foretells something wrong. Will we not lose our freedom under any Russian cauldron?;;;;;;;;;;;X
FV_UBD;The Baltic Duchy plays the role of the 'Eastern Rampart of the Empire'. The campaign to attract German immigrants, launched 5 years ago, angered the indigenous population. Russophiles and nationalists, who have organized a strong alliance, are resisting 'forced colonization'. They have enlisted the support of Russia, and in light of the coming war it poses a blatant threat. Will the rampart that is torn out stand?;;;;;;;;;;;X
FV_BLR;For twenty years, Germany, dependent on Germany, was nourished by its help, not least by Sigismund. He did not succumb to the instructions of Russophile ministers or nationalist groups. The failed assassination attempt on the king only strengthened his power, and he retaliated against numerous Russian-speakers. They prefer Mother Russia to fictitious independence. Perhaps it is not for nothing that Russian troops are standing at the border to attack us unexpectedly?;;;;;;;;;;;X
FV_UKR;Ukraine is one of the important components of Mitteleuropa, its agricultural base. The rule of the compromise Vasyl Habsburg is not to the liking of all political forces. The explosion on the Dnieper stunned society, and the nationalists prevailed when Skoropadsky ascended the throne. He took seriously the formation of the Ukrainian consciousness, which outraged the Russophiles and Russia itself, which sponsors them. We've been watching soldiers near the border lately, and maybe they inadvertently invaded us?;;;;;;;;;;;X
FV_RUS;Savinkov's path to the top was rich: the January assassination, Kornilov's coup and alliance with him, the death of the General, the merging of the posts of PM and President. The Vozhd' immediately set to work: the unification of the lands torn from Russia. He, like no one else, is aware of the need for revenge on the Germans, and he has been preparing for retribution for several years. Hundreds of thousands were mobilized, intensified the activities of Russophiles in Europe, destabilizing torn pieces of the Russian state. The army is on high alert, the people are tempted by Savinkov's speeches to restore integrity. Fate itself told us when to attack: when the Kaiser died...;;;;;;;;;;;X
FV_V1_desc;The Russian army tried to instil fear in us by setting a dark darkness. The initial stage of the fighting was difficult, but after the regrouping we resolutely moved forward. The counterattack showed how ridiculous Savinkov's words were. The joint army of Mitteleuropa reached Moscow and Petrograd. The self-proclaimed Vozhd' is on his knees. Germany asserted its right to dominate Europe. Let us rejoice in Kaiser, who restored order!;;;;;;;;;;;X
FV_V2_desc;The Russian army tried to instil fear in us by setting a dark darkness. The initial stage of the fighting was difficult, and cost us many casualties. Given our capabilities, we retreated to organize a stronger line of defence. With the onset of winter, the front froze. We have escaped defeat, but we need time to recover. In addition, the reserves are approaching, like other divisions from the east. The following year, Mitteleurope's army went on the offensive.;;;;;;;;;;;X
FV_V3_desc;The Russians felt sorry for the loss of land, and when someone appeared who assured them of their return, people believed. The time has come for a modernized army to show the world what it is capable of. We struck blow after blow at the Germans, not letting them breathe. Thanks to this, we cleared our way to Berlin. Exhausting battles on the outskirts of the city only supported us, and the capital is ours! Kaiser and his family were taken prisoner, and a Russian flag was hoisted over the burning Reichstag. The Vozhd' is satisfied! Now Russia has the right to be called the hegemon of Europe.;;;;;;;;;;;X
FV_V4_desc;The Russians felt sorry for the loss of land, and when someone appeared who assured them of their return, people believed. The time has come for a modernized army to show the world what it is capable of. In a few months we returned to the historical borders. The primary goal has been achieved, but we are at war with German-occupied Europe. Ahead is a long war, which can already be called liberation.;;;;;;;;;;;X
##;;;;;;;;;;;X
#EOF;;;;;;;;;;;X
#EOF;;;;;;;;;;;X
