##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
CLIENTLEFT;%s (%s) has left the game!;%s (%s) a quitté la partie !;%s (%s) ha abbandonato la partita!;%s (%s) deja la partida.;%s (%s) hat das Spiel verlassen!;%s (%s) opuœci³ grê.;;;;;X,,,,,,,,,,,
PLAYERLAG_HEADER;Network Latency;Temps de latence réseau;Ritardo di rete;Latencia de red;Netzwerklatenz;OpóŸnienie po³¹czenia sieciowego;;;;;X,,,,,,,,,,,
PLAYERLAG_MSG_HOST;By dropping a player, lag may improve but the dropped player will not be able to continue. If you save and quit you can reconnect to the saved game when network latency has improved.;Excluez un joueur de la partie pour réduire le temps de latence. Cependant, le joueur exclu ne pourra pas revenir dans la partie… Sauvegardez et quittez la partie puis reconnectez-vous à la partie sauvegardée lorsque le temps de latence aura diminué.;Espellendo un giocatore, il ritardo potrebbe ridursi. Tuttavia, il giocatore espulso non potrà continuare a giocare. Puoi salvare la partita e uscire, quindi riconnetterti e continuare quando il ritardo sarà diminuito.;Si prescindes de un jugador, la latencia puede mejorar pero el jugador en cuestión no podrá continuar. Si guardas una partida y sales de ella, podrás volver a conectarte a la partida guardada cuando la latencia de la red haya mejorado.;Durch Entfernen eines Spielers aus dem Spiel kann die Signalverzögerung (der sog. 'Lag') verbessert werden, aber der Spieler kann dann nicht weiter am Spiel teilnehmen. Wenn Sie das Spiel speichern und beenden, können Sie das gespeicherte Spiel wieder aufnehmen.;Wykluczenie gracza z du¿ym lagiem mo¿e poprawiæ jakoœæ rozgrywki sieciowej, jednak wykluczony gracz nie bêdzie móg³ kontynuowaæ gry. Grê przed przerwaniem mo¿na zapisaæ i kontynuowaæ j¹, kiedy ruch w sieci ulegnie zmniejszeniu.;;;;;X
PLAYERLAG_MSG_CLIENT;The more bullets, the better the connection.;La quantité de bulles symbolise la qualité de la connexion.;Più proiettili, miglior connessione.;Cuantos más recuadros, mejor será la conexión.;Je mehr Markierungszeichen, desto besser die Verbindung.;Im wiêcej nabojów, tym lepsze po³¹czenie.;;;;;X,,,,,,
BTN_DROPCONT;Drop and continue playing;Exclure et continuer à jouer;Espelli e continua a giocare.;Prescindir y seguir jugando;Fallenlassen und weiterspielen;Wyklucz i kontynuuj grê;;;;;X,,,,,,,,,,,
BTN_SAVEQUIT;Save and quit;Sauvegarder et quitter;Salva ed esci;Guardar y salir;Speichern und beenden;Zapisz i wyjdŸ;;;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
GOTOBOX;Please enter the name of the province you wish to find.;Veuillez saisir le nom de la province à trouver.;Inserisci il nome della provincia da cercare.;Escribe el nombre de la provincia que quieras buscar.;Bitte geben Sie den Namen der zu suchenden Provinz ein.;WprowadŸ nazwê prowincji, której szukasz.;;;;;X,,,,,,,,,,
GOTOBOX_FAIL;There is no such province, please enter the name of the province you wish to find.;Province inexistante. Veuillez saisir le nom de la province à trouver.;Provincia inesistente. Inserisci il nome della provincia da cercare.;Esa provincia no existe. Escribe el nombre de la provincia que quieras buscar.;Diese Provinz existiert nicht. Bitte geben Sie den Namen der zu suchenden Provinz ein.;Taka prowincja nie istnieje, wprowadŸ inn¹ nazwê.;;;;;X,,,,,,,,,
MP_OK;Status OK;Statut OK;Stato OK;Estado correcto;Status OK;Status OK;;;;;X,,,,,,,,,,,
MP_WAITING;Connecting...;Connexion…;Connessione in corso...;Conectando...;Verbinden...;£¹czenie...;;;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
#  EVENT WINDOW STRINGS;;;;;;;;;;;X,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,
EVENTWINDOW_GOTO;Goto;Aller à;Vai a;Ir allí;Gehe zu;PrzejdŸ;;;;;X,,,,,,,,,,,
EVENTWINDOW_CLOSE;Close;Fermer;Chiudi;Cerrar;Schließen;Zamknij;;;;;X,,,,,,,,,,,
##;;;;;;;;;;;X
#  MONTHS;;;;;;;;;;;X
##;;;;;;;;;;;X
JANUARY;January;Janvier;Gennaio;Enero;Januar;styczeñ;;;;;X
FEBRUARY;February;Février;Febbraio;Febrero;Februar;luty;;;;;X
MARCH;March;Mars;Marzo;Marzo;März;marzec;;;;;X
APRIL;April;Avril;Aprile;Abril;April;kwiecieñ;;;;;X
MAY;May;Mai;Maggio;Mayo;Mai;maj;;;;;X
JUNE;June;Juin;Giugno;Junio;Juni;czerwiec;;;;;X
JULY;July;Juillet;Luglio;Julio;July;lipiec;;;;;X
AUGUST;August;Août;Agosto;Agosto;August;sierpieñ;;;;;X
SEPTEMBER;September;Septembre;Settembre;Septiembre;September;wrzesieñ;;;;;X
OCTOBER;October;Octobre;Ottobre;Octubre;Oktober;paŸdziernik;;;;;X
NOVEMBER;November;Novembre;Novembre;Noviembre;November;listopad;;;;;X
DECEMBER;December;Décembre;Dicembre;Diciembre;Dezember;grudzieñ;;;;;X
##;;;;;;;;;;;X
JAN;JAN;JAN;GEN;ENE;JAN;sty;;;;;X
FEB;FEB;FEV;FEB;FEB;FEB;lut;;;;;X
MAR;MAR;MAR;MAR;MAR;MÄR;mar;;;;;X
APR;APR;AVR;APR;ABR;APR;kwi;;;;;X
MAYS;MAY;MAI;MAG;MAY;MAI;maj;;;;;X
JUN;JUN;JUI;GIU;JUN;JUN;cze;;;;;X
JUL;JUL;JUL;LUG;JUL;JUL;lip;;;;;X
AUG;AUG;AOU;AGO;AGO;AUG;sie;;;;;X
SEP;SEP;SEP;SET;SEP;SEP;wrz;;;;;X
OCT;OCT;OCT;OTT;OCT;OCT;paŸ;;;;;X
NOV;NOV;NOV;NOV;NOV;NOV;lis;;;;;X
DEC;DEC;DEC;DIC;DIC;DEZ;gru;;;;;X
##;;;;;;;;;;;X
TERRAINCOGNITA;Terra Incognita;Terra Incognita;Terra sconosciuta;Terra Incognita;Terra Incognita;Terra Incognita;;;;;X
BORDER;Border between countries;Frontière;Confine fra due nazioni;Frontera entre países;Landesgrenze;Granica miêdzy pañstwami;;;;;X
##;;;;;;;;;;;X
CHAR_BILLION;G;G;G;G;G;G;;;;;X
CHAR_MILLION;M;M;M;M;M;M;;;;;X
CHAR_THOUSAND;K;K;K;K;K;k;;;;;X
##;;;;;;;;;;;X
RESOURCE_OIL;Oil;Pétrole;Petrolio;Petróleo;Öl;Ropa;;;;;X
RESOURCE_METAL;Metal;Acier;Acciaio;Metal;Metall;Stal;;;;;X
RESOURCE_RARE_MATERIALS;Rare Materials;Matériaux précieux;Materiali rari;Materiales raros;Seltenes Material;Materia³y Rzadkie;;;;;X
RESOURCE_MONEY;Money;Argent;Denaro;Dinero;Geld;Pieni¹dze;;;;;X
RESOURCE_TC;Transport Capacity;Capacité de transport;Capacità di trasporto;Capac. transporte;Transportkapazität;Zdolnoœæ transportowa;;;;;X
RESOURCE_MANPOWER;Manpower;Main d'oeuvre;Forza lavoro;Rec. hum.;Wehrfähige;Zasoby ludzkie ;;;;;X
RESOURCE_ENERGY;Energy;Energie;Energia;Energía;Energie;Energia;;;;;X
RESOURCE_IC;Industrial Capacity;Points de production;Produzione industriale;Capacidad industrial;Industriekapazität;Potencja³ przemys³owy;;;;;X
RESOURCE_SUPPLY;Supplies;Ravitaillement;Rifornimenti;Suministros;Nachschub;Zaopatrzenie;;;;;X
RESOURCE_DISSENT;Dissent;Instabilité;Dissenso;Disensión;Unruhe;Niezadowolenie;;;;;X
NUKE_NEXT;Our next atomic bomb will be ready at %s.;Mise à disposition de la prochaine ogive nucléaire: %s.;La prossima bomba atomica sarà pronta a %s.;La siguiente bomba atómica estará disponible: %s.;Unsere nächste Atombombe wird am %s einsatzbereit sein.;Kolejna bomba atomowa bêdzie gotowa w %s.;;;;;x
NUKES;Nuclear Bombs;Ogives nucléaires;Bombe atomiche;Bombas nucleares;Atombomben;Bomby j¹drowe;;;;;x
NUKES_UNKNOWN;We do not know how to produce A-Bombs yet.;Nous ne savons pas comment produire des ogives nucléaires.;Al momento, non sappiamo come produrre delle bombe atomiche.;Aún no sabemos cómo producir bombas atómicas.;Unser Wissen reicht momentan nicht aus, um weitere Atombomben zu produzieren.;Nie potrafimy jeszcze produkowaæ broni atomowej.;;;;;x
NUKES_LOW_CAP;Our Nuclear Reactor is too small to allow A-Bomb production.;Notre Réacteur nucléaire est trop petit pour produire une ogive nucléaire.;Il nostro reattore nucleare è troppo piccolo per la produzione della bomba atomica.;Nuestro reactor nuclear es demasiado pequeño para producir bombas-A.;Unser Kernreaktor reicht nicht aus, um A-Bomben zu produzieren.;Nasz reaktor nuklearny jest zbyt ma³y do produkcji broni atomowej.;;;;;X,
##;;;;;;;;;;;x,,
WAR_BELLIGERENCE;- Wartime Belligerence: %s%.1f per month\n;Belligérance en temps de guerre : %s%.1f par mois\n;- Belligeranza in tempo di guerra: %s%.1f al mese\n;- Beligerancia en la guerra: %s%.1f al mes\n;- Aggresivität in Kriegszeiten: %s%.1f pro Monat\n;- Wojowniczoœæ w trakcie wojny: %s%.1f na miesi¹c\n;;;;;x,,
PEACE_BELLIGERENCE;- Peacetime Belligerence: %s%.1f per month\n;- Belligérance en temps de paix: %s%.1f par mois\n;- Belligeranza in tempo di pace: %s%.1f al mese\n;- Beligerancia en la paz: %s%.1f al mes\n;- Aggresivität im Frieden: %s%.1f pro Monat\n;- Wojowniczoœæ w czasie pokoju: %s%.1f na miesi¹c\n;;;;;x,,
DOW_BELLIGERENCE;- Belligerence required to DoW: %s%d\%%\n;- Belligérance requise pour DoW: %s%d\%%\n;- Belligeranza necessaria per entrare in guerra: %s%d\%%\n;- Beligerancia necesaria para decl. guer.: %s%d\%%\n;- Aggresivität erforderlich für Kriegserklärung: %s%d\%%\n;- Wojowniczoœæ wymagana do wypowiedzenia wojny: %s%d\%%\n;;;;;x,,
DISSENT_GROWTH;- Dissent Growth Rate: %s%d\%%\n;- Taux de croissance instabilité: %s%d\%%\n;- Tasso di crescita del dissenso: %s%d\%%\n;- Tasa crecim. disensión: %s%d\%%\n;- Wachstumsrate Unruhe %s%d\%%\n;- Tempo wzrostu niezadowolenia: %s%d\%%\n;;;;;x,,
MONEY_PRODUCTION;- Money Production: %s%d\%%\n;- Production d’argent: %s%d\%%\n;- Produzione di denaro: %s%d\%%\n;- Producción de dinero: %s%d\%%\n;- Geldproduktion: %s%d\%%\n;- Generacja dochodów: %s%d\%%\n;;;;;x,,
OIL_PRODUCTION;- Oil Production: %s%d\%%\n;- Production de pétrole: %s%d\%%\n;- Produzione di petrolio: %s%d\%%\n;- Producción de petróleo: %s%d\%%\n;- Ölproduktion: %s%d\%%\n;- Wydobycie ropy: %s%d\%%\n;;;;;x,,
CG_NEED;Consumer Goods Need;Besoins en biens de consommation;Fabbisogno di beni di consumo;Bienes de consumo necesarios;Bedarf an Konsumgütern;Wymagane dobra konsumpcyjne;;;;;x,,
COUP_VS_US;- Chance to Coup us: %s%d\%%\n;- Chances de coup d’état contre nous: %s%d\%%\n;- Probabilità di rovesciamento del governo: %s%d\%%\n;- Prob. de hacernos golpe de estado: %s%d\%%\n;- Wahrscheinlichkeit eines Staatsstreichs: %s%d\%%\n;- Prawdopodobieñstwo zamachu stanu: %s%d\%%\n;;;;;x,,
ALLIANCE_W_DICTATORSHIPS;- Alliance Chance with Dictatorships: %s%d\%%\n;- Chances d’alliance avec des dictatures: %s%d\%%\n;- Probabilità di alleanza con regimi dittatoriali: %s%d\%%\n;- Prob. de alianza con dictaduras: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit Diktaturen: %s%d\%%\n;- Szansa na sojusz z dyktatur¹: %s%d\%%\n;;;;;x,,
ALLIANCE_W_DEMOCRACIES;- Alliance Chance with Democracies: %s%d\%%\n;- Chances d’alliance avec des démocraties: %s%d\%%\n;- Probabilità di alleanza con le democrazie: %s%d\%%\n;- Prob. de alianza con democracias: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit Demokratien: %s%d\%%\n;- Szansa na sojusz z pañstwem demokratycznym: %s%d\%%\n;;;;;x,,
ALLIANCE_W_CLOSE_IDEOLOGY;- Alliance Chance with Close Ideologies: %s%d\%%\n;- Chances d’alliance avec des idéologies proches: %s%d\%%\n;- Probabilità di alleanza con ideologie simili: %s%d\%%\n;- Prob. de alianza con ideologías afines: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz mit verwandten Ideologien: %s%d\%%\n;- Szansa na sojusz z krajem bliskim ideologicznie: %s%d\%%\n;;;;;x,,
ALLIANCE_W_ALL;- Alliance Chance: %s%d\%%\n;- Chances d’alliance: %s%d\%%\n;- Probabilità di alleanza: %s%d\%%\n;- Prob. de alianza: %s%d\%%\n;- Wahrscheinlichkeit einer Allianz: %s%d\%%\n;- Szansa na sojusz z: %s%d\%%\n;;;;;x,,
UNIT_COST;- Unit Build Costs: %s%d\%%\n;- Frais de construction d’unités: %s%d\%%\n;- Costi di costruzione unità: %s%d\%%\n;- Costes de construcción/unidad: %s%d\%%\n;- Baukosten Einheit: %s%d\%%\n;- Koszt budowy jednostki: %s%d\%%\n;;;;;x,,
DIPLO_COST;- Diplomacy Costs: %s%d\%%\n;- Coûts de la Diplomatie: %s%d\%%\n;- Costi diplomazia: %s%d\%%\n;- Costes diplomáticos: %s%d\%%\n;- Diplomatiekosten: %s%d\%%\n;- Koszty dyplomatyczne: %s%d\%%\n;;;;;x,,,,,,,,
TC_BONUS;- Transport Capacity: %s%d\%%\n;- Capacité de transport: %s%d\%%\n;- Capacità di trasporto: %s%d\%%\n;- Capacidad de transporte: %s%d\%%\n;- Transportkapazität: %s%d\%%\n;- Zdolnoœæ transportowa: %s%d\%%\n;;;;;x,,,,,,,,
LEADER_SKILL_EFF;- Leader Skill Efficiency: %s%d\%%\n;- Efficacité des talents de leader: %s%d\%%\n;- Efficienza comandante: %s%d\%%\n;- Eficacia de hab. de liderazgo: %s%d\%%\n;- Fähigkeit und Effizienz Offizier: %s%d\%%\n;- Wydajnoœæ umiejêtnoœci przywódcy: %s%d\%%\n;;;;;x,,,,,,,,
UNIT_ORG;- Unit Organization: %s%d\%%\n;- Organisation d’unité:  %s%d\%%\n;- Organizzazione unità: %s%d\%%\n;- Organización de la unidad: %s%d\%%\n;- Organisation der Einheiten %s%d\%%\n;- Zorganizowanie jednostek: %s%d\%%\n;;;;;x,,,,,,,,
##;;;;;;;;;;;x,,,,,,,,
OIL_DRO;We are currently producing %.2f oil each day.\nOur armed forces use %.2f each day.\nIf we lack oil, energy will be converted at a %.2f ratio;Production quotidienne de pétrole: %.2f.\nConsommation journalière (forces armées): %.2f.\nEn cas de pénurie, nous convertirons de l'énergie en pétrole (ratio: %.2f).;Al momento, produciamo %.2f di petrolio al giorno.\nLe nostre forze armate ne utilizzano quotidianamente %.2f.\nQualora le risorse dovessero scarseggiare, possiamo convertire l'energia in petrolio con un rapporto di %.2f.;Producimos %.2f de petr. cada día.\nNuestras fuerzas armadas gastan %.2f al día.\nSi se agota el combustible, la energía se convertirá en proporción de %.2f.;Wir produzieren momentan täglich %.2f Öl.\nUnsere Streitkräfte verbrauchen täglich %.2f Öl.\nSollte es an Öl fehlen, wird Energie mit einer Rate von %.2f dazu umgewandelt.;Wydobywamy obecnie %.2f ropy dziennie.\nNasza armia zu¿ywa %.2f .\nJe¿eli zabraknie ropy, energia zostanie na ni¹ zamieniona z wydajnoœci¹ %.2f.;;;;;x,
