MODIFIER;none;artillery;sp_artillery;rocket_artillery;sp_rct_artillery;anti_tank;tank_destroyer;light_armor_brigade;heavy_armor;super_heavy_armor;armored_car;anti_air;police;engineer;cag;escort;naval_asw;naval_anti_air_s;naval_radar_s;naval_fire_controll_s;naval_improved_hull_s;naval_torpedoes_s;naval_anti_air_l;naval_radar_l;naval_fire_controll_l;naval_improved_hull_l;naval_torpedoes_l;cavalry_brigade;sp_anti_air;medium_armor;floatplane;light_cag;amph_armor;glider_armor;glider_artillery;super_heavy_artillery;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;b_01;X
MOV_MUDDY;0;-3;-3;-2;-3;-4;-3;-3;-6;-20;-4;-2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;-3;-2;-6;0;0;0;0;0;-3;X
MOV_NIGHT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;0;0;3;0;3;0;3;5;0;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;X
MOV_MOUNTAIN;5;-5;-5;0;-2;-5;-5;-2;-5;-10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-5;0;0;0;0;0;-4;X
MOV_HILL;0;-2;0;0;0;-2;0;0;-2;-5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;-2;X
MOV_FOREST;0;-4;-4;0;-2;-4;0;0;-6;-10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-2;-1;-6;0;0;0;0;0;-2;X
MOV_JUNGLE;5;-3;-3;0;-3;-5;-3;-3;-7;-20;-2;-2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;-3;-7;0;0;0;0;0;-3;X
MOV_SWAMP;0;-4;-4;-4;-2;-6;-4;-4;-10;-20;-4;-2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;-4;-2;-5;0;0;0;0;0;-3;X
MOV_URBAN;0;0;0;0;0;-5;-3;-3;-7;-30;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;-10;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
