country;main color;leader language;ArmyNationalitySprite;END;;;
MAN;DarkYellow;CHI;JAP;;;;X
MEN;Green;JAP;JAP;;;;X
MEX;Darkgreen;SPA;FRA;;;;X
MIN;Brown;ENG;MIN;;;;X
MLY;Brown;ENG;JAP;;;;X
MON;gray;CHI;JAP;;;;X
MOR;DarkBrown;ENG;MIN;;;;X
MOZ;DarkYellow;POR;GER;;;;X
MTN;LightGreen;ENG;MIN;;;;X
NAM;LightYellow;ENG;MIN;;;;X
NEP;LightGreen;ENG;MIN;;;;X
NIC;Lightorange;SPA;FRA;;;;X
NIG;Red;ENG;ENG;;;;X
NOR;LightBrown;NOR;ENG;;;;X
NZL;DarkYellow;NZL;ENG;;;;X
OMN;Blue;ENG;MIN;;;;X
OTT;LightGreen;TUR;GER;;;;X
PAK;Darkbrown;ENG;ENG;;;;X
PAL;LightOrange;ENG;MIN;;;;X
PAN;Lightgray;SPA;USA;;;;X
PAR;White;SPA;USA;;;;X
PER;Darkgray;ENG;MIN;;;;X
PHI;Lightgray;GER;USA;;;;X
POL;Darkgray;POL;GER;;;;X
POR;DarkGreen;POR;ENG;;;;X
PRI;White;SOV;JAP;;;;X
PRK;Red;CHI;SOV;;;;X
PRU;DarkOrange;SPA;USA;;;;X
QUE;White;FRA;ITA;;;;X
REB;black;ENG;MIN;;;;X
RHO;Brown;ENG;ENG;;;;X
ROM;DarkOrange;ROM;MIN;;;;X
RSI;Brown;ITA;FRA;;;;X
RUS;DarkGreen;SOV;SOV;;;;X
SAF;LightRed;ENG;ENG;;;;X
SAL;Darkgray;ENG;USA;;;;X
SAR;DarkOrange;ENG;MIN;;;;X
SAU;Lightbrown;ENG;MIN;;;;X
SCA;LightGreen;SWE;GER;;;;X
SCH;LightRed;GER;MIN;;;;X
SCO;DarkBlue;ENG;ENG;;;;X
SER;Lightgray;ENG;ITA;;;;X
SIA;LightGreen;ENG;JAP;;;;X
SIB;Lightgray;SOV;SOV;;;;X
SIE;LightYellow;ENG;GER;;;;X
SIK;LightGreen;CHI;MIN;;;;X
SLO;LightGreen;ENG;GER;;;;X
SLV;LightBrown;ENG;MIN;;;;X
SOM;LightYellow;ENG;MIN;;;;X
SOV;Red;SOV;SOV;;;;X
SPA;Darkgray;SPA;GER;;;;X
SPR;Red;SPA;FRA;;;;X
SUD;DarkOrange;ENG;MIN;;;;X
SWE;LightBlue;SWE;GER;;;;X
SYR;LightYellow;ENG;MIN;;;;X
TAJ;DarkOrange;SOV;SOV;;;;X
TAN;DarkOrange;CHI;SOV;;;;X
TEX;LightBlue;USA;USA;;;;X
TIB;Lightgray;ENG;MIN;;;;X
TRA;LightOrange;SOV;GER;;;;X
TRK;DarkBrown;SOV;SOV;;;;X
TUN;Blue;FRA;FRA;;;;X
TUR;Darkbrown;TUR;MIN;;;;X
UCH;LightBlue;CHI;CHI;;;;X
UGS;UserColor2;CHI;CHI;;;;X
UPE;UserColor3;GER;GER;;;;X
UIR;LightGreen;CHI;CHI;;;;X
UCS;LightRed;CHI;CHI;;;;X
UKR;Brown;POL;GER;;;;X
URU;DarkRed;SPA;USA;;;;X
USA;DarkBlue;USA;USA;;;;X
UZB;LightGreen;SOV;SOV;;;;X
VEN;LightGreen;SPA;USA;;;;X
VIC;White;FRA;FRA;;;;X
VIE;DarkGreen;CHI;MIN;;;;X
WLL;DarkBrown;FRA;FRA;;;;X
YEM;Lightgray;TUR;MIN;;;;X
YUG;LightYellow;YUG;MIN;;;;X
ALS;DarkGreen;ENG;GER;;;;X
AXI;gray;GER;GER;;;;X
ALI;White;ALI;ALI;;;;X
U00;Darkgray;GER;GER;;;;X
U01;DarkOrange;GER;GER;;;;X
U02;Blue;GER;GER;;;;X
U03;Red;ENG;ENG;;;;X
U04;LightYellow;FRA;MIN;;;;X
U05;DarkBrown;GER;GER;;;;X
U06;Blue;USA;USA;;;;X
U07;DarkYellow;ENG;MIN;;;;X
U08;LightBrown;FRA;FRA;;;;X
U09;Darkgreen;SPA;MIN;;;;X
U10;LightGreen;ENG;MIN;;;;X
U11;LightBlue;GER;MIN;;;;X
U12;Green;OTT;ENG;;;;X
U13;Green;SOV;MIN;;;;X
U14;Lightgray;GER;GER;;;;X
U15;LightYellow;USA;USA;;;;X
U16;DarkYellow;ENG;ENG;;;;X
U17;Green;ENG;MIN;;;;X
U18;LightGreen;GER;FRA;;;;X
U19;Red;GER;FRA;;;;X
U20;DarkBrown;LAT;GER;;;;X
U21;LightGreen;FRA;FRA;;;;X
U22;Red;FRA;FRA;;;;X
U23;Brown;FRA;FRA;;;;X
U24;White;AUS;GER;;;;X
U25;White;AUS;GER;;;;X
U26;White;LAT;GER;;;;X
U27;UserColor1;SPA;USA;;;;X
U28;DarkOrange;ENG;ENG;;;;X
U29;DarkOrange;FRA;FRA;;;;X
U30;DarkGreen;CHI;JAP;;;;X
U31;Yellow;GER;GER;;;;X
U32;Yellow;USA;USA;;;;X
U33;DarkYellow;SPA;USA;;;;X
U34;White;SOV;SOV;;;;X
U35;LightBrown;ENG;GER;;;;X
U36;DarkGreen;GER;GER;;;;X
U37;LightGreen;GER;GER;;;;X
U38;LightBrown;GER;GER;;;;X
U39;DarkYellow;GER;GER;;;;X
U40;LightGreen;GER;GER;;;;X
U41;DarkBrown;GER;GER;;;;X
U42;Darkgray;ENG;GER;;;;X
U43;Lightgray;SOV;SOV;;;;X
U44;DarkGreen;ENG;ENG;;;;X
U45;LightYellow;ENG;ENG;;;;X
U46;White;ITA;ENG;;;;X
U47;LightBrown;GER;GER;;;;X
U48;LightGreen;GER;GER;;;;X
U49;Blue;ENG;ENG;;;;X
U50;Yellow;USA;USA;;;;X
U51;LightBrown;USA;USA;;;;X
U52;LightBlue;ENG;ENG;;;;X
U53;LightRed;ENG;SOV;;;;X
U54;White;USA;USA;;;;X
U55;LightOrange;USA;USA;;;;X
U56;Lightgray;USA;USA;;;;X
U57;LightBlue;USA;USA;;;;X
U58;DarkBrown;USA;USA;;;;X
U59;DarkYellow;USA;USA;;;;X
U60;White;USA;USA;;;;X
U61;DarkBlue;USA;USA;;;;X
U62;Brown;USA;USA;;;;X
U63;LightBrown;USA;USA;;;;X
U64;Brown;USA;USA;;;;X
U65;DarkBlue;USA;USA;;;;X
U66;LightYellow;USA;USA;;;;X
U67;Blue;USA;USA;;;;X
U68;LightBrown;USA;USA;;;;X
U69;Green;USA;USA;;;;X
U70;LightGreen;SPA;FRA;;;;X
U71;LightRed;SPA;FRA;;;;X
U72;LightYellow;SPA;FRA;;;;X
U73;LightBrown;SPA;FRA;;;;X
U74;Blue;SPA;FRA;;;;X
U75;DarkBlue;SPA;FRA;;;;X
U76;DarkOrange;SPA;FRA;;;;X
U77;LightRed;ENG;ENG;;;;X
END;DarkRed;ENG;ENG;;;;X
