BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
34146;Head of Military Intelligence;Riccardo Cassiano;37;FA;Political Specialist;Medium;M34045;x
34148;Head of Military Intelligence;Carlos Almeida Neto;44;FA;Logistics Specialist;High;M34130;x
34149;Chief of Staff;Magalhães Barata de Azevedo;43;LWR;School of Manoeuvre;Medium;M34037;x
34150;Chief of Staff;Luis Carlos Prestes;36;LE;School of Mass Combat;Undying;MBraPrestes;x
34152;Chief of Staff;Nero Fiuza de Castro;45;SD;School of Mass Combat;Medium;M34031;x
34153;Chief of Staff;Henrique Teixeira Lott;36;ML;School of Fire Support;Medium;M34027;x
34154;Chief of Staff;Argemiro Assis;39;ML;School of Defence;Medium;M34154;x
34155;Chief of Staff;Augusto da Gama Leiros;43;ML;School of Manoeuvre;Medium;M34155;x
34156;Chief of Staff;Mesquito da Costa;45;ML;School of Mass Combat;Medium;M34025;x
34157;Chief of Staff;Gaspar Dutra;43;SC;School of Mass Combat;Medium;M34011;x
34158;Chief of Staff;Joao Neves da Fontoura;45;SC;School of Defence;High;M34008;x
34160;Chief of Staff;Newton Cavalcanti;37;FA;School of Psychology;Medium;M34047;x
34161;Chief of Staff;Tomas Sebistao de Mendonca;43;FA;School of Mass Combat;Medium;M34161;x
34162;Chief of Army;Gaspar Dutra;37;LWR;Static Defence Doctrine;Medium;M34011;x
34163;Chief of Army;Silo Meireles;43;LWR;Elastic Defence Doctrine;Very Low;M34058;x
34165;Chief of Army;Mario da Silva Camargo;36;LE;Guns and Butter Doctrine;High;M34165;x
34166;Chief of Army;Magalhães Barata de Azevedo;39;SD;Armoured Spearhead Doctrine;Medium;M34037;x
34167;Chief of Army;Nero Fiuza de Castro;45;SD;Elastic Defence Doctrine;Medium;M34031;x
34168;Chief of Army;Henrique Teixeira Lott;37;ML;Decisive Battle Doctrine;Medium;M34027;x
34169;Chief of Army;Argemiro Assis;39;ML;Static Defence Doctrine;Medium;M34154;x
34170;Chief of Army;Augusto da Gama Leiros;43;ML;Armoured Spearhead Doctrine;Medium;M34155;x
34171;Chief of Army;Mesquito da Costa;45;ML;Elastic Defence Doctrine;Medium;M34025;x
34172;Chief of Army;Goes Monteiro;36;SC;Guns and Butter Doctrine;High;M34018;x
34173;Chief of Army;Gaspar Dutra;45;SC;Static Defence Doctrine;Medium;M34011;x
34174;Chief of Army;Tomas Sebistao de Mendonca;36;PA;Guns and Butter Doctrine;Medium;M34161;x
34175;Chief of Army;Newton Cavalcanti;43;FA;Decisive Battle Doctrine;Medium;M34047;x
34176;Chief of Navy;Alvaro de Souza;36;LWR;Indirect Approach Doctrine;Very Low;M34059;x
34179;Chief of Navy;Moreira Lima;39;SD;Power Projection Doctrine;Low;M34039;x
34180;Chief of Navy;Jorge Martins;36;ML;Base Control Doctrine;Medium;M34029;x
34181;Chief of Navy;Sylvio de Noronha;43;SC;Open Seas Doctrine;High;M34019;x
34182;Chief of Navy;Floriano Peixoto;45;SC;Decisive Naval Battle Doctrine;High;M34182;x
34183;Chief of Navy;Tarcisio Padilha;37;FA;Decisive Naval Battle Doctrine;Medium;M34049;x
34185;Chief of Air Force;Epaminondas dos Santos;43;LWR;Air Superiority Doctrine;Medium;M34040;x
34186;Chief of Air Force;Agliberto Vieira;36;LE;Naval Aviation Doctrine;Very High;M34060;x
34187;Chief of Air Force;Leonel Benevides de Rezende;36;LWR;Vertical Envelopment Doctrine;Very High;M34187;x
34190;Chief of Air Force;Nero Moura;37;ML;Vertical Envelopment Doctrine;Medium;M34030;x
34191;Chief of Air Force;Figueira de Almeida;43;SC;Army Aviation Doctrine;Medium;M34020;x
34192;Chief of Air Force;Eduardo Gomés;45;SC;Army Aviation Doctrine;Medium;M34021;x
34193;Chief of Air Force;Mourão Filho;36;FA;Carpet Bombing Doctrine;Very High;M34050;x
34013;Foreign Minister;Raoul Fernandes;36;SC;Great Compromiser;Medium;M34013;x
34194;Head of State;Astrojildo Pereira;36;LE;Die-hard Reformer;High;Kaiserreich Astrojildo Pereira;x
34195;Head of Government;Astrojildo Pereira;36;LE;Ambitious Union Boss;High;Kaiserreich Astrojildo Pereira;x
34196;Head of State;Artur da Silva Bernardes;36;SC;Insignificant Layman;High;Kaiserreich Artur da Silva Bernardes;x
34197;Head of Government;Artur da Silva Bernardes;36;SC;Corporate Suit;High;Kaiserreich Artur da Silva Bernardes;x
34198;Head of State;Olímpio de Melo;36;SC;Weary Stiffneck;High;Kaiserreich Olímpio de Melo;X
34199;Head of Government;Olímpio de Melo;36;SC;Happy Amateur;High;Kaiserreich Olímpio de Melo;X
39998;Head of State;Fernando de Melo Viana;36;SC;Barking Buffoon;High;Kaiserreich Fernando de Melo Viana;X
39999;Head of Government;Fernando de Melo Viana;36;SC;Backroom Backstabber;High;Kaiserreich Fernando de Melo Viana;X
43232;Head of State;Plínio Salgado;36;NS;Ruthless Powermonger;High;MBraPlinio;x
43233;Head of Government;Plínio Salgado;36;NS;Flamboyant Tough Guy;High;MBraPlinio;x
43234;Foreign Minister;Edgard Leuenroth;36;LE;Ideological Crusader;Medium;MBraEdgard;x
43235;Minister of Security;José Oiticica;36;LE;Man of the People;Medium;MBraOiticica;x
43236;Head of Military Intelligence;Maria Lacerda de Moura;36;LE;Technical Specialist;Medium;MBraMaria;x
43237;Chief of Staff;João da Costa Pimenta;36;LE;School of Psychology;Medium;MBraJaoa;x
43238;Chief of Army;João da Costa Pimenta;36;LE;Armoured Spearhead Doctrine;Medium;MBraGarcia;x
