Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Yang Jingyu;76348;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76348;1930;1939;x
Yang Shangkun;76349;CHC;1930;1941;1990;1990;2;4;0;2;0;4;0;L76349;1930;1960;x
Ye Jianying;76350;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;L76350;1938;1960;x
Ye Ting;76351;CHC;1930;1943;1990;1990;2;4;0;2;0;4;0;L76351;1930;1960;x
Zhang Aiping;76352;CHC;1942;1990;1990;1990;3;3;0;1;0;4;1;L76352;1942;1960;x
Zhang Xuesi;76353;CHC;1930;1941;1990;1990;2;3;0;2;0;4;1;L76353;1930;1960;x
Zheng Daoji;76354;CHC;1930;1990;1990;1990;3;3;1024;1;0;4;1;L76354;1930;1946;x
Xiao Jinguang;76355;CHC;1938;1940;1945;1990;2;3;0;3;0;4;1;L76355;1938;1960;x
Luo Xiangtao;76356;CHC;1943;1990;1990;1990;3;3;0;1;0;4;1;L76356;1943;1960;x
Tao Yong;76357;CHC;1930;1990;1990;1990;3;3;0;1;0;4;1;L76357;1930;1960;x
Tan Zhenlin;76358;CHC;1937;1941;1990;1990;2;3;0;2;0;4;1;L76358;1937;1945;x
Deng Zihui;76359;CHC;1943;1944;1945;1990;1;5;4096;3;0;4;1;L76359;1943;1960;x
Ye Fei;76360;CHC;1945;1990;1990;1990;3;3;0;1;0;4;1;L76360;1945;1960;x
An Zhimin;76361;CHC;1942;1990;1990;1990;3;3;0;1;0;4;2;L76361;1942;1960;x
Chang Qiankun;76362;CHC;1937;1944;1990;1990;3;3;0;2;0;4;2;L76362;1937;1960;x
Chen Xi;76363;CHC;1942;1945;1990;1990;2;3;0;2;0;4;2;L76363;1942;1960;x
Fang Huai;76364;CHC;1943;1990;1990;1990;3;3;0;1;0;4;2;L76364;1943;1960;x
Fang Ziyi;76365;CHC;1930;1940;1942;1990;1;4;0;2;0;4;2;L76365;1930;1960;x
Xia Boxun;76366;CHC;1930;1941;1990;1990;2;3;0;2;0;4;2;L76366;1930;1960;x
Liu Zhen;76367;CHC;1944;1990;1990;1990;3;3;0;1;0;4;2;L76367;1944;1960;x
Liu Yalou;76368;CHC;1946;1990;1990;1990;3;3;0;1;0;4;2;L76368;1946;1960;x
Lü Liping;76369;CHC;1930;1990;1990;1990;3;5;4096;1;0;4;2;L76369;1930;1960;x
Yuan Bin;76370;CHC;1942;1990;1990;1990;3;3;0;1;0;4;2;L76370;1942;1960;x
Tsu Yue;76371;CHC;1945;1990;1990;1990;3;4;16;1;0;5;0;L76371;1945;1960;x
Li Chong-ren;76372;CHC;1943;1946;1990;1990;2;5;8;2;0;5;0;L76372;1943;1960;x
Lü Zhengcao;76373;CHC;1930;1990;1990;1990;2;5;128;2;0;5;0;MCHCLuZheng;1930;1990;x
Fu Chen Sung;76374;CHC;1930;1990;1990;1990;2;5;784;3;0;5;0;MCHCFuChen;1930;1990;x
Tang Juwu;76375;CHC;1930;1990;1990;1990;3;5;4;2;0;5;0;MCHCTangJuwu;1930;1990;x
