TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
73025;Foreign Minister;Changlochen;1938;1964;1999;SC;Biased Intellectual;Medium;M73021_Changlochen;x
73026;Foreign Minister;Gyalo Dhondup;1946;1964;1999;PA;Ideological Crusader;Medium;M73028_Gyalo Dhondup;x
73027;Minister of Armament;Yarphel Pangdatsang;1936;1964;1999;SL;Laissez-Faire Capitalist;High;M73069_Yarphel Pangdatsang;x
73028;Minister of Armament;Kunphela;1937;1964;1999;SL;Administrative Genius;High;M73032_Kunphela;x
73029;Minister of Armament;Tsarong Dzasa;1936;1964;1999;SC;Infantry Proponent;High;M73068_Tsarong;x
73030;Minister of Armament;Dodewa;1940;1964;1999;LE;Infantry Proponent;Medium;M73025_Dodewa;x
73031;Minister of Armament;Ringang;1937;1964;1999;PA;Resource Industrialist;High;M73063_Ringang;x
73032;Head of Military Intelligence;Rabga Pangdatsang;1936;1964;1999;SD;Political Specialist;High;M73056_Rabga Pangdatsang;x
73033;Head of Military Intelligence;Reginald Fox;1938;1964;1999;PA;Logistics Specialist;Medium;M73062_Reginald Fox;x
73034;Head of Military Intelligence;Phalha;1940;1964;1999;PA;Dismal Enigma;High;M73059_Phalha;x
73035;Head of Military Intelligence;George Tsarong;1942;1964;1999;SC;Industrial Specialist;High;M73027_George Tsarong;x
73036;Head of Military Intelligence;Changlochen;1936;1964;1999;SD;Logistics Specialist;High;M73021_Changlochen;x
73037;Head of Military Intelligence;Rampa;1936;1964;1999;LE;Political Specialist;High;M73061_Rampa;x
73038;Minister of Security;Rabga Pangdatsang;1936;1964;1999;SD;Crime Fighter;High;M73056_Rabga Pangdatsang;x
73039;Minister of Security;Seksing;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M73065_Seksing;x
73040;Minister of Security;Lukhangnga;1938;1964;1999;PA;Silent Lawyer;High;M73038_Lukangnga;x
73041;Head of Government;Taktra Rinpoche;1941;1964;1999;SC;Backroom Backstabber;Medium;M73066_Taktra;x
73042;Minister of Security;Kapshoba;1937;1964;1999;SC;Prince of Terror;Medium;M73031_Kapshoba;x
73043;Minister of Security;Changlochen;1938;1964;1999;SD;Man of the People;High;M73021_Changlochen;x
73044;Minister of Security;Dingja;1941;1964;1999;LE;Man of the People;Medium;M73024_Dingja;x
73045;Chief of Staff;Tsarong Dzasa;1936;1964;1999;SC;School of Defence;High;M73068_Tsarong;x
73046;Chief of Staff;Yuthok;1938;1964;1999;SD;School of Manoeuvre;High;M73070_Yuthok;x
73047;Chief of Staff;Jigme Taring;1938;1964;1999;SC;School of Fire Support;Medium;M73030_Jigme Taring uniforme;x
73048;Chief of Staff;Ragashar;1940;1964;1999;PA;School of Mass Combat;Medium;M73060_Ragashar;x
73049;Chief of Staff;Gyalo Dhondup;1944;1964;1999;PA;School of Manoeuvre;Medium;M73028_Gyalo Dhondup;x
73050;Chief of Staff;Tobgyal Pangdatsang;1936;1964;1999;SD;School of Fire Support;High;;x
73051;Chief of Staff;Ngapo Ngawang Jigme;1936;1964;1999;LE;School of Psychology;High;M73051_Ngapoi Ngawang Jigme;x
73052;Chief of Staff;Andruk Gonpo Tashi;1946;1964;1999;SC;School of Psychology;High;M73072_Gompo Tashi Andrugtsang;x
73053;Chief of Staff;Gyato Wangdu;1946;1964;1999;PA;School of Psychology;High;M73029_Gyato Wangdu;x
73054;Chief of Army;Tobgyal Pangdatsang;1938;1964;1999;SD;Guns and Butter Doctrine;High;;x
73055;Chief of Army;Yuthok;1936;1964;1999;SD;Decisive Battle Doctrine;High;M73070_Yuthok;x
73056;Chief of Army;Tsarong Dzasa;1936;1964;1999;SC;Static Defence Doctrine;High;M73068_Tsarong;x
73057;Chief of Army;Tendong Shappe;1938;1964;1999;PA;Decisive Battle Doctrine;Medium;M73067_Tendong Shappe;x
73058;Chief of Army;Ragashar;1940;1964;1999;PA;Guns and Butter Doctrine;Medium;M73060_Ragashar;x
73059;Chief of Army;Jigme Taring;1938;1964;1999;SC;Elastic Defence Doctrine;High;M73030_Jigme Taring uniforme;x
73060;Chief of Army;Ngapo Ngawang Jigme;1936;1964;1999;LE;Elastic Defence Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73061;Chief of Army;Andruk Gonpo Tashi;1946;1964;1999;PA;Elastic Defence Doctrine;High;M73072_Gompo Tashi Andrugtsang;x
73062;Chief of Army;Bapa Yeshe;1946;1964;1999;SC;Armoured Spearhead Doctrine;High;M73020;x
73063;Chief of Air Force;Ngapo Ngawang Jigme;1936;1964;1999;LE;Air Superiority Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73064;Chief of Air Force;Tendong Shappe;1938;1964;1999;PA;Air Superiority Doctrine;Medium;M73067_Tendong Shappe;x
73065;Chief of Air Force;Tsarong Dzasa;1936;1964;1999;SC;Army Aviation Doctrine;High;M73068_Tsarong;x
73066;Chief of Air Force;Jigme Taring;1938;1964;1999;SC;Air Superiority Doctrine;High;M73030_Jigme Taring uniforme;x
73067;Chief of Air Force;Tobgyal Pangdatsang;1938;1964;1999;SD;Army Aviation Doctrine;High;;x
73068;Chief of Air Force;Yuthok;1936;1964;1999;SD;Air Superiority Doctrine;High;M73070_Yuthok;x
73069;Chief of Air Force;Gyato Wangdu;1946;1964;1999;PA;Vertical Envelopment Doctrine;High;M73029_Gyato Wangdu;x
73070;Chief of Navy;Ngapo Ngawang Jigme;1936;1964;1999;LE;Open Seas Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73071;Chief of Navy;Tendong Shappe;1938;1964;1999;PA;Base Control Doctrine;Medium;M73067_Tendong Shappe;x
73072;Chief of Navy;Tsarong Dzasa;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M73068_Tsarong;x
73073;Chief of Navy;Jigme Taring;1938;1964;1999;SC;Open Seas Doctrine;High;M73030_Jigme Taring uniforme;x
73074;Chief of Navy;Tobgyal Pangdatsang;1938;1964;1999;SD;Power Projection Doctrine;High;;x
73075;Chief of Navy;Yuthok;1936;1964;1999;SD;Base Control Doctrine;High;M73070_Yuthok;x
73076;Chief of Navy;Andruk Gonpo Tashi;1946;1964;1999;PA;Power Projection Doctrine;High;M73072_Gompo Tashi Andrugtsang;x
