GUY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
562016;Foreign Minister;Charles Joseph Loghie;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M562015;X
562017;Foreign Minister;Rasleigh Jackson;1959;1964;1999;LWR;Great Compromiser;High;M562016;X
562018;Minister of Armament;Maurice Gordon;1936;1964;1999;PA;Resource Industrialist;Medium;M562017;X
562019;Minister of Armament;Dr. Gobinda Ganga;1936;1964;1999;LWR;Theoretical Scientist;Medium;M562018;X
562020;Minister of Security;James Christkirk;1936;1964;1999;PA;Crime Fighter;Medium;M562019;X
562021;Minister of Security;Lien James;1936;1964;1999;ML;Prince of Terror;Medium;M562020;X
562022;Minister of Security;Vibert Parvathan;1936;1964;1999;LWR;Silent Lawyer;Medium;M562021;X
562023;Minister of Security;Arthur Andrew Cipriani;1936;1945;1999;SD;Man of the People;High;GUY_arthur_andrew_cipriani;X
562024;Head of Military Intelligence;William J. Featherstone;1936;1964;1999;PA;Dismal Enigma;Medium;M562022;X
562026;Minister of Security;Cuthbert Brook-Smith;1936;1964;1999;SD;Efficient Sociopath;Medium;Cuthbert_Brook-Smith;X
562027;Head of Military Intelligence;J. A. M. Rice-Evans;1936;1964;1999;SD;Naval Intelligence Specialist;Medium;J_A_M_Rice-Evans;X
562028;Chief of Staff;C.F. Drew;1936;1964;1999;PA;School of Psychology;Medium;L1111;X
562029;Chief of Staff;Kingsley Forrester;1936;1964;1999;LWR;School of Manoeuvre;Medium;M562025;X
562030;Chief of Staff;Charles Birchwood;1936;1964;1999;ML;School of Defence;Medium;M562007;X
562031;Chief of Staff;Arthur Andrew Cipriani;1936;1945;1999;SD;School of Mass Combat;High;GUY_arthur_andrew_cipriani;X
562032;Chief of Army;H.F.L. Hilton-Green;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;L1164;X
562033;Chief of Army;Christopher Lobban;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M562027;X
562034;Chief of Army;Sir George William Grogan;1936;1962;1999;SC;Elastic Defence Doctrine;High;Kaiserreich Grogan;X
562035;Chief of Navy;Henry Winslow;1936;1964;1999;PA;Base Control Doctrine;Medium;M562028;X
562036;Chief of Navy;Thomas McGarrity;1936;1964;1999;LWR;Power Projection Doctrine;Medium;M562029;X
562037;Chief of Navy;H.C. Bigelow;1936;1964;1999;ML;Indirect Approach Doctrine;Medium;M562009;X
562038;Chief of Air Force;Mortimer Chesswood;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M562030;X
562039;Chief of Air Force;Kyle Lightfoot;1936;1964;1999;LWR;Air Superiority Doctrine;Medium;M562031;X
562040;Chief of Air Force;H.F. Burnette;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M562010;X
562041;Chief of Air Force;Lawrence E. Brooks;1936;1964;1999;SD;Air Superiority Doctrine;Medium;Brooks;X
562042;Foreign Minister;Hugh Mackintosh Foot;1936;1964;1999;ML;Great Compromiser;Very High;Hugh_Mackintosh_Foot;X
562043;Foreign Minister;Amy Bailey;1936;1964;1999;SL;Biased Intellectual;Very High;Amy_Bailey;X
562044;Minister of Security;Charles Campbell Woolley;1936;1964;1999;ML;Compassionate Gentleman;Medium;M562005;X
562045;Minister of Armament;Sir Ralph Alnwick Grey;1936;1964;1999;ML;Administrative Genius;Medium;M562004;X
562046;Foreign Minister;K.E. Ingram;1936;1964;1999;SD;Biased Intellectual;Very High;KE_Ingram;X
562047;Head of Military Intelligence;Marcus Garvey;1936;1964;1999;PA;Political Specialist;Very High;GUY_marcus_garvey;X
562048;Head of Government;Sir Francis Stanley Jackson;1936;1964;1999;ML;Happy Amateur;High;M562002;X
562049;Minister of Armament;Carlos Prio;1950;1964;1999;ML;Administrative Genius;Low;M33004;X
562050;Minister of Security;Sergio Carbo;1950;1964;1999;ML;Compassionate Gentleman;Medium;M33005;X
562051;Head of Military Intelligence;Manuel Ferrara;1950;1964;1999;ML;Dismal Enigma;Medium;M33006;X
562099;Head of Government;Sir Gordon J. Lethem;1936;1964;1999;ML;Silent Workhorse;High;M562001;X
562100;Head of State;Edward VIII;1936;1964;1999;FA;Revanchist Monarch;High;M1011;X
562101;Head of State;Edward VIII;1936;1964;1999;PA;Revanchist Monarch;High;M1011;X
562102;Head of State;Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
562103;Head of State;Edward VIII;1936;1964;1999;SL;Revanchist Monarch;High;M1011;X
562104;Head of State;Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
562105;Head of State;Edward VIII;1936;1964;1999;SD;Revanchist Monarch;High;M1011;X
562106;Head of State;Tubal Uriah Butler;1936;1964;1999;LE;Die-hard Reformer;High;GUY_tubal_uriah_butler;X
562107;Head of State;Cyril Lionel Robert James;1936;1964;1999;LE;Barking Buffoon;Medium;GUY_clr_james;X
562108;Head of State;Malcolm Meredith Nurse;1936;1964;1999;LWR;Pig-headed Isolationist;Low;GUY_nurse;X
562109;Head of State;Alexander Clarke Bustamante;1936;1964;1999;LWR;Popular Figurehead;High;GUY_alexander_bustamente;X
562110;Head of State;Marcus Garvey;1936;1964;1999;PA;Powerhungry Demagogue;Very High;GUY_marcus_garvey;X
562111;Head of Government;Cyril Lionel Robert James;1936;1964;1999;LE;Flamboyant Tough Guy;Medium;GUY_clr_james;X
562112;Head of Government;Tubal Uriah Butler;1936;1964;1999;LE;Smiling Oilman;High;GUY_tubal_uriah_butler;X
562113;Head of Government;Grantley Herbert Adams;1945;1964;1999;LWR;Happy Amateur;High;GUY_grantley_herbert_adams;X
562114;Head of Government;Alexander Clarke Bustamante;1936;1964;1999;LWR;Ambitious Union Boss;High;GUY_alexander_bustamente;X
562115;Foreign Minister;Cyril Lionel Robert James;1936;1964;1999;LE;Ideological Crusader;Medium;GUY_clr_james;X
562116;Foreign Minister;George F. Fitzpatrick;1936;1964;1999;LWR;Great Compromiser;High;GUY_fitzpatrick;X
562117;Foreign Minister;Alexander Clarke Bustamante;1936;1964;1999;LWR;Ideological Crusader;High;GUY_alexander_bustamente;X
562118;Foreign Minister;Malcolm Meredith Nurse;1936;1964;1999;LWR;Biased Intellectual;Low;GUY_nurse;X
562119;Minister of Armament;Tubal Uriah Butler;1936;1964;1999;LE;Resource Industrialist;High;GUY_tubal_uriah_butler;X
562120;Minister of Armament;Krishna Deonarine;1936;1964;1999;LWR;Resource Industrialist;High;GUY_krishna_denarine;X
562121;Minister of Armament;Alexander Clarke Bustamante;1936;1964;1999;LWR;Laissez-Faire Capitalist;High;GUY_alexander_bustamente;X
562122;Minister of Armament;Norman Washington Manley;1936;1964;1999;LWR;Reformer;Medium;GUY_norman_manley;X
562123;Minister of Armament;Malcolm Meredith Nurse;1936;1964;1999;LWR;Military Entrepreneur;Low;GUY_nurse;X
562124;Minister of Security;Grantley Herbert Adams;1936;1964;1999;LWR;Compassionate Gentleman;High;GUY_grantley_herbert_adams;X
562125;Minister of Security;Krishna Deonarine;1936;1964;1999;LWR;Man of the People;High;GUY_krishna_denarine;X
562126;Head of Military Intelligence;Cyril Lionel Robert James;1936;1964;1999;LE;Political Specialist;Medium;GUY_clr_james;X
562127;Head of Military Intelligence;Ralph de Boissière;1936;1964;1999;LWR;Dismal Enigma;Medium;GUY_boissiere;X
562128;Head of Military Intelligence;Malcolm Meredith Nurse;1936;1964;1999;LWR;Logistics Specialist;Low;GUY_nurse;X
562129;Chief of Staff;Norman Washington Manley;1936;1964;1999;LWR;School of Fire Support;Medium;GUY_norman_manley;X
562130;Chief of Army;Norman Washington Manley;1936;1964;1999;LWR;Static Defence Doctrine;Medium;GUY_norman_manley;X
562131;Chief of Navy;Walter Henry Cowan;1936;1956;1999;SC;Base Control Doctrine;Medium;7182;X
562132;Chief of Navy;William George Tennant;1940;1964;1999;ML;Open Seas Doctrine;Medium;LWilliam_George_Tennant;X
562133;Chief of Navy;William Gerrard Andrewes;1945;1970;1999;ML;Power Projection Doctrine;Medium;LWilliam_Gerrard_Andrewes;X
562134;Chief of Air Force;Lowell Yerex;1936;1968;1999;ML;Vertical Envelopment Doctrine;Medium;MLowell_Yerex;X
562135;Minister of Armament;Lowell Yerex;1936;1968;1999;ML;Strategic Air Proponent;Medium;MLowell_Yerex;X
562136;Chief of Air Force;Cecil Montgomery-Moore;1936;1964;1999;SC;Air Superiority Doctrine;Medium;LCecil_Montgomery-Moore;X
562137;Chief of Air Force;Arthur Rowe Spurling;1936;1964;1999;SC;Army Aviation Doctrine;Medium;LArthur_Rowe_Spurling;X
562138;Chief of Air Force;Dudley Joseph Thompson;1950;1970;1999;SD;Air Superiority Doctrine;Medium;LDudley_Joseph_Thompson;X
562139;Minister of Security;Dudley Joseph Thompson;1950;1970;1999;SD;Man of the People;Medium;LDudley_Joseph_Thompson;X
562140;Foreign Minister;Dudley Joseph Thompson;1950;1970;1999;SD;Ideological Crusader;Medium;LDudley_Joseph_Thompson;X
562141;Minister of Armament;Dudley Joseph Thompson;1950;1970;1999;SD;Keynesian Economy;Medium;LDudley_Joseph_Thompson;X
562142;Chief of Air Force;Philip Louis Ulric Cross;1949;1970;1999;LWR;Army Aviation Doctrine;Medium;LPhilip_Ulric_Cross;X
562143;Minister of Security;Philip Louis Ulric Cross;1949;1970;1999;LWR;Compassionate Gentleman;Medium;LPhilip_Ulric_Cross;X
562144;Minister of Armament;Philip Louis Ulric Cross;1949;1970;1999;LWR;Planned Economy Proponent;Medium;LPhilip_Ulric_Cross;X
562145;Chief of Staff;Richard Masters Gorham;1950;1970;1999;SC;School of Fire Support;Medium;LRichard_Masters_Gorham;X
562146;Chief of Army;Richard Masters Gorham;1950;1970;1999;SC;Elastic Defence Doctrine;Medium;LRichard_Masters_Gorham;X
562147;Chief of Staff;Glyn Charles Anglim Gilbert;1946;1970;1999;SC;School of Manoeuvre;Medium;LGlyn_CA_Gilbert;X
562148;Chief of Army;Glyn Charles Anglim Gilbert;1946;1970;1999;SC;Doctrine of Autonomy;Medium;LGlyn_CA_Gilbert;X
562149;Chief of Navy;Pedro del Valle;1936;1964;1999;NS;Base Control Doctrine;High;Pedro_del_Valle;X
562150;Chief of Staff;Pedro del Valle;1936;1964;1999;NS;School of Fire Support;High;Pedro_del_Valle;X
562151;Chief of Staff;Gilberto José Marxuach;1947;1970;1999;SL;School of Manoeuvre;High;LGilberto_Jose_Marxuach;X
562152;Chief of Army;Gilberto José Marxuach;1947;1970;1999;SL;Elastic Defence Doctrine;High;LGilberto_Jose_Marxuach;X
562153;Chief of Army;Juan César Cordero Dávila;1948;1970;1999;ML;Doctrine of Autonomy;High;LJuan_Cordero_Davila;X
562154;Chief of Staff;Juan César Cordero Dávila;1948;1970;1999;ML;School of Psychology;High;LJuan_Cordero_Davila;X
562155;Head of State;Luis Alberto Ferré;1948;1970;1999;SD;Benevolent Gentleman;High;MLuis_Alberto_Ferre;X
562156;Head of Government;Luis Alberto Ferré;1948;1970;1999;SD;Silent Workhorse;High;MLuis_Alberto_Ferre;X
562157;Minister of Armament;Luis Alberto Ferré;1948;1970;1999;SD;Administrative Genius;High;MLuis_Alberto_Ferre;X
562158;Chief of Navy;Edmund Ernest García;1946;1970;1999;SL;Power Projection Doctrine;High;LEdmund_Ernest_Garcia;X
562159;Chief of Navy;José M. Cabanillas;1942;1970;1999;SL;Indirect Approach Doctrine;High;LJose_M_Cabanillas;X
562160;Chief of Navy;Horacio Rivero Jr.;1946;1970;1999;SC;Open Seas Doctrine;High;Rivero;X
562161;Minister of Armament;Horacio Rivero Jr.;1946;1970;1999;SC;Battle Fleet Proponent;High;Rivero;X
