ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
35055;Head of Government;Pedro Pablo Ramirez;1943;1964;1999;PA;Old General;High;M35055;x
35056;Head of Government;Cesar Armeghino;1944;1964;1999;PA;Ambitious Union Boss;High;M35042;x
35057;Head of Government;Carlos Alberto Pueyrredon;1936;1964;1999;FA;Flamboyant Tough Guy;High;M35011;x
35058;Head of Government;Juan Domingo Peron;1943;1964;1999;FA;Naive Optimist;High;M35021;x
35060;Foreign Minister;Alberto Hueyo;1938;1964;1999;SC;Apologetic Clerk;High;M35004;x
35061;Foreign Minister;Alberto Gilbert;1940;1964;1999;SC;Ideological Crusader;High;M35061;x
35062;Foreign Minister;Pedro Aramburu;1944;1964;1999;SC;General Staffer;High;M35062;x
35063;Foreign Minister;Daniel Capo Rodriguez;1946;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M35063;x
35064;Foreign Minister;Horacio Hoya San Arte;1936;1964;1999;SL;Ideological Crusader;Medium;M35064;x
35065;Foreign Minister;Manuel Ramon Alvarado;1938;1964;1999;SL;Iron Fisted Brute;High;M35065;x
35066;Foreign Minister;Marcelo T. Alvear;1936;1964;1999;SL;Great Compromiser;Medium;M35035;x
35067;Foreign Minister;Robustiano Patron Costas;1942;1964;1999;SC;Iron Fisted Brute;Medium;M35036;x
35068;Foreign Minister;Gilbert A. Paez;1946;1964;1999;SL;Biased Intellectual;Medium;M35068;x
35069;Foreign Minister;Raul Vicencio Guzman;1936;1964;1999;SD;Great Compromiser;High;M35069;x
35070;Foreign Minister;Eduardo Miya Bermudez;1938;1964;1999;SD;Apologetic Clerk;Medium;M35070;x
35071;Foreign Minister;Daniel Capo Rodriguez;1940;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M35063;x
35072;Foreign Minister;Jose Maria Cantilo;1936;1964;1999;PA;Biased Intellectual;Medium;M35072;x
35073;Foreign Minister;Julio A. Roca;1937;1964;1999;PA;Apologetic Clerk;High;M35040;x
35074;Foreign Minister;Guillermo Rothe;1941;1964;1999;PA;Iron Fisted Brute;Medium;M35074;x
35075;Foreign Minister;Alfonso Ruiz Guinazu;1940;1964;1999;PA;The Cloak N Dagger Schemer;High;M35075;x
35076;Foreign Minister;Orlando Peluffo;1944;1964;1999;PA;General Staffer;High;M35076;x
35077;Foreign Minister;Hector Vernengo Lima;1945;1964;1999;PA;Ideological Crusader;Medium;M35023;x
35078;Foreign Minister;Cesar Armeghino;1946;1964;1999;PA;Great Compromiser;High;M35042;x
35079;Foreign Minister;Carlos Alberto Pueyrredon;1936;1964;1999;FA;Apologetic Clerk;Medium;M35011;x
35081;Foreign Minister;Juan Bramuglia;1945;1964;1999;LWR;Great Compromiser;Medium;M35081;x
35082;Foreign Minister;Juan Isaac Cooke;1947;1964;1999;LWR;Iron Fisted Brute;Medium;M35082;x
35084;Minister of Armament;Lisandro de la Torre;1936;1964;1999;SC;Resource Industrialist;High;M35084;x
35085;Minister of Armament;Luis Podesta Costa;1938;1964;1999;SC;Air To Ground Proponent;Medium;M35014;x
35086;Minister of Armament;Pedro Aramburu;1937;1964;1999;SC;Tank Proponent;High;M35062;x
35087;Minister of Armament;Agustin Rodriguez;1944;1964;1999;SC;Administrative Genius;High;M35087;x
35088;Minister of Armament;Elpidio Gonzalez;1936;1964;1999;SL;Resource Industrialist;High;M35088;x
35089;Head of Government;Jose Tamborni;1940;1964;1999;ML;Naive Optimist;High;M35089;x
35090;Minister of Armament;Hortensio Quijano;1939;1964;1999;FA;Strategic Air Proponent;Very Low;M35015;x
35091;Minister of Armament;Enrique Martinez;1941;1964;1999;SL;Military Entrepreneur;High;M35091;x
35092;Minister of Armament;Jorge de la Torre;1940;1964;1999;SL;Submarine Proponent;Medium;M35006;x
35093;Minister of Armament;Manuel A. Rodriguez;1943;1964;1999;SL;Infantry Proponent;Very High;M35007;x
35094;Minister of Armament;Juan Domingo Peron;1943;1964;1999;FA;Tank Proponent;High;M35021;x
35095;Minister of Armament;Bartolomeo de la Colina;1946;1964;1999;SL;Air to Sea Proponent;Medium;M35095;x
35096;Minister of Armament;Humberto de Cejas Verda;1936;1964;1999;SD;Theoretical Scientist;High;M35096;x
35097;Minister of Armament;Juan Oztero Medina;1940;1964;1999;SD;Resource Industrialist;High;M35097;x
35098;Minister of Armament;Guillermo Rothe;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M35074;x
35099;Minister of Armament;Federico Pinedo;1936;1964;1999;PA;laissez-faire capitalist;High;M35099;x
35100;Minister of Armament;Julio A. Roca;1936;1964;1999;PA;Battle Fleet Proponent;High;M35040;x
35101;Minister of Armament;Augusto Diaz Bustan;1941;1964;1999;PA;Military Entrepreneur;High;M35101;x
35102;Minister of Armament;Antonio Parodi;1940;1964;1999;PA;Air Superiority Proponent;Very High;M35010;x
35103;Minister of Armament;Edelmiro Farrell;1943;1964;1999;PA;Infantry Proponent;Low;M35041;x
35104;Minister of Armament;Jose Maria Cantilo;1944;1964;1999;PA;Submarine Proponent;High;M35072;x
35105;Minister of Armament;Juan Oztero Medina;1946;1964;1999;PA;Resource Industrialist;Medium;M35097;x
35108;Minister of Armament;Hortensio Quijano;1939;1964;1999;FA;Strategic Air Proponent;Very Low;M35015;x
35109;Minister of Armament;Francisco Lopez Martin;1947;1964;1999;LWR;Air to Sea Proponent;Medium;M35109;x
35110;Minister of Armament;Alberto Valle;1947;1964;1999;LWR;Theoretical Scientist;Medium;M35110;x
35111;Minister of Security;Manuel Maria de Iriondo;1936;1964;1999;SC;Prince of Terror;Medium;M35034;x
35112;Minister of Security;Leopoldo Melo;1936;1964;1999;SC;Compassionate Gentleman;Medium;M35112;x
35113;Minister of Security;Jorge Escobar Coll;1940;1964;1999;SC;Prince of Terror;Medium;M35113;x
35114;Minister of Security;Alberto Gilbert;1944;1964;1999;SC;Crooked Kleptocrat;High;M35061;x
35116;Minister of Security;Enrique Martinez;1936;1964;1999;SL;Man of the People;High;M35091;x
35117;Minister of Security;Horacio Hoya San Arte;1937;1964;1999;SL;Silent Lawyer;Medium;M35064;x
35118;Minister of Security;Agustin Rodriguez;1938;1964;1999;SL;Compassionate Gentleman;High;M35087;x
35119;Minister of Security;Jose Tamborni;1941;1964;1999;SL;Crime Fighter;High;M35089;x
35120;Minister of Security;Guillermo Rothe;1940;1964;1999;SL;Crooked Kleptocrat;Medium;M35074;x
35121;Minister of Security;Hortensio Quijano;1939;1964;1999;FA;Efficient Sociopath;High;M35015;x
35122;Minister of Security;Alberto Gilbert;1946;1964;1999;SL;Crooked Kleptocrat;High;M35061;x
35123;Minister of Security;Roberto Tito Schiavezza;1936;1964;1999;SD;Compassionate Gentleman;Medium;M35123;x
35124;Minister of Security;Gustavo Mendoza Curtin;1940;1964;1999;SD;Man of the People;Medium;M35038;x
35125;Minister of Security;Tomas Alberto Le Breton;1936;1964;1999;PA;Man of the People;Medium;M35125;x
35126;Minister of Security;Pedro Pablo Ramirez;1939;1964;1999;PA;Efficient Sociopath;Low;M35126;x
35127;Minister of Security;Guillermo Rothe;1944;1964;1999;PA;Crooked Kleptocrat;Medium;M35074;x
35129;Minister of Security;Eduardo Miya Bermudez;1947;1964;1999;PA;Efficient Sociopath;Medium;M35070;x
35130;Minister of Security;Roberto M. Ortiz;1936;1964;1999;FA;Back Stabber;Medium;M35039;x
35131;Minister of Security;Hortensio Quijano;1939;1964;1999;FA;Efficient Sociopath;Very Low;M35015;x
35132;Minister of Security;Augusto Diaz Bustan;1940;1964;1999;FA;Silent Lawyer;High;M35101;x
35133;Minister of Security;Antonio Ruis Diaz;1945;1964;1999;LWR;Crooked Kleptocrat;Very Low;M35025;x
35134;Minister of Security;Eva Peron;1947;1964;1999;LWR;Man of the People;Very High;M35134;x
35135;Head of Military Intelligence;Diogenes Taboada;1936;1964;1999;SC;Industrial Specialist;Medium;M35135;x
35136;Head of Military Intelligence;Manuel Maria de Iriondo;1940;1964;1999;SC;Political Specialist;Medium;M35034;x
35137;Head of Military Intelligence;Ramon Castillo;1942;1964;1999;SC;Dismal Enigma;Medium;M35005;x
35139;Head of Military Intelligence;Agustin Rodriguez;1936;1964;1999;SL;Political Specialist;High;M35087;x
35140;Head of Military Intelligence;Jorge de la Torre;1938;1964;1999;SL;Dismal Enigma;Medium;M35006;x
35141;Head of Military Intelligence;Elpidio Gonzalez;1936;1964;1999;SL;Technical Specialist;High;M35088;x
35142;Head of Military Intelligence;Alberto Gilbert;1944;1964;1999;SL;Logistics Specialist;High;M35061;x
35143;Head of Military Intelligence;Bartolomeo de la Colina;1946;1964;1999;SL;Industrial Specialist;Medium;M35095;x
35144;Head of Military Intelligence;Baldassare Baldi Jimenez;1936;1964;1999;SD;Logistics Specialist;High;M35037;x
35145;Head of Military Intelligence;Oscar Benavides Perez;1938;1964;1999;SD;Dismal Enigma;Medium;M35145;x
35146;Head of Military Intelligence;Humberto Jacinto Vasquez;1940;1964;1999;SD;Industrial Specialist;Medium;M35138;x
35147;Head of Military Intelligence;Uribaldi Diaz Brittenberg;1940;1964;1999;SD;Technical Specialist;Medium;M35147;x
35148;Head of Military Intelligence;Felipe Urdapilleta;1936;1964;1999;PA;Logistics Specialist;Medium;M35148;x
35149;Head of Military Intelligence;Roberto M. Ortiz;1936;1964;1999;PA;Industrial Specialist;Medium;M35039;x
35150;Head of Military Intelligence;Arturo Rawson;1936;1964;1999;FA;Naval Intelligence Specialist;High;ARG_arturo_rawson;x
35151;Head of Military Intelligence;Humberto Jacinto Vasquez;1943;1964;1999;PA;Industrial Specialist;Medium;M35138;x
35152;Head of Military Intelligence;Pedro Grosso Soto;1936;1964;1999;FA;Dismal Enigma;Medium;M35016;x
35153;Head of Military Intelligence;Pedro S. Casal;1945;1964;1999;LWR;Naval Intelligence Specialist;Medium;M35009;x
35154;Head of Military Intelligence;Jorge di Pascuale;1947;1964;1999;LWR;Dismal Enigma;High;M35154;x
35155;Head of Military Intelligence;Gustavo Mendoza Curtin;1947;1964;1999;LWR;Industrial Specialist;Medium;M35038;x
35156;Chief of Staff;Jose Maria Sarobe;1936;1964;1999;SC;School of Fire Support;Medium;M35156;x
35157;Chief of Staff;Felipe Urdapilleta;1940;1964;1999;SC;School of Psychology;Medium;M35148;x
35158;Chief of Staff;Pedro Pablo Ramirez;1943;1964;1999;SC;School of Manoeuvre;Low;M35055;x
35160;Chief of Staff;Francisco M. Velez;1936;1964;1999;SL;School of Fire Support;Low;M35160;x
35161;Chief of Staff;Thomas Martinez;1937;1964;1999;SL;School of Manoeuvre;Very High;M35161;x
35164;Chief of Staff;Juan Blanco Carrera;1946;1964;1999;SL;School of Defence;High;M35164;x
35165;Chief of Staff;Juan Domingo Peron;1943;1964;1999;FA;School of Psychology;High;M35162;x
35166;Chief of Staff;Jorge Manni;1940;1964;1999;SD;School of Mass Combat;High;M35159;x
35167;Chief of Staff;Carlos O. Marquez;1936;1964;1999;PA;School of Mass Combat;Low;M35017;x
35168;Chief of Staff;Edelmiro Farrell;1937;1964;1999;SC;School of Psychology;High;M35041;x
35169;Chief of Staff;Carlos von der Becke;1946;1964;1999;PA;School of Defence;Low;M35169;x
35171;Chief of Staff;Pablo San Martin;1945;1964;1999;LWR;School of Defence;Medium;M35027;x
35172;Chief of Staff;Paul Castex Lainford;1947;1964;1999;LWR;School of Psychology;Medium;M35172;x
35173;Chief of Army;Agustin P. Justo;1936;1964;1999;PA;Elastic Defence Doctrine;High;M35001;x
35174;Chief of Army;Laureano Anaya;1938;1964;1999;SC;Armoured Spearhead Doctrine;Very High;M35174;x
35178;Chief of Army;Thomas Martinez;1936;1964;1999;SL;Guns and Butter Doctrine;Very High;M35161;x
35179;Chief of Army;Juan Domingo Peron;1943;1964;1999;FA;Decisive Battle Doctrine;Medium;M35028;x
35180;Chief of Army;Juan Blanco Carrera;1944;1964;1999;SL;Static Defence Doctrine;High;M35164;x
35182;Chief of Army;Heriberto La Galine;1936;1964;1999;SD;Static Defence Doctrine;High;M35029;x
35183;Chief of Army;Francisco M. Velez;1940;1964;1999;SD;Elastic Defence Doctrine;Low;M35160;x
35184;Chief of Army;Manuel Savio;1936;1964;1999;PA;Static Defence Doctrine;High;M35176;x
35185;Chief of Army;Carlos O. Marquez;1940;1964;1999;PA;Decisive Battle Doctrine;Very High;M35017;x
35186;Chief of Army;Pedro Pablo Ramirez;1942;1964;1999;PA;Guns and Butter Doctrine;Low;M35055;x
35187;Chief of Army;Enrique Mosconi;1936;1964;1999;PA;Armoured Spearhead Doctrine;Low;M35187;x
35189;Chief of Army;Juan Domingo Peron;1943;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M35028;x
35190;Chief of Navy;Eleazar Videla;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M35190;x
35192;Chief of Navy;Luis Silva Carrasco;1944;1964;1999;SC;Power Projection Doctrine;Low;M35192;x
35193;Chief of Navy;Elpidio Gonzalez;1936;1964;1999;SL;Base Control Doctrine;High;M35088;x
35195;Chief of Navy;Heriberto La Galine;1940;1964;1999;SL;Indirect Approach Doctrine;High;M35029;x
35196;Chief of Navy;Juan P. Pedemonte;1944;1964;1999;SL;Power Projection Doctrine;High;M35196;x
35197;Chief of Navy;Carlos Putalla Vignolo;1946;1964;1999;SL;Open Seas Doctrine;High;M35197;x
35198;Chief of Navy;Luogo Cavalieri;1936;1964;1999;SD;Base Control Doctrine;High;M35198;x
35200;Chief of Navy;Leon Sanchez Scasso;1936;1964;1999;PA;Open Seas Doctrine;Very High;M35200;x
35201;Chief of Navy;Pedro Pablo Ramirez;1940;1964;1999;PA;Base Control Doctrine;Low;M35126;x
35202;Chief of Navy;Pedro Grosso Soto;1944;1964;1999;PA;Indirect Approach Doctrine;Low;M35016;x
35207;Chief of Air Force;Leopoldo Melo;1938;1964;1999;SC;Naval Aviation Doctrine;Medium;M35112;x
35208;Chief of Air Force;Oscar Muratorio;1940;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M35208;x
35210;Chief of Air Force;Jose Tamborni;1936;1964;1999;SL;Army Aviation Doctrine;High;M35089;x
35211;Chief of Air Force;Jorge Manni;1938;1964;1999;SL;Air Superiority Doctrine;High;M35159;x
35212;Chief of Air Force;Hector del Riva;1940;1964;1999;SL;Naval Aviation Doctrine;Medium;M35030;x
35214;Chief of Air Force;Bartolomeo de la Colina;1946;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M35095;x
35215;Chief of Air Force;Oscar Benavides Perez;1936;1964;1999;SD;Naval Aviation Doctrine;Medium;M35145;x
35216;Chief of Air Force;Uribaldi Diaz Brittenberg;1940;1964;1999;SD;Army Aviation Doctrine;Medium;M35147;x
35217;Chief of Air Force;Alberto Verdaquer;1936;1964;1999;PA;Carpet Bombing Doctrine;Medium;M35213;x
35218;Chief of Air Force;Carlos O. Marquez;1940;1964;1999;PA;Vertical Envelopment Doctrine;Very High;M35017;x
35219;Chief of Air Force;Carlos Maurino;1944;1964;1999;PA;Army Aviation Doctrine;Medium;M35020;x
35220;Chief of Air Force;Gabriel A. Hermansson;1946;1964;1999;PA;Air Superiority Doctrine;Medium;M35220;x
35223;Head of State;Arturo Rawson;1936;1964;1999;PA;Barking Buffoon;High;ARG_arturo_rawson;x
35224;Head of Government;Arturo Rawson;1936;1964;1999;PA;Old Admiral;High;ARG_arturo_rawson;x
35225;Foreign Minister;Segundo R. Storni;1936;1964;1999;SC;Iron Fisted Brute;High;M35225;x
35226;Minister of Armament;Benito Sueyro;1937;1964;1999;SC;laissez-faire capitalist;High;M35226;x
35227;Minister of Security;Diego Isidro Mason;1943;1964;1999;SC;Silent Lawyer;Medium;M35227;x
35228;Head of Military Intelligence;Vicente Huidrabra Urribe;1943;1964;1999;SC;Technical Specialist;Medium;M35228;x
35229;Chief of Army;Arturo Rawson;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;ARG_arturo_rawson;x
35230;Chief of Navy;Segundo R. Storni;1938;1964;1999;SC;Open Seas Doctrine;High;M35225;x
35231;Head of State;Pedro Pablo Ramirez;1943;1964;1999;PA;Stern Imperialist;High;M35055;x
35232;Foreign Minister;Hipolito Jesus Paz;1949;1964;1999;LWR;Apologetic Clerk;High;M35232;x
35233;Foreign Minister;Jeronimo Remorino;1951;1964;1999;LWR;The Cloak N Dagger Schemer;High;M35233;x
35234;Head of Military Intelligence;Jeronimo Remorino;1949;1964;1999;LWR;Political Specialist;High;M35233;x
35235;Head of Government;Alberto Podesta Castro;1949;1964;1999;SC;Corporate Suit;High;M35235;x
35236;Foreign Minister;Alberto Podesta Castro;1949;1964;1999;SC;Biased Intellectual;High;M35235;x
35237;Chief of Army;Jose Molina Gomez;1950;1964;1999;LWR;Decisive Battle Doctrine;Medium;L120020;x
35238;Head of State;Hipólito Yrigoyen;1936;1964;1999;SL;Popular Figurehead;High;Kaiserreich Hipólito Yrigoyen;x
35239;Head of Government;Hipólito Yrigoyen;1936;1964;1999;SL;Ambitious Union Boss;High;Kaiserreich Hipólito Yrigoyen;x
35240;Head of Military Intelligence;Mario Bravo;1936;1964;1999;LWR;Political Specialist;Medium;MarioBravo;x
35241;Head of Military Intelligence;Angel Borlenghi;1936;1964;1999;LE;Industrial Specialist;Medium;AngelBorlenghi;x
35242;Minister of Armament;Francisco P. Leiros;1936;1964;1999;LE;Resource Industrialist;Medium;FranciscoLeiros;x
35243;Minister of Armament;Torcuato Di Tella;1936;1964;1999;SD;Administrative Genius;Medium;kaiserreich_torcuatod;x
35244;Head of Military Intelligence;Torcuato Di Tella;1936;1964;1999;SD;Technical Specialist;Medium;kaiserreich_torcuatod;x
35245;Minister of Security;Carlos S. Viamonte;1936;1964;1999;LWR;Compassionate Gentleman;Medium;kaiserreich_carlossanch;x
35246;Minister of Security;Nicolas Repetto;1936;1964;1999;SD;Silent Lawyer;Medium;kaiserreich_nicolc;x
35247;Head of State;Luis Gay;1936;1964;1999;LWR;Stern Imperialist;Medium;kaiserreich_nicolc;x
35248;Minister of Security;Cipriano Reyes;1936;1964;1999;LE;Prince of Terror;Medium;kaiserreich_nicolc;x
35249;Foreign Minister;Juan A. Bramuglia;1936;1964;1999;LWR;Biased Intellectual;Medium;AtilioBramuglia;x
35250;Head of Government;Domingo Mercante;1938;1964;1999;LWR;Old General;Medium;DomingoMercante;x
35251;Minister of Security;Domingo Mercante;1936;1964;1999;LWR;Crime Fighter;Medium;DomingoMercante;x
35252;Head of Military Intelligence;Domingo Mercante;1936;1964;1999;LWR;Logistics Specialist;Medium;DomingoMercante;x
35253;Chief of Staff;Domingo Mercante;1939;1964;1999;LWR;School of Fire Support;Medium;DomingoMercante;x
35254;Chief of Army;Domingo Mercante;1938;1964;1999;LWR;Decisive Battle Doctrine;Medium;DomingoMercante;x
35255;Minister of Security;Jose Peter;1936;1964;1999;ST;Crooked Kleptocrat;Medium;JosePeter;x
35256;Head of Government;Enrique Mosconi;1936;1964;1999;SD;Smiling Oilman;Medium;EnriqueMosconi;x
35257;Chief of Air Force;Enrique Mosconi;1936;1964;1999;SD;Air Superiority Doctrine;Medium;EnriqueMosconi;x
35258;Minister of Armament;Arturo Frondizi;1939;1964;1999;SL;Administrative Genius;Medium;Frondizi;x
35259;Foreign Minister;Miguel Zavala Ortiz;1936;1964;1999;SL;Ideological Crusader;Medium;ZavalaOrtiz;x
35260;Head of Military Intelligence;Emilio Ravignani;1936;1964;1999;SD;Political Specialist;Medium;Ravignani;x
35261;Minister of Security;Alberto Tessaire;1939;1964;1999;PA;Crooked Kleptocrat;Medium;Tessaire;x
35262;Head of Government;Alberto Tessaire;1939;1964;1999;PA;Old Admiral;Medium;Tessaire;x
35263;Chief of Army;Eduardo Avalos;1937;1964;1999;LWR;Guns and Butter Doctrine;Medium;Avalos;x
35264;Chief of Staff;Eduardo Avalos;1937;1964;1999;LWR;School of Mass Combat;Medium;Avalos;x
35265;Head of Military Intelligence;Patricio Sorondo;1936;1964;1999;PA;Dismal Enigma;Medium;PatricioSorondo;x
35266;Head of Government;Hortensio Quijano;1939;1964;1999;FA;Old General;Medium;M35015;x
35267;Head of State;José Pascual Tamborini;1936;1964;1999;ML;Benevolent Gentleman;Medium;ARG_jose_pascual_tamborini;x
35268;Head of Government;Enrique Mosca;1936;1964;1999;ML;Naive Optimist;Medium;ARG_enrique_mosca;x
35269;Head of Government;Vicente Solá;1936;1964;1999;SC;Happy Amateur;Medium;ARG_vicente_sola;x
35270;Head of State;Nicolas Repetto;1936;1964;1999;SD;Weary Stiffneck;Medium;kaiserreich_nicolc;x
35271;Head of Government;Manuel Ugarte;1936;1964;1999;SD;Ambitious Union Boss;Medium;ARG_manuel_ugarte;x
35272;Head of Government;Ricardo Balbín;1936;1964;1999;ML;Flamboyant Tough Guy;Medium;ARG_ricardo_balbin;x
35273;Head of Government;Reynaldo Pastor;1936;1964;1999;SC;Backroom Backstabber;Medium;ARG_reynaldo_pastor;x
35274;Head of Government;Américo Ghioldi;1936;1964;1999;SD;Political Protege;Medium;ARG_americo_ghioldi;x
35275;Head of State;Ricardo Balbín;1936;1964;1999;ML;Barking Buffoon;Medium;ARG_ricardo_balbin;x
35276;Head of Government;Crisólogo Larralde;1936;1964;1999;SL;Ambitious Union Boss;Medium;ARG_crisologo_larralde;x
35277;Head of State;Reynaldo Pastor;1936;1964;1999;SC;Die-hard Reformer;Medium;ARG_reynaldo_pastor;x
35278;Head of Government;Vicente Solano Lima;1936;1964;1999;SC;Silent Workhorse;Medium;ARG_vicente_solano_lima;x
35279;Head of State;Alicia Moreau de Justo;1936;1964;1999;LWR;Die-hard Reformer;Medium;ARG_alicia_moreau_de_justo;x
35280;Head of State;Arturo Frondizi;1939;1964;1999;SL;Popular Figurehead;Medium;Frondizi;x
35281;Head of Government;Alejandro Gomez;1936;1964;1999;ML;Smiling Oilman;Medium;ARG_alejandro_gomez;x
35282;Head of State;Pedro Aramburu;1944;1964;1999;SC;Ruthless Powermonger;Medium;M35062;x
35283;Head of Government;Alvaro Alsogaray;1936;1964;1999;SC;Old General;Medium;ARG_alvaro_alsogaray;x
35284;Head of State;Alfredo Lorenzo Palacios;1939;1964;1999;LWR;Benevolent Gentleman;Medium;ARG_alfredo_lorenzo_palacios;x
35285;Head of Government;Carlos Sanchez Viamonte;1936;1964;1999;SD;Silent Workhorse;Medium;ARG_carlos_sanchez_viamonte;x
35286;Head of Government;Oscar Alende;1936;1964;1999;ML;Backroom Backstabber;Medium;ARG_oscar_alende;x
35287;Head of State;Vicente Solano Lima;1936;1964;1999;SC;Stern Imperialist;Medium;ARG_vicente_solano_lima;x
35288;Head of Government;Carlos Sylvestre Begnis;1936;1964;1999;SC;Naive Optimist;Medium;ARG_carlos_sylvestre_begnis;x
