SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
547020;Minister of Armament;Sreten Zujovic;1936;1964;1999;LE;Military Entrepreneur;High;SER-KR_Sreten_Zujovic_Crni;X
547021;Minister of Armament;Dragisa Cvetkovic;1936;1964;1999;PA;Laissez-Faire Capitalist;High;M20032;X
547022;Minister of Armament;Momcilo Nincic;1936;1964;1999;SC;Bank President;High;kaimocninc;X
547023;Minister of Armament;Vojislav Marinkovic;1936;1964;1999;ML;Laissez-Faire Capitalist;High;SER-KR_Vojislav_Marinkovic;X
547024;Minister of Security;Milan Acimovic;1936;1964;1999;FA;Back Stabber;High;SER-KR_Milan_Acimovic;X
547025;Minister of Security;Svetozar Vujkovic;1936;1964;1999;FA;Efficient Sociopath;High;SER-KR_Svetozar_Vujkovic;X
547026;Minister of Security;Trisa Kaclerovic;1936;1964;1999;LE;Silent Lawyer;High;SER-KR_Trisa_Kaclerovic;X
547027;Minister of Security;Bozidar Maksimovic;1936;1964;1999;SC;Crime Fighter;High;SER-KR_Bozidar_Maksimovic;X
547028;Minister of Security;Milorad Draskovic;1936;1964;1999;SL;Crime Fighter;High;SER-KR_Milorad-Draskovic;X
547029;Head of Military Intelligence;Dragomir Jovanovic;1936;1964;1999;FA;Political Specialist;High;M20067;X
547030;Head of Military Intelligence;Aleksandar Rankovic;1936;1964;1999;LE;Political Specialist;High;SER-KR_Aleksandar_Rankovic;X
547031;Head of Military Intelligence;Dusan Popov;1936;1964;1999;ML;Technical Specialist;High;M10000000002;X
547032;Head of Military Intelligence;Petar Zivkovic;1936;1964;1999;FA;Political Specialist;High;SERZiv;X
547033;Chief of Staff;Arso Jovanovic;1942;1964;1999;SD;School of Manoeuvre;High;M20075;X
547034;Chief of Staff;Petar Pesic;1936;1964;1999;PA;School of Mass Combat;High;SER-KR_Petar_Pesic;X
547035;Chief of Army;Koca Popovic;1936;1964;1999;LE;Elastic Defence Doctrine;High;SER-KR_Koca_Popovic;X
547036;Chief of Army;Bogoljub Ilic;1936;1964;1999;SC;Static Defence Doctrine;High;SER-KR_Bogoljub_Ilic;X
547037;Chief of Army;Petar Zivkovic;1936;1964;1999;FA;Guns and Butter Doctrine;High;SERZiv;X
547038;Chief of Army;Milan Nedic;1936;1964;1999;FA;Static Defence Doctrine;High;SER-KR_Milan_Nedic;X
547039;Chief of Navy;Zarko Zrenjanin;1936;1964;1999;LE;Base Control Doctrine;High;M10000000004;X
547040;Chief of Air Force;Borivoje Mirkovic;1936;1964;1999;SC;Army Aviation Doctrine;High;SER-KR_Borivoje_Mirkovic;X
547041;Head of State;Nj.K.V. Petar II;1936;1964;1999;SC;Benevolent Gentleman;High;M20011;X
547042;Head of State;Nj.K.V. Petar II;1936;1964;1999;FA;Barking Buffoon;High;M20011;X
547043;Head of State;Draza Mihailovic;1936;1964;1999;PA;Resigned Generalissimo;High;M10000000005;X
547044;Chief of Army;Draza Mihailovic;1941;1964;1999;PA;Elastic Defence Doctrine;High;M10000000005;X
547045;Chief of Staff;Draza Mihailovic;1936;1964;1999;PA;School of Manoeuvre;High;M10000000005;X
547046;Head of State;Bozidar Adzija;1936;1964;1999;LE;Popular Figurehead;High;M10000000007;X
547047;Minister of Security;Aleksandar Rankovic;1936;1964;1999;LE;Prince of Terror;High;SER-KR_Aleksandar_Rankovic;X
547048;Head of Military Intelligence;Mustafa Golubic;1936;1964;1999;LE;Political Specialist;High;SER-KR_Mustafa_Golubic;X
547049;Foreign Minister;Vladimir Dedijer;1941;1964;1999;LE;Ideological Crusader;Medium;M10000000010;X
547050;Chief of Staff;Milan Nedic;1936;1964;1999;FA;School of Mass Combat;High;SER-KR_Milan_Nedic;X
547051;Head of Government;Rade Koncar;1940;1964;1999;LE;Silent Workhorse;High;M10000000012;X
547052;Head of State;Nj.K.V. Danilo I Petrovic-Njegos;1936;1940;1999;SC;Popular Figurehead;High;M544011;X
547053;Head of State;Nj.K.V. Mihailo I Petrovic-Njegos;1936;1964;1999;SC;Popular Figurehead;High;michaelpetronje kai;X
547054;Head of State;Petar Bojovic;1936;1964;1999;FA;Resigned Generalissimo;High;kaiserreich Bojovic;X
547055;Chief of Air Force;Milojko Jankovic;1936;1964;1999;PA;Army Aviation Doctrine;High;SER-KR_Milojko_Jankovic;X
547056;Chief of Air Force;Mileta Protic;1940;1964;1999;LWR;Naval Aviation Doctrine;High;SER-KR_Mileta_Protic;X
547057;Head of State;Nj.K.V. Danilo I Petrovic-Njegos;1936;1940;1999;FA;Popular Figurehead;High;M544011;X
547058;Head of State;Nj.K.V. Mihailo I Petrovic-Njegos;1936;1964;1999;FA;Popular Figurehead;High;michaelpetronje kai;X
547059;Head of State;Nj.K.V. Aleksandar II;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich Aleksander II;X
547060;Head of State;Nj.K.V. Aleksandar II;1936;1964;1999;FA;Stern Imperialist;High;kaiserreich Aleksander II;X
547061;Head of State;Slobodan Jovanovic;1936;1964;1999;ML;Benevolent Gentleman;High;M20034;X
547062;Head of Government;Dusan Simovic;1936;1964;1999;PA;Happy Amateur;High;M20033;X
547063;Head of Government;Milan Acimovic;1936;1964;1999;FA;Political Protege;High;SER-KR_Milan_Acimovic;X
547064;Chief of Army;Petar Bojovic;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;kaiserreich Bojovic;X
547065;Head of Government;Ljubomir Davidovic;1936;1964;1999;SL;Silent Workhorse;High;kailjubomdav;X
547066;Foreign Minister;Svetozar Pribicevic;1936;1964;1999;SL;Ideological Crusader;High;kaisvetozpri;X
547067;Minister of Armament;Kosta Kumanudi;1936;1964;1999;SL;Bank President;High;kaikostkum;X
547068;Head of Government;Patriarch Varnava;1936;1964;1999;FA;Happy Amateur;High;kaipatvarn;X
547069;Head of Government;Nikola Uzunovic;1936;1964;1999;SC;Silent Workhorse;High;kainikuzun;X
547070;Foreign Minister;Bozidar Puric;1936;1964;1999;ML;Great Compromiser;High;M20043;X
547071;Head of Military Intelligence;Bozidar Puric;1936;1964;1999;ML;Technical Specialist;High;M20043;X
547072;Head of Military Intelligence;Momcilo Nincic;1936;1964;1999;SC;Industrial Specialist;High;kaimocninc;X
547073;Head of State;Jovan Veselinov;1936;1964;1999;LE;Stern Imperialist;High;kaijovvesel;X
547074;Head of Government;Petar Zivkovic;1936;1964;1999;FA;Old General;High;SERZiv;X
547075;Foreign Minister;Miroslav Spalajkovic;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M20016;X
547076;Minister of Security;Milan Srskic;1936;1964;1999;PA;Back Stabber;High;SER-KR_Milan_Srskic;X
547077;Foreign Minister;Vojislav Marinkovic;1936;1964;1999;ML;Ideological Crusader;High;SER-KR_Vojislav_Marinkovic;X
547078;Foreign Minister;Stanoje Simic;1936;1964;1999;LWR;Apologetic Clerk;High;M20023;X
547079;Foreign Minister;Milan Gavrilovic;1936;1964;1999;SC;Great Compromiser;High;SER-KR_Milan_Gavrilovic;X
547080;Minister of Armament;Ninko Peric;1936;1964;1999;SC;Resource Industrialist;High;SER-KR_Ninko_Peric;X
547081;Minister of Armament;Svetislav Milosavljevic;1936;1964;1999;PA;Military Entrepreneur;High;SER-KR_Svetislav_Milosavljevic2;X
547082;Minister of Security;Milos Trifunovic;1936;1964;1999;SC;Compassionate Gentleman;High;SER-KR_Milos_Trifunovic;X
547083;Minister of Security;Slobodan Penezic;1944;1964;1999;LE;Efficient Sociopath;High;SER-KR_Slobodan_Penezic_Krcun_;X
547084;Head of Military Intelligence;Bosko Becarevic;1941;1964;1999;FA;Political Specialist;High;SER-KR_Bosko_Becarevic;X
547085;Head of Military Intelligence;Petar Aracic;1936;1964;1999;PA;Logistics Specialist;High;SER-KR_Petar_Aracic;X
547086;Chief of Army;Ljubomir Maric;1936;1964;1999;PA;Guns and Butter Doctrine;High;SER-KR_Ljubomir_Maric;X
547087;Chief of Staff;Ljubomir Maric;1936;1964;1999;PA;School of Defence;High;SER-KR_Ljubomir_Maric;X
547088;Head of Government;Dimitrije Ljotic;1936;1964;1999;NS;Political Protege;High;M20048;X
547089;Foreign Minister;Velibor Jonic;1936;1964;1999;NS;Iron Fisted Brute;High;SER-KR_Velibor_Jonic;X
547090;Minister of Armament;Mihailo Olcan;1941;1964;1999;NS;Infantry Proponent;High;SER-KR_Mihailo_Olcan;X
547091;Head of State;Milan Stojadinovic;1936;1964;1999;SC;Benevolent Gentleman;High;kaimilstojd;X
547092;Head of State;Ljubomir Davidovic;1936;1964;1999;SL;Die-hard Reformer;High;kailjubomdav;X
547093;Minister of Security;Ljubomir Davidovic;1936;1964;1999;SL;Compassionate Gentleman;High;kailjubomdav;X
547094;Minister of Security;Tanasije Dinic;1936;1964;1999;FA;Prince of Terror;High;M20052;X
547095;Minister of Armament;Nikola Uzunovic;1936;1964;1999;PA;Laissez-Faire Capitalist;High;kainikuzun;X
547096;Minister of Armament;Milorad Draskovic;1936;1964;1999;SL;Resource Industrialist;High;SER-KR_Milorad-Draskovic;X
547097;Head of Government;Bogoljub Jevtic;1936;1964;1999;PA;Happy Amateur;High;M20004;X
547098;Head of Government;Milan Nedic;1936;1964;1999;FA;Old General;High;SER-KR_Milan_Nedic;X
547099;Head of Government;Milos Trifunovic;1936;1964;1999;SC;Naive Optimist;High;SER-KR_Milos_Trifunovic;X
547100;Minister of Security;Dragoljub Jovanovic;1936;1964;1999;SD;Man of the People;High;SER-KR_Dragoljub_Jovanovic;X
547101;Minister of Armament;Milutin Milankovic;1936;1964;1999;ML;Theoretical Scientist;High;SER-KR_Milutin_Milankovic;X
547102;Minister of Armament;Jovan Veselinov;1936;1964;1999;LE;Infantry Proponent;High;kaijovvesel;X
547103;Minister of Armament;Pavle Savic;1941;1964;1999;LE;Theoretical Scientist;High;SER-KR_Pavle_Savic2;X
547104;Foreign Minister;Dimitrije Ljotic;1936;1964;1999;NS;Ideological Crusader;High;M20048;X
547105;Foreign Minister;Zivko Topalovic;1936;1964;1999;SD;Biased Intellectual;High;SER-KR_Zivko_Topalovic;X
547106;Foreign Minister;Kosta Novakovic;1936;1964;1999;LE;Ideological Crusader;High;SER-KR_Kosta_Novakovic;X
547107;Foreign Minister;Jovan Jovanovic Pizon;1936;1964;1999;SC;Biased Intellectual;High;SER-KR_Jovan_Jovanovic-Pizon;X
547108;Minister of Security;Milan Gavrilovic;1936;1964;1999;SC;Silent Lawyer;High;SER-KR_Milan_Gavrilovic;X
547109;Minister of Armament;Milan Srskic;1936;1964;1999;PA;Corrupt Kleptocrat;High;SER-KR_Milan_Srskic;X
547110;Foreign Minister;Ninko Peric;1936;1964;1999;SC;Apologetic Clerk;High;SER-KR_Ninko_Peric;X
547111;Minister of Armament;Dragisa Lapcevic;1936;1964;1999;SD;Resource Industrialist;High;SER-KR_Dragisa_Lapcevic;X
547112;Minister of Armament;Milentije Popovic;1944;1964;1999;LE;Resource Industrialist;High;SER-KR_Milentije_Popovic;X
547113;Minister of Armament;Mosa Pijade;1936;1964;1999;LE;Military Entrepreneur;High;SER-KR_Mosa_Pijade;X
547114;Minister of Security;Dimitrije Ljotic;1936;1964;1999;NS;Back Stabber;High;M20048;X
547115;Minister of Security;Mihailo Konstantinovic;1936;1964;1999;ML;Silent Lawyer;High;SER-KR_Mihailo-Konstantinovic;X
547116;Foreign Minister;Milos Moskovljevic;1936;1964;1999;SD;Biased Intellectual;High;SER-KR_Milos_Moskovljevic;X
547117;Chief of Staff;Koca Popovic;1936;1964;1999;LE;School of Fire Support;High;SER-KR_Koca_Popovic;X
547118;Chief of Army;Sreten Zujovic;1936;1964;1999;LE;Guns and Butter Doctrine;High;SER-KR_Sreten_Zujovic_Crni;X
547119;Chief of Army;Dragutin Gavrilovic;1936;1964;1999;PA;Static Defence Doctrine;High;SER-KR_Dragutin_Gavrilovic;X
547120;Chief of Army;Arso Jovanovic;1942;1964;1999;SD;Armoured Spearhead Doctrine;High;M20075;X
547121;Chief of Air Force;Vladeta Petrovic;1945;1964;1999;SL;Naval Aviation Doctrine;High;LVladeta_Petrovic;X
547122;Chief of Air Force;Tadija Sondermajer;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;LTadija_Sondermajer;X
547123;Chief of Staff;Mihailo Apostolski;1940;1964;1999;SD;Commando Doctrine Staff;High;LMihailo_Apostolski;X
547124;Chief of Army;Mihailo Apostolski;1940;1964;1999;SD;Commando Doctrine Army;High;LMihailo_Apostolski;X
547125;Foreign Minister;Ivan Subasic;1944;1964;1999;ML;Apologetic Clerk;Medium;M20014;X
547126;Minister of Armament;Ivan Subasic;1936;1964;1999;ML;Infantry Proponent;Medium;M20014;X
547127;Minister of Armament;Edo Bogdan Markovic;1939;1964;1999;PA;Resource Industrialist;Medium;M20049;X
547128;Minister of Armament;Anton Kozarev;1942;1964;1999;FA;Tank Proponent;Medium;M20051;X
547129;Chief of Air Force;Viktor Bubanj;1945;1964;1999;LE;Army Aviation Doctrine;High;CRO-KR_Viktor_Bubanj;X
547130;Chief of Air Force;Cvitan Galic;1936;1964;1999;NS;Air Superiority Doctrine;High;BOS-KR_Cvitan_Galic;X
547131;Chief of Air Force;Franjo Dzal;1936;1964;1999;FA;Air Superiority Doctrine;High;BOS-KR_Franjo_Dzal;X
547132;Chief of Air Force;Miroslav Navratil;1936;1964;1999;PA;Army Aviation Doctrine;High;CRO-KR_Miroslav_Navratil;X
547133;Chief of Navy;Edgar Angeli;1941;1964;1999;NS;Open Seas Doctrine;Medium;M30019;X
547134;Chief of Navy;Nikola Steinfel;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;CRO-KR_Nikola_Steinfel;X
547135;Chief of Navy;Bogdan Pecotic;1945;1964;1999;LWR;Indirect Approach Doctrine;High;CRO-KR_Bogdan_Pecotic;X
547136;Chief of Staff;Fedor Dragojlov;1936;1964;1999;PA;School of Mass Combat;High;M30048;X
547137;Chief of Army;Fedor Dragojlov;1936;1964;1999;PA;Static Defence Doctrine;High;M30048;X
547138;Chief of Army;Miroslav Navratil;1936;1964;1999;PA;Guns and Butter Doctrine;High;CRO-KR_Miroslav_Navratil;X
547139;Chief of Army;Georg Dragicevic;1936;1964;1999;PA;Decisive Battle Doctrine;High;kaiserreich GeorgDragicevic;X
547140;Chief of Army;Matija Canic;1943;1964;1965;FA;Elastic Defence Doctrine;Medium;LMatija_Canic;X
547141;Chief of Navy;Velimir Skorpik;1945;1964;1999;SD;Base Control Doctrine;High;T_CRO_Velimir_Skorpik;X
547142;Chief of Staff;Mihajlo Lukic;1933;1961;1999;ML;School of Manoeuvre;Medium;L46020;X
547143;Chief of Staff;Marko Mesic;1941;1964;1999;FA;School of Fire Support;High;CRO-KR_Marko_Mesic;X
547144;Minister of Security;Mladen Lorkovic;1936;1964;1999;NS;Crooked Kleptocrat;High;L44610;X
547145;Foreign Minister;Mladen Lorkovic;1936;1964;1999;NS;General Staffer;High;L44610;X
547146;Head of Military Intelligence;Mladen Lorkovic;1936;1964;1999;NS;Political Specialist;High;L44610;X
547147;Head of Military Intelligence;Andrija Hebrang;1936;1964;1999;ST;Dismal Enigma;High;CRO_andrija_hebrang;X
547148;Head of Government;Andrija Hebrang;1936;1964;1999;ST;Ambitious Union Boss;High;CRO_andrija_hebrang;X
547149;Minister of Security;Ivan Pernar;1936;1964;1999;SC;Silent Lawyer;High;CRO-KR_Ivan_Pernar;X
547150;Minister of Security;Srdjan Budisavljevic;1936;1964;1999;ML;Compassionate Gentleman;High;CRO-KR_Srdjan_Budisavljevic;X
547151;Minister of Security;Djuro Basaricek;1936;1964;1999;SC;Compassionate Gentleman;High;CRO-KR_Djuro_Basaricek;X
547152;Minister of Security;Ante Ciliga;1936;1964;1999;LE;Silent Lawyer;High;CRO_ante_ciliga;X
547153;Head of Government;Ante Ciliga;1936;1964;1999;LE;Silent Workhorse;High;CRO_ante_ciliga;X
547154;Minister of Security;Ivo Krbek;1936;1964;1999;SC;Silent Lawyer;High;CRO-KR_Ivo_Krbek;X
547155;Minister of Armament;Ivan Andres;1936;1964;1999;SC;Resource Industrialist;High;CRO-KR_Ivan_Andres;X
547156;Head of Government;August Cesarec;1936;1964;1999;LE;Silent Workhorse;High;CRO_august_cesarec;X
547157;Minister of Armament;August Cesarec;1936;1964;1999;LE;Military Entrepreneur;High;CRO_august_cesarec;X
547158;Minister of Armament;Barisa Smoljan;1936;1964;1999;SC;Resource Industrialist;High;BOS-KR_Barisa_Smoljan;X
547159;Minister of Armament;August Kosutic;1936;1964;1999;SC;Military Entrepreneur;High;CRO-KR_August_Kosutic;X
