SIA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
62096;Chief of Staff;Thawon Thamrongnawasawat;1946;1964;1999;PA;School of Manoeuvre;Medium;M62029;X
62097;Chief of Army;Manphya Khanphialong;1938;1964;1999;FA;Static Defence Doctrine;Medium;M62097;X
62098;Chief of Army;Thawi Bunyaket;1944;1964;1999;PA;Guns and Butter Doctrine;Very High;M62098;X
62099;Chief of Army;Phot Phahonyothin;1936;1947;1999;SC;Elastic Defence Doctrine;Low;M62002;X
62100;Chief of Army;Phraya Chitnasongkhla;1945;1964;1999;ML;Decisive Battle Doctrine;Low;M62026;X
62101;Chief of Army;Tianliang Huntrakool;1946;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M62051;X
62102;Chief of Navy;Sawat Phutianands;1948;1964;1999;FA;Power Projection Doctrine;Medium;M62086;X
62103;Chief of Navy;Phraya Wichcitcholathai;1936;1959;1999;PA;Coastal Defence Doctrine;Medium;M62055;X
62104;Chief of Navy;Phraya Preechacholayudha;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M62019;X
62105;Chief of Navy;Luang Chamnanarthayutha;1945;1964;1999;ML;Base Control Doctrine;Medium;M62105;X
62106;Chief of Navy;Thawon Thamrongnawasawat;1946;1964;1999;PA;Open Seas Doctrine;Medium;M62029;X
62107;Chief of Navy;Luang Sinthusongkhramchai;1936;1970;1999;PA;Power Projection Doctrine;High;M62069;X
62108;Chief of Air Force;Phraya Chalerm Akat;1936;1956;1999;PA;Aviation Organizer;Medium;M62061;X
62109;Chief of Air Force;Phraya Thayarnpikart;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M62063;X
62110;Chief of Air Force;Phra Silpasakrakorn;1945;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M62110;X
62111;Chief of Air Force;Luang Kajsongkram;1946;1964;1999;PA;Naval Aviation Doctrine;Medium;M62111;X
62112;Head of State;Rama VIII;1936;1964;1999;FA;Popular Figurehead;High;M62001;X
62113;Head of Government;Luang Phibunsongkhram;1948;1964;1999;SC;Backroom Backstabber;High;M62007;X
62114;Foreign Minister;Pote Sarasin;1948;1964;1999;SC;Great Compromiser;Medium;M62114;X
62115;Head of State;Rama VII;1936;1964;1999;PA;Popular Figurehead;Low;SIA_rama_vii;X
62116;Chief of Navy;Mahidol Adulyadej;1936;1964;1999;ML;Indirect Approach Doctrine;Medium;SIA_mahidol;X
62117;Minister of Armament;Mahidol Adulyadej;1936;1964;1999;ML;Submarine Proponent;Medium;SIA_mahidol;X
62118;Head of State;Pridi Phanomyong;1936;1964;1999;SD;Die-hard Reformer;Medium;M62005;X
62119;Foreign Minister;Pridi Phanomyong;1936;1964;1999;SD;Great Compromiser;Low;M62005;X
62120;Head of Government;Pridi Phanomyong;1936;1964;1999;SD;Silent Workhorse;High;M62005;X
62121;Minister of Security;Buddhadasa Bhikkhu;1936;1964;1999;SD;Man of the People;Medium;SIA_buddhadasa;X
62122;Minister of Security;Rangsit Prayurasakdi;1936;1951;1999;SC;Health and Safety;High;MRangsit_Prayurasakdi;X
62123;Minister of Security;Adul Adulyadejarat;1936;1970;1999;FA;Secret Police Chief;High;MAdul_Adulyadejarat;X
62124;Foreign Minister;Pao Pienlert Boripanyutakit;1936;1970;1999;PA;General Staffer;Medium;M62024;X
62125;Foreign Minister;Wan Waithayakorn;1936;1970;1999;SC;Ideological Crusader;Medium;MWan_Waithayakorn;X
62126;Minister of Armament;Sarasas Phonkhan;1936;1970;1999;SL;Mixed Economy;High;MPhra_Sarasas_Phonkhan;X
62127;Minister of Armament;Manopakorn Nititada;1936;1949;1999;FA;Resource Industrialist;High;MPhraya_Manopakorn_Nititada;X
62128;Minister of Armament;Pin Malakul;1938;1970;1999;SC;Theoretical Scientist;High;MPin_Malakul;X
62129;Minister of Armament;Rachadapisek Sonakul;1940;1964;1999;SL;Theoretical Scientist;High;MRachadapisek_Sonakul;X
62130;Minister of Armament;Leng Srisomwong;1942;1970;1999;ML;Bank President;High;MLeng_Srisomwong;X
62131;Minister of Armament;Pridi Phanomyong;1936;1964;1999;SD;Administrative Genius;High;M62005;X
62132;Head of Military Intelligence;Pridi Phanomyong;1936;1964;1999;SD;Industrial Specialist;High;M62005;X
62133;Head of Military Intelligence;Khuang Aphaiwong;1936;1968;1999;ML;Technical Specialist;High;M62036;X
62134;Head of Military Intelligence;Phraya Songsuradet;1936;1964;1999;ML;Logistics Specialist;High;LPhraya_Songsuradet;X
62135;Minister of Armament;Phraya Songsuradet;1936;1964;1999;ML;Reformer;High;LPhraya_Songsuradet;X
62136;Chief of Staff;Phraya Songsuradet;1936;1964;1999;ML;School of Psychology;High;LPhraya_Songsuradet;X
62137;Chief of Army;Phraya Songsuradet;1936;1964;1999;ML;Combat Engineering Doctrine;High;LPhraya_Songsuradet;X
62138;Chief of Staff;Sri Sitthisongkhram;1936;1964;1999;SC;School of Defence;High;LPhraya_Sri_Sitthisongkhram;X
62139;Chief of Army;Sri Sitthisongkhram;1936;1964;1999;SC;Guns and Butter Doctrine;High;LPhraya_Sri_Sitthisongkhram;X
62140;Chief of Army;Phichit Kriangsakphichit;1936;1964;1999;SC;Static Defence Doctrine;High;LPhichit_Kriangsakphichit;X
62141;Chief of Air Force;Phichit Kriangsakphichit;1936;1964;1999;SC;Air Defence Doctrine;High;LPhichit_Kriangsakphichit;X
62142;Chief of Staff;Boworadet Kritsadakorn;1936;1954;1999;FA;School of Mass Combat;High;LBoworadet_Kritsadakorn;X
62143;Chief of Army;Boworadet Kritsadakorn;1936;1954;1999;FA;Guns and Butter Doctrine;High;LBoworadet_Kritsadakorn;X
62144;Head of Government;Boworadet Kritsadakorn;1936;1954;1999;FA;Local Tyrant;High;LBoworadet_Kritsadakorn;X
62145;Head of Government;Luang Sinthusongkhramchai;1936;1970;1999;PA;Old Admiral;High;M62069;X
62146;Chief of Air Force;Phraya Wehasayan Silpasit;1936;1964;1999;PA;Army Aviation Doctrine;High;L100050;X
62147;Chief of Navy;Thaharn Khumhirun;1936;1970;1999;SC;Base Control Doctrine;High;LThaharn_Khumhirun;X
62148;Chief of Navy;Abhakara Kiartivongse;1936;1943;1999;SC;Hydrographic Service Proponent;High;MAbhakara_Kiartivongse;X
62149;Chief of Navy;Luang Supachalasai;1936;1966;1999;ML;Riverine Warfare Doctrine;High;LLuang_Supachalasai;X
62150;Minister of Security;Luang Supachalasai;1936;1966;1999;ML;Health and Safety;High;LLuang_Supachalasai;X
62151;Head of Government;Rama VII;1936;1964;1999;PA;Naive Optimist;Low;SIA_rama_vii;X
62152;Head of Government;Rama VIII;1936;1964;1999;PA;Happy Amateur;High;M62001;X
62153;Chief of Air Force;Fuen R. Ritthakhanee;1947;1970;1999;PA;Army Aviation Doctrine;High;L100040;X
62154;Chief of Air Force;Luang Athuekthewadet;1941;1964;1999;SD;Naval Aviation Doctrine;High;LBunchiam_Komonmit;X
62155;Chief of Air Force;Chalermkiat Vatthanangkun;1949;1970;1999;ML;Air Superiority Doctrine;High;LChalermkiat_Vatthanangkun;X
