SIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
522045;Chief of Army;Konstantin Telegin;1936;1964;1999;LE;Guns and Butter Doctrine;High;Mtelegin;X
522046;Head of Military Intelligence;Pyotr Krasikov;1936;1964;1999;LE;Technical Specialist;Medium;Mkrasikov;X
522047;Head of State;Vadim Podbelsky;1936;1964;1999;LE;Die-hard Reformer;High;Mpodbelsky;X
522048;Head of Government;Boris Shumyatsky;1936;1964;1999;LE;Ambitious Union Boss;High;Mshumyatsky;X
522049;Chief of Staff;Nikolay Matveyev;1936;1964;1999;LWR;School of Mass Combat;Medium;;X
522050;Foreign Minister;Sespel Missi;1936;1964;1999;LE;Biased Intellectual;High;Msespel;X
522052;Minister of Security;Yakov Yurovsky;1936;1964;1999;ST;Prince of Terror;High;Myurovsky;X
522053;Chief of Air Force;Valerian Kuybyshev;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;Mkuybyshev;X
522054;Foreign Minister;Vadim Podbelsky;1936;1964;1999;LWR;Great Compromiser;High;Mpodbelsky;X
522055;Foreign Minister;Piotr Yakovlevich Derber;1936;1964;1999;SC;Apologetic Clerk;High;Mderber;X
