ECU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
40049;Head of Government;Gustavo Becerra Páz;1937;1964;1999;LWR;Ambitious Union Boss;High;M40021;X
40050;Head of Government;Enrique Gil Gilbert;1940;1964;1999;LWR;Political Protege;High;M40023;X
40051;Head of Government;José María Velasco Ibarra;1936;1964;1999;SC;Ambitious Union Boss;High;M40033;X
40052;Head of Government;Camillo Ponce Enríquez;1936;1964;1999;SC;Corporate Suit;High;M40034;X
40053;Head of Government;Aurelio Mosquera Narváez;1936;1964;1999;ML;Backroom Backstabber;High;M40006;X
40054;Head of Government;Andrés de Córdova Nieto;1939;1964;1999;SL;Happy Amateur;High;M40036;X
40055;Head of Government;Antonio Pons Campuzano;1936;1964;1999;SC;Naive Optimist;High;M40037;X
40056;Head of Government;Carlos Arosemena Tola;1936;1964;1999;SC;Old Airmarshal;High;M40038;X
40057;Head of Government;Juan de Diaz Mera;1937;1964;1999;ML;Corporate Suit;High;M40015;X
40059;Head of Government;Isidro Ayora Cueva;1936;1964;1999;ML;Political Protege;High;M40041;X
40060;Head of Government;Carlos M. Larrea;1936;1964;1999;SC;Naive Optimist;High;M40042;X
40061;Head of Government;Gilberto Enríquez Gallo;1937;1964;1999;PA;Old General;High;M40008;X
40062;Head of Government;Manuel Borrero Gonzalez;1936;1964;1999;PA;Political Protege;High;M40044;X
40063;Head of Government;Julio Moreno Pe?aherrera;1936;1964;1999;ML;Old Admiral;High;M40045;X
40064;Head of Government;Benigno Andrade Flores;1936;1964;1999;PA;Old General;High;M40007;X
40065;Head of Government;Julio Salém Gallegos;1936;1964;1999;ML;Old General;High;M40047;X
40066;Head of Government;Carlos Mancheno Cajas;1936;1964;1999;FA;Smiling Oilman;High;M40048;X
40067;Foreign Minister;Enrique Gil Gilbert;1937;1964;1999;LWR;Great Compromiser;Medium;M40023;X
40068;Foreign Minister;José María Velasco Ibarra;1936;1964;1999;SC;Apologetic Clerk;Medium;M40068;X
40069;Foreign Minister;Camillo Ponce Enríquez;1936;1964;1999;SC;Iron Fisted Brute;High;M40034;X
40070;Foreign Minister;Juan Vicente Trujillo;1945;1964;1999;SD;The Cloak N Dagger Schemer;High;M40070;X
40071;Foreign Minister;Gustavo Becerra Páz;1947;1964;1999;LWR;Ideological Crusader;Very Low;M40021;X
40072;Foreign Minister;José Benitez Aparacio;1939;1964;1999;SL;Iron Fisted Brute;Medium;M40072;X
40074;Foreign Minister;Miquel Andramonte;1940;1964;1999;SL;Apologetic Clerk;Medium;M40074;X
40199;Foreign Minister;Marcos Gandara Enriquez;1936;1964;1999;PA;General Staffer;Medium;ECU_Marcos_Gandara_Enriquez;X
40200;Minister of Armament;Robalino Davila Luis;1936;1964;1999;SL;Industrialiser;Medium;;X
40075;Foreign Minister;Antonio Pons Campuzano;1936;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M40037;X
40077;Foreign Minister;Rafael Vasco?ez;1941;1964;1999;SC;Iron Fisted Brute;Medium;M40077;X
40078;Foreign Minister;Riccardo Orespo Ordo?ez;1942;1964;1999;SC;Great Compromiser;Medium;M40078;X
40079;Foreign Minister;Francisco Guarderas Pérez;1936;1944;1999;SC;Ideological Crusader;Medium;M40079;X
40080;Foreign Minister;Juan de Diaz Mera;1936;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M40015;X
40081;Foreign Minister;Luis Bossano;1937;1964;1999;PA;Ideological Crusader;Medium;M40081;X
40083;Foreign Minister;Benigno Andrade Flores;1936;1964;1999;PA;General Staffer;Medium;M40007;X
40084;Minister of Armament;José María Velasco Ibarra;1936;1964;1999;SC;Infantry Proponent;Medium;M40068;X
40085;Minister of Armament;Neptalí Bonifaz Ascásubi;1936;1964;1999;SC;Administrative Genius;Medium;M40028;X
40086;Minister of Armament;Carlos Arosemena Tola;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M40038;X
40087;Minister of Armament;Nicolas Delgado;1947;1964;1999;SD;Tank Proponent;Medium;M40024;X
40088;Minister of Armament;Aurelio Mosquera Narváez;1936;1964;1999;ML;Battle Fleet Proponent;High;M40006;X
40089;Minister of Armament;Antonio Pons Campuzano;1936;1964;1999;SC;Corrupt Kleptocrat;Medium;M40037;X
40090;Minister of Armament;Federico Páez Chiriboaga;1936;1964;1999;SD;Air to Sea Proponent;Medium;M40001;X
40198;Minister of Armament;Matilde Hidalgo Navarro;1936;1964;1999;SD;Industrialiser;Medium;ECU_Matilde_Hidalgo_Navarro;X
40091;Minister of Armament;Miquel Andramonte;1944;1964;1999;SL;Air Superiority Proponent;Medium;M40074;X
40092;Minister of Armament;Fabian Del Castello;1937;1964;1999;SC;Laissez-Faire Capitalist;Medium;M40004;X
40093;Minister of Armament;Juan de Diaz Mera;1936;1964;1999;ML;Corrupt Kleptocrat;Medium;M40015;X
40094;Minister of Armament;Galo Plaza Lasso;1936;1964;1999;ML;Resource Industrialist;High;M40094;X
40095;Minister of Armament;Julio Moreno Pe?aherrera;1936;1964;1999;ML;Theoretical Scientist;High;M40045;X
40096;Minister of Armament;Isidro Ayora Cueva;1936;1964;1999;ML;Submarine Proponent;Medium;M40041;X
40097;Minister of Armament;Carlos Arroyo del Río;1936;1964;1999;ML;Air to Ground Proponent;Medium;M40040;X
40098;Minister of Armament;Gustave Uriarte;1936;1964;1999;PA;Corrupt Kleptocrat;Low;M40014;X
40099;Minister of Armament;Carlos M. Larrea;1936;1964;1999;SC;Administrative Genius;Medium;M40042;X
40100;Minister of Security;Carlos Guevara;1937;1964;1999;SD;Man of the People;High;M40100;X
40101;Minister of Security;Juan Vicente Trujillo;1941;1964;1999;SD;Efficient Sociopath;High;M40070;X
40102;Minister of Security;José María Velasco Ibarra;1936;1964;1999;SC;Back Stabber;Medium;M40068;X
40103;Minister of Security;Alberto Montalvo Pérez;1936;1964;1999;SL;Back Stabber;Medium;M40103;X
40104;Minister of Security;Gustavo Las Salas;1941;1964;1999;SL;Crime Fighter;Medium;M40104;X
40105;Minister of Security;Antonio Pons Machado;1937;1964;1999;SC;Silent Lawyer;Low;M40105;X
40106;Minister of Security;Carlos Arosemena Tola;1936;1964;1999;SC;Compassionate Gentleman;High;M40038;X
40107;Minister of Security;Rafael Vasco?ez;1942;1964;1999;SC;Crime Fighter;Medium;M40077;X
40108;Minister of Security;Isidro Ayora Cueva;1936;1964;1999;ML;Prince of Terror;Medium;M40041;X
40109;Minister of Security;Juan de Diaz Mera;1947;1964;1999;ML;Crooked Kleptocrat;Medium;M40015;X
40110;Minister of Security;Manuel Borrero Gonzalez;1936;1964;1999;PA;Compassionate Gentleman;Medium;M40044;X
40111;Minister of Security;Julio Moreno Pe?aherrera;1936;1964;1999;ML;Man of the People;High;M40045;X
40112;Minister of Security;Camillo Ponce Enríquez;1936;1964;1999;SC;Crooked Kleptocrat;High;M40034;X
40204;Minister of Security;Cabrera Sevilla Gral. Luis;1936;1964;1999;PA;Crime Fighter;High;ECU_Cabrera_Sevilla_Gral_Luis;X
40205;Chief of Army;Cabrera Sevilla Gral. Luis;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;ECU_Cabrera_Sevilla_Gral_Luis;X
40113;Head of Military Intelligence;Gustavo Becerra Páz;1937;1964;1999;LWR;Technical Specialist;Medium;M40021;X
40114;Head of Military Intelligence;Nicolas Delgado;1941;1964;1999;LWR;Naval Intelligence Specialist;Low;M40024;X
40116;Head of Military Intelligence;Alberto Larrea Chiriboaga;1936;1964;1999;SL;Logistics Specialist;Medium;M40003;X
40117;Head of Military Intelligence;Davide Flores;1939;1964;1999;SL;Industrial Specialist;Medium;M40005;X
40118;Head of Military Intelligence;Antonio de Quevado;1941;1964;1999;ML;Technical Specialist;Medium;M40118;X
40196;Foreign Minister;Antonio de Quevado;1936;1964;1999;ML;Biased Intellectual;Medium;M40118;X
40119;Head of Military Intelligence;Ramon Baquerizo Davila;1947;1964;1999;SL;Dismal Enigma;Medium;M40119;X
40120;Head of Military Intelligence;Carlos M. Larrea;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M40042;X
40121;Head of Military Intelligence;Rafael Vasco?ez;1940;1964;1999;SC;Technical Specialist;Medium;M40077;X
40202;Minister of Security;Rafael Valdez Murillo;1936;1964;1999;SC;Silent Lawyer;Medium;;X
40203;Minister of Security;Bravo Gonzalez Luis;1936;1964;1999;SD;Compassionate Gentleman;Medium;ECU_Bravo_Gonzalez_Luis;X
40122;Head of Military Intelligence;Francisco Guarderas Pérez;1936;1944;1999;SC;Political Specialist;Medium;M40079;X
40123;Head of Military Intelligence;Aurelio Mosquera Narváez;1938;1964;1999;PA;Logistics Specialist;Medium;M40006;X
40124;Head of Military Intelligence;Guillermo Freire Posso;1936;1964;1999;PA;Industrial Specialist;Medium;M40016;X
40125;Head of Military Intelligence;Carlos Mancheno Cajas;1936;1964;1999;FA;Dismal Enigma;Low;M40048;X
40192;Head of Military Intelligence;Carlos Mancheno Cajas;1936;1964;1999;SD;Dismal Enigma;Low;M40048;X
40126;Chief of Staff;Luis Larrea Alba;1936;1964;1999;PA;School of Psychology;Low;M40027;X
40206;Chief of Army;Luis Larrea Alba;1936;1964;1999;PA;Static Defence Doctrine;Low;M40027;X
40127;Chief of Staff;Julio Salém Gallegos;1936;1964;1999;ML;School of Fire Support;High;M40047;X
40129;Chief of Staff;Alberto Enríquez Gallo;1936;1964;1999;PA;School of Manoeuvre;Low;M40008;X
40130;Chief of Staff;Ramon Baquerizo Davila;1939;1964;1999;SL;School of Fire Support;Medium;M40119;X
40131;Chief of Staff;Juan de Diaz Mera;1937;1964;1999;ML;School of Psychology;Medium;M40015;X
40133;Chief of Staff;Carlos M. Larrea;1936;1964;1999;SC;School of Fire Support;Medium;M40042;X
40135;Chief of Staff;Hugo Endara Pe?aherrera;1936;1964;1999;PA;School of Manoeuvre;Medium;M40019;X
40136;Chief of Staff;Guillermo Freire Posso;1936;1964;1999;PA;School of Mass Combat;Medium;M40016;X
40201;Minister of Armament;Guillermo Freire Posso;1936;1964;1999;PA;Infantry Proponent;Medium;M40016;X
40137;Chief of Staff;Carlos Mancheno Cajas;1936;1964;1999;NS;School of Fire Support;Low;M40048;X
40138;Chief of Army;Neptalí Bonifaz Ascásubi;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M40028;X
40139;Chief of Army;Ramon Baquerizo Davila;1941;1964;1999;SD;Static Defence Doctrine;Medium;M40139;X
40140;Chief of Army;Carlos Hidalgo Garcia;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M40140;X
40143;Chief of Army;Rodolfo Larrea Alba;1947;1964;1999;SC;Static Defence Doctrine;Low;M40027;X
40148;Chief of Army;Luis Cabrera Sevilla;1940;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M40018;X
40149;Chief of Army;Juan Pablo Martinez Iguarte;1947;1964;1999;PA;Elastic Defence Doctrine;Medium;M40149;X
40150;Chief of Navy;Gustavo Becerra Páz;1937;1964;1999;LWR;Base Control Doctrine;Medium;M40021;X
40151;Chief of Navy;Jorge Escobedo Duarte;1945;1964;1999;SD;Open Seas Doctrine;Medium;M40151;X
40153;Chief of Navy;Hugo Endara Pe?aherrera;1941;1964;1999;SL;Indirect Approach Doctrine;Medium;M40019;X
40155;Chief of Navy;Ramon Moran Valverde;1936;1964;1999;SC;Base Control Doctrine;Medium;M40155;X
40208;Chief of Navy;Victor Leonidas Narjano Fiallo;1936;1964;1999;SD;Power Projection Doctrine;Medium;ECU_Victor_Leonidas_Naranjo_Fiallo;X
40193;Head of State;Ricardo Paredes Romero;1936;1964;1999;LE;Powerhungry Demagogue;Medium;ECU_Ricardo_Romero;X
40194;Head of State;Dolores Cacuango;1936;1964;1999;ST;Totalist President;Medium;ECU_Dolores_Cacuango;X
40156;Chief of Navy;Hugo Endara Pe?aherrera;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M40019;X
40157;Chief of Navy;Jorge Escobedo Duarte;1944;1964;1999;PA;Open Seas Doctrine;Medium;M40151;X
40158;Chief of Air Force;Juan Bayardo Tobar;1937;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M40030;X
40162;Chief of Air Force;Julio Salém Gallegos;1936;1964;1999;ML;Air Superiority Doctrine;High;M40047;X
40209;Chief of Air Force;Bayardo Tovar;1936;1964;1999;LWR;Army Aviation Doctrine;High;L200029;X
40163;Chief of Air Force;Ramon Castro Jíjon;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M40020;X
40207;Chief of Navy;Ramon Castro Jíjon;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M40020;X
40165;Chief of Army;Uriarte Fanquil del Ponte;1939;1964;1999;SL;Elastic Defence Doctrine;Low;M40142;X
40168;Head of State;Carlos Arroyo del Río;1936;1964;1999;ML;Powerhungry Demagogue;High;M40040;X
40169;Head of Government;Carlos Arroyo del Río;1939;1964;1999;ML;Flamboyant Tough Guy;High;M40040;X
40170;Head of State;Mariano Suárez Veintimilla;1936;1964;1999;SC;Benevolent Gentleman;High;M40168;X
40171;Head of Government;Mariano Suárez Veintimilla;1936;1964;1999;SC;Happy Amateur;High;M40168;X
40172;Foreign Minister;Alberto Larrea Chiriboaga;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M40003;X
40174;Foreign Minister;Julio Topar Donoso;1941;1964;1999;SC;General Staffer;Medium;M40082;X
40175;Foreign Minister;Francisco Guarderas Pérez;1944;1964;1999;SD;Great Compromiser;Medium;M40079;X
40197;Head of Military Intelligence;Francisco Guarderas Pérez;1944;1964;1999;SD;Political Specialist;Medium;M40079;X
40015;Minister of Security;Juan de Diaz Mera;1936;1964;1999;ML;Crooked Kleptocrat;Medium;M40015;X
40176;Head of State;Galo Plaza Lasso;1948;1964;1999;ML;Insignificant Layman;High;M40094;X
40177;Head of Government;Galo Plaza Lasso;1936;1964;1999;ML;Silent Workhorse;High;M40094;X
40178;Head of State;Neptalí Bonifaz Ascásubi;1936;1964;1999;SC;Die-hard Reformer;Medium;M40028;X
40179;Head of Government;Neptalí Bonifaz Ascásubi;1936;1964;1999;SC;Naive Optimist;Medium;M40028;X
40180;Head of State;Alfredo Baquerizo Moreno;1936;1964;1999;SL;Die-hard Reformer;Medium;ECU_alfredo_baquerizo_moreno;X
40181;Head of Government;Alfredo Baquerizo Moreno;1936;1964;1999;SL;Silent Workhorse;Medium;ECU_alfredo_baquerizo_moreno;X
40182;Head of State;Alberto Enríquez Gallo;1936;1964;1999;PA;Weary Stiffneck;Low;M40008;X
40183;Head of Government;Alberto Enríquez Gallo;1936;1964;1999;PA;Happy Amateur;Low;M40008;X
40195;Head of State;Nela Martínez Espinosa;1936;1964;1999;LWR;Die-hard Reformer;Low;ECU_Nela_Espinoza;X
40184;Head of State;Clemente Yerovi Indaburu;1936;1964;1999;SC;Popular Figurehead;Low;ECU_clemente_yerovi_indaburu;X
40185;Head of Government;Clemente Yerovi Indaburu;1936;1964;1999;SC;Flamboyant Tough Guy;Low;ECU_clemente_yerovi_indaburu;X
40186;Head of State;Luis Larrea Alba;1937;1964;1999;PA;Resigned Generalissimo;Low;M40027;X
40187;Head of Government;Luis Larrea Alba;1936;1964;1999;PA;Old General;Low;M40027;X
40188;Head of State;Carlos Julio Arosemena Monroy;1937;1964;1999;ML;Pig-headed Isolationist;Low;ECU_carlos_julio_arosemena_monroy;X
40189;Head of Government;Carlos Julio Arosemena Monroy;1937;1964;1999;ML;Silent Workhorse;Low;ECU_carlos_julio_arosemena_monroy;X
40190;Head of State;Sixto Durán Ballén;1960;1964;1999;SC;Die-hard Reformer;Low;ECU_sixto_ballen;X
40191;Head of Government;Sixto Durán Ballén;1960;1964;1999;SC;Corporate Suit;Low;ECU_sixto_ballen;X
