DEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
16069;Minister of Armament;C.V. Bramsnæs;1924;1954;1999;SD;Balanced Budget Economy;High;M16069;X
16070;Minister of Armament;Alfred Jensen;1938;1964;1999;ST;Planned Economy Proponent;High;M16024;X
16071;Minister of Armament;Niels Bohr;1945;1964;1999;LWR;Theoretical Scientist;Very High;M16071;X
16072;Minister of Security;Thorvald Stauning;1937;1964;1999;SD;Crime Fighter;Very High;M16002;X
16074;Minister of Security;Peter Christian Schou;1936;1964;1999;SL;Back Stabber;High;M16074;X
16076;Minister of Security;Eigil Thune Jacobsen;1941;1964;1999;SL;Compassionate Gentleman;High;M16076;X
16077;Minister of Security;J.C. Jorgensen;1945;1964;1999;SL;Man of the People;High;M16077;X
16078;Minister of Security;Harald Petersen;1936;1964;1999;SC;Crime Fighter;Very High;M16078;X
16079;Minister of Security;Didrik G. Nyholm;1936;1964;1999;ML;Compassionate Gentleman;High;M16079;X
16080;Minister of Security;Ivar Stamm;1945;1964;1999;ML;Crime Fighter;High;M16080;X
16081;Minister of Security;Svend Asbjørn Holten;1946;1964;1999;SC;Prince of Terror;High;M16081;X
16082;Minister of Security;Knud Bach;1938;1964;1999;NS;Prince of Terror;Very Low;M16015;X
16083;Minister of Security;Otto Bovensiepen;1943;1964;1999;PA;Prince of Terror;Medium;M16045;X
16084;Minister of Security;Arthur Dahl;1944;1964;1999;PA;Man of the People;Very High;M16084;X
16085;Minister of Security;Borge Houmann;1938;1964;1999;LWR;Efficient Sociopath;High;M16025;X
16086;Minister of Security;Knud Jespersen;1945;1964;1999;ST;Man of the People;High;M16086;X
16087;Head of Military Intelligence;Laust Jensen Moltesen;1936;1964;1999;SL;Industrial Specialist;Very High;M16087;X
16088;Head of Military Intelligence;Ejnar Warum;1942;1964;1999;SD;Dismal Enigma;Very High;M16088;X
16089;Head of Military Intelligence;Halvor Peitersen;1942;1964;1999;SL;Political Specialist;Very High;M16089;X
16090;Head of Military Intelligence;Hans M. Lunding;1950;1964;1999;ML;Logistics Specialist;High;M16090;X
16091;Head of Military Intelligence;H.C. Hansen;1945;1964;1999;SD;Technical Specialist;Very High;M16091;X
16092;Head of Military Intelligence;Niels Frederiksen;1936;1964;1999;ML;Political Specialist;High;M16092;X
16093;Head of Military Intelligence;Axel Linvald;1942;1964;1999;ML;Dismal Enigma;High;M16093;X
16095;Head of Military Intelligence;Einar Nordentoft;1938;1961;1999;SL;Logistics Specialist;High;LEinar_Mygdal_Nordentoft;X
16096;Head of Military Intelligence;Georg Frederiksen;1943;1964;1999;PA;Industrial Specialist;High;M16096;X
16097;Head of Military Intelligence;Eigil Larsen;1938;1964;1999;ST;Naval Intelligence Specialist;High;M16026;X
16098;Head of Military Intelligence;Niels Bohr;1945;1964;1999;LWR;Technical Specialist;Very High;M16071;X
16100;Chief of Staff;Hans A. Rolsted;1938;1949;1999;SL;School of Fire Support;High;L9513;X
16101;Chief of Staff;William Nebendahl;1942;1964;1999;SL;School of Manoeuvre;High;M16101;X
16102;Chief of Staff;Vilhelm La Cour;1945;1964;1999;SD;School of Psychology;High;M16102;X
16103;Chief of Staff;Ebbe Gørtz;1937;1951;1999;ML;School of Psychology;High;L9505;X
16105;Chief of Staff;Christian P. Kryssing;1939;1956;1999;FA;School of Fire Support;High;L9509;X
16106;Chief of Staff;William Nebendahl;1944;1964;1999;PA;School of Manoeuvre;High;M16101;X
16107;Chief of Staff;Svend Wagner;1945;1960;1999;LWR;School of Psychology;High;M16027;X
16109;Chief of Army;Wilhelm W. Prior;1939;1941;1999;ML;Elastic Defence Doctrine;High;L9512;X
16110;Chief of Army;Christian X;1942;1964;1999;SD;Decisive Battle Doctrine;Low;M16001;X
16111;Chief of Army;Peter Christian Schou;1945;1964;1999;SD;Guns and Butter Doctrine;High;M16074;X
16112;Chief of Army;Ebbe Gørtz;1941;1951;1999;ML;Doctrine of Autonomy;High;L9505;X
16115;Chief of Army;F. von Schalburg;1938;1964;1999;NS;Guns and Butter Doctrine;Low;M16018;X
16116;Chief of Army;Arthur Dahl;1943;1964;1999;PA;Guns and Butter Doctrine;Very High;M16084;X
16117;Chief of Army;Borge Thing;1938;1964;1999;LWR;Elastic Defence Doctrine;High;M16028;X
16119;Chief of Navy;Aage H. Vedel;1941;1959;1999;SL;Open Seas Doctrine;High;L9523;X
16120;Chief of Navy;Emmanuel Briand de Crèvecoeur;1932;1947;1999;SC;Coastal Defence Doctrine;High;L9518;X
16121;Chief of Navy;Carl Hammerich;1940;1953;1999;ML;Open Seas Doctrine;High;L9519;X
16123;Minister of Armament;Hjalmar Rechnitzer;1932;1940;1999;SL;Submarine Proponent;High;M16009;X
16124;Chief of Navy;Victor Lorck;1925;1938;1999;SC;Decisive Naval Battle Doctrine;High;LVictor_Lorentz_Lorck;X
16126;Chief of Navy;Knud Jespersen;1945;1964;1999;ST;Power Projection Doctrine;High;M16086;X
16128;Chief of Air Force;Kurt Ramberg;1955;1970;1999;SL;Tactical Aviation Doctrine;High;LKurt_Rudolph_Ramberg;X
16129;Chief of Air Force;Kaj Birksted;1948;1970;1999;SL;Air Superiority Doctrine;High;L9525;X
16131;Chief of Air Force;Torben P.A. Ørum;1940;1965;1999;ML;Aviation Organizer;High;L9530;X
16134;Chief of Air Force;Tage Andersen;1948;1964;1999;ML;Tactical Aviation Doctrine;High;L9524;X
16135;Chief of Air Force;Aksel Larsen;1938;1964;1999;ST;Air Superiority Doctrine;Very High;M16021;X
16137;Head of State;H.K.M. Christian X;1936;1948;1999;PA;Weary Stiffneck;High;M16001;X
16138;Head of State;H.K.M. Frederik IX;1947;1970;1999;SD;Popular Figurehead;High;M16138;X
16139;Head of State;H.K.M. Frederik IX;1947;1970;1999;ML;Popular Figurehead;High;M16138;X
16140;Head of State;Knud Bach;1945;1964;1999;FA;Pig-headed Isolationist;High;M16015;X
16141;Head of Government;Knud Bach;1945;1964;1999;FA;Smiling Oilman;High;M16015;X
16142;Chief of Air Force;Poul Sommer;1945;1970;1999;FA;Army Aviation Doctrine;High;M16016;X
16143;Head of Government;Hans Hedtoft;1942;1964;1999;SD;Happy Amateur;High;M16049;X
16144;Foreign Minister;Gustav Rasmussen;1947;1964;1999;SD;Biased Intellectual;Medium;M16053;X
16145;Minister of Armament;H.C. Hansen;1947;1964;1999;SD;Submarine Proponent;High;M16091;X
16146;Minister of Security;Alsing Andersen;1947;1964;1999;SD;Compassionate Gentleman;High;M16004;X
16147;Head of Government;Erik Eriksen;1950;1964;1999;ML;Naive Optimist;High;M16147;X
16148;Minister of Armament;Thorkild Kristensen;1950;1964;1999;ML;Administrative Genius;High;M16148;X
16149;Minister of Security;Aksel Moller;1950;1964;1999;SC;Silent Lawyer;High;M16149;X
16150;Foreign Minister;H.C. Hansen;1953;1964;1999;SD;Ideological Crusader;Medium;M16091;X
16151;Minister of Security;Johannes Kjerboll;1953;1964;1999;SD;Crime Fighter;High;M16151;X
16152;Head of State;Christian Eli Christensen;1936;1964;1999;LE;Powerhungry Demagogue;High;KREli;X
16153;Head of Government;Halfdan Rasmussen;1936;1964;1999;LE;Happy Amateur;High;KRHalfdan;X
16154;Foreign Minister;Martin Andersen Nexø;1936;1964;1999;LE;Ideological Crusader;High;KRNexo;X
16155;Minister of Security;Hans Scherfig;1936;1964;1999;LE;Man of the People;High;KRScherfig;X
16156;Chief of Staff;Christian Eli Christensen;1936;1964;1999;LE;School of Mass Combat;High;KREli;X
16157;Minister of Armament;Poul Gissemann;1936;1964;1999;LE;Industrialiser;High;KRGissemand;X
16158;Head of Military Intelligence;Asger Jorn;1936;1964;1999;LE;Dismal Enigma;High;KRJorn;X
16159;Chief of Air Force;Andreas Fritzner;1936;1964;1999;LE;Vertical Envelopment Doctrine;High;KRFritzner;X
16160;Chief of Army;Thøger Thøgersen;1936;1964;1999;LE;Elastic Defence Doctrine;High;KRThøger;X
16161;Chief of Navy;Richard Jensen;1936;1970;1999;LE;Base Control Doctrine;Very High;KRJensen;X
16162;Foreign Minister;Kristian Knudtzon;1939;1958;1999;SL;General Staffer;High;L9508;X
16163;Foreign Minister;Otto Blixenkrone-Møller;1956;1970;1999;ML;General Staffer;High;LOtto_Blixenkrone-Moller;X
16164;Minister of Armament;Charles Henry Rye;1930;1941;1999;SL;Artillery Proponent;High;MCharles_Henry_Rye;X
16165;Minister of Armament;Tage Hansen;1949;1966;1999;SL;Motorisation Proponent;High;MTage_Hansen;X
16166;Minister of Armament;Johan Daniel Stemann;1932;1957;1999;ML;Military Entrepreneur;High;MJohan_Daniel_Stemann;X
16167;Head of Military Intelligence;Poul Adam Mørch;1935;1963;1999;SL;Naval Intelligence Specialist;High;LPoul_Adam_Morch;X
16168;Head of Military Intelligence;Holger Johan Bahnsen;1951;1966;1999;SL;Technical Specialist;High;LHolger_Johan_Bahnsen;X
16169;Head of Military Intelligence;Ole Brinck-Lund;1960;1970;1999;SL;Naval Intelligence Specialist;High;LOle_Brinck-Lund;X
16170;Head of Military Intelligence;Christian Vegger;1961;1970;1999;SL;Logistics Specialist;High;LAnders_Christian_Bugge_Vegger;X
16171;Chief of Staff;Carl Jacobsen;1934;1943;1999;SL;School of Mass Combat;High;LCarl_Jacobsen;X
16172;Chief of Army;Carl Jacobsen;1934;1943;1999;SL;Elastic Defence Doctrine;High;LCarl_Jacobsen;X
16173;Chief of Staff;Erik C.V. Møller;1946;1961;1999;SL;School of Fire Support;High;LErik_CV_Moller;X
16174;Chief of Army;Erik C.V. Møller;1951;1961;1999;SL;Static Defence Doctrine;High;LErik_CV_Moller;X
16175;Chief of Staff;Einar Nordentoft;1950;1961;1999;SL;School of Psychology;High;LEinar_Mygdal_Nordentoft;X
16176;Chief of Staff;Erik Leschly;1936;1945;1999;ML;School of Manoeuvre;High;LErik_Leschly;X
16177;Chief of Army;Erik Leschly;1936;1945;1999;ML;Old Cavalry General;High;LErik_Leschly;X
16178;Chief of Staff;Erik baron Bille-Brahe;1936;1944;1999;SC;School of Fire Support;High;LErik_baron_Bille-Brahe;X
16179;Chief of Staff;Paul Louis Ramm;1936;1947;1999;SC;School of Defence;High;LPaul_Louis_Ramm;X
16180;Chief of Army;Paul Louis Ramm;1936;1947;1999;SC;Static Defence Doctrine;High;LPaul_Louis_Ramm;X
16181;Minister of Armament;Paul Louis Ramm;1936;1947;1999;SC;Air to Ground Proponent;High;LPaul_Louis_Ramm;X
16182;Chief of Staff;Svend Erik Johnstad-Møller;1948;1959;1999;SC;School of Mass Combat;High;LSvend_Erik_Johnstad-Moller;X
16183;Chief of Army;Svend Erik Johnstad-Møller;1951;1959;1999;SC;Elastic Defence Doctrine;High;LSvend_Erik_Johnstad-Moller;X
16184;Chief of Staff;Erik Kragh;1951;1966;1999;SC;School of Psychology;High;LErik_Kragh;X
16185;Chief of Staff;Svend Schjødt-Eriksen;1951;1970;1999;SC;School of Fire Support;High;L9532;X
16186;Chief of Air Force;Svend Schjødt-Eriksen;1951;1970;1999;SC;Air Defence Doctrine;High;L9532;X
16187;Chief of Army;Aage Falking;1936;1951;1999;SL;Guns and Butter Doctrine;High;MAage_Falking;X
16188;Chief of Army;Dietrich Anselmo Wieth-Knudsen;1956;1970;1999;SL;Combat Engineering Doctrine;High;LDietrich_Anselmo_Wieth-Knudsen;X
16189;Chief of Army;Vagn Bennike;1943;1953;1999;ML;Combat Engineering Doctrine;High;L9502;X
16190;Chief of Army;Niels Erik Leschly;1955;1970;1999;ML;Armoured Spearhead Doctrine;High;LNiels_Erik_Leschly;X
16191;Chief of Army;Carl Viggo Hjalf;1957;1965;1999;SC;Decisive Battle Doctrine;High;L9531;X
16192;Chief of Army;Christian P. Kryssing;1943;1956;1999;FA;Innovative Artillery Officer;High;L9509;X
16193;Chief of Navy;Carl Henrik Axel Madsen;1952;1963;1999;SD;Coastal Defence Doctrine;High;MCarl_Henrik_Axel_Madsen;X
16194;Chief of Navy;Aage Linde;1958;1969;1999;SD;Indirect Approach Doctrine;High;LAage_Linde;X
16195;Chief of Navy;Paul Ipsen;1937;1949;1999;SL;Coastal Defence Doctrine;High;LPaul_Ipsen;X
16196;Chief of Navy;Peder Carl Sophus Jensen;1933;1956;1999;SL;Hydrographic Service Proponent;High;MPeder_Carl_Sophus_Jensen;X
16197;Chief of Navy;Kai Hammerich;1939;1958;1999;SL;Merchant Navy Focus;High;LKai_Hammerich;X
16198;Chief of Navy;Hans Alfred Nyholm;1948;1963;1999;SL;Indirect Approach Doctrine;High;LHans_Alfred_Nyholm;X
16199;Chief of Navy;Kaj Lundsteen;1949;1963;1999;SL;Coastal Defence Doctrine;High;LKaj_Lundsteen;X
16200;Chief of Navy;Sven Støckel Thostrup;1962;1970;1999;SL;Decisive Naval Battle Doctrine;High;LSven_Stockel_Thostrup;X
16201;Chief of Navy;Knud Krieger von Lowzow;1940;1948;1999;ML;Indirect Approach Doctrine;High;LKnud_Krieger_vonLowzow;X
16202;Chief of Navy;J.A. Kørbing;1939;1964;1999;ML;Merchant Navy Focus;High;MJohannes_Alfred_Korbing;X
16203;Chief of Navy;Erhard Qvistgaard;1950;1963;1999;ML;Power Projection Doctrine;High;LEJC_Qvistgaard;X
16204;Foreign Minister;Erhard Qvistgaard;1950;1963;1999;ML;Great Compromiser;High;LEJC_Qvistgaard;X
16205;Chief of Navy;Svend Pontoppidan;1951;1965;1999;ML;Indirect Approach Doctrine;High;L9520;X
16206;Chief of Navy;Svend Koefoed Wodschow;1941;1959;1999;FA;Decisive Naval Battle Doctrine;High;LSvend_Koefoed_Wodschow;X
16207;Chief of Air Force;Aage Højland Christensen;1952;1967;1999;SD;Air Defence Doctrine;High;LAage_Hojland_Christensen;X
16208;Chief of Air Force;Poul Zigler;1957;1970;1999;SD;Naval Aviation Doctrine;High;LPoul_Zigler;X
16209;Chief of Air Force;Asger Grandjean;1925;1948;1999;SL;Naval Aviation Doctrine;High;LAsger_Emil_Valdemar_Grandjean;X
16210;Minister of Armament;Asger Grandjean;1925;1948;1999;SL;Air to Sea Proponent;High;LAsger_Emil_Valdemar_Grandjean;X
16211;Chief of Air Force;Povl Scheibel;1941;1958;1999;ML;Naval Aviation Doctrine;High;LPovl_Scheibel;X
16212;Chief of Air Force;Erik Rasmussen;1950;1968;1999;ML;Naval Aviation Doctrine;High;LErik_Rasmussen;X
16213;Minister of Armament;Erik With;1931;1939;1999;SC;Reformer;High;L9517;X
