GUI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
537084;Chief of Staff;François-Joseph Amon d'Aby;1939;1964;1999;ML;School of Mass Combat;Very High;d'Aby;X
537085;Chief of Staff;Mamba Sano;1945;1964;1999;ML;School of Fire Support;Very High;Sano;X
537086;Chief of Army;Comigna Sano;1936;1964;1999;ML;Guns and Butter Doctrine;Very High;unknown;X
537087;Chief of Army;François-Joseph Amon d'Aby;1939;1964;1999;ML;Decisive Battle Doctrine;Very High;d'Aby;X
537088;Chief of Army;Mamba Sano;1945;1964;1999;ML;Armoured Spearhead Doctrine;Very High;Sano;X
537089;Chief of Navy;Keita Fodiba;1941;1964;1999;ML;Power Projection Doctrine;Very High;M537019;X
537090;Chief of Navy;Christian Lattier;1945;1964;1999;ML;Indirect Approach Doctrine;Very High;Lattier;X
537091;Chief of Navy;Frédéric Bruly Bouabré;1943;1964;1999;ML;Open Seas Doctrine;Very High;Bouabré;X
537092;Chief of Air Force;Keita Fodiba;1941;1964;1999;ML;Naval Aviation Doctrine;Very High;M537019;X
537093;Chief of Air Force;Louis Lansana Beavogui;1943;1964;1999;ML;Carpet Bombing Doctrine;Very High;Beavogui;X
537094;Head of State;Herbert Christian Bankole-Bright;1936;1964;1999;SL;Die-hard Reformer;Very High;unknown;X
537095;Head of Government;Herbert Christian Bankole-Bright;1936;1964;1999;SL;Ambitious Union Boss;Very High;unknown;X
537096;Foreign Minister;Henry Josiah Lightfoot Boston;1936;1964;1999;SL;Biased Intellectual;Very High;Boston;X
537097;Foreign Minister;Bernard Binlin Dadié;1936;1964;1999;SL;Iron Fisted Brute;Very High;Dadié;X
537098;Foreign Minister;Herbert Christian Bankole-Bright;1936;1964;1999;SL;The Cloak N Dagger Schemer;Very High;unknown;X
537099;Minister of Armament;Herbert Christian Bankole-Bright;1936;1964;1999;SL;Administrative Genius;Very High;unknown;X
537100;Minister of Armament;Ella Koblo Gulama;1941;1964;1999;SL;Air to Ground Proponent;Very High;M554022;X
537101;Minister of Armament;John William Campbell;1936;1964;1999;SL;Air Superiority Proponent;Very High;unknown;X
537102;Minister of Armament;William John Campbell;1936;1964;1999;SL;Battle Fleet Proponent;Very High;unknown;X
537103;Minister of Armament;Henry Josiah Lightfoot Boston;1936;1964;1999;SL;Theoretical Scientist;Very High;Boston;X
537104;Minister of Armament;Noah Arthur William Cox-George;1936;1964;1999;SL;Laissez-Faire Capitalist;Very High;Cox-George;X
537105;Minister of Security;Henry Josiah Lightfoot Boston;1936;1964;1999;SL;Silent Lawyer;Very High;Boston;X
537106;Minister of Security;Herbert Christian Bankole-Bright;1936;1964;1999;SL;Efficient Sociopath;Very High;unknown;X
537107;Minister of Security;Bernard Binlin Dadié;1936;1964;1999;SL;Prince of Terror;Very High;Dadié;X
537108;Minister of Security;Noah Arthur William Cox-George;1936;1964;1999;SL;Compassionate Gentleman;Very High;Cox-George;X
537109;Head of Military Intelligence;Bernard Binlin Dadié;1936;1964;1999;SL;Political Specialist;Very High;Dadié;X
537110;Head of Military Intelligence;Henry Josiah Lightfoot Boston;1936;1964;1999;SL;Technical Specialist;Very High;Boston;X
537111;Head of Military Intelligence;Herbert Christian Bankole-Bright;1936;1964;1999;SL;Dismal Enigma;Very High;unknown;X
537112;Chief of Staff;Jean-Baptiste Mockey;1936;1964;1999;SL;School of Defence;Very High;Mockey;X
537113;Chief of Staff;Ella Koblo Gulama;1941;1964;1999;SL;School of Manoeuvre;Very High;M554022;X
537114;Chief of Army;Jean-Baptiste Mockey;1936;1964;1999;SL;Static Defence Doctrine;Very High;Mockey;X
537115;Chief of Army;Ella Koblo Gulama;1941;1964;1999;SL;Elastic Defence Doctrine;Very High;M554022;X
537116;Chief of Navy;William John Campbell;1936;1964;1999;SL;Decisive Naval Battle Doctrine;Very High;unknown;X
537117;Chief of Navy;Loubo Augustin Djessou;1937;1964;1999;SL;Base Control Doctrine;Very High;Djessou;X
537118;Chief of Air Force;Ella Koblo Gulama;1941;1964;1999;SL;Army Aviation Doctrine;Medium;M554022;X
537119;Chief of Air Force;Loubo Augustin Djessou;1937;1964;1999;SL;Vertical Envelopment Doctrine;Very High;Djessou;X
537120;Chief of Air Force;John William Campbell;1936;1964;1999;SL;Air Superiority Doctrine;Very High;unknown;X
537121;Head of State;H.R.M. Usman IV;1936;1964;1999;PA;Powerhungry Demagogue;High;unknown;X
537122;Head of State;H.R.M. Sewa Saio;1936;1964;1999;PA;Ruthless Powermonger;High;unknown;X
537123;Head of State;McCormack Charles Farrell Easmon;1936;1964;1999;PA;Weary Stiffneck;Very High;unknown;X
537124;Head of Government;Haidara Kontorfilli;1936;1964;1999;PA;Spiritual Leader;High;Kontorfilli;X
537125;Head of Government;Tamba Songu M'briwa;1936;1964;1999;PA;Corporate Suit;High;M'briwa;X
537126;Head of Government;McCormack Charles Farrell Easmon;1936;1964;1999;PA;Backroom Backstabber;Very High;unknown;X
537127;Foreign Minister;Mohammed Sanusi Mustapha;1941;1964;1999;PA;Apologetic Clerk;Very High;M554018;X
537128;Foreign Minister;McCormack Charles Farrell Easmon;1936;1964;1999;PA;The Cloak N Dagger Schemer;Very High;unknown;X
537129;Foreign Minister;Soulemayne Kante;1942;1964;1999;PA;Ideological Crusader;Very High;Kante;X
537130;Foreign Minister;Haidara Kontorfilli;1936;1964;1999;PA;Biased Intellectual;Very High;Kontorfilli;X
537131;Foreign Minister;Abdul Injai;1936;1964;1999;PA;General Staffer;Very High;Injai;X
537132;Foreign Minister;Banja Tejan-sie;1937;1964;1999;PA;Great Compromiser;Very High;M554014;X
537133;Foreign Minister;Christian Alusine Kamara-Taylor;1937;1964;1999;PA;Iron Fisted Brute;Very High;Kamara-Taylor;X
537134;Minister of Armament;Mohammed Sanusi Mustapha;1941;1964;1999;PA;Administrative Genius;Very High;M554018;X
537135;Minister of Armament;Haidara Kontorfilli;1936;1964;1999;PA;Theoretical Scientist;Very High;Kontorfilli;X
537136;Minister of Armament;Abdul Injai;1936;1964;1999;PA;Military Entrepreneur;Very High;Injai;X
537137;Minister of Armament;Rafiji Manareh;1936;1964;1999;PA;Tank Proponent;Very High;M554019;X
537138;Minister of Armament;Abdoulaye Touré;1940;1964;1999;PA;Air Superiority Proponent;Very High;Touré;X
537139;Minister of Armament;Sékou Sanogo;1941;1964;1999;PA;Infantry Proponent;Very High;Sanogo;X
537140;Minister of Armament;Alioune Dramé;1941;1964;1999;PA;Strategic Air Proponent;Very High;unknown;X
537141;Minister of Armament;Banja Tejan-sie;1937;1964;1999;PA;Resource Industrialist;Medium;M554014;X
537142;Minister of Armament;Alpha Oumar Barry;1942;1964;1999;PA;Battle Fleet Proponent;Very High;Barry;X
537143;Minister of Armament;Ali Dausy Wurie;1936;1964;1999;PA;Corrupt Kleptocrat;Very High;Wurie;X
537144;Minister of Armament;Edward Wilmot Blyden III;1938;1964;1999;PA;Laissez-Faire Capitalist;Very High;Blyden;X
537145;Minister of Armament;Ibrahima Barry;1943;1964;1999;PA;Submarine Proponent;Very High;Barry2;X
537146;Minister of Armament;N'Famara Keïta;1944;1964;1999;PA;Air to Ground Proponent;Very High;unknown;X
537147;Minister of Armament;Saifoulaye Diallo;1943;1964;1999;PA;Air to Sea Proponent;Very High;Diallo1;X
537148;Minister of Security;Banja Tejan-sie;1937;1964;1999;PA;Crime Fighter;Very High;M554014;X
537149;Minister of Security;Soulemayne Kante;1942;1964;1999;PA;Man of the People;Very High;Kante;X
537150;Minister of Security;Edward Wilmot Blyden III;1938;1964;1999;PA;Efficient Sociopath;Very High;Blyden;X
537151;Minister of Security;Christian Alusine Kamara-Taylor;1937;1964;1999;PA;Prince of Terror;Very High;Kamara-Taylor;X
537152;Minister of Security;Haidara Kontorfilli;1936;1964;1999;PA;Silent Lawyer;Very High;Kontorfilli;X
537153;Minister of Security;Ali Dausy Wurie;1936;1964;1999;PA;Crooked Kleptocrat;Very High;Wurie;X
537154;Minister of Security;Mohammed Sanusi Mustapha;1941;1964;1999;PA;Compassionate Gentleman;Very High;M554018;X
537155;Minister of Security;McCormack Charles Farrell Easmon;1936;1964;1999;PA;Back Stabber;Very High;unknown;X
537156;Head of Military Intelligence;McCormack Charles Farrell Easmon;1936;1964;1999;PA;Political Specialist;Very High;unknown;X
537157;Head of Military Intelligence;Haidara Kontorfilli;1936;1964;1999;PA;Technical Specialist;Very High;Kontorfilli;X
537158;Head of Military Intelligence;Ali Dausy Wurie;1936;1964;1999;PA;Dismal Enigma;Very High;Wurie;X
537159;Head of Military Intelligence;Abdul Injai;1936;1964;1999;PA;Logistics Specialist;Very High;Injai;X
537160;Head of Military Intelligence;Banja Tejan-sie;1937;1964;1999;PA;Industrial Specialist;Very High;M554014;X
537161;Head of Military Intelligence;Yacine Diallo;1936;1964;1999;PA;Naval Intelligence Specialist;Very High;Diallo2;X
537162;Chief of Staff;Abdul Injai;1936;1964;1999;PA;School of Psychology;Very High;Injai;X
537163;Chief of Staff;Sékou Sanogo;1941;1964;1999;PA;School of Mass Combat;Very High;Sanogo;X
537164;Chief of Staff;Rafiji Manareh;1936;1964;1999;PA;School of Fire Support;Medium;M554019;X
537165;Chief of Staff;David Lansana;1942;1964;1999;PA;School of Defence;Very High;Lansana;X
537166;Chief of Staff;N'Famara Keïta;1944;1964;1999;PA;School of Manoeuvre;Very High;unknown;X
537167;Chief of Army;Abdul Injai;1936;1964;1999;PA;Guns and Butter Doctrine;Very High;Injai;X
537168;Chief of Army;Sékou Sanogo;1941;1964;1999;PA;Decisive Battle Doctrine;Very High;Sanogo;X
537169;Chief of Army;Rafiji Manareh;1936;1964;1999;PA;Armoured Spearhead Doctrine;Very High;M554019;X
537170;Chief of Army;David Lansana;1942;1964;1999;PA;Static Defence Doctrine;Very High;Lansana;X
537171;Chief of Army;N'Famara Keïta;1944;1964;1999;PA;Elastic Defence Doctrine;Very High;unknown;X
537172;Chief of Navy;Ibrahima Barry;1943;1964;1999;PA;Indirect Approach Doctrine;Very High;Barry2;X
537173;Chief of Navy;Amadu Wurie;1936;1964;1999;PA;Base Control Doctrine;Medium;M554021;X
537174;Chief of Navy;Alpha Oumar Barry;1942;1964;1999;PA;Decisive Naval Battle Doctrine;Very High;Barry;X
537175;Chief of Navy;Yacine Diallo;1936;1964;1999;PA;Open Seas Doctrine;Very High;Diallo2;X
537176;Chief of Navy;Saifoulaye Diallo;1943;1964;1999;PA;Power Projection Doctrine;Very High;Diallo1;X
537177;Chief of Air Force;N'Famara Keïta;1944;1964;1999;PA;Army Aviation Doctrine;Very High;unknown;X
537178;Chief of Air Force;Saifoulaye Diallo;1943;1964;1999;PA;Naval Aviation Doctrine;Very High;Diallo1;X
537179;Chief of Air Force;Abdoulaye Touré;1940;1964;1999;PA;Air Superiority Doctrine;Very High;Touré;X
537180;Chief of Air Force;Alioune Dramé;1941;1964;1999;PA;Carpet Bombing Doctrine;Very High;unknown;X
537181;Chief of Air Force;Amadu Wurie;1936;1964;1999;PA;Vertical Envelopment Doctrine;Very High;M554021;X
537182;Head of State;Edwin James Barclay;1936;1964;1999;SC;Barking Buffoon;High;M69001;X
537183;Head of State;William Vacanarat Shadrach Tubman;1940;1964;1999;SC;Ruthless Powermonger;High;M69032;X
537184;Head of State;Alford Russ;1936;1964;1999;SC;Ruthless Powermonger;Medium;LIB_alford_russ;X
537185;Head of Government;Edwin James Barclay;1936;1964;1999;SC;Happy Amateur;High;M69001;X
537186;Head of Government;William Vacanarat Shadrach Tubman;1940;1964;1999;SC;Silent Workhorse;High;M69032;X
537187;Head of Government;Alford Russ;1936;1964;1999;SC;Old General;Medium;LIB_alford_russ;X
537188;Foreign Minister;Frank Emmanuel Tolbert;1936;1964;1999;SC;Apologetic Clerk;Very High;unknown;X
537189;Foreign Minister;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;The Cloak N Dagger Schemer;Very High;M69032;X
537190;Foreign Minister;Lawrence Mitchell;1936;1964;1999;SC;Great Compromiser;Very High;unknown;X
537191;Foreign Minister;Gabriel Lafayette Dennis;1936;1964;1999;SC;Iron Fisted Brute;Medium;M69040;X
537192;Minister of Armament;George S. Padmore;1936;1964;1999;SC;Tank Proponent;Very High;GeorgeSPadmore;X
537193;Minister of Armament;F. E. R. Johnson;1936;1964;1999;SC;Air Superiority Proponent;Very High;FERJohnson;X
537194;Minister of Armament;Alford Russ;1936;1964;1999;SC;Infantry Proponent;Very High;LIB_alford_russ;X
537195;Minister of Armament;J. A. Railey;1936;1964;1999;SC;Strategic Air Proponent;Very High;JARailey;X
537196;Minister of Armament;Van Gibson;1936;1964;1999;SC;Battle Fleet Proponent;Very High;VanGibson;X
537197;Minister of Armament;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Corrupt Kleptocrat;Medium;M69032;X
537198;Minister of Armament;James F. Cooper;1936;1964;1999;SC;Submarine Proponent;Very High;JamesFCooper;X
537199;Minister of Armament;Ashford Sims;1936;1964;1999;SC;Air to Ground Proponent;Very High;AshfordSims;X
537200;Minister of Armament;James D. Jones;1936;1964;1999;SC;Air to Sea Proponent;Very High;JamesDJones;X
537201;Minister of Security;Frank Emmanuel Tolbert;1936;1964;1999;SC;Efficient Sociopath;Very High;unknown;X
537202;Minister of Security;Gabriel Lafayette Dennis;1936;1964;1999;SC;Prince of Terror;Medium;M69040;X
537203;Minister of Security;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Silent Lawyer;Very High;M69032;X
537204;Minister of Security;Lawrence Mitchell;1936;1964;1999;SC;Compassionate Gentleman;Very High;unknown;X
537205;Minister of Security;Edwin James Barclay;1936;1964;1999;SC;Back Stabber;Medium;M69001;X
537206;Head of Military Intelligence;William Richard Tolbert, Jr.;1936;1964;1999;SC;Technical Specialist;Medium;M69064;X
537207;Head of Military Intelligence;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Dismal Enigma;Very High;M69032;X
537208;Head of Military Intelligence;Frank Emmanuel Tolbert;1936;1964;1999;SC;Naval Intelligence Specialist;Very High;unknown;X
537209;Chief of Staff;Alford Russ;1936;1964;1999;SC;School of Mass Combat;Medium;LIB_alford_russ;X
537210;Chief of Staff;George S. Padmore;1936;1964;1999;SC;School of Fire Support;Very High;GeorgeSPadmore;X
537211;Chief of Staff;Ashford Sims;1936;1964;1999;SC;School of Psychology;Very High;AshfordSims;X
537212;Chief of Army;Alford Russ;1936;1964;1999;SC;Decisive Battle Doctrine;Medium;LIB_alford_russ;X
537213;Chief of Army;George S. Padmore;1936;1964;1999;SC;Armoured Spearhead Doctrine;Very High;GeorgeSPadmore;X
537214;Chief of Army;Ashford Sims;1936;1964;1999;SC;Guns and Butter Doctrine;Very High;AshfordSims;X
537215;Chief of Navy;James F. Cooper;1936;1964;1999;SC;Indirect Approach Doctrine;Very High;JamesFCooper;X
537216;Chief of Navy;William H. Carter;1936;1964;1999;SC;Base Control Doctrine;Very High;WilliamHCarter;X
537217;Chief of Navy;Van Gibson;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Very High;VanGibson;X
537218;Chief of Navy;Frank Emmanuel Tolbert;1936;1964;1999;SC;Open Seas Doctrine;Very High;unknown;X
537219;Chief of Navy;James D. Jones;1936;1964;1999;SC;Power Projection Doctrine;Very High;JamesDJones;X
537220;Chief of Air Force;Ashford Sims;1936;1964;1999;SC;Army Aviation Doctrine;Very High;AshfordSims;X
537221;Chief of Air Force;James D. Jones;1936;1964;1999;SC;Naval Aviation Doctrine;Very High;JamesDJones;X
537222;Chief of Air Force;F. E. R. Johnson;1936;1964;1999;SC;Air Superiority Doctrine;Very High;FERJohnson;X
537223;Chief of Air Force;J. A. Railey;1936;1964;1999;SC;Carpet Bombing Doctrine;Very High;JARailey;X
537224;Chief of Air Force;William H. Carter;1936;1964;1999;SC;Vertical Envelopment Doctrine;Very High;WilliamHCarter;X
537225;Head of State;Momolu Massaquoi;1936;1964;1999;PA;Stern Imperialist;Low;LIB_momolu_massaquoi;X
537226;Head of State;Louis Arthur Grimes;1936;1964;1999;PA;Die-hard Reformer;Low;LIB_louis_arthur_grimes;X
537227;Head of State;Al-Haj Massaquoi;1936;1964;1999;PA;Ruthless Powermonger;Low;LIB_alhaj_massaquoi;X
537228;Head of State;James Alexander Adolphus Pierre;1936;1964;1999;PA;Barking Buffoon;Medium;LIB_james_pierre;X
537229;Head of Government;Momolu Massaquoi;1936;1964;1999;PA;Flamboyant Tough Guy;Low;LIB_momolu_massaquoi;X
537230;Head of Government;Louis Arthur Grimes;1936;1964;1999;PA;Silent Workhorse;Low;LIB_louis_arthur_grimes;X
537231;Head of Government;Al-Haj Massaquoi;1936;1964;1999;PA;Political Protege;Low;LIB_alhaj_massaquoi;X
537232;Head of Government;James Alexander Adolphus Pierre;1936;1964;1999;PA;Backroom Backstabber;Medium;LIB_james_pierre;X
537233;Foreign Minister;Momolu Massaquoi;1936;1964;1999;PA;Ideological Crusader;Low;LIB_momolu_massaquoi;X
537234;Foreign Minister;Joseph Rudolph Grimes;1945;1964;1999;PA;Biased Intellectual;Medium;M69005;X
537235;Foreign Minister;Momolu Dukuly;1936;1964;1999;PA;General Staffer;Low;LIB_momolu_dukuly;X
537236;Minister of Armament;Solomon Carter Fuller;1936;1964;1999;PA;Military Entrepreneur;Medium;LIB_solomon_carter_fuller;X
537237;Minister of Armament;Momolu Dukuly;1936;1964;1999;PA;Laissez-Faire Capitalist;Medium;LIB_momolu_dukuly;X
537238;Minister of Armament;Joseph Rudolph Grimes;1945;1964;1999;PA;Theoretical Scientist;Medium;M69005;X
537239;Minister of Armament;Louis Arthur Grimes;1936;1964;1999;PA;Administrative Genius;Low;LIB_louis_arthur_grimes;X
537240;Minister of Armament;Henry W. Grimes;1940;1964;1999;PA;Resource Industrialist;Very High;unknown;X
537241;Minister of Security;William Wadé Harris;1936;1964;1999;PA;Man of the People;Medium;LIB_william_wade_harris;X
537242;Minister of Security;Joseph Rudolph Grimes;1945;1964;1999;PA;Crooked Kleptocrat;Medium;M69005;X
537243;Minister of Security;Al-Haj Massaquoi;1936;1964;1999;PA;Crime Fighter;Low;LIB_alhaj_massaquoi;X
537244;Head of Military Intelligence;William Wadé Harris;1936;1964;1999;PA;Political Specialist;Medium;LIB_william_wade_harris;X
537245;Head of Military Intelligence;Momolu Dukuly;1936;1964;1999;PA;Logistics Specialist;Very High;LIB_momolu_dukuly;X
537246;Head of Military Intelligence;Henry W. Grimes;1940;1964;1999;PA;Industrial Specialist;Very High;unknown;X
