SOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
770059;Foreign Minister;Muse Rabile Ghod;1936;1964;1999;ML;Biased Intellectual;Very High;Muse_Rabile_Ghod;
770060;Foreign Minister;Farah Wais Dulleh;1936;1964;1999;SC;Apologetic Clerk;Very High;Farah_Wais_Dulleh;
770061;Foreign Minister;Hersi Boqor;1936;1964;1999;SC;Ideological Crusader;Very High;Hersi_Boqor;
770062;Foreign Minister;Abdullah Mohamed Fadil;1936;1964;1999;PA;Iron-Fisted Brute;Very High;Abdullah_Mohamed_Fadil;
770063;Foreign Minister;Ahmed Hassan Musa;1936;1964;1999;FA;Iron-Fisted Brute;Very High;Ahmed_Hassan_Musa;
770064;Foreign Minister;Muhammad Omer Ges;1936;1964;1999;NS;Iron-Fisted Brute;Very High;muhammad_omer_ges;
770065;Chief of Staff;Ahmad Mahamuud Faarah;1936;1964;1999;LE;School of Defence;Very High;Ahmad_Mahamuud_Faarah;
770066;Chief of Staff;Abshir Doore;1936;1964;1999;SL;School of Mass Combat;Very High;abshir_doore;
770067;Chief of Staff;Allan Gibb;1936;1964;1999;SC;Commando Doctrine Staff;Very High;a_gibb;
770068;Chief of Staff;Yasin Haji Osman Sharmarke;1936;1964;1999;SC;School of Psychology;Very High;yasin_haji_osman_sharmarke;
770069;Chief of Staff;Mohamed Abshir Muse;1936;1964;1999;PA;School of Fire Support;Very High;mohamed_abshir_muse;
770070;Chief of Navy;Abdirahman J. Barre;1936;1964;1999;ST;Open Seas Doctrine;Very High;abdirahman_j_barre;
770071;Chief of Navy;Cismaan III Maxamuud;1936;1964;1999;PA;Base Control Doctrine;Very High;cismaan_iii_maxamuud;
770072;Chief of Army;Muhammad Ainanshe;1936;1964;1999;LWR;Static Defence Doctrine;Very High;muhammad_ainanshe;
770073;Chief of Army;Abdirizak Mahamud Abubakar;1936;1964;1999;SL;Static Defence Doctrine;Very High;abdirizak_mahamud_abubakar;
770074;Chief of Army;Unatù Endisciau;1936;1964;1999;FA;Elastic Defence Doctrine;Very High;unatu_endisciau;
770075;Chief of Army;Muhammad Omer Ges;1936;1964;1999;NS;Armoured Spearhead Doctrine;Very High;muhammad_omer_ges;
770076;Chief of Army;Yuusuf Xayle;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;Yuusuf_Xayle;
770077;Chief of Air Force;Abdulkadir Dheel;1936;1964;1999;SD;Naval Aviation Doctrine;Very High;abdulkadir_dheel;
770078;Head of State;Boqor Maxamuud Cali Shiire;1936;1964;1999;SC;Popular Figurehead;Very High;U40_Mohamoud Ali Shire;
770079;Head of State;Boqor Mohamoud Ali Shire;1936;1964;1999;FA;Ruthless Powermonger;Very High;U40_Mohamoud Ali Shire;
770080;Head of State;Haji Bashir Ismail Yusuf;1936;1964;1999;SD;Benevolent Gentleman;Very High;;
770081;Head of State;Abdirashid Ali Shermarke;1936;1964;1999;SL;Pig-headed Isolationist;Very High;;
770082;Head of State;Jama Abdullahi Qalib;1936;1964;1999;ML;Insignificant Layman;Very High;;
770083;Head of State;Aden Abdulle Osman Daar;1936;1964;1999;LE;Die-Hard Reformer;Very High;;
770084;Head of State;Mohamed Siad Barre;1936;1964;1999;ST;Powerhungry Demagogue;Very High;;
770085;Head of State;Haaji Mahammad Husseen;1936;1964;1999;NS;Stern Imperialist;Very High;;
