AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
56502;Foreign Minister;Vernon Sturdee;1936;1966;1999;SC;General Staffer;Medium;M56049;X
56503;Minister of Armament;William Vanneck;1936;1964;1999;FA;Military Entrepreneur;Medium;M56503;X
56504;Minister of Security;Adam Hamilton;1936;1964;1999;PA;Crime Fighter;High;M55037;X
56505;Head of Military Intelligence;Winston Dugan;1936;1964;1999;FA;Logistics Specialist;Medium;M56505;X
56506;Chief of Staff;Sydney Rowell;1941;1970;1999;SD;School of Psychology;High;L54046;X
56507;Chief of Army;George Alan Vasey;1942;1964;1999;SC;Doctrine of Autonomy;Medium;L54058;X
56508;Chief of Navy;W. Edward Parry;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;M55052;X
56509;Chief of Air Force;Philip Game;1936;1961;1999;FA;Army Aviation Doctrine;High;M56509;X
56510;Head of Government;Stanley Bruce;1936;1968;1999;PA;Silent Workhorse;Medium;M56062;X
56511;Head of Government;Billy Hughes;1936;1964;1999;PA;Flamboyant Tough Guy;High;Hughes;X
56600;Head of State;E.G Theodore;1936;1964;1999;SD;Benevolent Gentleman;High;M56600;X
56601;Head of Government;Jack Lang;1936;1964;1999;SL;Backroom Backstabber;Very High;M56601;X
56602;Foreign Minister;Henry S. Gullet;1936;1964;1999;SC;Great Compromiser;High;M56043;X
56603;Minister of Armament;Norman J. Makin;1936;1964;1999;SL;Military Entrepreneur;High;M56061;X
56604;Minister of Security;H.C. Barnard;1936;1964;1999;SD;Man of the People;High;M56604;X
56605;Head of Military Intelligence;Ben Chifley;1936;1960;1999;SD;Political Specialist;Very High;M56039;X
56606;Minister of Security;Peter Fraser;1936;1951;1999;SL;Health and Safety;High;M55038;X
56607;Chief of Army;Frank Berryman;1940;1970;1999;SL;Innovative Artillery Officer;High;L54005;X
56608;Chief of Navy;Harold Farncomb;1936;1964;1999;SD;Indirect Approach Doctrine;Very High;L54070;X
56609;Minister of Armament;Clive Latham Baillieu;1936;1964;1999;SC;Resource Industrialist;High;AST_Clive Latham Baillieu;X
56700;Head of State;Lance Sharkey;1936;1964;1999;ST;Barking Buffoon;Very High;M56021;X
56701;Head of Government;John Garden;1936;1964;1999;LE;Ambitious Union Boss;Very High;M56701;X
56702;Foreign Minister;John Miles;1936;1964;1999;ST;Iron Fisted Brute;Very High;M56025;X
56703;Minister of Armament;John R. Lee;1936;1964;1999;ST;Resource Industrialist;Very High;M56703;X
56704;Minister of Security;Edmond Hogan;1936;1964;1999;LE;Efficient Sociopath;High;M56704;X
56705;Head of Military Intelligence;Rex Mason;1936;1964;1999;LWR;Technical Specialist;High;M56705;X
56706;Chief of Staff;John Beasley;1936;1964;1999;ST;School of Psychology;High;M56706;X
56707;Chief of Staff;John Northcott;1936;1967;1999;ML;School of Manoeuvre;High;M56028;X
56708;Chief of Navy;Hector Waller;1944;1970;1999;SD;Decisive Naval Battle Doctrine;Medium;M56117;X
56709;Chief of Air Force;Keith Park;1936;1970;1999;SL;Air Superiority Doctrine;Medium;L1467;X
56800;Head of State;Edward VIII;1936;1964;1999;FA;Revanchist Monarch;High;M1011;X
56801;Head of State;Edward VIII;1936;1964;1999;PA;Revanchist Monarch;High;M1011;X
56802;Head of State;Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
56803;Head of State;Edward VIII;1936;1964;1999;SL;Revanchist Monarch;High;M1011;X
56804;Head of State;Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
56805;Head of State;Edward VIII;1936;1964;1999;SD;Revanchist Monarch;High;M1011;X
56806;Head of State;Charles Vyner Brooke;1936;1970;1999;FA;Powerhungry Demagogue;Very High;AST_Brooke;X
56807;Head of Government;Eric Campbell;1936;1970;1999;FA;Political Protege;Very High;AST_Campbell;X
56808;Minister of Armament;James Mitchell;1936;1970;1999;PA;Industrialiser;Very High;AST_Mitchell;X
56809;Head of Government;Charles Vyner Brooke;1936;1970;1999;FA;Flamboyant Tough Guy;Very High;AST_Brooke;X
56810;Head of State;Stanley Bruce;1936;1968;1999;PA;Popular Figurehead;Very High;M56062;X
56811;Minister of Armament;Joseph Chifley;1936;1970;1999;SD;Bank President;Very High;AST_Chifley;X
56812;Head of State;William Birdwood;1936;1970;1999;PA;Weary Stiffneck;High;6960;X
56813;Head of State;William Birdwood;1936;1970;1999;SC;Weary Stiffneck;High;6960;X
56814;Head of State;William Birdwood;1936;1970;1999;ML;Weary Stiffneck;High;6960;X
56815;Head of State;William Birdwood;1936;1970;1999;SD;Weary Stiffneck;High;6960;X
56816;Head of State;Isaac Alfred Isaacs;1936;1964;1999;SL;Stern Imperialist;High;M56001;X
56817;Head of State;Isaac Alfred Isaacs;1936;1964;1999;ML;Stern Imperialist;High;M56001;X
56818;Head of State;Isaac Alfred Isaacs;1936;1964;1999;SD;Stern Imperialist;High;M56001;X
56819;Chief of Navy;Leighton Bracegirdle;1936;1970;1999;SC;Coastal Defence Doctrine;Very High;AST_Leighton Bracegirdle;X
56877;Chief of Navy;George Francis Hyde;1925;1937;1999;SC;Power Projection Doctrine;Very High;L54073;X
56879;Minister of Security;Walter Seddon Clayton;1925;1970;1999;LE;Efficient Sociopath;Very High;Walter Seddon Clayton;X
56880;Minister of Armament;Thomas Garland;1925;1952;1999;LE;Planned Economy Proponent;Very High;Thomas Garland;X
56881;Minister of Security;Maurice Blackburn;1925;1937;1999;LWR;Man of the People;Very High;Maurice Blackburn;X
56882;Minister of Security;Alfred William Foster;1925;1962;1999;LE;Silent Lawyer;Very High;Alfred William Foster;X
56883;Minister of Security;Arthur Calwell;1925;1973;1999;SL;Efficient Sociopath;Very High;Arthur Calwell;X
56884;Minister of Armament;Fred Katz;1925;1973;1999;SD;Resource Industrialist;Very High;Fred Katz;X
56885;Minister of Security;Joseph Collings;1925;1973;1999;SD;Man of the People;Very High;Joseph Collings;X
56886;Minister of Security;Jack Holloway;1925;1973;1999;SD;Health and Safety;Very High;Jack Holloway;X
56887;Minister of Armament;Jack Holloway;1925;1973;1999;SD;Administrative Genius;Very High;Jack Holloway;X
56888;Minister of Armament;Arthur Drakeford;1925;1973;1999;LWR;Strategic Air Proponent;Very High;Arthur Drakeford;X
56889;Chief of Air Force;Arthur Drakeford;1925;1973;1999;LWR;Aviation Organizer;Very High;Arthur Drakeford;X
56890;Chief of Air Force;Donald Cameroon;1925;1973;1999;LWR;Aviation Organizer;Very High;Donald Cameroon;X
56820;Chief of Navy;John A. Collins;1936;1970;1999;SC;Open Seas Doctrine;Very High;L54064;X
56821;Chief of Navy;Roy Dowling;1944;1970;1999;ML;Power Projection Doctrine;Very High;AST_Roy Dowling;X
56822;Chief of Navy;Guy Gaunt;1936;1953;1999;FA;Decisive Naval Battle Doctrine;Very High;AST_Guy Gaunt;X
56823;Minister of Armament;Roy Dowling;1944;1970;1999;ML;Carrier Proponent;Very High;AST_Roy Dowling;X
56824;Head of Military Intelligence;Harold Farncomb;1936;1970;1999;SD;Naval Intelligence Specialist;Very High;L54070;X
56825;Minister of Armament;Frank Beaurepaire;1936;1970;1999;SC;Balanced Budget Economy;Very High;AST_Frank Beaurepaire;X
56826;Minister of Armament;Thomas M. Burke;1936;1970;1999;SC;Keynesian Economy;Very High;AST_Thomas Michael Burke;X
56827;Minister of Armament;Michael Bruxner;1936;1970;1999;ML;Mixed Economy;Very High;AST_Michael Bruxner;X
56828;Minister of Armament;John A. Collins;1936;1970;1999;SC;Carrier Proponent;Very High;L54064;X
56829;Minister of Armament;James Fraser;1936;1970;1999;LWR;Keynesian Economy;Very High;AST_James Fraser;X
56830;Minister of Armament;Eddie Ward;1936;1970;1999;LWR;Mixed Economy;Very High;AST_Eddie Ward;X
56831;Chief of Army;Herbert Lloyd;1936;1958;1999;PA;Guns and Butter Doctrine;Very High;L54031;X
56832;Chief of Army;Henry Chauvel;1936;1945;1999;PA;Old Cavalry General;Very High;MHenry_George_Chauvel;X
56833;Chief of Army;Lachlan Wilson;1936;1947;1999;SC;Old Cavalry General;Very High;MLachlan_Chisholm_Wilson;X
56834;Chief of Army;Alfred Bessell-Browne;1936;1948;1999;SC;Innovative Artillery Officer;Very High;LAlfred_Joseph_Bessell-Browne;X
56835;Chief of Staff;Julius Bruche;1936;1961;1999;PA;School of Defence;Very High;LJulius_Henry_Bruche;X
56836;Minister of Armament;Andrew Russell;1936;1960;1999;SC;Infantry Proponent;Very High;L58035;X
56837;Minister of Armament;William Sinclair-Burgess;1936;1964;1999;PA;Motorisation Proponent;Very High;L58037;X
56838;Head of Military Intelligence;William Sinclair-Burgess;1936;1964;1999;PA;Logistics Specialist;Very High;L58037;X
56839;Chief of Staff;William Sinclair-Burgess;1936;1964;1999;PA;School of Fire Support;Very High;L58037;X
56840;Chief of Army;William Sinclair-Burgess;1936;1964;1999;PA;Elastic Defence Doctrine;Very High;L58037;X
56841;Minister of Armament;Keith Stewart;1946;1970;1999;SC;Infantry Proponent;Very High;L58039;X
56842;Chief of Staff;Keith Stewart;1946;1970;1999;SC;School of Manoeuvre;Very High;L58039;X
56843;Chief of Staff;Henry Wells;1946;1970;1999;ML;School of Mass Combat;Very High;LHenry_Wells;X
56844;Head of Military Intelligence;Henry Wells;1946;1970;1999;ML;Logistics Specialist;Very High;LHenry_Wells;X
56845;Minister of Armament;Ben Chifley;1941;1960;1999;SD;Mixed Economy;High;M56039;X
56846;Minister of Security;Nicholas McKenna;1946;1970;1999;SL;Health and Safety;High;MNicholas_Edward_McKenna;X
56847;Head of Military Intelligence;Walter Cawthorn;1941;1970;1999;PA;Counterintelligence Specialist;High;MWalter_Joseph_Cawthorn;X
56848;Head of Military Intelligence;Charles Spry;1946;1970;1999;SC;Dismal Enigma;High;MCharles_Chambers_Fowell_Spry;X
56849;Foreign Minister;Ralph Harry;1948;1970;1999;SL;Ideological Crusader;High;MRalph_Lindsay_Harry;X
56850;Head of Military Intelligence;Ralph Harry;1948;1970;1999;SL;Technical Specialist;High;MRalph_Lindsay_Harry;X
56851;Head of Military Intelligence;Eric Nave;1936;1970;1999;ML;Naval Intelligence Specialist;High;MEric_Nave;X
56852;Head of Military Intelligence;Rupert Long;1940;1960;1999;FA;Naval Intelligence Specialist;High;MRupert_Basil_Michel_Long;X
56853;Head of State;Richard Casey;1944;1970;1999;SC;Popular Figurehead;High;MRichard_Gavin_Gardiner_Casey;X
56854;Foreign Minister;Richard Casey;1940;1970;1999;SC;Great Compromiser;High;MRichard_Gavin_Gardiner_Casey;X
56855;Minister of Armament;Richard Casey;1936;1970;1999;SC;Theoretical Scientist;High;MRichard_Gavin_Gardiner_Casey;X
56856;Head of Military Intelligence;Richard Casey;1936;1970;1999;SC;Industrial Specialist;High;MRichard_Gavin_Gardiner_Casey;X
56857;Minister of Armament;Kenneth Urquhart;1949;1970;1999;ML;Brilliant Marine Engineer;High;LKenneth_McKenzie_Urquhart;X
56858;Minister of Armament;John Dedman;1940;1964;1999;ML;Keynesian Economy;High;M56098;X
56859;Minister of Armament;Leslie Bradford;1936;1943;1999;ML;Industrial Chemist;High;MLeslie_Bradford;X
56860;Minister of Armament;William Robinson;1936;1963;1999;ML;Steel Magnate;High;MWilliam_Sydney_Robinson;X
56861;Minister of Armament;K.N.E. Bradfield;1945;1970;1999;SL;Construction Magnate;High;MKeith_Noel_Everal_Bradfield;X
56862;Minister of Armament;W. Alan Butement;1939;1970;1999;ML;Theoretical Scientist;High;MWilliam_Alan_Stewart_Butement;X
56863;Minister of Armament;Essington Lewis;1936;1962;1999;SC;Administrative Genius;High;MEssington_Lewis;X
56878;Foreign Minister;Donald MacLennan Grant;1925;1970;1999;LWR;Ideological Crusader;Very High;Donald_MacLennan_Grant_FM;X
56864;Minister of Armament;Edward Warren;1945;1970;1999;ML;Resource Industrialist;High;MEdward_Emerton_Warren;X
56865;Minister of Armament;Edward Holden;1936;1947;1999;ML;Motorisation Proponent;High;MEdward_Wheewall_Holden;X
56866;Minister of Armament;Laurence Hartnett;1939;1970;1999;SL;Motorisation Proponent;High;MLaurence_John_Hartnett;X
56867;Minister of Armament;Claude Gibb;1941;1959;1999;ML;Tank Proponent;High;MClaude_Dixon_Gibb;X
56868;Minister of Armament;John O'Brien;1942;1970;1999;ML;Artillery Proponent;High;LJohn_William_Alexander_OBrien;X
56869;Minister of Armament;John Whitelaw;1936;1964;1999;SC;Artillery Proponent;High;LJohn_Stewart_Whitelaw;X
56870;Chief of Navy;John Whitelaw;1936;1964;1999;SC;Coastal Defence Doctrine;High;LJohn_Stewart_Whitelaw;X
56871;Chief of Navy;Robin Dalglish;1936;1950;1999;SC;Decisive Naval Battle Doctrine;High;LRobin_Campsie_Dalglish;X
56872;Chief of Navy;Morton Moyes;1936;1970;1999;SC;Hydrographic Service Proponent;High;LMorton_Henry_Moyes;X
56873;Chief of Navy;John Francis Rayment;1944;1970;1999;ML;Hydrographic Service Proponent;High;LJohn_Francis_Rayment;X
56874;Chief of Navy;Alfred Victor Knight;1941;1970;1999;ML;Merchant Navy Focus;High;LAlfred_Victor_Knight;X
56875;Chief of Navy;Robert Pearson;1942;1970;1999;SC;Base Control Doctrine;High;LRobert_Stephen_Pearson;X
56876;Chief of Navy;Frederick Cook;1941;1970;1999;SL;Base Control Doctrine;High;LFrederick_Norton_Cook;X
