SCA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
514054;Minister of Security;Harald Petersen;1936;1964;1999;ML;Crime Fighter;Very High;M16078;x
514055;Minister of Security;Erling Sandberg;1943;1964;1999;ML;Compassionate Gentleman;Very low;M14014;x
514056;Minister of Security;Thorwald Bergquist;1944;1964;1999;ML;Man of the People;High;M7005;x
514057;Head of Military Intelligence;Helge Jung;1938;1964;1999;SD;Political Specialist;Low;M7006;x
514058;Head of Military Intelligence;Niels Bohr;1941;1964;1999;SD;Technical Specialist;Very High;M16071;x
514059;Head of Military Intelligence;Vilhelm Evang;1943;1964;1999;SD;Industrial Specialist;Medium;M14072;x
514060;Head of Military Intelligence;Bertram Dybwad Brochmann;1936;1964;1999;ML;Dismal Enigma;Medium;M14071;x
514061;Head of Military Intelligence;Åke Hammerskiöld;1941;1964;1999;ML;Industrial Specialist;High;M7070;x
514062;Head of Military Intelligence;H.M. Lunding;1945;1964;1999;ML;Logistics Specialist;High;M16090;x
514063;Chief of Staff;Otto Ruge;1938;1964;1999;SD;School of Defence;Medium;M14075;x
514064;Chief of Staff;Ebbe Gortz;1941;1964;1999;SD;School of Psychology;Very High;M16103;x
514065;Chief of Staff;Nils Swedlund;1946;1964;1999;SD;School of Fire Support;Very High;M7077;x
514066;Chief of Staff;Oscar Nygren;1936;1964;1999;ML;School of Defence;Medium;M7007;x
514067;Chief of Staff;Hans A. Rolsted;1941;1964;1999;ML;School of Mass Combat;High;M16100;x
514068;Chief of Staff;Wilhelm von Tangen-Hansteen;1946;1964;1999;ML;School of Fire Support;Very High;M14078;x
514069;Chief of Army;Wilhelm W. Prior;1938;1964;1999;SD;Static Defence Doctrine;Medium;M16007;x
514070;Chief of Army;Olav av Norge;1942;1964;1999;SD;Elastic Defence Doctrine;Very High;M14081;x
514071;Chief of Army;Helge Jung;1944;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M7006;x
514072;Chief of Army;Per Sylvan;1936;1964;1999;ML;Static Defence Doctrine;Medium;M7079;x
514073;Chief of Army;Olav av Norge;1941;1964;1999;ML;Elastic Defence Doctrine;Very High;M14081;x
514074;Chief of Army;Viggo Hjalf;1945;1964;1999;ML;Guns and Butter Doctrine;Low;L9531;x
514075;Chief of Navy;Henry Diesen;1937;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M14083;x
514076;Chief of Navy;Carl Hammerich;1941;1964;1999;SD;Base Control Doctrine;Very High;M16121;x
514077;Chief of Navy;Gösta Ehrensvärd;1943;1964;1999;SD;Indirect Approach Doctrine;Medium;M7087;x
514078;Chief of Navy;Erik Palmstierna;1936;1964;1999;ML;Base Control Doctrine;Medium;M7050;x
514079;Chief of Navy;Hans Corneliussen;1941;1964;1999;ML;Indirect Approach Doctrine;Medium;M14086;x
514080;Chief of Navy;E.B. de Crèvecoeur;1945;1964;1999;ML;Power Projection Doctrine;High;M16120;x
514081;Chief of Air Force;Hjalmar Riiser-Larsen;1937;1964;1999;SD;Air Superiority Doctrine;Medium;M14089;x
514082;Chief of Air Force;Jens Otto Krag;1942;1964;1999;SD;Vertical Envelopment Doctrine;Very High;M16128;x
514083;Chief of Air Force;Axel Ljungdahl;1944;1964;1999;SD;Naval Aviation Doctrine;Very High;M7092;x
514084;Chief of Air Force;Trygve Klingenberg;1937;1964;1999;ML;Army Aviation Doctrine;Medium;M14093;x
514085;Chief of Air Force;Bengt Nordenskiöld;1942;1964;1999;ML;Vertical Envelopment Doctrine;High;M7070;x
514086;Chief of Air Force;Kaj Birksted;1945;1964;1999;ML;Air Superiority Doctrine;Very High;M16129;x
514011;Head of State;Vidkun Quisling;1936;1964;1999;FA;Powerhungry Demagogue;High;M14012;x
514012;Head of Government;Martin Ekström;1936;1964;1999;FA;Naive Optimist;High;M7011;x
514013;Foreign Minister;Erik von Rosen;1936;1964;1999;FA;Ideological Crusader;Very High;M7013;x
514014;Minister of Armament;Fritz Clausen;1936;1964;1999;FA;Infantry Proponent;High;M16011;x
514015;Minister of Security;Sven Hedín;1936;1964;1999;FA;Back Stabber;Very High;M7015;x
514016;Head of Military Intelligence;Poul Sommer;1936;1964;1999;FA;Dismal Enigma;High;M16016;x
514017;Chief of Staff;Konrad Sundlo;1936;1964;1999;FA;School of Manoeuvre;High;M14018;x
514018;Chief of Army;Fritz von Schalburg;1936;1964;1999;FA;Guns and Butter Doctrine;Low;M16018;x
514019;Chief of Navy;Bertel Bruun;1936;1964;1999;FA;Open Seas Doctrine;Medium;M14019;x
514020;Chief of Air Force;Axel Gyllenkrok;1936;1964;1999;FA;Army Aviation Doctrine;Low;M7020;x
514021;Head of State;Adam Egede Nissen;1936;1964;1999;ST;Insignificant Layman;High;M14021;x
514022;Head of Government;Aksel Larsen;1936;1964;1999;ST;Backroom Backstabber;High;M16021;x
514023;Foreign Minister;Peder Furubotn;1936;1964;1999;ST;Ideological Crusader;Medium;M14023;x
514024;Minister of Armament;Alfred Jensen;1936;1964;1999;ST;Tank Proponent;High;M16024;x
514025;Minister of Security;Knud Jespersen;1936;1964;1999;ST;Man of the People;High;M16086;x
514026;Head of Military Intelligence;Sven Linderot;1936;1964;1999;ST;Naval Intelligence Specialist;High;M7021;x
514027;Chief of Staff;Arne Gauslå;1936;1964;1999;ST;School of Defence;High;M14027;x
514028;Chief of Army;Axel Pettersson;1936;1964;1999;ST;Decisive Battle Doctrine;Very High;unknown;x
514029;Chief of Navy;Skule Storheil;1936;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M14029;x
514030;Chief of Air Force;Krister Reuterswärd;1936;1964;1999;LWR;Army Aviation Doctrine;Low;unknown;x
514088;Head of State;H.M. Gustav V;1936;1964;1999;SC;Pig-headed Isolationist;High;M7001;x
514089;Head of State;H.M. Gustav V;1936;1964;1999;PA;Pig-headed Isolationist;High;M7001;x
514090;Head of State;Sven Linderot;1936;1964;1999;ST;Insignificant Layman;High;M7021;x
514031;Head of State;H.K.M. Christian X;1936;1964;1999;ML;Weary Stiffneck;High;M16001;x
514032;Head of State;H.K.M. Frederik IX;1947;1964;1999;SC;Autocratic Charmer;High;M16138;x
514033;Head of State;H.K.M. Frederik IX;1947;1964;1999;ML;Autocratic Charmer;High;M16138;x
514001;Head of State;H.K.M. Christian X;1936;1964;1999;SC;Weary Stiffneck;High;M16001;x
