BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
34232;Head of Government;Luis Carlos Prestes;1936;1964;1999;LWR;Reformist Soldierhog;High;BRA_Luis_Carlos_Prestes;X
34233;Head of Government;João da Costa Pimenta;1936;1964;1999;LWR;Ambitious Union Boss;Medium;BRA_Joao_da_Costa_Pimenta;X
34234;Head of Government;Isidoro Dias Lopes;1936;1964;1999;LWR;Old General;Medium;BRA_Isidoro_Dias_Lopes;X
34235;Head of Government;Astrojildo Pereira;1936;1964;1999;LE;Ambitious Union Boss;High;Kaiserreich Astrojildo Pereira;X
34236;Head of Government;Lívio Xavier;1936;1964;1999;LE;Naive Optimist;Medium;BRA_Livio_Xavier;X
34237;Foreign Minister;Belisário Penna;1936;1964;1999;NS;Iron Fisted Brute;Medium;BRA_Belisario_Penna;X
34238;Foreign Minister;Plinio Salgado;1936;1964;1999;NS;Apologetic Clerk;Very High;kaiserreich Pliniosalgado;X
34239;Foreign Minister;Gustavo Barroso;1936;1964;1999;NS;Biased Intellectual;Medium;BRA_Gustavo_Barroso;X
34240;Foreign Minister;Luís da Câmara Cascudo;1936;1964;1999;FA;Ideological Crusader;Medium;BRA_Luis_da_Camara_Cascudo;X
34241;Foreign Minister;Pedro Leão Veloso;1944;1964;1999;PA;Great Compromiser;Medium;M34077;X
34242;Foreign Minister;José Maria Whitaker;1936;1964;1999;PA;Great Compromiser;Medium;Whitaker;X
34243;Foreign Minister;Augusto Frederico Schmidt;1946;1964;1999;PA;Great Compromiser;Medium;BRA_Augusto_Frederico_Schmidt;X
34244;Foreign Minister;Newton Cavalcanti;1944;1964;1999;PA;General Staffer;Medium;M34047;X
34245;Foreign Minister;Raul Fernandes;1936;1964;1999;SC;Great Compromiser;Medium;M34013;X
34246;Foreign Minister;Plínio Barreto;1936;1964;1999;SC;Biased Intellectual;Medium;Barreto;X
34247;Foreign Minister;Afrânio de Mello Franco;1939;1964;1999;SC;Great Compromiser;High;M34083;X
34248;Foreign Minister;Oswaldo Aranha;1938;1964;1999;SC;Biased Intellectual;Medium;M34076;X
34249;Foreign Minister;Samuel Leão Gracíe;1946;1964;1999;SC;Biased Intellectual;High;M34087;X
34250;Foreign Minister;Raul Fernandes;1947;1964;1999;SC;Great Compromiser;High;M34013;X
34251;Foreign Minister;Joao Neves da Fontoura;1945;1964;1999;SC;General Staffer;High;M34008;X
34252;Foreign Minister;Oscar Weinschenck;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M34079;X
34253;Foreign Minister;José de Macedo Soares;1936;1964;1999;SC;Iron Fisted Brute;Medium;M34003;X
34254;Foreign Minister;Acyr do Nascimento Paes;1943;1964;1999;ML;Biased Intellectual;Low;M34084;X
34255;Foreign Minister;Mario de Pimentel Brandão;1937;1964;1999;SD;The Cloak N Dagger Schemer;High;M34080;X
34256;Foreign Minister;Júlio de Mesquita Filho;1936;1964;1999;SD;Biased Intellectual;Medium;Julio_de_Mesquita_Filho;X
34257;Foreign Minister;Benjamim Mota;1936;1964;1999;SD;Apologetic Clerk;Medium;MBenjamim_Franklin_Silveira_daMota;X
34258;Foreign Minister;Ernâni do Amaral Peixoto;1936;1964;1999;SD;Ideological Crusader;Medium;BRA_Ernani_do_Amaral_Peixoto;X
34259;Foreign Minister;Walter Só Jobim;1936;1964;1999;LWR;Iron Fisted Brute;Medium;Valter_So_Jobim;X
34260;Foreign Minister;Antônio Candeias Duarte;1936;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;MAntonio_Candeias_Duarte;X
34261;Foreign Minister;Reinaldo Ramos;1936;1964;1999;LWR;General Staffer;Medium;Reinaldo_Ramos;X
34262;Foreign Minister;Isidoro Dias Lopes;1936;1964;1999;LWR;General Staffer;Medium;BRA_Isidoro_Dias_Lopes;X
34263;Foreign Minister;Heitor Ferreira Lima;1936;1964;1999;LWR;Iron Fisted Brute;Medium;BRA_Heitor_Ferreira_Lima;X
34264;Foreign Minister;Patrícia Galvão;1950;1964;1999;LWR;Ideological Crusader;Medium;BRA_Patricia_Galvao;X
34265;Foreign Minister;Avelino Fóscolo;1936;1964;1999;LWR;Great Compromiser;Medium;BRA_Avelino_Foscolo;X
34266;Foreign Minister;Cristiano Cordeiro;1936;1964;1999;LE;Great Compromiser;Medium;BRA_Cristiano_Cordeiro;X
34267;Foreign Minister;Artur Campagnolli;1936;1964;1999;LE;Biased Intellectual;Medium;MArtur_Campagnolli;X
34268;Foreign Minister;Abílio de Nequete;1936;1964;1999;LE;Ideological Crusader;Medium;BRA_Abilio_de_Nequete;X
34269;Minister of Armament;Gustavo Barroso;1937;1964;1999;NS;Military Entrepreneur;Medium;M34044;X
34270;Minister of Armament;Euclides Figueiredo;1936;1964;1999;NS;Infantry Proponent;Medium;Euclides_Figueiredo;X
34271;Minister of Armament;Plinio Salgado;1936;1964;1999;NS;Military Entrepreneur;Medium;kaiserreich Pliniosalgado;X
34272;Minister of Armament;Raimundo Padilha;1940;1964;1999;FA;Corrupt Kleptocrat;Medium;BRA_Raimundo_Padilha;X
34273;Minister of Armament;Monteiro Lobato;1945;1964;1999;FA;Resource Industrialist;Medium;BRA_Monteiro_Lobato;X
34274;Minister of Armament;Getulio Vargas;1941;1964;1999;PA;Administrative Genius;High;M34001;X
34275;Minister of Armament;Marcondes Salgado;1936;1964;1999;PA;Military Entrepreneur;Medium;Marcondes_Salgado;X
34276;Minister of Armament;Antônio Ramos Caiado;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;BRA_Antonio_Ramos_Caiado;X
34277;Minister of Armament;Café Filho;1936;1964;1999;SC;Military Entrepreneur;Low;M34004;X
34278;Minister of Armament;Ciccillo Matarazzo;1936;1964;1999;SC;Resource Industrialist;Medium;Ciccillo_Matarazzo;X
34279;Minister of Armament;José de Macedo Soares;1939;1964;1999;SC;Laissez-Faire Capitalist;Medium;M34003;X
34280;Minister of Armament;Elyseu da Fonseca Montarroyos;1945;1964;1999;SC;Air Superiority Proponent;High;M34106;X
34281;Minister of Armament;Armando de Sales Oliveira;1936;1964;1999;SC;Administrative Genius;Medium;Sales_De_Oliveira;X
34282;Minister of Armament;Afranio de Mello Franco;1936;1964;1999;SC;Battle Fleet Proponent;High;M34083;X
34283;Minister of Armament;Gastão Vidigal;1945;1964;1999;SC;Resource Industrialist;High;M34014;X
34284;Minister of Armament;Curt Johannpeter;1936;1964;1999;ML;Administrative Genius;Medium;Curt_Johannpeter;X
34285;Minister of Armament;José Linhares Filho;1940;1964;1999;ML;Laissez-Faire Capitalist;High;M34104;X
34286;Minister of Armament;Eduardo Gomes;1943;1964;1999;ML;Air to Ground Proponent;Medium;M34021;X
34287;Minister of Armament;José Antônio Flores da Cunha;1936;1964;1999;SL;Infantry Proponent;Medium;Jose_Antonio_Flores_da_Cunha;X
34288;Minister of Armament;José Américo de Almeida;1937;1964;1999;SD;Resource Industrialist;Medium;M34024;X
34289;Minister of Armament;José Augusto Martins;1936;1964;1999;SD;Administrative Genius;Medium;Jose_Augusto_Martins;X
34290;Minister of Armament;Herculano de Carvalho e Silva;1936;1964;1999;SD;Military Entrepreneur;Medium;BRA_Herculano_de_Carvalho_e_Silva;X
34291;Minister of Armament;Henrique Smith Bayma;1936;1964;1999;SD;Military Entrepreneur;Medium;Henrique_Smith_Bayma;X
34292;Minister of Armament;Zenon de Almeida Budaszweksi;1936;1964;1999;LWR;Air Superiority Proponent;Medium;BRA_Zenon_de_Almeida;X
34293;Minister of Armament;Mário Pedrosa;1941;1964;1999;LWR;Administrative Genius;Medium;BRA_Mario_Pedrosa;X
34294;Minister of Armament;Manuel Cendón;1936;1964;1999;LWR;Military Entrepreneur;Medium;BRA_Manuel_Cendon;X
34295;Minister of Armament;Luis Carlos Prestes;1945;1964;1999;LWR;Strategic Air Proponent;Very Low;BRA_Luis_Carlos_Prestes;X
34296;Minister of Armament;Honório de Freitas Guimarães;1936;1964;1999;LWR;Infantry Proponent;Medium;unknown;X
34297;Minister of Armament;Elias Iltchenco;1936;1964;1999;LE;Resource Industrialist;Medium;BRA_Elias_Itchenco;X
34298;Minister of Armament;Hermogênio da Silva Fernandes;1936;1964;1999;LE;Tank Proponent;Medium;BRA_Hermogenio_da_Silva_Fernandes;X
34299;Minister of Security;Filinto Muller;1936;1964;1999;NS;Prince of Terror;Medium;M34006;X
34300;Minister of Security;Miguel Reale;1936;1964;1999;NS;Prince of Terror;Medium;BRA_Miguel_Reale;X
34301;Minister of Security;Belisário Penna;1936;1964;1999;NS;Silent Lawyer;Medium;BRA_Belisario_Penna;X
34302;Minister of Security;Euclides Figueiredo;1936;1964;1999;NS;Man of the People;Medium;Euclides_Figueiredo;X
34303;Minister of Security;Gustavo Capanema;1936;1964;1999;FA;Crime Fighter;Medium;BRA_Gustavo_Capanema;X
34304;Minister of Security;Lourival Fontes;1939;1964;1999;PA;Back Stabber;Medium;BRA_Lourival_Fontes;X
34305;Minister of Security;Tasso da Silveira;1936;1964;1999;PA;Silent Lawyer;Medium;BRA_Tasso_da_Silveira;X
34306;Minister of Security;Pedro Leão Veloso;1937;1964;1999;PA;Compassionate Gentleman;Medium;M34077;X
34307;Minister of Security;Anor Butler Maciel;1936;1964;1999;PA;Silent Lawyer;Medium;Anor_Butler_Maciel;X
34308;Minister of Security;Oscar Weinschenck;1941;1964;1999;SC;Silent Lawyer;High;M34079;X
34309;Minister of Security;Epitacio da Silva Pessoa;1945;1964;1999;SC;Crime Fighter;Medium;M34128;X
34310;Minister of Security;Raul Fernandes;1943;1964;1999;SC;Back Stabber;High;M34013;X
34311;Minister of Security;João Bonumá;1947;1964;1999;ML;Crime Fighter;Medium;Joao_Bonuma;X
34312;Minister of Security;José Antônio Flores da Cunha;1936;1964;1999;SL;Crime Fighter;Medium;Jose_Antonio_Flores_da_Cunha;X
34313;Minister of Security;Joaquim Maurício Cardoso;1936;1964;1999;SL;Silent Lawyer;Medium;Joaquim_Mauricio_Cardoso;X
34314;Minister of Security;Marcondes Filho;1936;1964;1999;SD;Crime Fighter;High;M34005;X
34315;Minister of Security;Pompílio Cylon Fernandes Rosa;1947;1964;1999;SD;Silent Lawyer;Medium;Pompilio_Cilon_Fernandes_Rosa;X
34316;Minister of Security;Sebastião Nogueira de Lima;1936;1964;1999;SD;Crime Fighter;Medium;Sebastiao_Nogueira_de_Lima;X
34317;Minister of Security;Borges de Medeiros;1936;1964;1999;SD;Crime Fighter;Medium;Borges_de_Medeiros;X
34318;Minister of Security;Guilherme Guinlé;1939;1964;1999;SD;Efficient Sociopath;High;M34118;X
34319;Minister of Security;Ildo Meneghetti;1936;1964;1999;SD;Crime Fighter;Medium;Ildo_Meneghetti;X
34320;Minister of Security;José Conrado Wagner;1936;1964;1999;SD;Silent Lawyer;Medium;Jose_Conrado_Wagner;X
34321;Minister of Security;Gigi Damiani;1936;1964;1999;LWR;Efficient Sociopath;Medium;BRA_Gigi_Damiani;X
34322;Minister of Security;Walter Só Jobim;1936;1964;1999;LWR;Prince of Terror;Medium;Valter_So_Jobim;X
34323;Minister of Security;Florentino de Carvalho;1939;1964;1999;LWR;Man of the People;Medium;BRA_Florentino_de_Carvalho;X
34324;Minister of Security;João Penteado;1936;1964;1999;LWR;Silent Lawyer;Medium;BRA_Joao_Penteado;X
34325;Minister of Security;Fábio Lopes dos Santos Luz;1936;1964;1999;LWR;Man of the People;Medium;BRA_Fabio_Lopes_dos_Santos_Luz;X
34326;Minister of Security;Orestes Ristori;1936;1964;1999;LWR;Prince of Terror;Medium;BRA_Oreste_Ristori;X
34327;Minister of Security;Carlos Heitor de Azevedo;1936;1964;1999;LWR;Silent Lawyer;Medium;Carlos_Heitor_de_Azevedo;X
34328;Minister of Security;João Cabanas;1936;1964;1999;LE;Prince of Terror;Medium;BRA_Joao_Cabanas;X
34329;Minister of Security;João Alberto Lins de Barros;1937;1964;1999;LE;Crime Fighter;Medium;BRA_Joao_Alberto_Lins_de_Barros;X
34330;Head of Military Intelligence;Filinto Muller;1936;1964;1999;NS;Political Specialist;Very High;M34006;X
34331;Head of Military Intelligence;Mansueto Bernardi;1936;1964;1999;NS;Dismal Enigma;Medium;BRA_Mansueto_Bernardi;X
34332;Head of Military Intelligence;Luís da Câmara Cascudo;1936;1964;1999;FA;Logistics Specialist;Medium;BRA_Luis_da_Camara_Cascudo;X
34333;Head of Military Intelligence;Francisco Campos;1936;1964;1999;FA;Logistics Specialist;Medium;BRA_Francisco_Campos;X
34334;Head of Military Intelligence;Tasso da Silveira;1936;1964;1999;PA;Technical Specialist;Medium;BRA_Tasso_da_Silveira;X
34335;Head of Military Intelligence;Plínio Barreto;1936;1964;1999;SC;Political Specialist;Medium;Barreto;X
34336;Head of Military Intelligence;Samuel Figueiredo da Silva;1945;1964;1999;SL;Political Specialist;Medium;Samuel_Figueiredo_da_Silva;X
34337;Head of Military Intelligence;Sebastião Nogueira de Lima;1936;1964;1999;SD;Political Specialist;Medium;Sebastiao_Nogueira_de_Lima;X
34338;Head of Military Intelligence;Luiz Derivi;1936;1964;1999;LWR;Industrial Specialist;Medium;unknown;X
34339;Head of Military Intelligence;José Oiticica;1936;1964;1999;LWR;Industrial Specialist;Medium;BRA_Jose_Oiticica;X
34340;Head of Military Intelligence;Antonio Piccarolo;1936;1964;1999;LE;Political Specialist;Medium;BRA_Antonio_Picarollo;X
34341;Head of Military Intelligence;João Cabanas;1936;1964;1999;LE;Dismal Enigma;Medium;BRA_Joao_Cabanas;X
34342;Chief of Staff;Eurico Gaspar Dutra;1936;1964;1999;PA;School of Defence;Medium;M34007;X
34343;Chief of Staff;Magalhães Barata de Azevedo;1943;1964;1999;PA;School of Manoeuvre;Medium;M34037;X
34344;Chief of Staff;Miguel Costa;1936;1964;1999;PA;School of Defence;Medium;BRA_Miguel_Costa;X
34345;Chief of Staff;Newton Cavalcanti;1937;1964;1999;PA;School of Psychology;Medium;M34047;X
34346;Chief of Staff;José Fernandes Leite de Castro;1936;1964;1999;FA;School of Fire Support;Medium;BRA_Jose_Fernandes_Leite_de_Castro;X
34347;Chief of Staff;Joao Neves da Fontoura;1945;1964;1999;SC;School of Defence;High;M34008;X
34348;Chief of Staff;Argemiro Assis;1947;1964;1999;ML;School of Defence;Medium;M34154;X
34349;Chief of Staff;Henrique Smith Bayma;1936;1964;1999;SD;School of Psychology;Medium;Henrique_Smith_Bayma;X
34350;Chief of Staff;Herculano de Carvalho e Silva;1936;1964;1999;SD;School of Manoeuvre;Medium;BRA_Herculano_de_Carvalho_e_Silva;X
34351;Chief of Staff;Cordeiro de Farias;1941;1964;1999;SD;School of Mass Combat;Medium;BRA_Cordeiro_de_Farias;X
34352;Chief of Staff;Newton Estillac Leal;1936;1964;1999;LWR;School of Manoeuvre;Medium;BRA_Newton_Estillac_Leal;X
34353;Chief of Staff;Luis Carlos Prestes;1936;1964;1999;LWR;School of Mass Combat;Undying;BRA_Luis_Carlos_Prestes;X
34354;Chief of Staff;Juarez Távora;1938;1964;1999;LE;School of Psychology;Medium;BRA_Juarez_Tavora;X
34355;Chief of Army;Atanagildo França;1936;1964;1999;NS;Decisive Battle Doctrine;Medium;BRA_Atanagildo_Franca;X
34356;Chief of Army;Euclides Figueiredo;1936;1964;1999;NS;Elastic Defence Doctrine;Medium;Euclides_Figueiredo;X
34357;Chief of Army;Olímpio Mourão Filho;1936;1964;1999;FA;Static Defence Doctrine;Medium;BRA_Olimpio_Mourao_Filho;X
34358;Chief of Army;Ari Salgado Freire;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;BRA_Ari_Salgado_Freire;X
34359;Chief of Army;Paulo Kruger da Cunha Cruz;1936;1964;1999;FA;Static Defence Doctrine;Medium;BRA_Paulo_Kruger_da_Cunha_Cruz;X
34360;Chief of Army;José Fernandes Leite de Castro;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;BRA_Jose_Fernandes_Leite_de_Castro;X
34361;Chief of Army;Trifino Corrêia;1936;1964;1999;PA;Static Defence Doctrine;Medium;BRA_Trifino_Correa;X
34362;Chief of Army;Eurico Gaspar Dutra;1937;1964;1999;PA;Static Defence Doctrine;Medium;M34011;X
34363;Chief of Army;Manuel de Cerqueira Daltro Filho;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;Daltro_Filho;X
34364;Chief of Army;Sadi Vale Machado;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;BRA_Sadi_Vale_Machado;X
34365;Chief of Army;Miguel Costa;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;BRA_Miguel_Costa;X
34366;Chief of Army;Emídio da Costa Miranda;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;BRA_Emidio_da_Costa_Miranda;X
34367;Chief of Army;José Pinheiro Machado;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;BRA_Jose_Pinheiro_Machado;X
34368;Chief of Army;Djalma Dutra;1936;1964;1999;PA;Armoured Spearhead Doctrine;Medium;BRA_Djalma_Dutra;X
34369;Chief of Army;Newton Cavalcanti;1943;1964;1999;PA;Decisive Battle Doctrine;Medium;M34047;X
34370;Chief of Army;João Neves da Fontoura;1936;1964;1999;SC;Static Defence Doctrine;Medium;M34008;X
34371;Chief of Army;Manuel Lima Nascimento;1936;1964;1999;SC;Armoured Spearhead Doctrine;Medium;BRA_Manuel_Lima_Nascimento;X
34372;Chief of Army;Argemiro Assis;1947;1964;1999;ML;Static Defence Doctrine;Medium;M34154;X
34373;Chief of Army;Ernesto Dornelles;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;Ernesto_Dornelles;X
34374;Chief of Army;Herculano de Carvalho e Silva;1936;1964;1999;SD;Armoured Spearhead Doctrine;Medium;BRA_Herculano_de_Carvalho_e_Silva;X
34375;Chief of Army;Henrique Smith Bayma;1936;1964;1999;SD;Static Defence Doctrine;Medium;Henrique_Smith_Bayma;X
34376;Chief of Army;Henrique Teixeira Lott;1937;1964;1999;LWR;Decisive Battle Doctrine;Medium;M34027;X
34377;Chief of Army;Antônio de Siqueira Campos;1938;1964;1999;LWR;Elastic Defence Doctrine;Medium;BRA_Antonio_de_Siqueira_Campos;X
34378;Chief of Army;Newton Estillac Leal;1936;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;BRA_Newton_Estillac_Leal;X
34379;Chief of Army;Silo Meireles;1943;1964;1999;LE;Elastic Defence Doctrine;Very Low;M34058;X
34380;Chief of Army;Juarez Távora;1938;1964;1999;LE;Decisive Battle Doctrine;Medium;BRA_Juarez_Tavora;X
34381;Chief of Navy;Sylvio de Noronha;1943;1964;1999;SC;Open Seas Doctrine;High;M34019;X
34382;Chief of Navy;Augusto do Amaral Peixoto;1941;1964;1999;SD;Base Control Doctrine;Medium;BRA_Augusto_do_Amaral_Peixoto;X
34383;Chief of Navy;Ernâni do Amaral Peixoto;1936;1964;1999;SD;Indirect Approach Doctrine;Medium;BRA_Ernani_do_Amaral_Peixoto;X
34384;Chief of Navy;Henrique Smith Bayma;1936;1964;1999;SD;Base Control Doctrine;Medium;Henrique_Smith_Bayma;X
34385;Chief of Navy;Aristides Guilhem;1936;1964;1999;SD;Open Seas Doctrine;Medium;M34009;X
34386;Chief of Navy;Protógenes Guimarães;1936;1964;1999;LWR;Open Seas Doctrine;Medium;BRA_Protogenes_Guimaraes;X
34387;Chief of Air Force;Figueira de Almeida;1943;1964;1999;SC;Army Aviation Doctrine;Medium;M34020;X
34388;Chief of Air Force;Eduardo Pacheco Chaves;1936;1964;1999;SC;Army Aviation Doctrine;Medium;Eduardo_Pacheco_Chaves;X
34389;Chief of Air Force;Nero Moura;1937;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M34030;X
34390;Chief of Air Force;Eduardo Gomes;1945;1964;1999;ML;Army Aviation Doctrine;Medium;M34021;X
34391;Chief of Air Force;João Ribeiro de Barros;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;Joao_Ribeiro;X
34392;Chief of Air Force;Ernesto Dornelles;1936;1964;1999;SL;Air Superiority Doctrine;Medium;Ernesto_Dornelles;X
34393;Chief of Air Force;Salgado Filho;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M34010;X
34394;Chief of Air Force;Teresa de Marzo;1943;1964;1999;SD;Air Superiority Doctrine;Medium;Teresa_de_Marzo;X
34395;Chief of Air Force;Epaminondas dos Santos;1943;1964;1999;LWR;Air Superiority Doctrine;Medium;M34040;X
34396;Chief of Air Force;Leonel Benevides de Rezende;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Very High;M34187;X
34397;Chief of Air Force;Agilberto Vieira;1936;1964;1999;LE;Naval Aviation Doctrine;Very High;M34060;X
34398;Head of State;José Américo de Almeida;1937;1964;1999;SD;Benevolent Gentleman;Medium;M34024;X
34400;Head of State;Armando de Sales Oliveira;1936;1964;1999;SC;Weary Stiffneck;Medium;Sales_De_Oliveira;X
34401;Head of Government;Armando de Sales Oliveira;1936;1964;1999;SC;Corporate Suit;Medium;Sales_De_Oliveira;X
34402;Head of State;Cristiano Machado;1936;1964;1999;SC;Autocratic Charmer;Medium;BRA_cristiano_machado;X
34403;Head of Government;Cristiano Machado;1936;1964;1999;SC;Happy Amateur;Medium;BRA_cristiano_machado;X
34404;Head of Government;Ildo Meneghetti;1936;1964;1999;SD;Naive Optimist;Medium;Ildo_Meneghetti;X
34405;Head of State;Oswaldo Aranha;1938;1964;1999;SC;Stern Imperialist;Medium;M34076;X
34406;Head of Government;Oswaldo Aranha;1938;1964;1999;SC;Naive Optimist;Medium;M34076;X
34407;Head of State;Tancredo Neves;1950;1964;1999;SL;Die-hard Reformer;Medium;BRA_tancredo_neves;X
34408;Head of Government;Tancredo Neves;1950;1964;1999;SL;Silent Workhorse;Medium;BRA_tancredo_neves;X
34409;Head of State;João Cleofas de Oliveira;1950;1964;1999;SC;Barking Buffoon;Medium;BRA_joao_cleofas;X
34410;Head of Government;João Cleofas de Oliveira;1950;1964;1999;SC;Political Protege;Medium;BRA_joao_cleofas;X
34411;Head of State;Júlio de Mesquita Filho;1936;1964;1999;SD;Insignificant Layman;Medium;Julio_de_Mesquita_Filho;X
