ETH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
65077;Chief of Army;Haile Abba Mersa;1941;1964;1999;PA;Decisive Battle Doctrine;Very High;M65077;X
65078;Chief of Army;Lij Abiye Abebe;1945;1964;1999;PA;Armoured Spearhead Doctrine;High;M65078;X
65081;Chief of Army;Woldemeskal Tariku;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M65027;X
65082;Chief of Army;Ras Kassa;1941;1964;1999;FA;Static Defence Doctrine;Medium;M65018;X
65083;Chief of Army;Lij Abiye Abebe;1945;1964;1999;SC;Armoured Spearhead Doctrine;High;M65078;X
65084;Chief of Navy;Wondossen Kassa;1937;1964;1999;PA;Open Seas Doctrine;Medium;M65084;X
65087;Chief of Navy;Dedja Zinatch Nadeon;1936;1964;1999;SC;Power Projection Doctrine;Medium;M65029;X
65089;Chief of Air Force;Mesfin Sileshi;1939;1964;1999;PA;Carpet Bombing Doctrine;Medium;M65089;X
65092;Chief of Air Force;Gabriel Zawde Gilaneh;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M65030;X
65093;Head of State;Menelek III;1936;1964;1999;SC;Insignificant Layman;High;M65012;X
65094;Foreign Minister;Ras Hailu Tekle Haimanot;1936;1964;1999;FA;Iron Fisted Brute;Medium;M65013;X
65095;Minister of Armament;Ras Hailu Tekle Haimanot;1936;1964;1999;FA;Corrupt Kleptocrat;Medium;M65013;X
65096;Minister of Security;Lij Asrate;1936;1964;1999;FA;Silent Lawyer;Medium;M65061;X
65097;Head of Military Intelligence;Haile Selassie Gugsa;1936;1964;1999;FA;Political Specialist;Medium;M65012;X
65099;Chief of Air Force;Fitauri Zawde Gobena;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M65020;X
65100;Head of Government;Haile Selassie Gugsa;1936;1964;1999;FA;Naive Optimist;High;M65012;X
65101;Chief of Staff;Balcha Safo;1936;1964;1999;SD;School of Mass Combat;Medium;ETH_balcha_safo;X
65102;Chief of Army;Balcha Safo;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;ETH_balcha_safo;X
65103;Chief of Air Force;Mishka Babitchef;1936;1964;1999;ML;Vertical Envelopment Doctrine;Medium;ETH_mishka_babitchef;X
65104;Minister of Armament;Tessema Eshete;1936;1964;1999;ML;Corrupt Kleptocrat;Medium;ETH_tessema_eshete;X
65105;Foreign Minister;Blantangeta Hiruy Wolde Selassie;1936;1964;1999;SC;Great Compromiser;Medium;ETH_blantangeta;X
65106;Chief of Staff;Afework Wolde Semayit;1936;1964;1999;SD;School of Defence;Medium;ETH_semayit;X
65107;Chief of Army;Afework Wolde Semayit;1936;1964;1999;SD;Elastic Defence Doctrine;Medium;ETH_semayit;X
65108;Head of State;Abebe Aregay;1936;1964;1999;SD;Resigned Generalissimo;High;ETH_abebe_aregay;X
65109;Head of Government;Abebe Aregay;1936;1964;1999;SD;Old General;High;ETH_abebe_aregay;X
65110;Minister of Security;Abebe Aregay;1936;1964;1999;SD;Crime Fighter;Medium;ETH_abebe_aregay;X
65111;Foreign Minister;Giyorgis Wolde Yohannes;1936;1964;1999;SL;Iron Fisted Brute;Medium;ETH_giyorgis_wolde_yohannes;X
65112;Foreign Minister;Lorenzo Taezaz;1936;1964;1999;SD;Great Compromiser;Medium;ETH_lorenzo_taezaz;X
65113;Minister of Armament;Lorenzo Taezaz;1936;1964;1999;SD;Resource Industrialist;Medium;ETH_lorenzo_taezaz;X
65114;Chief of Staff;Tadesse Birru;1936;1964;1999;LWR;School of Fire Support;Medium;ETH_tadesse_birru;X
65115;Chief of Army;Tadesse Birru;1936;1964;1999;LWR;Decisive Battle Doctrine;Medium;ETH_tadesse_birru;X
65116;Chief of Staff;Geresu Dukki;1936;1964;1999;LWR;School of Manoeuvre;Medium;ETH_geresu_dukki;X
65117;Chief of Army;Geresu Dukki;1936;1964;1999;LWR;Elastic Defence Doctrine;Medium;ETH_geresu_dukki;X
65118;Minister of Security;Mohammed Kamil;1936;1964;1999;SD;Compassionate Gentleman;Medium;ETH_mohammed_kamil;X
65119;Head of Military Intelligence;Mohammed Kamil;1936;1964;1999;SD;Logistics Specialist;Medium;ETH_mohammed_kamil;X
65120;Foreign Minister;Ali Djamah;1936;1964;1999;LWR;Ideological Crusader;Medium;ETH_ali_djamah;X
65121;Minister of Security;Maxamed Siyaad Barre;1936;1964;1999;LE;Prince of Terror;Medium;ETH_siad_barre;X
65122;Head of Military Intelligence;Maxamed Siyaad Barre;1936;1964;1999;LE;Dismal Enigma;Medium;ETH_siad_barre;X
65123;Head of State;Hamid Idris Awate;1936;1964;1999;LWR;Stern Imperialist;High;ETH_idris_awate;X
65124;Head of State;Alemework Beyene;1936;1964;1999;LWR;Die-hard Reformer;High;ETH_alemework_beyene;X
65125;Head of Government;Alemework Beyene;1936;1964;1999;LWR;Silent Workhorse;High;ETH_alemework_beyene;X
65126;Head of Government;Hamid Idris Awate;1936;1964;1999;LWR;Ambitious Union Boss;High;ETH_idris_awate;X
65127;Foreign Minister;Hamid Idris Awate;1936;1964;1999;LWR;General Staffer;High;ETH_idris_awate;X
65128;Foreign Minister;Tekle Markos Wolde Gabriel;1936;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M65067;X
65129;Foreign Minister;Kantiba Wosene Zamanel;1936;1964;1999;FA;Ideological Crusader;Medium;M65015;X
65130;Minister of Security;Kantiba Wosene Zamanel;1936;1964;1999;FA;Prince of Terror;Medium;M65015;X
65131;Foreign Minister;Abdulkadir Mohamed Saleh Kebire;1936;1964;1999;FA;Biased Intellectual;Very High;Kebire;X
65132;Minister of Armament;Abdulkadir Mohamed Saleh Kebire;1936;1964;1999;FA;Theoretical Scientist;Very High;Kebire;X
65133;Head of Military Intelligence;Abdulkadir Mohamed Saleh Kebire;1936;1964;1999;FA;Technical Specialist;Very High;Kebire;X
65134;Foreign Minister;Haile Kebbede;1936;1964;1999;FA;General Staffer;Medium;M65017;X
65135;Minister of Armament;Haile Kebbede;1936;1964;1999;FA;Air to Ground Proponent;Medium;M65017;X
65136;Chief of Staff;Haile Kebbede;1936;1964;1999;FA;School of Defence;Medium;M65017;X
65137;Chief of Army;Haile Kebbede;1936;1964;1999;FA;Elastic Defence Doctrine;Medium;M65017;X
65138;Chief of Air Force;Haile Kebbede;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M65017;X
65139;Minister of Security;Mohamoud Ali Shire;1936;1964;1999;FA;Man of the People;Very High;Shire;X
65140;Foreign Minister;Mohamoud Ali Shire;1936;1964;1999;FA;Great Compromiser;Very High;Shire;X
65141;Foreign Minister;Hailu Tekle Haymanot;1936;1964;1999;FA;Iron Fisted Brute;Medium;M65013;X
65142;Minister of Armament;Hailu Tekle Haymanot;1936;1964;1999;FA;Corrupt Kleptocrat;Medium;M65013;X
65143;Minister of Security;Hailu Tekle Haymanot;1936;1964;1999;FA;Crooked Kleptocrat;Medium;M65013;X
65144;Minister of Armament;Getachew Abate;1936;1964;1999;FA;Military Entrepreneur;Medium;M65014;X
65145;Head of Military Intelligence;Getachew Abate;1936;1964;1999;FA;Logistics Specialist;Medium;M65014;X
65146;Chief of Staff;Getachew Abate;1936;1964;1999;FA;School of Psychology;Medium;M65014;X
65147;Chief of Army;Getachew Abate;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;M65014;X
65148;Minister of Armament;Fitauri Zawde Gobena;1936;1964;1999;FA;Air Superiority Proponent;Medium;M65020;X
65149;Minister of Armament;Kassa Haile Darge;1936;1964;1999;FA;Infantry Proponent;Medium;M65018;X
65150;Chief of Staff;Kassa Haile Darge;1936;1964;1999;FA;School of Mass Combat;Medium;M65018;X
65151;Chief of Army;Kassa Haile Darge;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M65018;X
65152;Minister of Armament;Zerai Deres;1936;1964;1999;FA;Strategic Air Proponent;Very High;Deres;X
65153;Chief of Air Force;Zerai Deres;1936;1964;1999;FA;Carpet Bombing Doctrine;Very High;Deres;X
65154;Minister of Armament;Dirie Hirsi;1936;1964;1999;FA;Resource Industrialist;Very High;Hirsi;X
65155;Head of Military Intelligence;Dirie Hirsi;1936;1964;1999;FA;Industrial Specialist;Very High;Hirsi;X
65156;Head of Military Intelligence;Kifle Yaqob;1936;1964;1999;FA;Naval Intelligence Specialist;Medium;M65011;X
65157;Chief of Navy;Kifle Yaqob;1936;1964;1999;FA;Open Seas Doctrine;Medium;M65011;X
65158;Chief of Staff;Seyum Mangasha;1936;1964;1999;FA;School of Manoeuvre;Medium;M65009;X
65159;Chief of Army;Seyum Mangasha;1936;1964;1999;FA;Static Defence Doctrine;Medium;M65009;X
65160;Chief of Navy;Seyum Mangasha;1936;1964;1999;FA;Indirect Approach Doctrine;Very High;M65009;X
65161;Head of State;Ibrahim Sultan Ali;1936;1964;1999;LWR;Die-hard Reformer;Very High;Ali;X
65162;Head of Government;Ibrahim Sultan Ali;1936;1964;1999;LWR;Ambitious Union Boss;Very High;Ali;X
65163;Foreign Minister;Germame Neway;1944;1964;1999;LWR;Iron Fisted Brute;Very High;Neway;X
65164;Minister of Armament;Farah Ali Omar;1936;1964;1999;LWR;Strategic Air Proponent;Very High;Omar;X
65165;Minister of Armament;Mahmud Omar Ibrahim;1936;1964;1999;LWR;Resource Industrialist;Very High;Ibrahim;X
65166;Minister of Armament;Tafari Benti;1941;1964;1999;LWR;Battle Fleet Proponent;Very High;Benti;X
65167;Minister of Armament;Yilma Deressa;1936;1964;1999;LWR;Submarine Proponent;Very High;Deressa;X
65168;Minister of Security;Mahmud Omar Ibrahim;1936;1964;1999;LWR;Man of the People;Very High;Ibrahim;X
65169;Minister of Security;Germame Neway;1944;1964;1999;LWR;Back Stabber;Very High;Neway;X
65170;Head of Military Intelligence;Mahmud Omar Ibrahim;1936;1964;1999;LWR;Industrial Specialist;Very High;Ibrahim;X
65171;Chief of Staff;Mengistu Neway;1939;1964;1999;LWR;School of Defence;Very High;Neway1;X
65172;Chief of Army;Mengistu Neway;1939;1964;1999;LWR;Static Defence Doctrine;Very High;Neway1;X
65173;Chief of Navy;Yilma Deressa;1936;1964;1999;LWR;Indirect Approach Doctrine;Very High;Deressa;X
65174;Chief of Navy;Tafari Benti;1941;1964;1999;LWR;Decisive Naval Battle Doctrine;Very High;Benti;X
65175;Chief of Air Force;Farah Ali Omar;1936;1964;1999;LWR;Carpet Bombing Doctrine;Very High;Omar;X
65176;Foreign Minister;Omar Hassano;1936;1964;1999;PA;Apologetic Clerk;Very High;Hassano;X
65177;Foreign Minister;Makonnen Habte-Wold;1936;1964;1999;PA;Ideological Crusader;Very High;Habte-Wold1;X
65178;Foreign Minister;Akalework Habte-Wold;1936;1964;1999;PA;Iron Fisted Brute;Very High;Habte-Wold2;X
65179;Minister of Armament;Omar Hassano;1936;1964;1999;PA;Administrative Genius;Very High;Hassano;X
65180;Minister of Armament;Abubakar Garad Usman;1936;1964;1999;PA;Air Superiority Proponent;Very High;Usman;X
65181;Minister of Armament;Gebremeskel Woldu;1936;1964;1999;PA;Resource Industrialist;Very High;Woldu;X
65182;Minister of Armament;Bashir Ismail Yusuf;1936;1964;1999;PA;Battle Fleet Proponent;Very High;Yusuf;X
65183;Minister of Armament;Nasibu Zamanuael;1936;1964;1999;PA;Submarine Proponent;Very High;Zamanuael1;X
65184;Minister of Armament;Haddis Alemayehu;1936;1964;1999;PA;Air to Sea Proponent;Very High;Alemayehu;X
65185;Minister of Security;Gebremeskel Woldu;1936;1964;1999;PA;Man of the People;Very High;Woldu;X
65186;Minister of Security;Akalework Habte-Wold;1936;1964;1999;PA;Prince of Terror;Very High;Habte-Wold2;X
65187;Minister of Security;Omar Hassano;1936;1964;1999;PA;Silent Lawyer;Very High;Hassano;X
65188;Minister of Security;Makonnen Habte-Wold;1936;1964;1999;PA;Back Stabber;Very High;Habte-Wold1;X
65189;Head of Military Intelligence;Gebremeskel Woldu;1936;1964;1999;PA;Industrial Specialist;Very High;Woldu;X
65190;Chief of Staff;Beine Barakhi;1936;1964;1999;PA;School of Defence;Very High;Barakhi;X
65191;Chief of Army;Beine Barakhi;1936;1964;1999;PA;Static Defence Doctrine;Very High;Barakhi;X
65192;Chief of Navy;Nasibu Zamanuael;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;Zamanuael1;X
65193;Chief of Navy;Bashir Ismail Yusuf;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Very High;Yusuf;X
65194;Chief of Navy;Haddis Alemayehu;1936;1964;1999;PA;Power Projection Doctrine;Very High;Alemayehu;X
65195;Chief of Air Force;Haddis Alemayehu;1936;1964;1999;PA;Naval Aviation Doctrine;Very High;Alemayehu;X
65196;Chief of Air Force;Abubakar Garad Usman;1936;1964;1999;PA;Air Superiority Doctrine;Very High;Usman;X
65197;Foreign Minister;Haregot Abbai;1936;1964;1999;SC;The Cloak N Dagger Schemer;Very High;Abbai;X
65198;Foreign Minister;Kidane Mariam;1936;1964;1999;SC;Ideological Crusader;Very High;Mariam;X
65199;Minister of Armament;Saleh Ahmed Kekia;1936;1964;1999;SC;Administrative Genius;Very High;Kekia;X
65200;Minister of Armament;Yosef Ben-Jochannan;1938;1964;1999;SC;Air Superiority Proponent;Very High;Ben-Jochannan;X
65201;Minister of Armament;Kidanemariam Ghebremeskel;1936;1964;1999;SC;Corrupt Kleptocrat;Very High;Ghebremeskel;X
65202;Minister of Security;Saleh Ahmed Kekia;1936;1964;1999;SC;Efficient Sociopath;Very High;Kekia;X
65203;Minister of Security;Haregot Abbai;1936;1964;1999;SC;Silent Lawyer;Very High;Abbai;X
65204;Minister of Security;Kidanemariam Ghebremeskel;1936;1964;1999;SC;Crooked Kleptocrat;Very High;Ghebremeskel;X
65205;Head of Military Intelligence;Kidanemariam Ghebremeskel;1936;1964;1999;SC;Political Specialist;Very High;Ghebremeskel;X
65206;Head of Military Intelligence;Haregot Abbai;1936;1964;1999;SC;Dismal Enigma;Very High;Abbai;X
65207;Chief of Staff;Beyene Merid;1936;1964;1999;SC;School of Manoeuvre;Very High;Merid;X
65208;Chief of Army;Beyene Merid;1936;1964;1999;SC;Elastic Defence Doctrine;Very High;Merid;X
65209;Chief of Air Force;Yosef Ben-Jochannan;1938;1964;1999;SC;Air Superiority Doctrine;Very High;Ben-Jochannan;X
65210;Head of State;Endargatchew Messai;1936;1964;1999;ML;Powerhungry Demagogue;Very High;Messai;X
65211;Head of Government;Asfaha Wolde Mikael;1936;1964;1999;ML;Backroom Backstabber;Very High;Mikael;X
65212;Head of Government;Endargatchew Messai;1936;1964;1999;ML;Flamboyant Tough Guy;Very High;Messai;X
65213;Foreign Minister;Tessema Eshete;1936;1964;1999;ML;The Cloak N Dagger Schemer;Medium;ETH_tessema_eshete;X
65214;Foreign Minister;Araya Wassie;1936;1964;1999;ML;Ideological Crusader;Very High;Wassie;X
65215;Foreign Minister;Endargatchew Messai;1936;1964;1999;ML;Biased Intellectual;Very High;Messai;X
65216;Minister of Armament;Tesfayohannes Berhe;1936;1964;1999;ML;Administrative Genius;Very High;Berhe;X
65217;Minister of Armament;Endargatchew Messai;1936;1964;1999;ML;Theoretical Scientist;Very High;Messai;X
65218;Minister of Armament;Asfaha Wolde Mikael;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;Mikael;X
65219;Minister of Security;Said Sefaf;1936;1964;1999;ML;Man of the People;Very High;Sefaf;X
65220;Minister of Security;Tesfayohannes Berhe;1936;1964;1999;ML;Efficient Sociopath;Very High;Berhe;X
65221;Minister of Security;Endargatchew Messai;1936;1964;1999;ML;Compassionate Gentleman;Very High;Messai;X
65222;Minister of Security;Asfaha Wolde Mikael;1936;1964;1999;ML;Back Stabber;Very High;Mikael;X
65223;Minister of Security;Araya Wassie;1936;1964;1999;ML;Crime Fighter;Very High;Wassie;X
65224;Head of Military Intelligence;Asfaha Wolde Mikael;1936;1964;1999;ML;Political Specialist;Very High;Mikael;X
65225;Head of Military Intelligence;Endargatchew Messai;1936;1964;1999;ML;Technical Specialist;Very High;Messai;X
65226;Foreign Minister;Ghebrehannes Tesfamariam;1936;1964;1999;SL;Apologetic Clerk;Very High;Tesfamariam;X
65227;Foreign Minister;Seyoum Maascio;1936;1964;1999;SL;Biased Intellectual;Very High;Maascio;X
65228;Minister of Armament;Ghebrehannes Tesfamariam;1936;1964;1999;SL;Administrative Genius;Very High;Tesfamariam;X
65229;Minister of Armament;Seyoum Maascio;1936;1964;1999;SL;Theoretical Scientist;Very High;Maascio;X
65230;Minister of Armament;Adamu Tesfaw;1942;1964;1999;SL;Air Superiority Proponent;Very High;Tesfaw;X
65231;Minister of Armament;Belay Zeleke;1936;1964;1999;SL;Submarine Proponent;Very High;Zeleke;X
65232;Minister of Armament;Tedla Bairu;1936;1964;1999;SL;Air to Ground Proponent;Very High;Bairu;X
65233;Minister of Armament;Alimirah Hanfere;1941;1964;1999;SL;Air to Sea Proponent;Very High;Hanfere;X
65234;Minister of Security;Seyoum Maascio;1936;1964;1999;SL;Man of the People;Very High;Maascio;X
65235;Minister of Security;Ghebrehannes Tesfamariam;1936;1964;1999;SL;Efficient Sociopath;Very High;Tesfamariam;X
65236;Head of Military Intelligence;Seyoum Maascio;1936;1964;1999;SL;Technical Specialist;Very High;Maascio;X
65237;Head of Military Intelligence;Girma Wolde-Giorgis;1944;1964;1999;SL;Naval Intelligence Specialist;Very High;Wolde-Giorgis;X
65238;Chief of Staff;Tedla Bairu;1936;1964;1999;SL;School of Psychology;Very High;Bairu;X
65239;Chief of Army;Tedla Bairu;1936;1964;1999;SL;Guns and Butter Doctrine;Very High;Bairu;X
65240;Chief of Navy;Belay Zeleke;1936;1964;1999;SL;Indirect Approach Doctrine;Very High;Zeleke;X
65241;Chief of Navy;Girma Wolde-Giorgis;1944;1964;1999;SL;Open Seas Doctrine;Very High;Wolde-Giorgis;X
65242;Chief of Navy;Alimirah Hanfere;1941;1964;1999;SL;Power Projection Doctrine;Very High;Hanfere;X
65243;Chief of Air Force;Tedla Bairu;1936;1964;1999;SL;Army Aviation Doctrine;Very High;Bairu;X
65244;Chief of Air Force;Alimirah Hanfere;1941;1964;1999;SL;Naval Aviation Doctrine;Very High;Hanfere;X
65245;Chief of Air Force;Adamu Tesfaw;1942;1964;1999;SL;Air Superiority Doctrine;Very High;Tesfaw;X
65246;Head of State;Woldeab Woldemariam;1936;1964;1999;SD;Popular Figurehead;Very High;Woldemariam;X
65247;Head of Government;Woldeab Woldemariam;1936;1964;1999;SD;Ambitious Union Boss;Very High;Woldemariam;X
65248;Foreign Minister;Woldeab Woldemariam;1936;1964;1999;SD;Apologetic Clerk;Very High;Woldemariam;X
65249;Foreign Minister;Hassan Gouled Aptidon;1936;1964;1999;SD;The Cloak N Dagger Schemer;Very High;Aptidon;X
65250;Foreign Minister;Yaasiin Cismaan Keenadiid;1939;1964;1999;SD;Iron Fisted Brute;Very High;Keenadiid;X
65251;Minister of Armament;Afework Wolde Semayit;1936;1964;1999;SD;Military Entrepreneur;Medium;ETH_semayit;X
65252;Minister of Armament;Abdullah al-Harari;1936;1964;1999;SD;Air Superiority Proponent;Very High;al-Harari;X
65253;Minister of Armament;Mohamed Abshir Muse;1940;1964;1999;SD;Battle Fleet Proponent;Very High;Muse;X
65254;Minister of Armament;Hassan Gouled Aptidon;1936;1964;1999;SD;Corrupt Kleptocrat;Very High;Aptidon;X
65255;Minister of Armament;Woldeab Woldemariam;1936;1964;1999;SD;Laissez-Faire Capitalist;Very High;Woldemariam;X
65256;Minister of Security;Yaasiin Cismaan Keenadiid;1939;1964;1999;SD;Prince of Terror;Very High;Keenadiid;X
65257;Minister of Security;Hassan Gouled Aptidon;1936;1964;1999;SD;Crooked Kleptocrat;Very High;Aptidon;X
65258;Minister of Security;Woldeab Woldemariam;1936;1964;1999;SD;Back Stabber;Very High;Woldemariam;X
65259;Head of Military Intelligence;Hassan Gouled Aptidon;1936;1964;1999;SD;Political Specialist;Very High;Aptidon;X
65260;Head of Military Intelligence;Yaasiin Cismaan Keenadiid;1939;1964;1999;SD;Dismal Enigma;Very High;Keenadiid;X
65261;Head of Military Intelligence;Mukhtar Mohamed Hussein;1936;1964;1999;SD;Naval Intelligence Specialist;Very High;Hussein;X
65262;Chief of Navy;Mohamed Ibrahim Liqliqato;1941;1964;1999;SD;Base Control Doctrine;Very High;Liqliqato;X
65263;Chief of Navy;Mohamed Abshir Muse;1940;1964;1999;SD;Decisive Naval Battle Doctrine;Very High;Muse;X
65264;Chief of Navy;Mukhtar Mohamed Hussein;1936;1964;1999;SD;Open Seas Doctrine;Very High;Hussein;X
65265;Chief of Air Force;Abdullah al-Harari;1936;1964;1999;SD;Air Superiority Doctrine;Very High;al-Harari;X
65266;Chief of Air Force;Mohamed Ibrahim Liqliqato;1941;1964;1999;SD;Vertical Envelopment Doctrine;Very High;Liqliqato;X
65293;Head of State;Haile Selassie I;1936;1964;1999;SL;Stern Imperialist;High;M65001;X
65294;Head of Government;Tekle Hawariat Tekle Mariyam;1936;1964;1999;PA;Happy Amateur;High;M65002;X
65295;Head of Government;Maascio Zewede;1936;1964;1999;SL;Corporate Suit;Very High;unknown;X
65353;Head of Government;Tekle Wolde Hawaryat;1936;1964;1999;SD;Flamboyant Tough Guy;Very High;unknown;X
65354;Minister of Armament;Haregot Abbai;1936;1964;1999;SC;Laissez-Faire Capitalist;Very High;Abbai;X
