YUG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
20058;Minister of Security;Petar Grabovski;1942;1964;1999;FA;Efficient Sociopath;Low;M20058;x
20059;Minister of Security;Milan Nedic;1943;1964;1999;NS;Prince of Terror;Medium;M20059;x
20060;Minister of Security;Spiro Kitinchev;1944;1964;1999;NS;Back Stabber;Medium;M20060;x
20061;Minister of Security;Dragoljub Stefanic;1944;1964;1999;ML;Crime Fighter;Medium;M20061;x
20062;Minister of Security;Koca Popovic;1936;1964;1999;SD;Silent Lawyer;Medium;M20025;x
20063;Head of Military Intelligence;Andrija Stampar;1939;1964;1999;PA;Technical Specialist;Medium;M20063;x
20064;Head of Military Intelligence;Djorde Petrelic;1941;1964;1999;SC;Industrial Specialist;Medium;M20064;x
20065;Head of Military Intelligence;Dimitar Ckatrov;1942;1964;1999;FA;Dismal Enigma;Medium;M20065;x
20066;Head of Military Intelligence;Kosta Ecanec;1943;1964;1999;NS;Logistics Specialist;Medium;M20066;x
20067;Head of Military Intelligence;Drogoljub Jovanovic;1943;1964;1999;NS;Political Specialist;Medium;M20067;x
20068;Head of Military Intelligence;Mihail Milosajevic;1944;1964;1999;ML;Technical Specialist;Medium;M20068;x
20069;Head of Military Intelligence;Aleksandar Rankovic;1936;1964;1999;SD;Dismal Enigma;High;M20026;x
20071;Chief of Staff;Radivoje Jankovic;1941;1964;1999;SC;School of Fire Support;Low;L46012;x
20072;Chief of Staff;Dimitar Duzelov;1942;1964;1999;FA;School of Manoeuvre;Low;M20072;x
20073;Chief of Staff;Marko Bozovic;1943;1964;1999;NS;School of Mass Combat;Low;L46002;x
20074;Chief of Staff;Jovan Nikolic;1944;1964;1999;ML;School of Psychology;Low;M20074;x
20075;Chief of Staff;Arsa Jovanovic;1936;1964;1999;LWR;School of Mass Combat;Medium;M20075;x
20076;Chief of Staff;Draza Mihailovic;1936;1964;1999;SD;School of Defence;Medium;M20012;x
20078;Chief of Army;Milutin Nedic;1941;1964;1999;SC;Decisive Battle Doctrine;Very High;L46026;x
20079;Chief of Army;Dimitar Duzelov;1942;1964;1999;FA;Armoured Spearhead Doctrine;Very High;M20072;x
20080;Chief of Army;Marko Bozovic;1943;1964;1999;NS;Elastic Defence Doctrine;Very High;L46002;x
20081;Chief of Army;Jovan Nikolic;1944;1964;1999;ML;Guns and Butter Doctrine;Very High;M20074;x
20082;Chief of Army;Draza Mihailovic;1936;1964;1999;SD;static defence doctrine;Medium;M20012;x
20084;Chief of Navy;Milutin Nedic;1941;1964;1999;SC;Decisive Naval Battle Doctrine;High;L46026;x
20085;Chief of Navy;Petra Dumev;1942;1964;1999;FA;Indirect Approach Doctrine;High;M20085;x
20086;Chief of Navy;Nikola Mandic;1943;1964;1999;NS;Base Control Doctrine;High;M20086;x
20087;Chief of Navy;Pavle Karadjordjevic;1944;1964;1999;ML;Power Projection Doctrine;Very High;M20001;x
20090;Chief of Air Force;Petra Dumev;1942;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M20085;x
20091;Chief of Air Force;Ademaga Mesic;1943;1964;1999;NS;Army Aviation Doctrine;Medium;M20091;x
20092;Chief of Air Force;Petar Vukcevic;1944;1964;1999;ML;Naval Aviation Doctrine;Medium;L46062;x
20093;Chief of Air Force;Ivan Ribar;1936;1964;1999;LWR;Air Superiority Doctrine;High;M20093;x
20094;Head of State;N.K.V. Petar II;1941;1964;1999;SC;Benevolent Gentleman;High;M20011;x
20095;Head of State;N.K.V. Petar II;1941;1964;1999;FA;Barking Buffoon;High;M20011;x
20096;Head of State;N.K.V. Petar II;1941;1964;1999;NS;Popular Figurehead;High;M20011;x
20097;Foreign Minister;Momcilo Nincic;1941;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M20013;x
20100;Chief of Staff;Koca Popovic;1936;1964;1999;LWR;School of Mass Combat;High;M20025;x
20101;Chief of Army;Josip Broz;1936;1964;1999;LWR;Armoured Spearhead Doctrine;High;M20028;x
20102;Chief of Navy;Josip Broz;1936;1964;1999;LWR;Indirect Approach Doctrine;High;M20029;x
20011;Head of State;N.K.V. Petar II;1936;1964;1999;ML;Autocratic Charmer;High;M20011;x
20012;Head of Government;Draza Mihailovic;1936;1964;1999;SC;Naive Optimist;High;M20012;x
20014;Minister of Armament;Ivan Subasic;1936;1964;1999;ML;Infantry Proponent;Medium;M20014;x
20016;Head of Military Intelligence;Miroslav Spalaikovic;1936;1964;1999;ML;Technical Specialist;High;M20016;x
20017;Chief of Staff;Mihailo Lukic;1936;1964;1999;ML;School of Manoeuvre;High;L46020;x
20030;Chief of Air Force;Josip Broz;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M20028;x
20103;Head of State;Milutin Nedic;1936;1964;1999;FA;Resigned Generalissimo;High;L46026;x
20104;Head of Government;Dragisa Cvetkovic;1936;1964;1999;FA;Corporate Suit;High;M20032;x
20105;Head of State;Pavle Karadjordjevic;1936;1964;1999;SC;Benevolent Gentleman;High;M20001;x
20106;Head of State;N.K.V. Aleksander II;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich Aleksander II;x
20107;Head of State;N.K.V. Aleksander II;1936;1964;1999;FA;Stern Imperialist;High;kaiserreich Aleksander II;x
20108;Head of State;N.K.V. Michael I Petrovic-Njegos;1936;1964;1999;SC;Popular Figurehead;High;michaelpetronje kai;x
20109;Head of State;N.K.V. Danilo I Petrovic-Njegos;1936;1964;1999;FA;Autocratic Charmer;High;M544011;x
20110;Head of State;N.K.V. Michael I Petrovic-Njegos;1936;1964;1999;FA;Autocratic Charmer;High;michaelpetronje kai;x
20111;Head of State;N.K.V. Danilo I Petrovic-Njegos;1936;1964;1999;SC;Popular Figurehead;High;M544011;x
20112;Head of State;Petar Bojovic;1936;1964;1999;FA;Resigned Generalissimo;High;kaiserreich Bojovic;x
20113;Chief of Army;Petar Bojovic;1936;1964;1999;FA;Static Defence Doctrine;Medium;kaiserreich Bojovic;x
