SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10079;Minister of Armament;Fidel Dávila Arrondo;1938;1964;1999;FA;Military Entrepreneur;High;M10002;x
10080;Minister of Armament;Nicolás Franco Bahamonde;1936;1964;1999;PA;Battle Fleet Proponent;Very High;M10092;x
10081;Minister of Armament;Joaquin Benjumea Búrin;1941;1964;1999;FA;Resource Industrialist;High;M10093;x
10082;Minister of Armament;José Larraz Lopez;1939;1964;1999;FA;laissez-faire capitalist;High;M11139;x
10083;Minister of Armament;Mariano Ansó;1946;1964;1999;PA;Air to Ground Proponent;Medium;M10096;x
10084;Minister of Armament;Joaquín Bau Nolla;1937;1964;1999;FA;Administrative Genius;Medium;M10095;x
10085;Minister of Armament;Luís Hernando de Larramendi;1939;1964;1999;FA;Resource Industrialist;High;M10067;x
10086;Minister of Armament;José María Lammamié;1945;1964;1999;FA;laissez-faire capitalist;Medium;M10102;x
10087;Minister of Armament;Victor Pradera;1946;1964;1999;FA;Theoretical Scientist;High;M10066;x
10088;Minister of Armament;J.A. Primo de Rivera de Heredia;1936;1964;1999;FA;Resource Industrialist;High;M10036;x
10089;Minister of Armament;Raimundo Fernández Cuesta;1937;1964;1999;FA;laissez-faire capitalist;High;M10105;x
10090;Minister of Armament;Manuel Hedilla Larrey;1938;1964;1999;FA;Military Entrepreneur;High;M10050;x
10091;Minister of Armament;Sancho Dávila;1941;1964;1999;FA;Infantry Proponent;Medium;M10109;x
10092;Minister of Armament;Agustín Aznar Guerner;1942;1964;1999;FA;Air to Ground Proponent;Medium;M10110;x
10093;Minister of Armament;José Calvo-Sotelo;1936;1964;1999;PA;laissez-faire capitalist;Very High;M11014;x
10094;Minister of Armament;José Enrique Varela Iglesias;1936;1964;1999;SC;Military Entrepreneur;High;M10014;x
10095;Minister of Armament;Juan March Ordinas;1936;1964;1999;SC;Administrative Genius;High;M10113;x
10096;Minister of Armament;Juan Ignacio Luca de Tena;1939;1964;1999;SC;laissez-faire capitalist;Medium;M10115;x
10097;Minister of Armament;Juan Vigón Suerodíaz;1938;1964;1999;SC;Theoretical Scientist;High;M10118;x
10098;Minister of Armament;Francisco de Borbón de la Torre;1938;1964;1999;SC;Tank Proponent;Medium;M10077;x
10099;Minister of Armament;Diego Hidalgo Dúran;1936;1964;1999;ML;Military Entrepreneur;High;M11101;x
10100;Minister of Armament;Emilio Herrera;1941;1964;1999;ML;Air Superiority Proponent;High;M11145;x
10101;Minister of Armament;Joaquín Chapaprieta Torregosa;1942;1964;1999;ML;Resource Industrialist;High;M11155;x
10102;Minister of Armament;José María Gil-Robles Quiñones;1943;1964;1999;ML;Resource Industrialist;High;M10012;x
10103;Minister of Armament;Luis Luciá Luciá;1944;1964;1999;ML;Theoretical Scientist;Low;M11113;x
10104;Minister of Security;Pedro Sáinz Rodríguez;1936;1964;1999;FA;Man of the People;High;M10127;x
10105;Minister of Security;Severiano Martínez Anido;1939;1964;1999;PA;Prince of Terror;Medium;M10128;x
10106;Minister of Security;Dionisio Ridruejo;1938;1964;1999;PA;Back Stabber;Medium;M10129;x
10107;Minister of Security;Blas Pérez González;1940;1964;1999;PA;Silent Lawyer;High;M10130;x
10108;Minister of Security;José Millán Astray;1941;1964;1999;PA;Efficient Sociopath;Medium;M10131;x
10109;Minister of Security;Valentín Galarza Morante;1940;1964;1999;PA;Man of the People;High;M10132;x
10110;Minister of Security;Luis Valdés Cavanillas;1942;1964;1999;PA;Prince of Terror;High;M10134;x
10111;Minister of Security;Tomás Garciano Goñi;1936;1964;1999;PA;Compassionate Gentleman;Medium;M10135;x
10112;Minister of Security;Tomás  Conde de Redezno;1937;1964;1999;FA;Prince of Terror;High;M10099;x
10113;Minister of Security;José María Lammamié;1944;1964;1999;FA;Efficient Sociopath;Medium;M10102;x
10114;Minister of Security;Agustín Aznar Guerner;1936;1964;1999;FA;Back Stabber;Medium;M10110;x
10115;Minister of Security;Ramiro Ledesma Ramos;1938;1964;1999;FA;Silent Lawyer;High;M10069;x
10116;Minister of Security;Pilar Primo de Rivera;1942;1964;1999;FA;Prince of Terror;High;M10037;x
10117;Minister of Security;Raimundo Fernández Cuesta;1945;1964;1999;FA;Man of the People;High;M10074;x
10118;Minister of Security;Jacobo Fitz-James Stuart;1936;1964;1999;SC;Compassionate Gentleman;Medium;M10080;x
10119;Minister of Security;José Yanguas Messía;1939;1964;1999;SC;Efficient Sociopath;High;M11150;x
10120;Minister of Security;José Martínez de Velasco;1941;1964;1999;SC;Crime Fighter;Low;M11110;x
10121;Minister of Security;Andrés Saliquet Zumeta;1942;1964;1999;SC;Man of the People;Medium;M10015;x
10122;Minister of Security;Miguel Cabanellas Ferrer;1936;1964;1999;SC;Crime Fighter;High;M10001;x
10123;Minister of Security;Miguel Maura Gamazo;1944;1964;1999;ML;Compassionate Gentleman;High;M11073;x
10124;Head of Military Intelligence;Antonio Barroso Sánchez-Guerra;1939;1964;1999;PA;Logistics Specialist;High;M10159;x
10125;Head of Military Intelligence;Juan Vigón Suerodíaz;1939;1964;1999;PA;Technical Specialist;High;M10118;x
10126;Head of Military Intelligence;José Ungría Jiménez;1936;1964;1999;PA;Industrial Specialist;High;M10085;x
10127;Head of Military Intelligence;Isidro Gomá y Tomás;1936;1964;1999;FA;Dismal Enigma;High;M10065;x
10128;Head of Military Intelligence;Joaquín Bau Nolla;1941;1964;1999;FA;Political Specialist;Medium;M10095;x
10129;Head of Military Intelligence;Luís Hernando de Larramendi;1943;1964;1999;FA;Technical Specialist;High;M10067;x
10130;Head of Military Intelligence;Ricardo de Rada;1937;1964;1999;FA;Logistics Specialist;High;M10166;x
10131;Head of Military Intelligence;Manuel Hedilla Larrey;1936;1964;1999;FA;Political Specialist;High;M10050;x
10132;Head of Military Intelligence;Dionisio Ridruejo;1942;1964;1999;FA;Technical Specialist;Medium;M10129;x
10133;Head of Military Intelligence;Enrique Plá y Deniel;1936;1964;1999;SC;Political Specialist;Medium;M10063;x
10134;Head of Military Intelligence;Luis Orgaz Yoldi;1936;1964;1999;SC;Logistics Specialist;High;M10016;x
10135;Head of Military Intelligence;Ricardo Samper Ibáñez;1936;1964;1999;ML;Political Specialist;Medium;M11104;x
10136;Head of Military Intelligence;Juan March Ordinas;1939;1964;1999;ML;Dismal Enigma;High;M10113;x
10137;Head of Military Intelligence;Diego Hidalgo Dúran;1940;1964;1999;ML;Logistics Specialist;High;M11101;x
10138;Head of Military Intelligence;Luis Luciá Luciá;1941;1964;1999;ML;Technical Specialist;Low;M11113;x
10139;Head of Military Intelligence;Joaquín Chapaprieta Torregosa;1943;1964;1999;ML;Industrial Specialist;High;M11155;x
10140;Chief of Staff;Francisco Franco Bahamonde;1936;1964;1999;PA;School of Psychology;Very High;L3426;x
10141;Chief of Staff;Juan Yagüe Blanco;1937;1964;1999;PA;School of Manoeuvre;Medium;M10184;x
10142;Chief of Staff;José Enrique Varela Iglesias;1939;1964;1999;PA;School of Fire Support;High;M10014;x
10143;Chief of Staff;Carlos Asensio Cabanillas;1945;1964;1999;PA;School of Mass Combat;High;M10187;x
10144;Chief of Staff;José Sanjurjo Sacanell;1936;1964;1999;FA;School of Psychology;High;M10040;x
10145;Chief of Staff;Ricardo de Rada;1940;1964;1999;FA;School of Mass Combat;High;M10166;x
10146;Chief of Staff;Agustín Aznar Guerner;1938;1964;1999;FA;School of Psychology;High;M10070;x
10147;Chief of Staff;Agustín Muñoz Grandes;1939;1964;1999;FA;School of Fire Support;High;M10194;x
10148;Chief of Staff;Sancho Dávila;1941;1964;1999;FA;School of Defence;Medium;M10109;x
10149;Chief of Staff;Joaquin Fanjul Goñi;1943;1964;1999;SC;School of Fire Support;Medium;M10202;x
10150;Chief of Staff;Miguel Cabanellas Ferrer;1938;1964;1999;ML;School of Psychology;High;M10001;x
10151;Chief of Army;Fidel Dávila Arrondo;1936;1964;1999;PA;Static Defence Doctrine;High;M10002;x
10152;Chief of Army;Rafael García Valiño;1939;1964;1999;PA;Decisive Battle Doctrine;High;M10207;x
10153;Chief of Army;Carlos Asensio Cabanillas;1939;1964;1999;PA;Armoured Spearhead Doctrine;High;M10208;x
10154;Chief of Army;Juan Yagüe Blanco;1939;1964;1999;PA;Elastic Defence Doctrine;Medium;M10184;x
10155;Chief of Army;José Enrique Varela Iglesias;1939;1964;1999;PA;Guns and Butter Doctrine;High;M10014;x
10156;Chief of Army;Ricardo de Rada;1937;1964;1999;FA;Static Defence Doctrine;High;M10166;x
10157;Chief of Army;Agustín Aznar Guerner;1938;1964;1999;FA;Guns and Butter Doctrine;High;M10070;x
10158;Chief of Army;Agustín Muñoz Grandes;1939;1964;1999;FA;Armoured Spearhead Doctrine;High;M10194;x
10159;Chief of Army;Sancho Dávila;1941;1964;1999;FA;Decisive Battle Doctrine;Medium;M10109;x
10160;Chief of Army;Antonio Aranda Mata;1942;1964;1999;SC;static defence doctrine;Low;M10018;x
10161;Chief of Army;Miguel Cabanellas Ferrer;1938;1964;1999;ML;Static Defence Doctrine;High;M10001;x
10162;Chief of Navy;Carlos Bareda Terry;1936;1964;1999;PA;Indirect Approach Doctrine;High;M10229;x
10163;Chief of Navy;Salvador Moreno Fernández;1938;1964;1999;PA;Decisive Naval Battle Doctrine;High;M10230;x
10164;Chief of Navy;Nicolás Franco Bahamonde;1941;1964;1999;PA;Power Projection Doctrine;Very High;M10092;x
10165;Chief of Navy;Luis Carrero Blanco;1944;1964;1999;PA;Base Control Doctrine;High;M10232;x
10166;Chief of Navy;Francisco Reglado Rodríguez;1944;1964;1999;PA;Open Seas Doctrine;High;M10233;x
10167;Chief of Navy;José María Lammamié;1942;1964;1999;FA;Indirect Approach Doctrine;Medium;M10102;x
10168;Chief of Navy;J. de Areilza y Martínez-Rodas;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;M10071;x
10169;Chief of Navy;José Millán Astray;1941;1964;1999;SC;Base Control Doctrine;Medium;M10131;x
10170;Chief of Navy;Ramiro Ledesma Ramos;1943;1964;1999;FA;Open Seas Doctrine;High;M10069;x
10171;Chief of Navy;Francisco Núñez de Olaneta;1936;1964;1999;PA;Base Control Doctrine;High;M10019;x
10172;Chief of Navy;Antonio Azarola Gresillón;1936;1964;1999;ML;Open Seas Doctrine;High;M11009;x
10173;Chief of Navy;Miguel Maura Gamazo;1940;1964;1999;ML;Decisive Naval Battle Doctrine;High;M11073;x
10174;Chief of Air Force;Ramón Franco Bahamonde;1936;1964;1999;PA;Naval Aviation Doctrine;High;M10089;x
10175;Chief of Air Force;Juan Yagüe Blanco;1939;1964;1999;PA;Air Superiority Doctrine;Medium;M10184;x
10176;Chief of Air Force;Eduardo González Gallarza;1944;1964;1999;PA;Vertical Envelopment Doctrine;High;M10250;x
10177;Chief of Air Force;Juan Vigón Suerodíaz;1940;1964;1999;PA;Army Aviation Doctrine;High;M10118;x
10178;Chief of Air Force;J. de Clairac de la Colina;1936;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M10252;x
10179;Chief of Air Force;J. de Areilza y Martínez-Rodas;1941;1964;1999;FA;Carpet Bombing Doctrine;High;M10071;x
10180;Chief of Air Force;Ramiro Ledesma Ramos;1943;1964;1999;FA;Air Superiority Doctrine;High;M10069;x
10181;Chief of Air Force;Francisco Reglado Rodríguez;1945;1964;1999;FA;Naval Aviation Doctrine;High;M10233;x
10182;Chief of Air Force;Juan I.L. de Tena García;1938;1964;1999;SC;Vertical Envelopment Doctrine;Low;M10262;x
10183;Chief of Air Force;Juan Ansaldo Vejarano;1937;1964;1999;SC;Air Superiority Doctrine;High;M10263;x
10184;Chief of Air Force;Andrés Saliquet Zumeta;1936;1964;1999;ML;Naval Aviation Doctrine;High;M10266;x
10185;Chief of Air Force;Emilio Herrera;1938;1964;1999;ML;Army Aviation Doctrine;High;M11145;x
10186;Chief of Air Force;Diego Hidalgo Dúran;1940;1964;1999;ML;Air Superiority Doctrine;High;M11101;x
10187;Chief of Air Force;Rudolf von Moreau;1942;1964;1999;ML;Carpet Bombing Doctrine;High;M10269;x
10188;Chief of Air Force;Camilo Alonso Vega;1944;1964;1999;ML;Vertical Envelopment Doctrine;High;M10270;x
10189;Minister of Armament;Diego Hidalgo Durán;1938;1964;1999;SC;Military Entrepreneur;High;M11101;x
10190;Chief of Army;Francisco Franco Bahamonde;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;L3426;x
10191;Chief of Navy;J. de Clairac de la Colina;1936;1964;1999;FA;Indirect Approach Doctrine;High;M10252;x
10192;Head of State;José Sanjurjo Sacanell;1936;1964;1999;PA;Resigned Generalissimo;Very High;M10040;x
10193;Head of State;José Calvo-Sotelo;1936;1964;1999;SC;Insignificant Layman;Very High;M11014;x
10194;Head of Government;José Sanjurjo Sacanell;1936;1964;1999;PA;Old General;Very High;M10040;x
10195;Head of Government;José Antonio Primo de Rivera;1936;1964;1999;FA;Silent Workhorse;Very High;M10036;x
10196;Minister of Security;José Antonio Primo de Rivera;1936;1964;1999;FA;Man of the People;Very High;M10036;x
10197;Foreign Minister;Juan Beigbéder Atienza;1936;1964;1999;PA;Apologetic Clerk;Medium;M10013;x
10198;Chief of Staff;Luís Orgaz Yoldi;1936;1964;1999;PA;school of defence;Medium;M10016;x
10199;Chief of Navy;Francisco Nunez de Olaneta;1936;1964;1999;PA;Indirect Approach Doctrine;High;M10019;x
10200;Head of State;José Díaz Ramos;1936;1964;1999;LE;Powerhungry Demagogue;High;M10021;x
10201;Head of Government;José Díaz Ramos;1936;1964;1999;LE;Backroom Backstabber;High;M10021;x
10202;Foreign Minister;Julio Álvarez del Vayo;1936;1964;1999;ST;Ideological Crusader;High;M10023;x
10203;Minister of Armament;Enrique Castro Delgado;1936;1964;1999;ST;Infantry Proponent;High;M10024;x
10204;Minister of Security;Santiago Carrillo Solares;1936;1964;1999;LE;Prince of Terror;Very High;M10025;x
10205;Head of Military Intelligence;José Díaz Ramos;1936;1964;1999;LE;Technical Specialist;Medium;M10021;x
10206;Chief of Staff;Miguel Tagüeña Lacorte;1936;1964;1999;LE;School of Manoeuvre;Very High;M10027;x
10207;Chief of Army;Enrique Líster Forján;1936;1964;1999;LE;Decisive Battle Doctrine;Very High;M10028;x
10208;Chief of Navy;Francisco Galán Rodríguez;1936;1964;1999;LE;Open Seas Doctrine;Medium;M10029;x
10209;Chief of Air Force;Ignacio Hidalgo de Cisneros;1936;1964;1999;LE;Air Superiority Doctrine;High;M10030;x
10210;Head of State;Fidel Dávila Arrondo;1936;1964;1999;FA;Benevolent Gentleman;High;M10002;x
10211;Head of State;J.M. Gil-Robles Quiñones;1936;1964;1999;PA;Benevolent Gentleman;High;M10012;x
10212;Head of State;S.C.M. Jaime I;1937;1964;1999;SC;Powerhungry Demagogue;High;Jaime;x
10213;Head of State;S.K.H Frederick I;1936;1964;1999;PA;german aristocrat;High;Kaiserreich_SPA_Frederick_I;x
10214;Head of Government;Manuel Azaña Díaz;1938;1964;1999;SD;Silent Workhorse;High;M11033;x
10215;Head of Government;Indalencio Prieto Tuero;1939;1964;1999;SD;Political Protege;High;M11065;x
10216;Head of Government;Santiago Casares Quiroga;1936;1964;1999;SD;Corporate Suit;High;M11066;x
10217;Head of Government;José Giral Pereira;1936;1964;1999;SD;Naive Optimist;High;M11067;x
10218;Head of Government;Manuel Portela Valladares;1936;1964;1999;SL;Naive Optimist;High;M11002;x
