FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
29093;Minister of Armament;Leonard Grandell;1939;1964;1999;SC;Laissez-Faire Capitalist;Medium;M29093;X
29094;Minister of Armament;Juho K. Paasikivi;1941;1964;1999;SC;Resource Industrialist;High;M29035;X
29095;Minister of Armament;Urho J. Castrén;1943;1964;1999;SC;Infantry Proponent;NA;M29064;X
29096;Minister of Armament;Edwin H. Linkomies;1944;1964;1999;SC;Administrative Genius;Medium;M29063;X
29097;Minister of Armament;Georg A. de Gripenberg;1946;1964;1999;SC;Strategic Air Proponent;High;M29097;X
29098;Minister of Armament;Karl R. Waldén;1944;1964;1999;PA;Resource Industrialist;Medium;M29098;X
29099;Minister of Armament;Juho Niukkanen;1936;1964;1999;FA;Tank Proponent;Medium;M29014;X
29100;Minister of Armament;Vihtori Kosola;1936;1964;1999;FA;Infantry Proponent;Low;kaiserreich VihtoriKosola;X
29101;Minister of Armament;Mauritz Rosenberg;1939;1964;1999;ST;Resource Industrialist;Low;M29024;X
29102;Minister of Security;Urho K. Kekkonen;1936;1964;1999;SD;Compassionate Gentleman;Medium;M29051;X
29103;Minister of Security;Hugo Emil Aattela;1943;1964;1999;SD;Prince of Terror;Medium;M29103;X
29104;Minister of Security;Valfrid Eskola;1944;1964;1999;SD;Back Stabber;Medium;M29104;X
29105;Minister of Security;Olavi I. Kojala;1946;1964;1999;SD;Crime Fighter;Medium;M29105;X
29106;Minister of Security;Richard Lorentz;1936;1964;1999;ML;Crime Fighter;Medium;M29106;X
29107;Minister of Security;Ernst V.L. von Born;1941;1964;1999;ML;Silent Lawyer;Medium;M29107;X
29108;Minister of Security;Väinö L. Valve;1943;1964;1999;ML;Compassionate Gentleman;Medium;M29009;X
29109;Minister of Security;Leo R. Ehrnrooth;1944;1964;1999;ML;Man of the People;Medium;M29109;X
29110;Minister of Security;Yrjö K. Leino;1945;1964;1999;ML;Efficient Sociopath;Medium;M29025;X
29111;Minister of Security;Kaarlo H. Hillilä;1946;1964;1999;ML;Prince of Terror;Medium;M29111;X
29112;Minister of Security;Toivo J. Horelli;1936;1964;1999;SC;Compassionate Gentleman;Medium;M29112;X
29113;Minister of Security;Esko Riekki;1936;1964;1999;SC;Crime Fighter;High;M29006;X
29114;Minister of Security;Johan W. Rangell;1939;1964;1999;SC;Man of the People;High;M29059;X
29115;Minister of Security;Kyosti Järvinen;1943;1964;1999;SC;Silent Lawyer;Medium;M29062;X
29116;Minister of Security;Risto Ryti;1946;1964;1999;SC;Back Stabber;High;M29033;X
29117;Minister of Security;Jouko Itälä;1936;1964;1999;FA;Prince of Terror;Low;M29015;X
29118;Minister of Security;Bruno Salmiala;1936;1964;1999;FA;Back Stabber;Medium;M29011;X
29119;Minister of Security;Yrjö Leino;1939;1964;1999;ST;Man of the People;Low;M29025;X
29120;Head of Military Intelligence;Edvard Kajala;1936;1964;1999;SD;Naval Intelligence Specialist;High;M29120;X
29121;Head of Military Intelligence;Bruno Suviranta;1944;1964;1999;SD;Dismal Enigma;High;M29121;X
29123;Head of Military Intelligence;Hjalmar F. Procope;1936;1964;1999;ML;Political Specialist;High;M29123;X
29124;Head of Military Intelligence;Berndt R. von Fieandt;1943;1964;1999;ML;Technical Specialist;High;M29124;X
29125;Head of Military Intelligence;Yrjö W. Puhakka;1936;1964;1999;SC;Dismal Enigma;Medium;M29005;X
29126;Head of Military Intelligence;Väinö Valve;1939;1964;1999;SC;Naval Intelligence Specialist;High;M29009;X
29127;Head of Military Intelligence;Toivo M. Kivimäki;1943;1964;1999;SC;Logistics Specialist;High;M29002;X
29128;Head of Military Intelligence;Georg A. de Gripenberg;1944;1964;1999;SC;Industrial Specialist;High;M29097;X
29129;Head of Military Intelligence;Vilho Annala;1936;1964;1999;FA;Dismal Enigma;Medium;M29016;X
29130;Head of Military Intelligence;Vihtori Kosola;1936;1964;1999;FA;Industrial Specialist;Very High;kaiserreich VihtoriKosola;X
29131;Head of Military Intelligence;Tuure Lehen;1939;1964;1999;ST;Political Specialist;High;M29026;X
29132;Chief of Staff;Leonard Grandell;1936;1964;1999;SD;School of Fire Support;Very High;M29093;X
29136;Chief of Staff;Hugo Österman;1936;1964;1999;SC;School of Mass Combat;Medium;M29008;X
29137;Chief of Staff;Carl G. Mannerheim;1936;1947;1999;SC;School of Defence;Very High;M29034;X
29138;Chief of Staff;Kurt Wallenius;1936;1964;1999;FA;School of Psychology;High;M29017;X
29139;Chief of Staff;Akseli Anttila;1939;1964;1999;ST;School of Mass Combat;Very High;M29027;X
29140;Chief of Army;Kaarle Voinonmaa;1936;1964;1999;SD;Guns and Butter Doctrine;Very High;M29140;X
29144;Chief of Army;K.L. Oesch;1936;1964;1999;SC;Elastic Defence Doctrine;High;M29007;X
29145;Chief of Army;Carl G. Mannerheim;1941;1947;1999;SC;Static Defence Doctrine;Very High;M29034;X
29146;Chief of Army;Vilho Helanen;1936;1964;1999;FA;Static Defence Doctrine;High;M29018;X
29147;Chief of Army;Akseli Anttila;1939;1964;1999;ST;Guns and Butter Doctrine;Very High;M29027;X
29148;Chief of Navy;Claes Horola;1936;1964;1999;SD;Open Seas Doctrine;High;M29148;X
29150;Chief of Navy;Eero Rahola;1936;1964;1999;SC;Power Projection Doctrine;High;M29029;X
29151;Chief of Navy;Lauri Tiainen;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M29019;X
29152;Chief of Navy;Jaakko Rahola;1939;1964;1999;ST;Indirect Approach Doctrine;Very High;M29150;X
29153;Chief of Air Force;Valio Porvari;1936;1964;1999;SD;Army Aviation Doctrine;Very High;M29153;X
29155;Chief of Air Force;Toivo Somerto;1936;1964;1999;SC;Air Superiority Doctrine;Very High;M29155;X
29156;Chief of Air Force;Tauno Viljanen;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M29020;X
29157;Chief of Air Force;Akseli Anttila;1939;1964;1999;ST;Army Aviation Doctrine;Very High;M29027;X
29158;Foreign Minister;Carl J. Enckell;1944;1964;1999;PA;Biased Intellectual;Medium;M29070;X
29160;Head of Government;Karl R. Waldén;1940;1964;1999;SC;Happy Amateur;Medium;M29098;X
29161;Head of Government;Edwin H. Linkomies;1936;1964;1999;PA;Naive Optimist;High;M29063;X
29162;Head of State;Kyösti Kallio;1937;1964;1999;ML;Stern Imperialist;High;M29032;X
29163;Head of State;Carl G. Mannerheim;1936;1947;1999;SC;Resigned Generalissimo;High;M29034;X
29164;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
29165;Head of State;Vihtori Kosola;1936;1964;1999;NS;Powerhungry Demagogue;Very High;kaiserreich VihtoriKosola;X
29166;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;X
29167;Head of Government;Carl G. Mannerheim;1936;1947;1999;PA;Flamboyant Tough Guy;High;M29034;X
29168;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;X
29169;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;X
29170;Chief of Air Force;Reino Evert Artola;1946;1964;1999;SD;Air Superiority Doctrine;High;MReino_Artola;X
29171;Chief of Air Force;Rolf Birger Ek;1946;1964;1999;SL;Naval Aviation Doctrine;High;LRolf_Birger_Ek;X
29172;Chief of Staff;Ilmari Karhu;1944;1964;1999;SD;School of Manoeuvre;High;LIlmari_Karhu;X
29173;Chief of Air Force;Richard Lorentz;1936;1964;1999;ML;Air Superiority Doctrine;Medium;L9772;X
29174;Chief of Air Force;Olavi Sarko;1936;1964;1999;SL;Army Aviation Doctrine;High;L9777;X
29175;Chief of Navy;Jouko O. Arho;1948;1964;1999;SL;Indirect Approach Doctrine;Medium;L9757;X
29176;Chief of Staff;Ruben Lagus;1940;1964;1999;SC;School of Manoeuvre;High;L9721;X
29177;Chief of Army;Ruben Lagus;1940;1964;1999;SC;Armoured Spearhead Doctrine;High;L9721;X
29178;Chief of Staff;Erik Heinrichs;1930;1964;1999;ML;Commando Doctrine Staff;High;L9710;X
29179;Chief of Army;Erik Heinrichs;1930;1964;1999;ML;Commando Doctrine Army;High;L9710;X
29180;Chief of Staff;Kustaa Tapola;1939;1964;1999;SC;School of Psychology;High;L9745;X
29181;Chief of Army;Kustaa Tapola;1939;1964;1999;SC;Doctrine of Autonomy;High;L9745;X
29182;Chief of Staff;Uolevi Poppius;1947;1964;1999;SD;School of Fire Support;High;LUolevi_Poppius;X
29183;Chief of Staff;Väinö Vainio;1947;1964;1999;SL;School of Defence;High;LVaino_Vainio;X
29184;Head of Military Intelligence;Reino Jalmari Castrén;1941;1964;1999;PA;Logistics Specialist;High;MReino_Castren;X
29185;Minister of Security;Reino Jalmari Castrén;1941;1964;1999;PA;Secret Police Chief;High;MReino_Castren;X
29186;Minister of Armament;Reino Jalmari Castrén;1941;1964;1999;PA;Construction Magnate;High;MReino_Castren;X
29187;Minister of Armament;Jaakko Rahola;1939;1964;1999;ST;Submarine Proponent;Very High;M29150;X
29188;Chief of Navy;Oiva Tapio Koivisto;1940;1964;1999;SD;Base Control Doctrine;High;L9763;X
29189;Chief of Staff;Kai L.I. Savonjousi;1940;1964;1999;SD;School of Manoeuvre;High;LKai_Savonjousi;X
29190;Chief of Army;Kai L.I. Savonjousi;1940;1964;1999;SD;Armoured Spearhead Doctrine;High;LKai_Savonjousi;X
29191;Chief of Army;Vilho Petter Nenonen;1936;1960;1999;PA;Innovative Artillery Officer;High;L9728;X
