COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
37061;Foreign Minister;Luis López de Mesa;1938;1964;1999;SL;Ideological Crusader;Medium;M37061;x
37062;Foreign Minister;Enrique Olaya Herrera;1940;1964;1999;SL;Apologetic Clerk;Medium;M37062;x
37063;Foreign Minister;Fernando Londono y Londono;1943;1964;1999;SL;General Staffer;Medium;M37006;x
37064;Foreign Minister;Eduardo Zuleta Castillo;1946;1964;1999;SL;Great Compromiser;Medium;M37064;x
37065;Foreign Minister;Antonio José Restrepo;1938;1964;1999;SC;General Staffer;Medium;M37065;x
37066;Foreign Minister;Roberto Urdaneta Arbeláez;1942;1964;1999;SC;Apologetic Clerk;High;M37066;x
37067;Foreign Minister;Laureano Gómez Castro;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M37067;x
37068;Foreign Minister;Francisco Umana Bernal;1946;1964;1999;SC;Biased Intellectual;High;M37068;x
37069;Foreign Minister;Melitón Rodriguez Roldan;1938;1964;1999;FA;Biased Intellectual;Medium;M37013;x
37070;Foreign Minister;Eduardo Porier Escobar;1936;1964;1999;PA;General Staffer;Medium;M37008;x
37071;Foreign Minister;Baldomero Sanin Caño;1945;1964;1999;PA;Iron Fisted Brute;Medium;M37071;x
37073;Minister of Armament;Gregorio Obregon;1937;1964;1999;SD;Tank Proponent;Medium;M37073;x
37074;Minister of Armament;Alain Adair Arriaga;1942;1964;1999;SD;Resource Industrialist;High;M37074;x
37075;Minister of Armament;Alfonso Lopéz Pumarejo;1937;1964;1999;SD;Infantry Proponent;Medium;M37001;x
37076;Minister of Armament;Francisco Barberi Zamorano;1944;1964;1999;SD;laissez-faire capitalist;Medium;M37076;x
37077;Minister of Armament;Humberto Chica Pinzon;1938;1964;1999;SL;Theoretical Scientist;Medium;M37077;x
37078;Minister of Armament;Camilo Daza Alvarez;1940;1964;1999;SL;Air Superiority Proponent;Medium;M37078;x
37079;Minister of Armament;Alejandro Galvis;1942;1964;1999;SL;Corrupt Kleptocrat;Medium;M37079;x
37080;Minister of Armament;Plinio Mendoza;1945;1964;1999;SL;Corrupt Kleptocrat;Medium;M37080;x
37081;Minister of Armament;Mauricio Soto Gomez;1946;1964;1999;SL;Submarine Proponent;Medium;M37081;x
37082;Minister of Armament;Alberto Nariño Cheyne;1938;1964;1999;SC;Air to Sea Proponent;Medium;M37082;x
37083;Minister of Armament;William Martinéz Pérez;1939;1964;1999;SC;Tank Proponent;Medium;M37083;x
37084;Minister of Armament;Joaquin Fernandez;1942;1964;1999;SC;Resource Industrialist;Medium;M37035;x
37085;Minister of Armament;Mariano Ospina Pérez;1944;1964;1999;SC;Military Entrepreneur;Medium;M37038;x
37086;Minister of Armament;Carlos Arango Vélez;1943;1964;1999;SC;Battle Fleet Proponent;High;M37036;x
37087;Minister of Armament;Camilo Ospina Bernal;1946;1964;1999;SC;Resource Industrialist;High;M37087;x
37088;Minister of Armament;Antonio Acevedo Escobar;1938;1964;1999;FA;Corrupt Kleptocrat;Medium;M37014;x
37089;Minister of Armament;Julio Valdez;1947;1964;1999;PA;Theoretical Scientist;Medium;M37011;x
37090;Minister of Armament;Jorge Roa Martinez;1938;1964;1999;LWR;Infantry Proponent;Medium;M37005;x
37091;Minister of Armament;Gabriel Quintanilla Morales;1946;1964;1999;LWR;Battle Fleet Proponent;Medium;M37029;x
37092;Minister of Armament;Carlos Lozano y Lozano;1947;1964;1999;LWR;laissez-faire capitalist;High;M37044;x
37093;Minister of Security;Rafael Giraldo Vargas;1942;1964;1999;SD;Crooked Kleptocrat;Medium;M37093;x
37094;Minister of Security;Raphael Hollmann;1943;1964;1999;SD;Compassionate Gentleman;Medium;M37094;x
37095;Minister of Security;Alberto Lleras Camargo;1939;1964;1999;SD;Silent Lawyer;High;M37033;x
37096;Minister of Security;Francesco José Urrutia;1938;1964;1999;SL;Man of the People;Medium;M37096;x
37098;Minister of Security;Benito Hernandez;1942;1964;1999;SL;Back Stabber;Medium;M37004;x
37099;Minister of Security;Enrique Gomez Hurtado;1945;1964;1999;SL;Crime Fighter;Medium;M37099;x
37100;Minister of Security;Eduardo Zuleta Castillo;1946;1964;1999;SL;Crooked Kleptocrat;High;M37064;x
37101;Minister of Security;Caesare Bernal Gustaves;1938;1964;1999;SC;Crooked Kleptocrat;Medium;M37101;x
37102;Minister of Security;José Ellis Quinsado;1942;1964;1999;SC;Back Stabber;Medium;M37016;x
37103;Minister of Security;Ulpiano Rengifo Cárdenas;1945;1964;1999;SC;Efficient Sociopath;Medium;M37103;x
37104;Minister of Security;Francesco José Urrutia;1947;1964;1999;SC;Man of the People;Medium;M37096;x
37105;Minister of Security;Melitón Rodriguez Roldan;1938;1964;1999;FA;Efficient Sociopath;Low;M37013;x
37106;Minister of Security;Gustavo Rojas Pinilla;1945;1964;1999;PA;Prince of Terror;Medium;M37040;x
37107;Minister of Security;M.E. Rojas de Moreno;1947;1964;1999;PA;Man of the People;Medium;M37107;x
37108;Minister of Security;Leon de Greiff;1938;1964;1999;LWR;Man of the People;Very Low;M37025;x
37109;Minister of Security;Jorge Lopez Suyo;1941;1964;1999;LWR;Prince of Terror;Low;M37109;x
37110;Minister of Security;Darío Echandía;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M37045;x
37111;Head of Military Intelligence;Jorge Lopez Suyo;1942;1964;1999;SD;Political Specialist;Low;M37109;x
37112;Head of Military Intelligence;Manuel Arizan Lopez;1944;1964;1999;SD;Technical Specialist;Low;M37112;x
37113;Head of Military Intelligence;Eduardo Santos Montejo;1938;1964;1999;SL;Technical Specialist;Medium;M37032;x
37114;Head of Military Intelligence;Mauricio Soto Gomez;1942;1964;1999;SL;Naval Intelligence Specialist;Medium;M37081;x
37116;Head of Military Intelligence;Enrico Díaz Carias;1946;1964;1999;SL;Political Specialist;Low;M37116;x
37117;Head of Military Intelligence;Eduardo Porier Escobar;1938;1964;1999;SC;Logistics Specialist;Medium;M37008;x
37118;Head of Military Intelligence;Antonio Acevedo Escobar;1942;1964;1999;SC;Dismal Enigma;Medium;M37014;x
37119;Head of Military Intelligence;Guillermo Padilla Manrique;1945;1964;1999;SC;Dismal Enigma;Medium;M37119;x
37120;Head of Military Intelligence;José Ellis Quinsado;1938;1964;1999;FA;Logistics Specialist;Medium;M37016;x
37121;Head of Military Intelligence;Melitón Rodriguez Roldan;1946;1964;1999;PA;Political Specialist;Low;M37013;x
37122;Head of Military Intelligence;Enrico Díaz Carias;1947;1964;1999;PA;Dismal Enigma;Low;M37116;x
37123;Head of Military Intelligence;Querista Sellor;1938;1964;1999;ST;Dismal Enigma;Medium;M37021;x
37124;Head of Military Intelligence;Leon de Greiff;1946;1964;1999;LWR;Technical Specialist;Very Low;M37025;x
37126;Chief of Staff;Luis Acevedo;1942;1964;1999;SD;School of Mass Combat;Medium;M37009;x
37127;Chief of Staff;José Guisa y Escalar;1943;1964;1999;SD;School of Defence;Medium;M37127;x
37128;Chief of Staff;Camilo Daza Alvarez;1938;1964;1999;SL;School of Psychology;Medium;M37078;x
37130;Chief of Staff;Eduardo Porier Escobar;1938;1964;1999;SC;School of Fire Support;High;M37008;x
37131;Chief of Staff;Salvador Tiaga Gonzalez;1942;1964;1999;SC;School of Psychology;High;M37131;x
37132;Chief of Staff;Ruben Piedrahita Arango;1938;1964;1999;PA;School of Manoeuvre;Medium;M37017;x
37133;Chief of Staff;Gustavo Rojas Pinilla;1946;1964;1999;PA;School of Psychology;Medium;M37133;x
37134;Chief of Staff;Luis Bernardo Andrade;1938;1964;1999;ST;School of Psychology;Medium;M37027;x
37135;Chief of Staff;Jorge Lopez Suyo;1946;1964;1999;LWR;School of Manoeuvre;Low;M37109;x
37136;Chief of Army;Luis Acevedo;1938;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M37009;x
37137;Chief of Army;Gustavo Rojas Pinilla;1944;1964;1999;SD;Static Defence Doctrine;Medium;M37133;x
37138;Chief of Army;Manuel Quinones;1938;1964;1999;SL;Static Defence Doctrine;Medium;M37138;x
37139;Chief of Army;José Guisa y Escalar;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M37127;x
37140;Chief of Army;Ruben Piedrahita Arango;1938;1964;1999;SC;Decisive Battle Doctrine;Medium;M37017;x
37141;Chief of Army;Guillermo Padilla Manrique;1946;1964;1999;SC;Guns and Butter Doctrine;Medium;M37119;x
37143;Chief of Army;Querista Sellor;1938;1964;1999;ST;Guns and Butter Doctrine;Medium;M37021;x
37145;Chief of Navy;Mario Espinoza Gacitua;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M37019;x
37146;Chief of Navy;Mauricio Soto Gomez;1945;1964;1999;SL;Open Seas Doctrine;Medium;M37081;x
37147;Chief of Navy;Salvador Tiaga Gonzalez;1938;1964;1999;SC;Base Control Doctrine;High;M37131;x
37149;Chief of Navy;Gabriel Quintanilla Morales;1938;1964;1999;LWR;Power Projection Doctrine;Medium;M37029;x
37150;Chief of Air Force;Luis Acevedo;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M37009;x
37151;Chief of Air Force;Salvador Tiaga Gonzalez;1943;1964;1999;SD;Vertical Envelopment Doctrine;High;M37131;x
37152;Chief of Air Force;Manuel Quinones;1938;1964;1999;SL;Carpet Bombing Doctrine;Medium;M37138;x
37153;Chief of Air Force;Camilo Daza Alvarez;1942;1964;1999;SL;Air Superiority Doctrine;Medium;M37078;x
37154;Chief of Air Force;Arturo Lema Pasada;1945;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M37154;x
37156;Chief of Air Force;Felix Mercado;1938;1964;1999;SC;Army Aviation Doctrine;Medium;M37156;x
37157;Chief of Air Force;Enrico Díaz Carias;1942;1964;1999;SC;Naval Aviation Doctrine;Low;M37116;x
37158;Chief of Air Force;Luis Rodriguez;1938;1964;1999;PA;Carpet Bombing Doctrine;Medium;M37020;x
37159;Chief of Air Force;German Olano;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M37010;x
37160;Chief of Air Force;Luis Bernardo Andrade;1938;1964;1999;ST;Naval Aviation Doctrine;Medium;M37027;x
37161;Chief of Air Force;Raphael Hollmann;1946;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M37094;x
37166;Head of State;Alfonso López Pumarejo;1942;1964;1999;SD;Weary Stiffneck;High;M37001;x
37167;Head of State;Gustavo Rojas Pinilla;1945;1964;1999;SD;Resigned Generalissimo;High;M37040;x
37168;Head of State;Laureano Gómez Castro;1950;1964;1999;SC;Barking Buffoon;High;M37067;x
37169;Chief of Army;Gabriel Paris Gordillo;1952;1964;1999;SD;Elastic Defence Doctrine;Medium;M37169;x
