GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
18050;Head of Government;Alexandros Korizis;1941;1964;1999;SC;Political Protege;High;M18050;X
18051;Head of Government;Emmanouel Tsouderos;1941;1964;1999;SC;Happy Amateur;High;M18051;X
18052;Head of Government;Sophocles Venizelos;1944;1964;1999;SC;Naive Optimist;High;M18012;X
18053;Head of Government;Konstantinos Tsaldaris;1946;1964;1999;SC;Old General;High;M18053;X
18054;Head of Government;Dimitrios Maximos;1947;1964;1999;SC;Political Protege;High;M18054;X
18055;Head of Government;Panagis Tsaldaris;1936;1964;1999;FA;Flamboyant Tough Guy;High;M18055;X
18056;Head of Government;Georgias Tsolakoglou;1941;1964;1999;NS;Old General;High;M18056;X
18057;Head of Government;Konstantinos Logothetopoulos;1942;1964;1999;NS;Corporate Suit;High;M18057;X
18058;Head of Government;Ioannis Rallis;1943;1964;1999;NS;Naive Optimist;High;M18058;X
18059;Head of Government;Archbishop Damaskinos;1945;1964;1999;PA;Flamboyant Tough Guy;High;M18032;X
18060;Head of Government;Nikolaos Plastiras;1945;1964;1999;PA;Old General;High;M18060;X
18061;Head of Government;Petros Voulgaris;1945;1964;1999;PA;Naive Optimist;High;M18061;X
18062;Head of Government;Panagiotis Kanellopoulos;1945;1964;1999;PA;Smiling Oilman;High;M18062;X
18063;Head of Government;Militiades Porphyrogins;1936;1964;1999;ST;Ambitious Union Boss;High;M18029;X
18064;Head of Government;Nikos Zahariadis;1941;1964;1999;ST;Smiling Oilman;High;M18022;X
18065;Head of Government;Evripidis Bakirtris;1944;1964;1999;ST;Happy Amateur;High;M18065;X
18066;Head of Government;Markos Vaphiadis;1946;1964;1999;ST;Backroom Backstabber;High;M18066;X
18067;Foreign Minister;Georgios Papandreou;1944;1964;1999;SL;Biased Intellectual;Very High;M18015;X
18068;Foreign Minister;Ioannis Safianopoulos;1945;1964;1999;SL;Great Compromiser;Medium;M18068;X
18069;Foreign Minister;Constantinos Rentis;1946;1964;1999;SL;Apologetic Clerk;Medium;M18069;X
18070;Foreign Minister;Ioannis Metaxas;1936;1964;1999;FA;General Staffer;Very High;M18049;X
18071;Foreign Minister;Alexandros Korizis;1941;1964;1999;SC;Great Compromiser;Medium;M18050;X
18072;Foreign Minister;Emmanouel Tsouderos;1941;1964;1999;SC;Apologetic Clerk;Medium;M18051;X
18073;Foreign Minister;Sophocles Venizelos;1944;1964;1999;SC;Great Compromiser;Very High;M18012;X
18074;Foreign Minister;Konstantinos Tsaldaris;1946;1964;1999;SC;The Cloak N Dagger Schemer;Very High;M18053;X
18075;Foreign Minister;Demosthenes Nicoladis;1936;1964;1999;FA;Ideological Crusader;Very High;M18075;X
18076;Foreign Minister;Georgias Tsolakoglou;1941;1964;1999;NS;General Staffer;Very High;M18056;X
18077;Foreign Minister;Konstantinos Logothetopoulos;1942;1964;1999;NS;Biased Intellectual;High;M18057;X
18078;Foreign Minister;Ioannis Rallis;1943;1964;1999;NS;The Cloak N Dagger Schemer;Very High;M18058;X
18079;Foreign Minister;Georgios Papandreou;1945;1964;1999;PA;Biased Intellectual;Very High;M18015;X
18080;Foreign Minister;Ioannes Socrates Politis;1945;1964;1999;PA;Apologetic Clerk;Very High;M18080;X
18081;Foreign Minister;Panagiotis Kanellopoulos;1945;1964;1999;PA;Great Compromiser;Medium;M18062;X
18082;Foreign Minister;Panagiotios Demestichas;1946;1964;1999;PA;General Staffer;Very High;M18082;X
18083;Foreign Minister;Nikos Zahariadis;1936;1964;1999;ST;Ideological Crusader;Very High;M18022;X
18084;Foreign Minister;Militiades Porphyrogins;1946;1964;1999;ST;General Staffer;Very High;M18029;X
18085;Foreign Minister;Petros Rousos;1947;1964;1999;ST;Biased Intellectual;Very High;M18085;X
18086;Minister of Armament;Markos Aganossos;1936;1964;1999;SL;Corrupt Kleptocrat;Medium;M18086;X
18087;Minister of Armament;Theodoros Marsal;1937;1964;1999;SL;Resource Industrialist;Medium;M18087;X
18088;Minister of Armament;Themistocles Sophoulis;1941;1964;1999;SL;Administrative Genius;High;M18014;X
18089;Minister of Armament;Alexandros Svolos;1944;1964;1999;SL;Resource Industrialist;High;M18089;X
18090;Minister of Armament;Demetrios Gousis;1945;1964;1999;SL;Battle Fleet Proponent;High;M18090;X
18091;Minister of Armament;Alexiou Tsamotos;1936;1964;1999;FA;Submarine Proponent;High;M18091;X
18092;Minister of Armament;Antoine Frangulis;1938;1964;1999;SC;Air Superiority Proponent;Medium;M18092;X
18093;Minister of Armament;Thanassos Exaharis;1939;1964;1999;SC;Laissez-Faire Capitalist;Medium;M18093;X
18094;Minister of Armament;Takis Pipenelis;1940;1964;1999;SC;Theoretical Scientist;Medium;M18094;X
18095;Minister of Armament;Eleftherios Venizelos;1941;1964;1999;SC;Air to Ground Proponent;Medium;M18010;X
18096;Minister of Armament;Gaecia Geanados;1942;1964;1999;SC;Strategic Air Proponent;Medium;M18096;X
18097;Minister of Armament;Anastassios Bardivilias;1943;1964;1999;SC;Air to Sea Proponent;Medium;M18097;X
18098;Minister of Armament;Anatasios Kanellopoulos;1944;1964;1999;SC;Administrative Genius;Very High;M18098;X
18099;Minister of Armament;Giorgios Lavdas;1945;1964;1999;SC;Tank Proponent;Very High;M18099;X
18100;Minister of Armament;Alchibiades Stephanopoulos;1946;1964;1999;SC;Laissez-Faire Capitalist;Medium;M18100;X
18102;Minister of Armament;Panagis Tsaldaris;1938;1964;1999;FA;Air to Sea Proponent;High;M18055;X
18103;Minister of Armament;Pavlos Milziadis;1941;1964;1999;NS;Resource Industrialist;Medium;M18103;X
18104;Minister of Armament;Christos Tsigantes;1942;1964;1999;NS;Resource Industrialist;Medium;M18104;X
18105;Minister of Armament;Nicholaos Voutsinaris;1943;1964;1999;NS;Theoretical Scientist;High;M18105;X
18106;Minister of Armament;Ioannis Venizelos;1944;1964;1999;PA;Military Entrepreneur;Medium;M18106;X
18107;Minister of Armament;Nikolaos Plastiras;1945;1964;1999;PA;Infantry Proponent;Very High;M18060;X
18108;Minister of Armament;Giorgis Siantos;1936;1964;1999;ST;Resource Industrialist;High;M18021;X
18109;Minister of Security;Georgios Papandreou;1936;1964;1999;SL;Efficient Sociopath;High;M18015;X
18110;Minister of Security;Markos Aganossos;1941;1964;1999;SL;Silent Lawyer;Medium;M18086;X
18111;Minister of Security;Elias Panakilis;1944;1964;1999;SL;Crime Fighter;Medium;M18111;X
18112;Minister of Security;Evangelos Papanoutsos;1945;1964;1999;SL;Compassionate Gentleman;Medium;M18112;X
18113;Minister of Security;Panagiolis Poulitsas;1946;1964;1999;SL;Prince of Terror;High;M18048;X
18114;Minister of Security;Giorgios Nicolaidis;1936;1964;1999;SC;Back Stabber;Medium;M18114;X
18115;Minister of Security;Raul Bibica Rosetti;1941;1964;1999;SC;Compassionate Gentleman;Medium;M18115;X
18116;Minister of Security;Dimitrios Maximos;1944;1964;1999;SC;Crime Fighter;High;M18054;X
18117;Minister of Security;Konstantinos Tsaldaris;1944;1964;1999;SC;Man of the People;Medium;M18117;X
18118;Minister of Security;Thanassis Aghnides;1945;1964;1999;SC;Efficient Sociopath;Medium;M18118;X
18119;Minister of Security;Panagiotis Kafantaris;1946;1964;1999;SC;Silent Lawyer;Medium;M18119;X
18120;Minister of Security;Stephanos Lakiantos;1947;1964;1999;SC;Crooked Kleptocrat;Medium;M18120;X
18122;Minister of Security;Christos Tsigantes;1936;1964;1999;FA;Prince of Terror;Medium;M18104;X
18123;Minister of Security;Grigoriev Murnov;1941;1964;1999;NS;Crime Fighter;Low;M18040;X
18124;Minister of Security;Mario Vercellino;1942;1964;1999;NS;Back Stabber;Low;M18041;X
18125;Minister of Security;Reinhard Altenburg;1943;1964;1999;NS;Crooked Kleptocrat;High;M18042;X
18126;Minister of Security;Archbishop Damaskinos;1944;1964;1999;PA;Efficient Sociopath;Very High;M18032;X
18127;Minister of Security;Alchibiades Stephanopoulos;1944;1964;1999;PA;Compassionate Gentleman;Medium;M18100;X
18128;Minister of Security;Christos Triantafyllidis;1946;1964;1999;PA;Man of the People;Medium;M18128;X
18129;Minister of Security;Giannes Ioannides;1936;1964;1999;ST;Prince of Terror;High;M18025;X
18130;Minister of Security;Markos Vaphiadis;1941;1964;1999;ST;Silent Lawyer;High;M18066;X
18131;Minister of Security;Stratos Payioumtzis;1945;1964;1999;ST;Efficient Sociopath;Medium;M18131;X
18132;Head of Military Intelligence;Georgios Papandreou;1936;1964;1999;SL;Political Specialist;High;M18015;X
18133;Head of Military Intelligence;Costas Moulas;1944;1964;1999;SL;Naval Intelligence Specialist;Medium;M18133;X
18134;Head of Military Intelligence;Anastassios Bardivilias;1936;1964;1999;FA;Naval Intelligence Specialist;Medium;M18097;X
18135;Head of Military Intelligence;Georgios Drossopoulos;1941;1964;1999;SC;Technical Specialist;High;M18135;X
18136;Head of Military Intelligence;Georgios Streit;1944;1964;1999;SC;Industrial Specialist;High;M18136;X
18137;Head of Military Intelligence;Anatasios Kanellopoulos;1946;1964;1999;SC;Dismal Enigma;Very High;M18098;X
18138;Head of Military Intelligence;Alexandros Propanis;1947;1964;1999;SC;Logistics Specialist;Medium;M18138;X
18139;Head of Military Intelligence;Christos Triantafyllidis;1936;1964;1999;FA;Dismal Enigma;Medium;M18128;X
18140;Head of Military Intelligence;Alchibiades Stephanopoulos;1937;1964;1999;FA;Industrial Specialist;Medium;M18100;X
18141;Head of Military Intelligence;Christos Tsigantes;1941;1964;1999;NS;Industrial Specialist;Medium;M18104;X
18142;Head of Military Intelligence;Sevastianos Foulidis;1942;1964;1999;NS;Logistics Specialist;High;M18142;X
18143;Head of Military Intelligence;Napoleon Zervas;1944;1964;1999;PA;Logistics Specialist;Low;M18143;X
18145;Head of Military Intelligence;Giannes Ioannides;1936;1964;1999;ST;Political Specialist;High;M18025;X
18146;Head of Military Intelligence;Evripidis Bakirtris;1941;1964;1999;ST;Industrial Specialist;High;M18065;X
18150;Chief of Staff;Alexandros Papagos;1936;1964;1999;FA;School of Defence;Medium;M18007;X
18151;Chief of Staff;Giorgios Lavdas;1939;1964;1999;SC;School of Manoeuvre;Medium;M18099;X
18152;Chief of Staff;Paraskos Melissinos;1940;1964;1999;SC;School of Mass Combat;Medium;M18152;X
18153;Chief of Staff;Vassilios Tsounoukas;1944;1964;1999;SC;School of Fire Support;Medium;M18153;X
18154;Chief of Staff;Anastassios Sakellariou;1946;1964;1999;SC;School of Psychology;Medium;M18009;X
18155;Chief of Staff;Giorgios Kondylis;1936;1964;1999;FA;School of Manoeuvre;Medium;M18155;X
18157;Chief of Staff;Georgias Tsolakoglou;1941;1964;1999;NS;School of Manoeuvre;Very High;M18056;X
18158;Chief of Staff;Nikolaos Plastiras;1944;1964;1999;PA;School of Psychology;Very High;M18060;X
18159;Chief of Staff;Leonidas Paraskevopoulos;1946;1964;1999;PA;School of Mass Combat;Medium;M18159;X
18160;Chief of Staff;Stephanos Sarafis;1936;1964;1999;ST;School of Mass Combat;High;M18027;X
18162;Chief of Army;Giorgios Roussoupoulos;1941;1964;1999;SL;Elastic Defence Doctrine;Low;M18162;X
18165;Chief of Army;Vassilios Tsounoukas;1941;1964;1999;SC;Decisive Battle Doctrine;Low;M18153;X
18166;Chief of Army;Georgios Streit;1944;1964;1999;SC;Guns and Butter Doctrine;Low;M18136;X
18167;Chief of Army;Giorgios Lavdas;1945;1964;1999;SC;Armoured Spearhead Doctrine;Low;M18099;X
18169;Chief of Army;Theodor Pangalos;1938;1964;1999;FA;Static Defence Doctrine;Low;M18007;X
18170;Chief of Army;Georgias Tsolakoglou;1941;1964;1999;NS;Decisive Battle Doctrine;Very High;M18056;X
18171;Chief of Army;Nikolaos Plastiras;1944;1964;1999;PA;Guns and Butter Doctrine;Very High;M18060;X
18172;Chief of Army;Aris Velouchiotis;1936;1964;1999;ST;Decisive Battle Doctrine;High;M18028;X
18173;Chief of Navy;Nikolaos Votsis;1936;1964;1999;SL;Base Control Doctrine;High;M18019;X
18174;Chief of Navy;Demetrios Gousis;1941;1964;1999;SL;Decisive Naval Battle Doctrine;High;M18090;X
18176;Chief of Navy;Alexiou Tsamotos;1941;1964;1999;SC;Decisive Naval Battle Doctrine;High;M18091;X
18177;Chief of Navy;Petros Voulgaris;1944;1964;1999;SC;Indirect Approach Doctrine;Low;M18061;X
18179;Chief of Navy;Alexandros Oikonomou;1941;1964;1999;NS;Open Seas Doctrine;Very Low;M18179;X
18181;Chief of Navy;Militiades Porphyrogins;1936;1964;1999;ST;Decisive Naval Battle Doctrine;High;M18029;X
18183;Chief of Air Force;Gaecia Geanados;1941;1964;1999;SL;Carpet Bombing Doctrine;Medium;M18096;X
18184;Chief of Air Force;Euthanassos Perrikos;1944;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M18184;X
18185;Chief of Air Force;Panagotis Papanikolaou;1936;1964;1999;FA;Carpet Bombing Doctrine;Medium;M18182;X
18186;Chief of Air Force;Antoine Frangulis;1941;1964;1999;SC;Air Superiority Doctrine;Medium;M18092;X
18187;Chief of Air Force;Anastassios Bardivilias;1944;1964;1999;SC;Naval Aviation Doctrine;Medium;M18097;X
18191;Chief of Air Force;Nikos Beloyannis;1936;1964;1999;ST;Naval Aviation Doctrine;High;M18030;X
18192;Foreign Minister;Themistocles Sophoulis;1936;1964;1999;SL;The Cloak N Dagger Schemer;High;M18014;X
18194;Head of State;Archbishop Damaskinos;1946;1964;1999;SL;Barking Buffoon;High;M18032;X
18195;Head of State;Archbishop Damaskinos;1946;1964;1999;SC;Barking Buffoon;High;M18032;X
18196;Head of State;H.R.H. Georgios II;1946;1964;1999;SL;Insignificant Layman;High;M18001;X
18197;Head of State;H.R.H. Georgios II;1946;1964;1999;SC;Insignificant Layman;High;M18001;X
18198;Head of Government;Themistocles Sophoulis;1946;1964;1999;SL;Flamboyant Tough Guy;High;M18014;X
18199;Head of Government;Konstantinos Tsaldaris;1947;1964;1999;SC;Naive Optimist;High;M18053;X
18200;Foreign Minister;Ioannis Safianopoulos;1945;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M18068;X
18201;Foreign Minister;Petros Voulgaris;1945;1964;1999;PA;Biased Intellectual;High;M18061;X
18202;Minister of Security;Roberto Rastapopoulos;1936;1970;1999;FA;Prince of Terror;Very High;Kaiserreich Rasta;X
