BHU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
74024;Minister of Armament;Jigme Wangchuk;1942;1964;1999;PA;Infantry Proponent;Medium;M74001;x
74026;Minister of Armament;Bill Collett;1944;1964;1999;PA;Air to Ground Proponent;Medium;M74026;x
74027;Minister of Armament;Namgyal Bahadur;1944;1964;1999;PA;Strategic Air Proponent;Medium;M74007;x
74028;Minister of Armament;Arthur John Hopkinson;1944;1964;1999;PA;Theoretical Scientist;High;M74016;x
74029;Minister of Armament;Sonam Pradukha;1945;1964;1999;PA;Tank Proponent;Medium;M74029;x
74030;Minister of Security;Ahmad Akhaz;1939;1964;1999;PA;Prince of Terror;Medium;M74004;x
74031;Minister of Security;sir Basil Gould;1940;1964;1999;PA;Silent Lawyer;High;M74011;x
74032;Minister of Security;Sonam Tobgay Dorji;1940;1964;1999;PA;Man of the People;Medium;M74002;x
74033;Minister of Security;Namgyal Bahadur;1942;1964;1999;PA;Compassionate Gentleman;Medium;M74007;x
74034;Minister of Security;Karma S. Bahadur;1944;1964;1999;PA;Back Stabber;Medium;M74019;x
74035;Minister of Security;Edward Cook;1944;1964;1999;PA;Efficient Sociopath;High;M74017;x
74036;Minister of Security;William Stevenson Meyer;1945;1964;1999;PA;Crime Fighter;Medium;M74015;x
74037;Head of Military Intelligence;Arthur John Hopkinson;1936;1964;1999;PA;Technical Specialist;High;M74016;x
74038;Head of Military Intelligence;Edward Cook;1938;1964;1999;PA;Political Specialist;High;M74017;x
74039;Head of Military Intelligence;Namgyal Bahadur;1941;1964;1999;PA;Industrial Specialist;Medium;M74007;x
74040;Head of Military Intelligence;Henry Weedon-Gould;1943;1964;1999;PA;Logistics Specialist;Medium;M74040;x
74041;Head of Military Intelligence;Karma S. Bahadur;1943;1964;1999;PA;Dismal Enigma;Medium;M74019;x
74042;Head of Military Intelligence;Tommy Gould;1943;1964;1999;PA;Naval Intelligence Specialist;Medium;M74009;x
74043;Chief of Staff;Philip Toozey;1939;1964;1999;PA;School of Defence;Medium;M74008;x
74044;Chief of Staff;Tommy Gould;1943;1964;1999;PA;School of Psychology;Medium;M74009;x
74045;Chief of Staff;Reginald B. Stevens;1941;1964;1999;PA;School of Manoeuvre;Medium;M74006;x
74046;Chief of Staff;Henry Weedon-Gould;1942;1964;1999;PA;School of Mass Combat;Medium;M74040;x
74047;Chief of Staff;Sonam Pradukha;1944;1964;1999;PA;School of Fire Support;Medium;M74029;x
74049;Chief of Army;Jigme Wangchuk;1940;1964;1999;PA;Static Defence Doctrine;Medium;M74001;x
74050;Chief of Army;Reginald B. Stevens;1943;1964;1999;PA;Decisive Battle Doctrine;Medium;M74006;x
74051;Chief of Army;Sonam Pradukha;1945;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M74029;x
74052;Chief of Army;Henry Weedon-Gould;1945;1964;1999;PA;Guns and Butter Doctrine;Medium;M74040;x
74053;Chief of Navy;Ahmad Akhaz;1944;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M74004;x
74054;Chief of Air Force;Bill Collett;1943;1964;1999;PA;Army Aviation Doctrine;Medium;M74026;x
74055;Chief of Air Force;Namgyal Bahadur;1945;1964;1999;PA;Carpet Bombing Doctrine;Medium;M74007;x
74056;Head of State;Jigme Dorji Wangchuk;1952;1964;1999;PA;Weary Stiffneck;High;M74056;x
74057;Head of Government;Jigme Palden Dorji;1952;1964;1999;PA;Corporate Suit;High;M74057;x
