IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25115;Head of Military Intelligence;Cathal Goulding;1936;1964;1999;SD;Logistics Specialist;High;CathalGoulding;X
25116;Head of Military Intelligence;Sean MacEoin;1936;1964;1999;PA;Political Specialist;High;M25028;X
25117;Head of Military Intelligence;Donal Brackley;1936;1964;1999;FA;Industrial Specialist;High;M25014;X
25118;Head of Military Intelligence;Patrick Sweeney;1936;1964;1999;FA;Dismal Enigma;Medium;M25012;X
25119;Head of Military Intelligence;Sean Murray;1936;1964;1999;LE;Naval Intelligence Specialist;High;M25026;X
25120;Head of Military Intelligence;Betty Sinclair;1936;1964;1999;LWR;Technical Specialist;High;M25104;X
25121;Chief of Staff;Norman Devlin;1936;1964;1999;SD;School of Manoeuvre;Very Low;M25121;X
25122;Chief of Staff;Seán O'Grady;1936;1964;1999;ML;School of Psychology;High;M25122;X
25123;Chief of Staff;Michael Brennan;1936;1964;1999;SC;School of Defence;High;M25123;X
25124;Chief of Staff;Dan Bryan;1936;1964;1999;ML;School of Fire Support;High;M25124;X
25125;Chief of Staff;Dan McKenna;1936;1964;1999;ML;School of Mass Combat;High;M25125;X
25126;Chief of Staff;Richard Mulcahy;1936;1964;1999;PA;School of Psychology;High;M25126;X
25127;Chief of Staff;Conor Maguire;1936;1964;1999;ML;School of Mass Combat;High;M25127;X
25128;Chief of Staff;Liam Archer;1936;1964;1999;SC;School of Fire Support;High;M25113;X
25129;Chief of Staff;Oscar Traynor;1936;1964;1999;ML;School of Mass Combat;High;M25152;X
25130;Chief of Staff;Padraig O'Connor;1936;1964;1999;LE;School of Psychology;High;M25027;X
25131;Chief of Staff;Frank Lynch;1936;1964;1999;LWR;School of Mass Combat;High;M25131;X
25132;Chief of Army;Cecil Lavery;1936;1964;1999;SC;Decisive Battle Doctrine;High;M25069;X
25133;Chief of Army;William Norton;1936;1964;1999;SD;Guns and Butter Doctrine;High;M25044;X
25134;Chief of Army;Emmett Dalton;1936;1964;1999;SC;Elastic Defence Doctrine;High;M25134;X
25135;Chief of Army;Frank Fahy;1936;1964;1999;ML;Static Defence Doctrine;High;M25031;X
25136;Chief of Army;Michael J. Costello;1936;1964;1999;ML;Elastic Defence Doctrine;High;M25007;X
25137;Chief of Army;Liam Archer;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;M25113;X
25138;Chief of Army;Eoin O'Duffy;1936;1964;1999;FA;Elastic Defence Doctrine;High;M25018;X
25139;Chief of Army;Seán MacEoin;1936;1964;1999;PA;Decisive Battle Doctrine;High;M25028;X
25140;Chief of Navy;A.T. Lawlor;1936;1964;1999;SD;Open Seas Doctrine;High;M25140;X
25141;Chief of Navy;S. O'Muiris;1936;1964;1999;SD;Decisive Naval Battle Doctrine;High;M25141;X
25142;Chief of Navy;Seán MacEntee;1936;1964;1999;ML;Open Seas Doctrine;High;M25004;X
25143;Chief of Navy;Thomas Derrig;1936;1964;1999;ML;Power Projection Doctrine;High;M25143;X
25144;Chief of Navy;Seán T. O'Ceallaigh;1936;1964;1999;ML;Base Control Doctrine;High;M25036;X
25145;Chief of Navy;A.H.J. Jerome;1936;1964;1999;ML;Indirect Approach Doctrine;High;M25145;X
25146;Chief of Navy;John O'Byrne;1936;1964;1999;SC;Power Projection Doctrine;High;M25081;X
25148;Chief of Navy;Eamonn Broy;1936;1964;1999;FA;Power Projection Doctrine;High;M25015;X
25149;Chief of Navy;Andy Barr;1936;1964;1999;LWR;Indirect Approach Doctrine;High;AndyBarr;X
25150;Chief of Air Force;Cearbhall O'Dalaigh;1936;1964;1999;ML;Vertical Envelopment Doctrine;High;M25092;X
25151;Chief of Air Force;Michael J. Costello;1936;1964;1999;ML;Army Aviation Doctrine;High;M25007;X
25152;Chief of Air Force;Oscar Traynor;1936;1964;1999;ML;Vertical Envelopment Doctrine;High;M25152;X
25153;Chief of Air Force;Charles Casey;1936;1964;1999;SC;Air Superiority Doctrine;High;M25153;X
25154;Chief of Air Force;W. Delamere;1936;1964;1999;ML;Naval Aviation Doctrine;High;M25154;X
25155;Chief of Air Force;H.T. Green;1936;1964;1999;SC;Naval Aviation Doctrine;High;M25009;X
25156;Chief of Air Force;P. Quinn;1936;1964;1999;SC;Carpet Bombing Doctrine;High;M25156;X
25157;Chief of Air Force;Jack White;1936;1964;1999;LWR;Army Aviation Doctrine;High;M25020;X
25158;Chief of Air Force;Pieras Beaslai;1936;1964;1999;PA;Air Superiority Doctrine;High;M25030;X
25159;Chief of Air Force;Charles Donnelly;1936;1964;1999;LE;Vertical Envelopment Doctrine;High;CharlesDonnelly;X
25160;Head of State;H.R.M. Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
25161;Head of State;A.S.R. Brian III;1936;1964;1999;SC;German Aristocrat;High;kai_brianIII;X
25162;Head of State;A.S.R. Brian III;1936;1964;1999;PA;German Aristocrat;High;kai_brianIII;X
25163;Chief of Army;Michael O'Riordan;1936;1964;1999;LE;Guns and Butter Doctrine;High;MichaelO'Riordan;X
25164;Chief of Staff;Maurice Twomey;1936;1964;1999;LE;School of Psychology;High;MossTwomey;X
25165;Chief of Navy;Robert E. Childers;1936;1964;1999;SD;Open Seas Doctrine;High;RobertErskineChilders;X
25166;Chief of Air Force;James O'Donovan;1936;1964;1999;SD;Air Superiority Doctrine;High;JamesO'Donovan;X
25167;Chief of Army;Tom Barry;1936;1964;1999;SD;Elastic Defence Doctrine;High;TomBarry;X
25168;Chief of Staff;Liam Lynch;1936;1964;1999;SD;School of Mass Combat;High;LiamLynch;X
25169;Head of Government;Brendan Corish;1936;1970;1999;SD;Silent Workhorse;High;BrendanCorish;X
