PRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
579041;Foreign Minister;Sisir Kumar Maitra;1936;1964;1999;ML;Biased Intellectual;Medium;Sisir_Kumar_Maitra;X
579042;Minister of Security;Bhupal Bose;1936;1964;1999;SL;Silent Lawyer;Medium;Bhupal_Bose;X
579043;Chief of Staff;Pandit Parmanand;1936;1964;1999;LWR;School of Defence;Medium;Pandit_Parmanand;X
579044;Chief of Army;Pandit Parmanand;1936;1964;1999;LWR;Elastic Defence Doctrine;Medium;Pandit_Parmanand;X
579045;Head of State;Iskander Mirza;1952;1964;1999;SD;Weary Stiffneck;Medium;Iskander_Mirza;X
579046;Head of Government;Khawaja Nazimuddin;1936;1964;1999;SC;Political Protege;Medium;Khawaja_Nazimuddin;X
579047;Foreign Minister;Paramhansa Yogananda;1936;1964;1999;SD;Great Compromiser;Medium;Paramhansa_Yogananda;X
579048;Minister of Security;Narayan Roy;1936;1964;1999;SD;Crime Fighter;Medium;Narayan_Roy;X
579049;Minister of Security;Bidhan Chandra Roy;1936;1964;1999;SD;Compassionate Gentleman;Very High;Bidhan_Chandra_Roy;X
579050;Chief of Army;Rash Behari Bose;1936;1960;1999;LE;Elastic Defence Doctrine;Medium;PRKReh;X
579052;Head of Government;Sucheta Kriplani;1936;1964;1999;SL;Political Protege;Medium;Sucheta_Kriplani;X
579053;Foreign Minister;Sri Anandamoyi Ma;1936;1964;1999;SL;Great Compromiser;Medium;Sri_Anandamoyi_Ma;X
579054;Minister of Armament;Prafulla Chandra Roy;1936;1964;1999;LWR;Theoretical Scientist;Medium;Prafulla_Chandra_Roy;X
579055;Chief of Staff;M.A.G. Osmani;1947;1970;1999;LE;School of Mass Combat;Medium;MAG_Osmani;X
579056;Chief of Army;M.A.G. Osmani;1947;1970;1999;LE;Doctrine of Autonomy;Medium;MAG_Osmani;X
579057;Minister of Security;Chandrasekhar Azad;1936;1964;1999;ST;Efficient Sociopath;High;PRKCha;X
579124;Head of Government;Bidhan Chandra Roy;1944;1970;1999;SD;Happy Amateur;Very High;Bidhan_Chandra_Roy;X
579125;Minister of Armament;Gulzarilal Nanda;1940;1970;1998;LE;Industrialiser;Very High;PRKGul;X
579058;Chief of Army;Bhagat Singh;1936;1970;1999;ST;Doctrine of Autonomy;High;KRBhagat_Singh;X
579115;Foreign Minister;A.C.N. Nambiar;1936;1964;1986;ST;Great Compromiser;Very High;PRKNam;X
579059;Head of State;Sarojini Naidu;1936;1964;1999;LE;Benevolent Gentleman;High;KRNaidu;X
579060;Minister of Security;Sarojini Naidu;1936;1964;1999;LE;Man of the People;High;KRNaidu;X
579061;Foreign Minister;Sohan Singh Bhakna;1936;1964;1999;LE;General Staffer;High;KRSohan;X
579062;Chief of Staff;Virendranath Chattopadhyaya;1936;1955;1999;ST;School of Fire Support;High;KRVirendranath;X
579114;Minister of Armament;Prasanta C. Mahalanobis;1936;1964;1999;LWR;Industrialiser;Very High;PRKMaha;X
579063;Head of Military Intelligence;Rahul Sankrityayan;1936;1964;1999;LE;Industrial Specialist;High;KRRahul;X
579064;Minister of Security;Vinayak Damodar Savarkar;1936;1964;1999;LE;Prince of Terror;High;PRKVin;X
579065;Minister of Armament;Bhupendra Kumar Datta;1936;1964;1999;LE;Resource Industrialist;High;KRDatta;X
579066;Chief of Army;Bhupendra Kumar Datta;1936;1970;1999;LE;Guns and Butter Doctrine;High;KRDatta;X
579067;Chief of Navy;Lala Har Dayal;1936;1964;1999;LWR;Merchant Navy Focus;High;KRLar;X
579068;Chief of Air Force;Pulin Behari Das;1936;1949;1999;LWR;Vertical Envelopment Doctrine;High;KRDas;X
579122;Minister of Security;Puran Chand Joshi;1937;1970;1980;LE;Crime Fighter;Very High;PRKPcj;X
579123;Head of Government;Puran Chand Joshi;1944;1970;1980;LE;Reformist Soldierhog;Very High;PRKPcj;X
579069;Head of Military Intelligence;Manabendra Nath Roy;1936;1964;1999;LE;Logistics Specialist;High;KRNath;X
579110;Head of Government;Manabendra Nath Roy;1936;1964;1999;LE;Reformist Soldierhog;Very High;KRNath;X
579070;Chief of Staff;Bhagwan Singh Gyanee;1936;1963;1999;LE;School of Mass Combat;High;KRBhag;X
579071;Foreign Minister;Bhavabhushan Mitra;1936;1964;1999;LE;Ideological Crusader;High;KRMitra;X
579072;Head of Government;Jawaharlal Nehru;1936;1964;1999;LE;Flamboyant Tough Guy;High;PRKNeh;X
579111;Head of State;Jawaharlal Nehru;1936;1964;1999;LE;Stern Imperialist;Very High;PRKNeh;X
579112;Minister of Security;V. M. Tarkunde;1936;1964;1999;LE;Crime Fighter;Very High;PRKVmt;X
579073;Minister of Armament;Jawaharlal Nehru;1936;1964;1999;LE;Industrialiser;High;PRKNeh;X
579074;Head of Government;Hemanta Kumar Sarkar;1936;1964;1999;ST;Ambitious Union Boss;Very High;PRKHem;X
579105;Minister of Security;U. Muthuramalingam Thevar;1936;1964;1999;ST;Secret Police Chief;Very High;PRKMut;X
579106;Minister of Armament;Nalini Ranjan Sarkar ;1936;1964;1999;ST;Administrative Genius;Very High;PRKNal;X
579113;Chief of Staff;Sahajanand Saraswati;1936;1950;1999;LE;School of Mass Combat;Very High;PRKSah;X
579107;Head of Military Intelligence;Muzaffar Ahmed;1936;1964;1999;ST;Logistics Specialist;Very High;PRKMuz;X
579108;Head of Government;Jayaprakash Narayan;1936;1964;1979;LE;Naive Optimist;Very High;PRKJay;X
579109;Foreign Minister;Jayaprakash Narayan;1936;1964;1979;LE;Great Compromiser;Very High;PRKJay;X
579075;Minister of Armament;Bhogaraju Pattabhi Sitaramayya;1936;1964;1999;LWR;Keynesian Economy;High;PRKBho;X
579076;Minister of Security;Rajkumari Amrit Kaur;1936;1964;1999;LWR;Health and Safety;High;PRKAmr;X
579077;Head of Military Intelligence;J.B. Kripalani;1936;1964;1999;LWR;Logistics Specialist;High;PRKKri;X
579078;Chief of Air Force;Vernon Shib Chunder Bonarjee;1942;1970;1999;LE;Naval Aviation Doctrine;High;LVernon_Shib_Chunder_Bonarjee;X
579079;Chief of Air Force;Syed Naseem Haider;1942;1970;1999;LE;Air Superiority Doctrine;High;PRKHai;X
579119;Chief of Army;Surya Sen;1936;1964;1999;LE;Guerilla Warfare Doctrine;Very High;PRKSen;X
579120;Minister of Armament;Surya Sen;1936;1964;1999;LE;Reformer;Very High;PRKSen;X
579121;Head of State;Nirmal Kumar Bose;1936;1970;1972;LWR;Popular Figurehead;Very High;PRKNirmal;X
579080;Chief of Air Force;Erroll Chunder Sen;1936;1964;1999;LWR;Carpet Bombing Doctrine;High;LErroll_Chunder_Sen;X
579081;Minister of Armament;Leela Roy;1936;1964;1999;ST;Planned Economy Proponent;Medium;PRKLee;X
579082;Head of State;Subhas Chandra Bose;1936;1964;1999;ST;Red Netaji;High;KRSubhas;X
579083;Foreign Minister;Vallabhbhai Jhaverbhai Patel;1936;1964;1999;LE;Iron Fisted Brute;High;PRKPat;X
579084;Foreign Minister;Mahadev Desai;1936;1964;1999;LWR;Great Compromiser;High;PRKMah;X
579085;Head of State;Mohandas Karamchand Gandhi;1936;1964;1999;LWR;Great Soul2;Very High;PRKGandhi;X
579086;Chief of Air Force;Niranjan Prasad;1940;1970;1999;LWR;Army Aviation Doctrine;High;PRKNir;X
579087;Chief of Staff;Ba Cho;1936;1964;1999;LWR;School of Defence;High;BURBoc;X
579088;Foreign Minister;U Nu;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;BURUnu;X
579089;Foreign Minister;Aung San;1936;1964;1999;LWR;Ideological Crusader;High;BURAun;X
579090;Minister of Armament;Ba Win;1936;1964;1999;LWR;Resource Industrialist;High;BURWin;X
579091;Minister of Security;Thakin Mya;1936;1964;1999;LWR;Compassionate Gentleman;High;BURMayt;X
579092;Head of Military Intelligence;Abdul Razak;1936;1964;1999;LWR;Dismal Enigma;High;BURAbd;X
579093;Chief of Staff;Thakin Soe;1936;1964;1999;LE;School of Manoeuvre;High;BURSoe;X
579094;Chief of Army;Than Tun;1936;1964;1999;LE;Guns and Butter Doctrine;High;BURTun;X
579095;Chief of Staff;Chempakaraman Pillai;1936;1964;1999;LE;School of Defence;High;INDChem;X
579096;Chief of Army;Chempakaraman Pillai;1936;1964;1999;LE;Decisive Battle Doctrine;High;INDChem;X
579097;Chief of Navy;Sannappa Parameshwar Gaonkar;1936;1964;1999;LE;Decisive Naval Battle Doctrine;High;INDPara;X
579098;Chief of Air Force;P. Krishna Pillai;1936;1964;1999;LE;Aviation Organizer;High;INDPPil;X
579099;Chief of Staff;Mahendra Pratap;1936;1970;1999;LE;School of Fire Support;Medium;PRKPra;X
579100;Chief of Army;Mahendra Pratap;1936;1970;1999;LE;Elastic Defence Doctrine;Medium;PRKPra;X
579101;Chief of Staff;Shripad Amrit Dange;1936;1970;1999;LE;Commando Doctrine Staff;Very High;PRKDan;X
579102;Chief of Army;Shripad Amrit Dange;1936;1970;1999;LE;Commando Doctrine Army;Very High;PRKDan;X
579103;Head of Government;Shripad Amrit Dange;1936;1964;1999;LE;Ambitious Union Boss;Very High;PRKDan;X
579104;Head of State;Shripad Amrit Dange;1936;1964;1999;LE;Die-hard Reformer;Very High;PRKDan;X
579116;Head of Military Intelligence;V. Subbiah;1938;1964;1999;LE;Political Specialist;Very High;PRKSub;X
579129;Minister of Armament;Army Reform Committee;1936;1970;1999;LE;Army Reform Committee;Very High;PRKRef;X
579130;Chief of Navy;Muzaffar Hassan;1947;1970;1999;SD;Open Seas Doctrine;Very High;LMuzaffar_Hassan;X
579131;Chief of Navy;Balai Chandra Dutt;1949;1970;1999;LWR;Indirect Approach Doctrine;Very High;LBalai_Chandra_Dutt;X
579132;Chief of Air Force;Eric Gordon Hall;1949;1970;1999;LE;Vertical Envelopment Doctrine;Very High;LEric_Gordon_Hall;X
579133;Minister of Armament;Eric Gordon Hall;1949;1970;1999;LE;Air to Ground Proponent;Very High;LEric_Gordon_Hall;X
579134;Minister of Armament;Subroto Mukherjee;1939;1970;1999;LWR;Air Superiority Proponent;High;M59115;X
579135;Minister of Armament;Khwaja Wasiuddin;1948;1970;1999;LWR;Military Entrepreneur;High;LKhwaja_Wasiuddin;X
579136;Chief of Staff;Khwaja Wasiuddin;1948;1970;1999;LWR;School of Fire Support;High;LKhwaja_Wasiuddin;X
579137;Chief of Army;Khwaja Wasiuddin;1948;1970;1999;LWR;Static Defence Doctrine;High;LKhwaja_Wasiuddin;X
579138;Chief of Staff;J.F.R. Jacob;1950;1970;1999;LE;Strategic Missile Focus;High;LJack_Farj_Rafael_Jacob;X
579139;Chief of Army;J.F.R. Jacob;1950;1970;1999;LE;Decisive Battle Doctrine;High;LJack_Farj_Rafael_Jacob;X
579140;Chief of Army;T.B. Henderson Brooks;1949;1970;1999;LWR;Armoured Spearhead Doctrine;High;LTB_Henderson_Brooks;X
579141;Chief of Staff;T.B. Henderson Brooks;1949;1970;1999;LWR;School of Manoeuvre;High;LTB_Henderson_Brooks;X
579142;Chief of Air Force;Anushilan Samiti Air Command;1936;1970;1999;ST;Air Defence Doctrine;High;MAnushilan_Samiti;X
579143;Head of Military Intelligence;Syed Ahmed Quadri;1939;1970;1999;SD;Industrial Specialist;High;MSyed_Ahmed_Quadri;X
579144;Minister of Security;Syed Ahmed Quadri;1939;1970;1999;SD;Man of the People;High;MSyed_Ahmed_Quadri;X
579145;Minister of Armament;Syed Ahmed Quadri;1939;1970;1999;SD;Administrative Genius;High;MSyed_Ahmed_Quadri;X
579146;Chief of Staff;Premindra Singh Bhagat;1948;1970;1999;SD;School of Defence;High;PAK_Bhagat;X
579147;Chief of Army;Premindra Singh Bhagat;1948;1970;1999;SD;Combat Engineering Doctrine;High;PAK_Bhagat;X
579148;Head of Military Intelligence;Premindra Singh Bhagat;1948;1970;1999;SD;Logistics Specialist;High;PAK_Bhagat;X
579149;Chief of Staff;Prem Singh Gyani;1947;1970;1999;SD;School of Fire Support;High;LPrem_Singh_Gyani;X
579150;Chief of Army;Prem Singh Gyani;1947;1970;1999;SD;Static Defence Doctrine;High;LPrem_Singh_Gyani;X
579151;Chief of Army;Hira Lal Atal;1946;1970;1999;SD;Armoured Spearhead Doctrine;High;LHira_Lal_Atal;X
579152;Head of Military Intelligence;Bhaskar Soman;1944;1970;1999;LWR;Naval Intelligence Specialist;Medium;M59107;X
