CON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
574040;Head of Military Intelligence;Erich Kallmeyer;1936;1964;1999;ML;Logistics Specialist;Medium;Kaiserreich Kallmeyer;X
574041;Minister of Security;Hermann Detzner;1936;1964;1999;PA;Silent Lawyer;High;kaiserreichdetzner;X
574042;Chief of Army;Charles Atagana;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;Kaiserreich Charles Atagana;X
574043;Minister of Security;Theodor Eicke;1936;1964;1999;NS;Prince of Terror;Medium;kaiserreichhippel;X
574044;Chief of Army;Ernst Jünger;1936;1964;1999;PA;Doctrine of Autonomy;Very High;Kaiserreichjunger2;X
574045;Chief of Staff;Theodor von Hippel;1936;1964;1999;PA;Commando Doctrine Staff;Very High;kaiserreichhippel;X
574046;Foreign Minister;Alexander Duala Bell;1936;1964;1999;PA;Great Compromiser;Medium;Kaiserreich AlexanderBell;X
574047;Foreign Minister;Ernst Jünger;1936;1964;1999;PA;General Staffer;Very High;Kaiserreichjunger2;X
574048;Chief of Air Force;Hermann Göring;1936;1964;1999;NS;Army Aviation Doctrine;Medium;Kaiserreich Göring;X
574049;Head of State;Ernst Jünger;1936;1964;1999;PA;Reformist Soldierhos;Very High;Kaiserreichjunger2;X
574050;Head of Government;Alexander Duala Bell;1936;1964;1999;PA;Flamboyant Tough Guy;Medium;Kaiserreich AlexanderBell;X
574051;Chief of Staff;Mohamed Husen;1939;1964;1999;PA;School of Psychology;Medium;kaiserreichmohamed;X
574052;Head of Government;Jomo Kenyatta;1936;1964;1999;LE;Naive Optimist;Very High;AFR_jomo_kenyata;X
574053;Head of State;Theodor von Hippel;1936;1970;1999;PA;Resigned Generalissimo;Very High;kaiserreichhippel;X
574054;Head of State;Karl Atangana;1936;1970;1999;SC;Autocratic Charmer;Very High;kaiserreichkarlattanga;X
574055;Head of State;Achirimbi II;1936;1964;1999;PA;Weary Stiffneck;Very High;Achirimbi II;X
574056;Chief of Air Force;Walther Faber;1936;1960;1999;PA;Naval Aviation Doctrine;High;L844;X
574057;Minister of Armament;Walther Faber;1936;1960;1999;PA;Air to Sea Proponent;High;L844;X
574058;Minister of Armament;Eduard Eichel;1936;1956;1999;FA;Battle Fleet Proponent;High;L843;X
574059;Chief of Navy;Eduard Eichel;1936;1956;1999;FA;Decisive Naval Battle Doctrine;High;L843;X
574060;Chief of Navy;Theodor Arps;1936;1960;1999;FA;Open Seas Doctrine;High;LTheodor_Arps;X
574061;Head of Military Intelligence;Theodor Arps;1936;1960;1999;FA;Naval Intelligence Specialist;High;LTheodor_Arps;X
574062;Chief of Navy;Peter Lohmeyer;1945;1970;1999;SC;Power Projection Doctrine;High;LPeter_Lohmeyer;X
574063;Chief of Air Force;Peter Lohmeyer;1945;1970;1999;SC;Naval Aviation Doctrine;High;LPeter_Lohmeyer;X
574064;Chief of Army;Felix Steiner;1940;1966;1999;FA;Armoured Spearhead Doctrine;High;L530;X
574065;Chief of Staff;Ernst von Raben;1936;1952;1999;PA;School of Defence;High;Kaiserreich vonRaben;X
574066;Chief of Staff;Ferdinand Schörner;1936;1970;1999;NS;School of Mass Combat;High;L249;X
574067;Head of Government;Franz Ritter von Epp;1936;1947;1999;NS;Old General;High;L809;X
574068;Minister of Armament;Franz Ritter von Epp;1936;1947;1999;NS;Infantry Proponent;High;L809;X
574069;Minister of Armament;Otto Könnecke;1936;1960;1999;PA;Air Superiority Proponent;High;1562;X
574070;Chief of Air Force;Otto Könnecke;1936;1960;1999;PA;Air Superiority Doctrine;High;1562;X
574071;Minister of Armament;Jules Cousin;1936;1965;1999;ML;Resource Industrialist;High;MJules_Cousin;X
574072;Minister of Armament;Edgar Sengier;1936;1963;1999;ML;Industrial Chemist;High;MEdgar_Sengier;X
574073;Minister of Armament;Ludwig Kastl;1936;1969;1999;PA;Bank President;High;M60;X
574074;Minister of Armament;Hellmut Stauch;1943;1970;1999;SC;Construction Magnate;High;MHellmut_Stauch;X
574075;Minister of Armament;Hellmut von Leipzig;1944;1970;1999;PA;Motorisation Proponent;High;MHellmut_von_Leipzig;X
574076;Minister of Armament;Hermann Bücher;1936;1952;1999;SC;Industrialiser;High;MHermann_Bucher;X
574077;Foreign Minister;Hermann Bücher;1936;1952;1999;SC;Apologetic Clerk;High;MHermann_Bucher;X
574078;Foreign Minister;Rudolf Asmis;1936;1946;1999;PA;Great Compromiser;High;MRudolf_Asmis;X
574079;Minister of Security;Rudolf Asmis;1936;1946;1999;PA;Man of the People;High;MRudolf_Asmis;X
574080;Minister of Security;Julian Scherner;1942;1964;1999;NS;Secret Police Chief;High;MJulian_Scherner;X
574081;Head of Military Intelligence;Kai-Uwe von Hassel;1943;1970;1999;SC;Political Specialist;High;M506048;X
574082;Minister of Security;Kai-Uwe von Hassel;1953;1970;1999;SC;Compassionate Gentleman;High;M506048;X
574083;Head of Government;Kai-Uwe von Hassel;1953;1970;1999;SC;Silent Workhorse;High;M506048;X
574084;Chief of Air Force;Job Odebrecht;1939;1970;1999;PA;Air Defence Doctrine;High;L211;X
574085;Chief of Air Force;Wolfgang Schenck;1944;1970;1999;PA;Tactical Aviation Doctrine;High;L629;X
