GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
519017;Head of State;Noe Zhordania;1936;1970;1999;SD;Benevolent Gentleman;High;GEO_Zhordania;X
519018;Head of State;Akaki Chkhenkeli;1936;1970;1999;LWR;Popular Figurehead;Very High;GEO_Chkhenkeli;X
519019;Head of Government;Ivane Javakhishvili;1936;1970;1999;PA;Flamboyant Tough Guy;High;GEO_IvaneJavakhishvili;X
519020;Head of Government;Leo Kereselidze;1936;1964;1999;SC;Old General;Very High;GEO_Kereselidze;X
519021;Head of Government;Giorgi Mazniashvili;1936;1945;1999;ML;Respected War Hero;Very High;GEO_Mazniashvili;X
519022;Head of Government;Mikheil Javakhishvili;1936;1970;1999;SD;Naive Optimist;High;M519015;X
519023;Head of Government;Evgeni Gegechkori;1936;1970;1999;LWR;Corporate Suit;Very High;GEO_Gegechkori;X
519024;Foreign Minister;Grigol Robakidze;1936;1970;1999;PA;Biased Intellectual;Very High;GEO_Robakidze;X
519025;Foreign Minister;Mikheil G. Tsereteli;1936;1970;1999;PA;Great Compromiser;Very High;GEO_Tsereteli;X
519026;Foreign Minister;Simon Sidamon-Eristoff;1936;1970;1999;SC;General Staffer;Very High;GEO_Eristoff;X
519027;Foreign Minister;Svimon Tsitsishvili;1936;1970;1999;SC;Apologetic Clerk;Very High;GEO_Tsitsishvili;X
519028;Foreign Minister;Revaz Gabashvili;1936;1970;1999;SC;Ideological Crusader;Very High;GEO_Gabashvili;X
519029;Foreign Minister;Konstantin A. Chkheidze;1936;1970;1999;ML;Great Compromiser;Very High;GEO_Chkheidze;X
519030;Foreign Minister;Kita Abashidze;1936;1970;1999;ML;The Cloak N Dagger Schemer;Very High;GEO_Abashidze;X
519031;Foreign Minister;Nikoloz Berdzenishvili;1936;1970;1999;SL;Biased Intellectual;Very High;GEO_Berdzenishvili;X
519032;Foreign Minister;Ioseb Grishashvili;1936;1970;1999;SL;Apologetic Clerk;Very High;GEO_Grishashvili;X
519033;Foreign Minister;Grigol Lordkipanidze;1936;1970;1999;SD;Great Compromiser;Very High;GEO_Lordkipanidze;X
519034;Foreign Minister;Nikoloz Chkheidze;1936;1943;1999;SD;Ideological Crusader;Very High;GEO_NikolozChkheidze;X
519035;Foreign Minister;Valiko Jugheli;1936;1960;1999;SD;General Staffer;Very High;GEO_Jugheli;X
519036;Foreign Minister;Seit Devdariani;1936;1970;1999;SD;Biased Intellectual;Very High;GEO_Devdariani;X
519037;Foreign Minister;Evgeni Gegechkori;1936;1970;1999;LWR;Iron Fisted Brute;Very High;GEO_Gegechkori;X
519038;Minister of Armament;Kote Andronikashvili;1936;1964;1999;PA;Resource Industrialist;Very High;GEO_Andronikashvili;X
519039;Minister of Armament;Simon Bagration-Mukhraneli;1936;1970;1999;PA;Military Entrepreneur;Very High;GEO_PrinceSimon;X
519040;Minister of Armament;Aleksandre N. Eristavi;1936;1955;1999;PA;Tank Proponent;Very High;GEO_ANEristoff;X
519041;Minister of Armament;Giorgi Juruli;1936;1970;1999;SC;Industrialiser;Very High;GEO_Juruli;X
519042;Minister of Armament;Georges V. Matchabelli;1936;1970;1999;SC;Administrative Genius;Very High;GEO_Matchabelli;X
519043;Minister of Armament;Akaki Khoshtaria;1936;1970;1999;SC;Laissez-Faire Capitalist;Very High;GEO_Khoshtaria;X
519044;Minister of Armament;Ekvtime Takaishvili;1936;1959;1999;SC;Resource Industrialist;Very High;GEO_Takaishvili;X
519045;Minister of Armament;Teymuraz C. Bagration;1936;1970;1999;ML;Laissez-Faire Capitalist;Very High;GEO_TeymurazBagration;X
519046;Minister of Armament;Pavle Ingorokva;1936;1970;1999;ML;Bank President;Very High;GEO_Ingorokva;X
519047;Minister of Armament;Akaki Chanturia;1936;1970;1999;ML;Theoretical Scientist;Very High;GEO_Chanturia;X
519048;Minister of Armament;Nikoloz Muskhelishvili;1936;1970;1999;SL;Industrialiser;Very High;GEO_Muskhelishvili;X
519049;Minister of Armament;Konstantine Kandelaki;1936;1970;1999;SD;Administrative Genius;Very High;GEO_Kandelaki;X
519050;Minister of Armament;Benia Chkhikvishvili;1936;1970;1999;SD;Laissez-Faire Capitalist;Very High;GEO_Chkhikvishvili;X
519051;Minister of Armament;Victor Tevzaia;1936;1970;1999;SD;Resource Industrialist;Very High;GEO_Tevzaia;X
519052;Minister of Armament;Noe Khomeriki;1936;1970;1999;SD;Industrialiser;Very High;GEO_Khomeriki;X
519053;Minister of Security;Patriarch Callistratus;1936;1970;1999;PA;Man of the People;Very High;GEO_Callistratus;X
519054;Minister of Security;Aslan-Beg Abashidze;1936;1970;1999;PA;Silent Lawyer;Very High;GEO_AslanAbashidze;X
519055;Minister of Security;Archbishop Melchizedek;1936;1970;1999;PA;Efficient Sociopath;Very High;GEO_Melchizedek;X
519056;Minister of Security;Aleksandre Andronikashvili;1936;1950;1999;PA;Crime Fighter;Very High;GEO_AlekAndronikashvili;X
519057;Minister of Security;Ivane Kazbegi;1936;1970;1999;SC;Back Stabber;Very High;GEO_Kazbegi;X
519058;Minister of Security;Leo Kereselidze;1936;1964;1999;SC;Man of the People;Very High;GEO_Kereselidze;X
519059;Minister of Security;Giorgi N. Khimshiashvili;1936;1964;1999;SD;Crime Fighter;Very High;LGiorgi_Khimshiashvili;X
519060;Minister of Security;Konstantine Gamsakhurdia;1936;1970;1999;ML;Crime Fighter;Very High;GEO_Gamsakhurdia;X
519061;Minister of Security;Simon Janashia;1936;1970;1999;ML;Silent Lawyer;Very High;GEO_Janashia;X
519062;Minister of Security;Iosif Baratov;1936;1970;1999;SL;Prince of Terror;Very High;GEO_Baratov;X
519063;Minister of Security;Grigol Peradze;1936;1970;1999;SL;Compassionate Gentleman;Very High;GEO_Peradze;X
519064;Minister of Security;Razhden Arsenidze;1936;1970;1999;SD;Man of the People;Very High;GEO_Arsenidze;X
519065;Minister of Security;Grigol Uratadze;1936;1970;1999;SD;Silent Lawyer;Very High;GEO_Uratadze;X
519066;Minister of Security;Noe Zhordania;1936;1970;1999;SD;Compassionate Gentleman;Very High;GEO_Zhordania;X
519067;Minister of Security;Vladimir Goguadze;1936;1955;1999;SD;Crime Fighter;Very High;GEO_Goguadze;X
519068;Head of Military Intelligence;Giorgi Kvinitadze;1936;1970;1999;PA;Logistics Specialist;Very High;GEO_Kvinitadze;X
519069;Head of Military Intelligence;Ivane Javakhishvili;1936;1970;1999;PA;Dismal Enigma;Very High;GEO_IvaneJavakhishvili;X
519070;Head of Military Intelligence;Kakutsa Cholokashvili;1936;1964;1999;SC;Logistics Specialist;Very High;GEO_Cholokashvili;X
519071;Head of Military Intelligence;Leo Kereselidze;1936;1964;1999;SC;Political Specialist;Very High;GEO_Kereselidze;X
519072;Head of Military Intelligence;Ekvtime Takaishvili;1936;1970;1999;SC;Industrial Specialist;Very High;GEO_Takaishvili;X
519073;Head of Military Intelligence;Kita Abashidze;1936;1970;1999;ML;Technical Specialist;Very High;GEO_Abashidze;X
519074;Head of Military Intelligence;Seit Devdariani;1936;1970;1999;SD;Dismal Enigma;Very High;GEO_Devdariani;X
519075;Head of Military Intelligence;Valiko Jugheli;1936;1960;1999;SD;Logistics Specialist;Very High;GEO_Jugheli;X
519076;Chief of Staff;Giorgi Kvinitadze;1936;1970;1999;PA;School of Mass Combat;Very High;GEO_Kvinitadze;X
519077;Chief of Staff;Aleksandre Andronikashvili;1936;1950;1999;PA;School of Fire Support;Very High;GEO_AlekAndronikashvili;X
519078;Chief of Staff;Simon Bagration-Mukhraneli;1936;1970;1999;PA;School of Defence;Very High;GEO_PrinceSimon;X
519079;Chief of Staff;Aleksandre N. Eristavi;1936;1955;1999;PA;School of Fire Support;Very High;GEO_ANEristoff;X
519080;Chief of Staff;Kakutsa Cholokashvili;1936;1964;1999;SC;School of Manoeuvre;Very High;GEO_Cholokashvili;X
519081;Chief of Staff;Giorgi N. Khimshiashvili;1936;1964;1999;SD;School of Manoeuvre;Very High;LGiorgi_Khimshiashvili;X
519082;Chief of Staff;Leo Kereselidze;1936;1964;1999;SC;School of Manoeuvre;Very High;GEO_Kereselidze;X
519083;Chief of Staff;Giorgi Mazniashvili;1936;1945;1999;ML;School of Psychology;Very High;GEO_Mazniashvili;X
519084;Chief of Staff;Ivane Karangozishvili;1936;1970;1999;ML;School of Defence;Very High;GEO_Karangozishvili;X
519085;Chief of Staff;Elizbar Gulisashvili;1936;1970;1999;SL;School of Fire Support;Very High;GEO_Gulisashvili;X
519086;Chief of Staff;Valiko Jugheli;1936;1960;1999;SD;School of Mass Combat;Very High;GEO_Jugheli;X
519087;Chief of Staff;Vladimir Goguadze;1936;1955;1999;SD;School of Manoeuvre;Very High;GEO_Goguadze;X
519088;Chief of Army;Shalva Maglakelidze;1936;1970;1999;FA;Elastic Defence Doctrine;Very High;GEO_Maglakelidze;X
519089;Chief of Army;Aleksandre Andronikashvili;1936;1950;1999;PA;Static Defence Doctrine;Very High;GEO_AlekAndronikashvili;X
519090;Chief of Army;Giorgi Kvinitadze;1936;1970;1999;PA;Guns and Butter Doctrine;Very High;GEO_Kvinitadze;X
519091;Chief of Army;Aleksandre N. Eristavi;1936;1955;1999;PA;Decisive Battle Doctrine;Very High;GEO_ANEristoff;X
519092;Chief of Army;Giorgi N. Khimshiashvili;1936;1964;1999;SD;Armoured Spearhead Doctrine;Very High;LGiorgi_Khimshiashvili;X
519093;Chief of Army;Kakutsa Cholokashvili;1936;1964;1999;SC;Elastic Defence Doctrine;Very High;GEO_Cholokashvili;X
519094;Chief of Army;Leo Kereselidze;1936;1964;1999;SC;Doctrine of Autonomy;Very High;GEO_Kereselidze;X
519095;Chief of Army;Giorgi Mamaladze;1936;1970;1999;ML;Decisive Battle Doctrine;Very High;GEO_Mamaladze;X
519096;Chief of Army;Giorgi Mazniashvili;1936;1945;1999;ML;Elastic Defence Doctrine;Very High;GEO_Mazniashvili;X
519097;Chief of Army;Dimitri Shalikashvili;1936;1970;1999;ML;Elastic Defence Doctrine;Very High;GEO_Shalikashvili;X
519098;Head of Military Intelligence;Alexandre Chkheidze;1936;1946;1999;ML;Logistics Specialist;Very High;GEO_ALChkheidze;X
519099;Chief of Army;Vladimir Goguadze;1936;1955;1999;SD;Decisive Battle Doctrine;Very High;GEO_Goguadze;X
519100;Chief of Army;Irakli Amirejibi;1936;1970;1999;SD;Guns and Butter Doctrine;Very High;GEO_Amirejibi;X
519101;Chief of Army;Valiko Jugheli;1936;1960;1999;SD;Elastic Defence Doctrine;Very High;GEO_Jugheli;X
519102;Chief of Navy;Levan Klimiashvili;1936;1970;1999;PA;Power Projection Doctrine;Very High;GEO_Klimiashvili;X
519103;Chief of Army;Varden Tsulukidze;1936;1940;1999;SC;Doctrine of Autonomy;Very High;GEO_Tsulukidze;X
519104;Chief of Army;Stepane Akhmeteli;1936;1942;1999;ML;Static Defence Doctrine;Very High;GEO_Akhmeteli;X
519105;Chief of Navy;Giorgi Anjaparidze;1936;1960;1999;SD;Indirect Approach Doctrine;Very High;GEO_Anjaparidze;X
519106;Chief of Navy;Polikarp Mdivani;1936;1950;1999;ST;Base Control Doctrine;Very High;GEO_Mdivani;X
519107;Chief of Air Force;Aleksandre N. Eristavi;1936;1955;1999;PA;Army Aviation Doctrine;Very High;GEO_ANEristoff;X
519108;Minister of Armament;Svimon Tsitsishvili;1936;1970;1999;SC;Oil Baron;Very High;GEO_Tsitsishvili;X
519109;Head of Military Intelligence;Rostom Muskhelishvili;1936;1964;1999;ML;Logistics Specialist;Very High;GEO_ROMuskhelishvili;X
519110;Chief of Air Force;Grigol Giorgadze;1936;1950;1999;SD;Air Superiority Doctrine;Very High;GEO_Giorgadze;X
519111;Head of Government;Shalva Maglakelidze;1936;1970;1999;FA;Old General;Very High;GEO_Maglakelidze;X
519112;Head of Government;Alexander Nikuradze;1936;1970;1999;FA;Silent Workhorse;Very High;GEO_Nikuradze;X
519113;Head of Government;Lavrentij Beria;1936;1964;1999;ST;Totalist Chairman;High;M519002;X
519114;Chief of Staff;Lavrentij Beria;1936;1964;1999;ST;School of Psychology;Medium;M519007;X
519115;Minister of Security;Avel Enukidze;1936;1970;1999;ST;Prince of Terror;Very High;GEO_Enukidze;X
519116;Minister of Security;Vsevolod Merkulov;1936;1970;1999;ST;Back Stabber;Very High;GEO_Merkulov;X
519117;Head of Military Intelligence;Vsevolod Merkulov;1936;1970;1999;ST;Political Specialist;Very High;GEO_Merkulov;X
519118;Foreign Minister;Aleksandre S. Svanidze;1936;1964;1999;ST;Biased Intellectual;Very High;GEO_Svanidze;X
519119;Foreign Minister;Sergey I. Kavtaradze;1936;1970;1999;ST;Iron Fisted Brute;Very High;GEO_Kavtaradze;X
519120;Head of Government;Mikheil G. Tsereteli;1936;1970;1999;PA;Flamboyant Tough Guy;Very High;GEO_Tsereteli;X
519121;Head of State;Shalva Maglakelidze;1936;1970;1999;FA;Stern Imperialist;Very High;GEO_Maglakelidze;X
519122;Chief of Air Force;Aleksandre Sagharadze;1936;1970;1999;ST;Vertical Envelopment Doctrine;High;MAleksandre_Sagharadze;X
519123;Chief of Air Force;Shalva Nebieridze;1936;1970;1999;SC;Vertical Envelopment Doctrine;High;MShalva_Nebieridze;X
519124;Chief of Air Force;Aleksandre Mdivani;1936;1964;1999;ML;Air Superiority Doctrine;High;MAleksandre_Mdivani;X
519125;Chief of Air Force;Mikheil Machavariani;1936;1970;1999;SD;Air Superiority Doctrine;High;LMikheil_Machavariani;X
519126;Chief of Air Force;Aleksi Shiukashvili;1936;1970;1999;LWR;Army Aviation Doctrine;High;LAleksi_Shiukashvili;X
519127;Minister of Armament;Aleksandre S. Svanidze;1936;1964;1999;ST;Planned Economy Proponent;High;GEO_Svanidze;X
519128;Chief of Navy;Simon Ramishvili;1944;1970;1999;LE;Open Seas Doctrine;High;LSimon_Ramishvili;X
519129;Chief of Navy;Seit Kapanadze;1938;1956;1999;LWR;Base Control Doctrine;High;LSeit_Kapanadze;X
519130;Chief of Navy;Vladimir Lezhava;1936;1966;1999;SD;Open Seas Doctrine;High;LVladimir_Lezhava;X
519131;Chief of Navy;Giorgi Abashvili;1946;1970;1999;SD;Decisive Naval Battle Doctrine;High;LGiorgi_Abashvili;X
519132;Chief of Staff;Giorgi Jincharadze;1946;1970;1999;LWR;School of Defence;High;LGiorgi_Jincharadze;X
519133;Chief of Staff;Konstantine N. Leselidze;1946;1970;1999;SD;School of Fire Support;High;LKonstantine_Leselidze;X
519134;Chief of Army;Konstantine N. Leselidze;1946;1970;1999;SD;Decisive Battle Doctrine;High;LKonstantine_Leselidze;X
519135;Chief of Staff;Porphil G. Chachibadze;1946;1970;1999;SD;School of Manoeuvre;High;LPorphil_Chachibadze;X
519136;Chief of Army;Porphil G. Chachibadze;1946;1970;1999;SD;Armoured Spearhead Doctrine;High;LPorphil_Chachibadze;X
519137;Chief of Navy;Archil V. Gelovani;1946;1970;1999;ML;Base Control Doctrine;High;LArchil_Viktorovich_Gelovani;X
519138;Minister of Armament;Archil V. Gelovani;1950;1970;1999;ML;Theoretical Scientist;High;LArchil_Viktorovich_Gelovani;X
519139;Chief of Army;Vladimir N. Janjgava;1948;1970;1999;ML;Doctrine of Autonomy;High;LVladimir_Nikolaevich_Janjgava;X
519140;Minister of Armament;Vladimir N. Janjgava;1950;1970;1999;ML;Infantry Proponent;High;LVladimir_Nikolaevich_Janjgava;X
519141;Minister of Security;Vladimir N. Janjgava;1950;1970;1999;ML;Crime Fighter;High;LVladimir_Nikolaevich_Janjgava;X
519142;Chief of Staff;Hovhannes Baghramyan;1936;1968;1999;SL;School of Fire Support;High;L515002;X
519143;Chief of Army;Hovhannes Baghramyan;1936;1968;1999;SL;Elastic Defence Doctrine;High;L515002;X
519144;Chief of Staff;Hmayak Babayan;1942;1964;1999;SD;School of Psychology;High;LHmayak_Babayan;X
519145;Chief of Army;Hmayak Babayan;1942;1964;1999;SD;Doctrine of Autonomy;High;LHmayak_Babayan;X
519146;Chief of Air Force;Armenak Khanperiants;1936;1967;1999;LWR;Air Superiority Doctrine;High;L10473;X
519147;Chief of Air Force;Nelson Stepanyan;1946;1970;1999;LWR;Army Aviation Doctrine;High;LNelson_Stepanyan;X
519148;Chief of Army;Hamazasp Babadzhanian;1936;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M515024;X
519149;Chief of Staff;Hamazasp Babadzhanian;1950;1970;1999;FA;School of Manoeuvre;Medium;M515024;X
519150;Chief of Air Force;Kambiz Krasnoshapka;1936;1964;1999;SD;Naval Aviation Doctrine;High;M516009;X
519151;Chief of Navy;Viktor Sergeevich Cherokov;1945;1970;1999;SD;Open Seas Doctrine;High;LViktor_Sergeevich_Cherokov;X
519152;Chief of Staff;Abdulhamid bey Qaytabashi;1936;1964;1999;SC;School of Defence;High;LAbdulhamid_Qaytabashi;X
519153;Chief of Army;Abdulhamid bey Qaytabashi;1936;1964;1999;SC;Guns and Butter Doctrine;High;LAbdulhamid_Qaytabashi;X
519154;Chief of Staff;Hazi Aslanov;1948;1970;1999;LWR;School of Manoeuvre;High;LHazi_Aslanov;X
519155;Chief of Army;Hazi Aslanov;1948;1970;1999;LWR;Armoured Spearhead Doctrine;High;LHazi_Aslanov;X
519156;Chief of Army;Habib bey Salimov;1936;1964;1999;SC;Decisive Battle Doctrine;High;LHabib_bey_Salimov;X
519157;Chief of Air Force;Murad Ozdoev;1943;1970;1999;PA;Army Aviation Doctrine;High;kai_u43mrdozd;X
519158;Chief of Air Force;Ibragim Dzusov;1936;1970;1999;SD;Air Superiority Doctrine;High;kai_u43ibrdzs;X
519159;Chief of Air Force;Alexei Ostayev;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;AWM_Ostayev;X
519160;Chief of Navy;Tsallagov Panteley;1941;1970;1999;PA;Base Control Doctrine;High;kai_u43tsgpnt;X
519161;Chief of Navy;Astan Kesayev;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;AWM_Astan;X
519162;Head of Military Intelligence;Khadzi-Umar Mamsurov;1936;1970;1999;LWR;Logistics Specialist;High;kai_u43mamsrkhz;X
519163;Chief of Army;Khadzi-Umar Mamsurov;1936;1970;1999;LWR;Commando Doctrine Army;High;AWM_Hajjumar;X
519164;Chief of Staff;Khadzi-Umar Mamsurov;1936;1970;1999;LWR;Commando Doctrine Staff;High;AWM_Hajjumar;X
519165;Chief of Staff;Georgiy Khetagurov;1944;1970;1999;SD;School of Fire Support;High;LGeorgiy_Khetagurov;X
519166;Chief of Army;Georgiy Khetagurov;1944;1970;1999;SD;Decisive Battle Doctrine;High;LGeorgiy_Khetagurov;X
519167;Chief of Staff;Issa Aleksandrovich Pliev;1944;1970;1999;SD;School of Manoeuvre;High;LIssa_Aleksandrovich_Pliev;X
519168;Chief of Army;Issa Aleksandrovich Pliev;1944;1970;1999;SD;Armoured Spearhead Doctrine;High;LIssa_Aleksandrovich_Pliev;X
519169;Chief of Navy;Grigory I. Shchedrin;1950;1970;1999;ML;Indirect Approach Doctrine;High;LGrigory_Ivanovich_Shchedrin;X
519170;Chief of Air Force;Sydor Slyusarev;1946;1970;1999;SL;Air Superiority Doctrine;High;LSydor_Slyusarev;X
519171;Chief of Air Force;Vladimir Naneishvili;1944;1970;1999;PA;Vertical Envelopment Doctrine;High;LVladimir_Naneishvili;X
519172;Minister of Armament;Nikolay Baybakov;1944;1970;1999;LWR;Oil Baron;High;MNikolay_Konstantinovich_Baibakov;X
