URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
22344;Head of Government;Gheorghe Argeseanu;1939;1964;1999;SL;Silent Workhorse;High;M22044;x
22345;Head of Government;Constantin Argetoianu;1939;1964;1999;SL;Political Protege;High;M22045;x
22347;Head of Government;Ion Gigurtu;1940;1964;1999;SL;Corporate Suit;High;M22047;x
22348;Head of Government;Ion Antonescu;1936;1964;1999;FA;Old General;High;M22007;x
22349;Head of Government;Constantin Sanatescu;1944;1964;1999;PA;Old General;High;M22049;x
22350;Head of Government;Nicolae Radescu;1944;1964;1999;SC;Happy Amateur;High;M22050;x
22351;Head of Government;Petru Groza;1936;1964;1999;ST;Backroom Backstabber;High;M22022;x
22352;Head of Government;Gheorghe Gheorghiu-Dej;1942;1964;1999;ST;Political Protege;High;M22052;x
22353;Head of Government;Corneliu Codreanu;1936;1964;1999;NS;Flamboyant Tough Guy;High;M22053;x
22354;Head of Government;Horia Sima;1938;1964;1999;NS;Happy Amateur;High;kaiserreich_horiasima;x
22355;Head of Government;Iuliu Maniu;1936;1964;1999;SD;Naive Optimist;High;M22055;x
22356;Head of Government;Constantin Bratianu;1945;1964;1999;SC;Corporate Suit;High;M22004;x
22357;Foreign Minister;Victor Antonescu;1936;1964;1999;SC;Great Compromiser;Medium;;x
22358;Foreign Minister;Istrate Micescu;1936;1964;1999;SL;Great Compromiser;Medium;M22005;x
22359;Foreign Minister;Gheorghe Tatarescu;1938;1964;1999;PA;Iron Fisted Brute;Medium;M22002;x
22370;Foreign Minister;Nicolae Petrescu-Comnen;1938;1964;1999;PA;Apologetic Clerk;Medium;M22070;x
22371;Foreign Minister;Grigore Gafencu;1939;1964;1999;SL;Biased Intellectual;Low;M22071;x
22372;Foreign Minister;Ion Gigurtu;1940;1964;1999;SC;Ideological Crusader;Medium;M22047;x
22373;Foreign Minister;Constantin Argetoianu;1939;1964;1999;SC;General Staffer;Medium;M22045;x
22374;Foreign Minister;Mihail Manoilescu;1940;1964;1999;SL;Apologetic Clerk;Medium;M22074;x
22375;Foreign Minister;Mihail Sturdza;1940;1964;1999;FA;Ideological Crusader;Medium;M22013;x
22376;Foreign Minister;Ion Antonescu;1936;1964;1999;FA;General Staffer;Medium;M22007;x
22377;Foreign Minister;Mihai Antonescu;1940;1964;1999;FA;The Cloak N Dagger Schemer;Low;M22077;x
22378;Foreign Minister;Grigore Niculesco-Buzesti;1944;1964;1999;PA;Apologetic Clerk;Medium;M22078;x
22379;Foreign Minister;Constantin Visoianu;1944;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M22079;x
22380;Foreign Minister;Gheorghe Tatarescu;1936;1964;1999;LE;Iron Fisted Brute;Medium;M22002;x
22381;Foreign Minister;Ana Pauker;1947;1964;1999;ST;Ideological Crusader;Very High;M22023;x
22382;Foreign Minister;Corneliu Codreanu;1937;1964;1999;NS;Ideological Crusader;Low;M22053;x
22383;Foreign Minister;Constantin I. Parhon;1937;1964;1999;ST;Great Compromiser;Low;M22038;x
22384;Foreign Minister;Iuliu Hossu;1936;1964;1999;SD;Great Compromiser;Medium;M22084;x
22385;Foreign Minister;Ion Antonescu;1940;1964;1999;NS;General Staffer;Medium;M22012;x
22386;Foreign Minister;Georges Oprescu;1938;1964;1999;SD;Biased Intellectual;Medium;M22086;x
22387;Minister of Armament;Virgil Madgearu;1936;1964;1999;SL;Administrative Genius;Medium;M22087;x
22388;Minister of Armament;Caius Brediceanu;1938;1964;1999;PA;laissez-faire capitalist;High;M22088;x
22389;Minister of Armament;Constantin Bratianu;1939;1964;1999;SL;Resource Industrialist;High;M22004;x
22391;Minister of Armament;Iuliu Maniu;1939;1964;1999;SC;Administrative Genius;Medium;M22055;x
22392;Minister of Armament;Constantin Antoniade;1940;1964;1999;SL;laissez-faire capitalist;Low;M22092;x
22393;Minister of Armament;Gheorghe Potopeanu;1940;1964;1999;FA;Military Entrepreneur;High;M22093;x
22394;Minister of Armament;Gheorghe Dobre;1942;1964;1999;FA;Infantry Proponent;High;M22094;x
22395;Minister of Armament;Nicolae Stoenescu;1944;1964;1999;PA;Tank Proponent;Medium;M22095;x
22396;Minister of Armament;Mihail Racovitza;1944;1964;1999;SC;Infantry Proponent;High;M22096;x
22397;Minister of Armament;Constantin Papanace;1943;1964;1999;NS;Administrative Genius;Low;M22014;x
22398;Minister of Armament;Vasile Luca;1936;1964;1999;ST;Administrative Genius;High;M22024;x
22399;Minister of Security;Armand Calinescu;1936;1964;1999;SL;Prince of Terror;High;M22043;x
22400;Minister of Security;Cesare Vaida-Voievod;1938;1964;1999;PA;Crime Fighter;Medium;M22100;x
22401;Minister of Security;Ion Mihalache;1939;1964;1999;SL;Man of the People;Low;M22101;x
22404;Minister of Security;Vasile Goldis;1940;1964;1999;SL;Man of the People;Medium;M22104;x
22405;Minister of Security;Istrate Micescu;1940;1964;1999;FA;Crime Fighter;Medium;M22005;x
22406;Minister of Security;David Popescu;1941;1964;1999;FA;Prince of Terror;Medium;M22106;x
22407;Minister of Security;Ion Boiteanu;1944;1964;1999;PA;Man of the People;Medium;M22107;x
22408;Minister of Security;Nicolae Radescu;1944;1964;1999;SC;Compassionate Gentleman;High;M22050;x
22409;Minister of Security;Aurel Aldea;1945;1964;1999;SC;Back Stabber;Medium;M22109;x
22410;Minister of Security;Horia Sima;1940;1964;1999;NS;Efficient Sociopath;High;kaiserreich_horiasima;x
22411;Minister of Security;Ion Petrovicescu;1943;1964;1999;NS;Efficient Sociopath;Low;M22015;x
22412;Minister of Security;Teohari Georgescu;1936;1964;1999;ST;Back Stabber;High;M22025;x
22413;Head of Military Intelligence;Helene Vacaresco;1936;1964;1999;SL;Dismal Enigma;Medium;M22113;x
22414;Head of Military Intelligence;Nicolae Stoenescu;1938;1964;1999;PA;Political Specialist;Medium;M22095;x
22415;Head of Military Intelligence;Nicolas Titulesco;1939;1964;1999;SL;Industrial Specialist;Medium;M22115;x
22417;Head of Military Intelligence;Gheorghe Savoia;1939;1964;1999;SC;Logistics Specialist;Low;M22117;x
22418;Head of Military Intelligence;Iosif Iacobici;1940;1964;1999;FA;Logistics Specialist;Very High;M22118;x
22419;Head of Military Intelligence;Petre Antonescu;1941;1964;1999;FA;Dismal Enigma;Very High;M22119;x
22420;Head of Military Intelligence;Eugen Cristescu;1943;1964;1999;NS;Dismal Enigma;Very High;M22016;x
22421;Head of Military Intelligence;Demetre Jancovici;1936;1964;1999;ST;Political Specialist;Medium;M22026;x
22422;Head of Military Intelligence;Serghei Nicolau;1946;1964;1999;ST;Technical Specialist;High;M22122;x
22423;Chief of Staff;Mihail Racovitza;1938;1964;1999;SL;School of Manoeuvre;High;M22096;x
22424;Chief of Staff;Florea Tenescu;1938;1964;1999;PA;School of Defence;Low;M22124;x
22425;Chief of Staff;Ioan Ilcusu;1939;1964;1999;SL;School of Defence;Medium;M22125;x
22426;Chief of Staff;Constantin Pantazi;1939;1964;1999;SC;School of Defence;High;M22126;x
22427;Chief of Staff;Victor Antonescu;1940;1964;1999;FA;School of Mass Combat;High;M22007;x
22428;Chief of Staff;Radu Korne;1943;1964;1999;FA;School of Manoeuvre;High;M22128;x
22429;Chief of Staff;Constantin Sanatescu;1944;1964;1999;PA;School of Fire Support;High;M22049;x
22430;Chief of Staff;Gheorghe-Sinaia Ionescu;1944;1964;1999;SC;School of Defence;Medium;M22130;x
22431;Chief of Staff;Mihail Lascar;1945;1964;1999;ST;School of Mass Combat;Very High;M22027;x
22432;Chief of Staff;Platon Chirnoaga;1936;1964;1999;NS;School of Psychology;High;M22132;x
22433;Chief of Staff;Gheorghe Argeseanu;1940;1964;1999;NS;School of Fire Support;Medium;M22133;x
22434;Chief of Staff;Ion Antonescu;1943;1964;1999;NS;School of Psychology;High;M22012;x
22435;Chief of Army;Costin Ionascu;1938;1964;1999;SL;Static Defence Doctrine;High;M22135;x
22436;Chief of Army;Gheorghe Mihail;1938;1964;1999;PA;Decisive Battle Doctrine;Medium;M22136;x
22438;Chief of Army;Gheorghe Tatarescu;1939;1964;1999;SC;Guns and Butter Doctrine;Medium;M22138;x
22439;Chief of Army;Ilie Steflea;1940;1964;1999;FA;Guns and Butter Doctrine;High;M22139;x
22442;Chief of Army;Constantin Sanatescu;1944;1964;1999;PA;Elastic Defence Doctrine;High;M22049;x
22443;Chief of Army;Nicolae Radescu;1944;1964;1999;SC;Decisive Battle Doctrine;High;M22050;x
22444;Chief of Army;Damian Rascu;1945;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M22028;x
22445;Chief of Army;Alexandru Ioanitiu;1938;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M22018;x
22447;Chief of Navy;Horia Macellariu;1938;1964;1999;PA;Indirect Approach Doctrine;High;M22019;x
22450;Chief of Navy;Ioan Georgescu;1943;1964;1999;FA;Indirect Approach Doctrine;Medium;M22150;x
22451;Chief of Navy;Nicolae Sova;1944;1964;1999;PA;Base Control Doctrine;High;M22151;x
22452;Chief of Navy;Nicolai Duca di Silvania;1944;1964;1999;SC;Open Seas Doctrine;High;M22152;x
22453;Chief of Navy;Gheorghe Iliesca;1945;1964;1999;ST;Power Projection Doctrine;Medium;M22029;x
22455;Chief of Air Force;Gheorghe Jienescu;1938;1964;1999;PA;Army Aviation Doctrine;High;M22020;x
22458;Chief of Air Force;Ermil Gheorghiu;1940;1964;1999;FA;Air Superiority Doctrine;Medium;M22158;x
22459;Chief of Air Force;Paul Teodorescu;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M22159;x
22460;Chief of Air Force;Gheorghe Vasiliu;1944;1964;1999;SC;Naval Aviation Doctrine;Low;M22160;x
22461;Chief of Air Force;Emanoil Ionescu;1936;1964;1999;ST;Army Aviation Doctrine;High;M22030;x
22462;Head of State;Petru Groza;1936;1964;1999;ST;Powerhungry Demagogue;High;M22022;x
22463;Foreign Minister;Simon Bughici;1952;1964;1999;ST;Apologetic Clerk;Very High;M22163;x
22466;Foreign Minister;Elena Vararesco;1936;1964;1999;SD;General Staffer;Medium;Elena_Vararesco;x
22467;Head of State;Gheorghe Tatarescu;1936;1964;1999;SC;Insignificant Layman;High;M22002;x
22468;Head of State;Gheorghe Tatarescu;1936;1964;1999;PA;Insignificant Layman;Medium;M22002;x
