EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
512079;Chief of Staff;Abdel Hamid Soliman;1938;1964;1999;SC;School of Psychology;Medium;M512048;X
512081;Chief of Staff;Hassan Sirry Pasha;1936;1964;1999;ML;School of Defence;High;M512019;X
512082;Chief of Staff;Abil Nashran;1941;1964;1999;ML;School of Manoeuvre;Medium;M512080;X
512083;Chief of Staff;Mohammed Aflatan;1936;1964;1999;SL;School of Mass Combat;Medium;M512083;X
512085;Chief of Staff;Abdallah Ziwar Pasha;1936;1964;1999;SD;School of Manoeuvre;High;M512009;X
512088;Chief of Army;Mohammed Naguib;1943;1964;1999;SC;Decisive Battle Doctrine;High;M512088;X
512089;Chief of Army;Hassan Sirry Pasha;1936;1964;1999;ML;Elastic Defence Doctrine;High;M512019;X
512091;Chief of Army;Mustafa Kamel;1936;1964;1999;SL;Decisive Battle Doctrine;High;M512087;X
512093;Chief of Army;Wasef Boutros Ghali;1936;1964;1999;SD;Guns and Butter Doctrine;High;M512023;X
512096;Chief of Navy;Mohammed Azmy Pasha;1943;1964;1999;SC;Base Control Doctrine;Medium;M512096;X
512097;Chief of Navy;Talal al-Quros;1936;1964;1999;ML;Indirect Approach Doctrine;High;M512051;X
512099;Chief of Navy;Pierre Lacau;1936;1964;1999;SL;Power Projection Doctrine;Medium;M512072;X
512100;Chief of Navy;Aly Hamid Pasha;1942;1964;1999;SL;Base Control Doctrine;Medium;M512072;X
512102;Chief of Navy;Wahid Raafat;1944;1964;1999;SD;Power Projection Doctrine;Medium;M512078;X
512103;Chief of Air Force;Abdel Hamid Soliman;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M512048;X
512104;Chief of Air Force;Mohammed Azmy Pasha;1943;1964;1999;SC;Army Aviation Doctrine;Medium;M512096;X
512105;Chief of Air Force;Mohammed Nasheed;1936;1964;1999;ML;Army Aviation Doctrine;Medium;M512105;X
512107;Chief of Air Force;Ali Mahir Pasha;1936;1964;1999;SL;Naval Aviation Doctrine;High;M512002;X
512108;Chief of Air Force;Aly Chamsy Pasha;1941;1964;1999;SL;Carpet Bombing Doctrine;Medium;M512027;X
512109;Chief of Air Force;Aga I Khan;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M512077;X
512110;Chief of Air Force;Solima Sami;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M512073;X
512111;Head of State;Mohammed Naguib;1952;1964;1999;SD;Resigned Generalissimo;High;M512088;X
512112;Head of Government;Ibrahim Abdel Hadi;1949;1964;1999;SC;Political Protege;High;M512033;X
512113;Head of Government;Mohammed Naguib;1952;1964;1999;SD;Old General;High;M512088;X
512114;Minister of Armament;Noureddin Arraf;1952;1964;1999;SD;Theoretical Scientist;High;M512114;X
512115;Minister of Security;Kamaleddin Hussein;1952;1964;1999;SD;Prince of Terror;Medium;M512115;X
512116;Chief of Staff;Mohammed Naguib;1952;1964;1999;SD;School of Mass Combat;High;M512088;X
512117;Chief of Army;Gamal Abdel Nasser;1952;1964;1999;SD;Armoured Spearhead Doctrine;High;L512001;X
512118;Chief of Air Force;Gamal Abdel Nasser;1952;1964;1999;SD;Carpet Bombing Doctrine;Medium;L512001;X
512119;Head of State;M.M. Abbas II;1936;1964;1999;PA;Autocratic Charmer;High;Kaiserreich AbbasII;X
512120;Head of State;Muhammad Mahmoud Pasha;1936;1964;1999;ML;Insignificant Layman;High;M512017;X
512121;Minister of Armament;Abdel Hamid Badawi Pasha;1936;1964;1999;SC;Bank President;Very High;M512022;X
512122;Head of State;Abdallah Ziwar Pasha;1936;1964;1999;SD;Resigned Generalissimo;High;M512009;X
512123;Head of State;Ali Mahir Pasha;1936;1964;1999;SC;Benevolent Gentleman;High;M512002;X
