NIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
48045;Foreign Minister;Manuel F. Jímenez;1938;1964;1999;SL;General Staffer;Medium;M47054;x
48046;Foreign Minister;Albert Echandi Montero;1939;1964;1999;SL;Iron Fisted Brute;Medium;M47055;x
48047;Foreign Minister;Mariano Argüello Vargas;1939;1964;1999;SC;Biased Intellectual;High;M48044;x
48048;Foreign Minister;Roberto Brenes Mesen;1940;1964;1999;SL;Apologetic Clerk;Medium;M47056;x
48049;Foreign Minister;Rafael Calderon Guardia;1940;1964;1999;SC;Biased Intellectual;Medium;M47036;x
48050;Foreign Minister;Tobias Zúñiaga Montúfar;1942;1964;1999;SL;Biased Intellectual;High;M47033;x
48051;Foreign Minister;Julio Acosta Garcia;1942;1964;1999;SC;Great Compromiser;Medium;M47004;x
48052;Foreign Minister;Teodoro Picado Michalski;1943;1964;1999;SC;Ideological Crusader;High;M47037;x
48053;Foreign Minister;Manuel de Peralta;1944;1964;1999;SC;Iron Fisted Brute;Medium;M47063;x
48054;Foreign Minister;Chico Orlich Bolmarich;1944;1964;1999;SL;Ideological Crusader;High;M47058;x
48055;Foreign Minister;Victor Roman y Reyes;1944;1964;1999;PA;General Staffer;Very High;M48035;x
48056;Foreign Minister;Silvio Argüello Cardenal;1947;1964;1999;SC;Great Compromiser;Very High;M48047;x
48057;Minister of Armament;Nicolas Juarez Cejudo;1936;1964;1999;SC;Air to Ground Proponent;Very High;M48049;x
48058;Minister of Armament;Tomas Francisco Medina;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M48050;x
48059;Minister of Armament;Juan Cortes Castro;1936;1964;1999;SC;laissez-faire capitalist;Medium;M47073;x
48060;Minister of Armament;Julio Acosta Garcia;1936;1964;1999;SL;Military Entrepreneur;Medium;M47004;x
48061;Minister of Armament;Ignacio Mendéz Alino;1936;1964;1999;FA;Corrupt Kleptocrat;High;M47014;x
48062;Minister of Armament;Carlos Brenes Jarquin;1937;1964;1999;SC;laissez-faire capitalist;High;M48032;x
48063;Minister of Armament;Otto Cortes Fernandez;1938;1964;1999;SC;Administrative Genius;High;M47035;x
48064;Minister of Armament;Salvador Buenrostrí Cardeñas;1939;1964;1999;SC;Air Superiority Proponent;High;M48052;x
48065;Minister of Armament;Chico Orlich Bolmarich;1940;1964;1999;SL;Tank Proponent;High;M47058;x
48066;Minister of Armament;Leonardo Argüello Vargas;1941;1964;1999;SC;Infantry Proponent;High;M48003;x
48067;Minister of Armament;Tobias Picado Cortes;1941;1964;1999;SC;Battle Fleet Proponent;Very High;M47075;x
48068;Minister of Armament;Benjamin Lacayo Sacasa;1943;1964;1999;SC;Administrative Genius;Medium;M48034;x
48069;Minister of Armament;Benjamin Casal Cohen;1944;1964;1999;SC;Military Entrepreneur;High;M48055;x
48070;Minister of Armament;Roberto Brenes Mesen;1944;1964;1999;SL;Infantry Proponent;Medium;M47056;x
48071;Minister of Armament;Juan Estrada Ayala;1947;1964;1999;SC;Air to Ground Proponent;High;M48056;x
48072;Minister of Armament;José Clemón Sacasa;1947;1964;1999;PA;Tank Proponent;Low;M48016;x
48073;Minister of Armament;Tobias Zúñiaga Montúfar;1947;1964;1999;SL;Air to Ground Proponent;High;M47033;x
48074;Minister of Security;Anastasio Somoza García;1936;1964;1999;FA;Efficient Sociopath;Low;M48004;x
48075;Minister of Security;Victor Sanabria Martinéz;1936;1964;1999;SL;Efficient Sociopath;Very High;M47005;x
48076;Minister of Security;Adolfo Urribe Castro;1936;1964;1999;SC;Compassionate Gentleman;Medium;M47044;x
48077;Minister of Security;Gustavo Pavon Ochoa;1936;1964;1999;FA;Silent Lawyer;Medium;M48061;x
48078;Minister of Security;Alberto Marten Chavarria;1936;1964;1999;PA;Crooked Kleptocrat;Very Low;M47015;x
48079;Minister of Security;Victor Roman y Reyes;1939;1964;1999;SC;Prince of Terror;Very High;M48035;x
48080;Minister of Security;Isalino de Silva Londres;1940;1964;1999;SL;Crime Fighter;Low;M47040;x
48081;Minister of Security;Leon Cabrales;1941;1964;1999;SC;Back Stabber;Medium;M48011;x
48082;Minister of Security;Tobias Zúñiaga Montúfar;1944;1964;1999;SL;Silent Lawyer;High;M47033;x
48083;Minister of Security;Tobias Picado Cortes;1946;1964;1999;SC;Prince of Terror;Very High;M47075;x
48084;Minister of Security;Alejandro de Castro Lopez;1947;1964;1999;SL;Man of the People;High;M47034;x
48085;Minister of Security;Nicolas Eden Jímenez;1947;1964;1999;SC;Compassionate Gentleman;Medium;M48062;x
48086;Head of Military Intelligence;Romualdo Jímenez Oreamurio;1936;1964;1999;SL;Technical Specialist;High;M47001;x
48087;Head of Military Intelligence;Benjamin Nuñez Vargas;1936;1964;1999;SC;Logistics Specialist;High;M47096;x
48088;Head of Military Intelligence;José Mendéz Alino;1936;1964;1999;FA;Industrial Specialist;Medium;M47016;x
48089;Head of Military Intelligence;Raúl Gundían;1936;1964;1999;SL;Dismal Enigma;Medium;M47003;x
48090;Head of Military Intelligence;Francisco Estrasa;1936;1964;1999;PA;Industrial Specialist;Medium;M48064;x
48091;Head of Military Intelligence;Leonardo Argüello Vincés;1937;1964;1999;SC;Dismal Enigma;Medium;M48065;x
48092;Head of Military Intelligence;Victor Roman y Reyes;1941;1964;1999;SC;Technical Specialist;Very High;M48035;x
48093;Head of Military Intelligence;Enrique Díaz Toledo;1944;1964;1999;SL;Logistics Specialist;Medium;M47066;x
48094;Head of Military Intelligence;José Luís Pavon Vinales;1944;1964;1999;SC;Logistics Specialist;Medium;M48067;x
48095;Head of Military Intelligence;Juan Pablo Esquerra;1947;1964;1999;SC;Dismal Enigma;Medium;M48026;x
48096;Head of Military Intelligence;José Clemón Sacasa;1947;1964;1999;PA;Dismal Enigma;Low;M48016;x
48097;Head of Military Intelligence;Tobias Zúñiaga Montúfar;1947;1964;1999;SL;Political Specialist;High;M47033;x
48098;Chief of Staff;Augusto Caraval Antonio;1936;1964;1999;PA;School of Fire Support;Low;M48008;x
48099;Chief of Staff;Jorge Volio Jimenéz;1936;1964;1999;SC;School of Manoeuvre;Medium;M47107;x
48100;Chief of Staff;Alejandro de Castro Lopez;1936;1964;1999;SL;School of Mass Combat;High;M47034;x
48101;Chief of Staff;Manuel Roque Garcia;1947;1964;1999;SC;School of Manoeuvre;Low;M48017;x
48102;Chief of Army;Baptista E. Gutierrez;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M47018;x
48103;Chief of Army;Alejandro de Castro Lopez;1936;1964;1999;SL;Elastic Defence Doctrine;High;M47034;x
48104;Chief of Army;Anastasio Somoza García;1936;1964;1999;FA;Static Defence Doctrine;Very High;M48004;x
48105;Chief of Army;Don Arnaldo Zamora;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;M47111;x
48106;Chief of Army;Victor Roman y Reyes;1941;1964;1999;SC;Decisive Battle Doctrine;Very High;M48035;x
48107;Chief of Army;Jorge Volio Jimenéz;1944;1964;1999;SC;Armoured Spearhead Doctrine;High;M47107;x
48108;Chief of Army;Manuel Corovél Kirsch;1944;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M48018;x
48109;Chief of Army;Manuel Roque Garcia;1947;1964;1999;SC;Guns and Butter Doctrine;Low;M48017;x
48110;Chief of Navy;Roberto Juarez Camposino;1936;1964;1999;SL;Open Seas Doctrine;Medium;M47009;x
48111;Chief of Navy;Noel Esto Niño Miranda;1944;1964;1999;SC;Open Seas Doctrine;Very High;M48019;x
48112;Chief of Air Force;Don Arnaldo Zamora;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M47010;x
48113;Chief of Air Force;Carlos Uribé Alpoveda;1936;1964;1999;SC;Carpet Bombing Doctrine;Medium;M47129;x
48114;Chief of Air Force;Joel Garcia Zaldana;1944;1964;1999;SC;Army Aviation Doctrine;Medium;M48020;x
