LBY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
576072;Head of State;Mahmud al-Muntasir;1936;1964;1999;LWR;Die-hard Reformer;Very High;M576015;X
576073;Head of State;Sulaiman al-Barouni;1936;1964;1999;LWR;Autocratic Charmer;Very High;al-Barouni;X
576074;Head of Government;Mahmud al-Muntasir;1936;1964;1999;LWR;Ambitious Union Boss;Very High;M576015;X
576075;Head of Government;Sulaiman al-Barouni;1936;1964;1999;LWR;Naive Optimist;Very High;al-Barouni;X
576076;Foreign Minister;Mahmud al-Muntasir;1936;1964;1999;LWR;Ideological Crusader;Very High;M576015;X
576077;Foreign Minister;Sulaiman al-Barouni;1936;1964;1999;LWR;Biased Intellectual;Very High;al-Barouni;X
576078;Foreign Minister;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;General Staffer;Very High;unknown;X
576079;Foreign Minister;Ali S. Elsahli;1944;1964;1999;LWR;Great Compromiser;Very High;unknown;X
576080;Minister of Armament;Mahmud al-Muntasir;1936;1964;1999;LWR;Administrative Genius;Very High;M576015;X
576081;Minister of Armament;Sulaiman al-Barouni;1936;1964;1999;LWR;Theoretical Scientist;Very High;al-Barouni;X
576082;Minister of Armament;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;Military Entrepreneur;Very High;unknown;X
576083;Minister of Armament;Ali S. Elsahli;1944;1964;1999;LWR;Tank Proponent;Very High;unknown;X
576084;Minister of Security;Ali S. Elsahli;1944;1964;1999;LWR;Crime Fighter;Very High;unknown;X
576085;Minister of Security;Mahmud al-Muntasir;1936;1964;1999;LWR;Man of the People;Very High;M576015;X
576086;Minister of Security;Sulaiman al-Barouni;1936;1964;1999;LWR;Efficient Sociopath;Very High;al-Barouni;X
576087;Minister of Security;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;Prince of Terror;Very High;unknown;X
576088;Head of Military Intelligence;Mahmud al-Muntasir;1936;1964;1999;LWR;Political Specialist;Very High;M576015;X
576089;Head of Military Intelligence;Sulaiman al-Barouni;1936;1964;1999;LWR;Technical Specialist;Very High;al-Barouni;X
576090;Head of Military Intelligence;Ali S. Elsahli;1944;1964;1999;LWR;Dismal Enigma;Very High;unknown;X
576091;Head of Military Intelligence;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;Logistics Specialist;Very High;unknown;X
576092;Chief of Staff;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;School of Mass Combat;Very High;unknown;X
576093;Chief of Staff;Ali S. Elsahli;1944;1964;1999;LWR;School of Fire Support;Very High;unknown;X
576094;Chief of Army;Wahbi Ahmed al-Bouri;1936;1964;1999;LWR;Decisive Battle Doctrine;Very High;unknown;X
576095;Chief of Army;Ali S. Elsahli;1944;1964;1999;LWR;Armoured Spearhead Doctrine;Very High;unknown;X
576096;Chief of Navy;Mahmud al-Muntasir;1936;1964;1999;LWR;Indirect Approach Doctrine;Very High;M576015;X
576097;Chief of Navy;Sulaiman al-Barouni;1936;1964;1999;LWR;Base Control Doctrine;Very High;al-Barouni;X
576098;Chief of Air Force;Sulaiman al-Barouni;1936;1964;1999;LWR;Naval Aviation Doctrine;Very High;al-Barouni;X
576099;Chief of Air Force;Mahmud al-Muntasir;1936;1964;1999;LWR;Army Aviation Doctrine;Very High;M576015;X
576100;Head of State;Under Italian Administration;1936;1964;1999;PA;Stern Imperialist;Very High;LBY_under_italian_protection;x
576101;Head of Government;Giuseppe Tellera;1936;1964;1999;FA;Political Protege;Medium;LBY_giuseppe_tellera;x
576102;Foreign Minister;Ettore Bastico;1936;1964;1999;FA;General Staffer;High;L6021;x
576103;Minister of Armament;Giacomo Acerbo;1936;1964;1999;FA;Military Entrepreneur;High;M3073;x
576104;Minister of Security;Umberto Ricci;1936;1964;1999;FA;Silent Lawyer;High;M3015;x
576105;Head of Military Intelligence;Giovanni Messe;1936;1964;1999;PA;Logistics Specialist;Medium;L6102;x
576106;Chief of Staff;Lorenzo Dalmazzo;1936;1964;1999;PA;School of Manoeuvre;Medium;L6052;x
576107;Chief of Army;Mario Berti;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;LBY_mario_berti;x
576108;Chief of Air Force;Giulio Gavotti;1936;1964;1999;PA;Army Aviation Doctrine;Medium;LBY_giulio_gavotti;x
576109;Chief of Navy;Stefano de Laurentiis;1936;1964;1999;PA;Base Control Doctrine;Medium;L6166;x
