SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
555038;Head of State;Abdul Raheem Glaiati;1936;1964;1999;PA;Pig-headed Isolationist;High;unknown;X
555039;Head of State;Mahmoud Mohammed Taha;1936;1964;1999;PA;Benevolent Gentleman;High;Taha;X
555040;Head of Government;Siddick Sayed el-Mahdi;1936;1964;1999;PA;Silent Workhorse;High;unknown;X
555041;Head of Government;Abdul Raheem Glaiati;1936;1964;1999;PA;Silent Workhorse;High;unknown;X
555042;Head of Government;Mahmoud Mohammed Taha;1936;1964;1999;PA;Flamboyant Tough Guy;High;Taha;X
555043;Foreign Minister;Abdul Raheem Glaiati;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;unknown;X
555044;Foreign Minister;Mahmoud Mohammed Taha;1936;1964;1999;PA;Biased Intellectual;High;Taha;X
555045;Foreign Minister;Sayed Abd-el-Rahman el-Mahdi;1936;1964;1999;PA;Ideological Crusader;High;Sayed;X
555046;Foreign Minister;Siddick Sayed el-Mahdi;1936;1964;1999;PA;iron fisted brute;High;unknown;X
555047;Minister of Armament;Mahmoud Mohammed Taha;1936;1964;1999;PA;Theoretical Scientist;High;Taha;X
555048;Minister of Armament;Rashad Hashim;1936;1964;1999;PA;Battle fleet Proponent;High;unknown;X
555049;Minister of Armament;Abdallah Bakr Mustafa;1936;1964;1999;PA;Infantry Proponent;High;unknown;X
555050;Minister of Armament;Abdel Khaliq Mahjub;1945;1964;1999;PA;Tank Proponent;High;unknown;X
555051;Minister of Armament;Emilio Tafeng;1936;1964;1999;PA;air to ground proponent;High;unknown;X
555052;Minister of Armament;Al-Tijani Yusuf Bashir;1936;1964;1999;PA;air to sea proponent;High;unknown;X
555053;Minister of Armament;Mohammed Ahmed Sarror;1936;1964;1999;PA;Resource Industrialist;High;unknown;X
555054;Minister of Security;Al-Tijani Yusuf Bashir;1936;1964;1999;PA;Crime Fighter;High;unknown;X
555055;Minister of Security;Mohammed Ahmed Sarror;1936;1964;1999;PA;Man of the People;High;unknown;X
555056;Minister of Security;Abdul Raheem Glaiati;1936;1964;1999;PA;Efficient Sociopath;High;unknown;X
555057;Head of Military Intelligence;Abdul Raheem Glaiati;1936;1964;1999;PA;Dismal Enigma;High;unknown;X
555058;Head of Military Intelligence;Mahmoud Mohammed Taha;1936;1964;1999;PA;Technical Specialist;High;Taha;X
555059;Head of Military Intelligence;Abdallah Bakr Mustafa;1936;1964;1999;PA;Logistics Specialist;High;unknown;X
555060;Head of Military Intelligence;Rashad Hashim;1936;1964;1999;PA;Naval Intelligence Specialist;High;unknown;X
555061;Head of Military Intelligence;Mohammed Ahmed Sarror;1936;1964;1999;PA;Industrial Specialist;High;unknown;X
555062;Chief of Staff;Abdallah Bakr Mustafa;1936;1964;1999;PA;School of Mass Combat;High;unknown;X
555063;Chief of Staff;Abdel Khaliq Mahjub;1945;1964;1999;PA;School of Fire Support;High;unknown;X
555064;Chief of Staff;Emilio Tafeng;1936;1964;1999;PA;School of Defence;High;unknown;X
555065;Chief of Army;Abdallah Bakr Mustafa;1936;1964;1999;PA;Decisive Battle Doctrine;High;unknown;X
555066;Chief of Army;Abdel Khaliq Mahjub;1945;1964;1999;PA;Armoured Spearhead Doctrine;High;unknown;X
555067;Chief of Army;Emilio Tafeng;1936;1964;1999;PA;Static Defence Doctrine;High;unknown;X
555068;Chief of Navy;Rashad Hashim;1936;1964;1999;PA;Decisive Naval Battle Doctrine;High;unknown;X
555069;Chief of Navy;Al-Tijani Yusuf Bashir;1936;1964;1999;PA;Power Projection Doctrine;High;unknown;X
555070;Chief of Air Force;Emilio Tafeng;1936;1964;1999;PA;Army Aviation Doctrine;High;unknown;X
555071;Chief of Air Force;Al-Tijani Yusuf Bashir;1936;1964;1999;PA;Naval Aviation Doctrine;High;unknown;X
