KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
520037;Chief of Air Force;Manas Gulimbayzyl;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M520036;X
520038;Chief of Air Force;Aleksandr Skvortsov;1936;1964;1999;ML;Air Superiority Doctrine;Medium;M520038;X
520039;Chief of Air Force;Sarafin Sarkisyan;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M520035;X
520040;Head of State;The Tsar Of All The Russias;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
520041;Head of Government;Vasily Balabanov ;1936;1964;1999;SC;Smiling Oilman;Very High;kaiserreich VasilyBalabanov;X
520042;Minister of Armament;Vasily Balabanov ;1936;1964;1999;SC;Resource Industrialist;Very High;kaiserreich VasilyBalabanov;X
520043;Minister of Armament;Kusein Kölbaev;1939;1970;1999;SL;Construction Magnate;Very High;MKusain_Kolbaev;X
520044;Head of Military Intelligence;Kusein Kölbaev;1939;1970;1999;SL;Industrial Specialist;Very High;MKusain_Kolbaev;X
520045;Head of State;Turar Ryskulov;1936;1964;1999;LWR;Die-hard Reformer;Very High;MTurar_Ryskululy_Ryskulov;X
520046;Head of Government;Turar Ryskulov;1936;1964;1999;LWR;Silent Workhorse;Very High;MTurar_Ryskululy_Ryskulov;X
520047;Foreign Minister;Turar Ryskulov;1936;1964;1999;LWR;Ideological Crusader;Very High;MTurar_Ryskululy_Ryskulov;X
520048;Minister of Armament;Turar Ryskulov;1936;1964;1999;LWR;Industrialiser;Very High;MTurar_Ryskululy_Ryskulov;X
520049;Minister of Security;Turar Ryskulov;1936;1964;1999;LWR;Health and Safety;Very High;MTurar_Ryskululy_Ryskulov;X
520050;Minister of Armament;Kanysh Satpayev;1936;1964;1999;LE;Resource Industrialist;Very High;MKanysh_Satpayev;X
520051;Chief of Air Force;Talgat Begeldinov;1942;1970;1999;SC;Army Aviation Doctrine;Very High;M520008;X
520052;Chief of Navy;Georgiy Rybin;1936;1970;1999;PA;Hydrographic Service Proponent;Very High;LGeorgy_Nikolaevich_Rybin;X
520053;Head of Military Intelligence;Georgiy Rybin;1936;1970;1999;PA;Naval Intelligence Specialist;Very High;LGeorgy_Nikolaevich_Rybin;X
520054;Chief of Army;Aleksandr Dutov;1936;1950;1999;PA;Old Cavalry General;Medium;M520014;X
520055;Chief of Staff;Bauyrzhan Momyshuly;1948;1970;1999;SC;School of Fire Support;High;LBauyrzhan_Momyshuly;X
520056;Chief of Army;Bauyrzhan Momyshuly;1948;1970;1999;SC;Doctrine of Autonomy;High;LBauyrzhan_Momyshuly;X
520057;Head of Military Intelligence;Bauyrzhan Momyshuly;1948;1970;1999;SC;Logistics Specialist;High;LBauyrzhan_Momyshuly;X
520058;Chief of Staff;Shakir Zheksenbayev;1943;1970;1999;PA;School of Defence;High;LShakir_Dzheksenbaev;X
520059;Chief of Army;Shakir Zheksenbayev;1943;1970;1999;PA;Combat Engineering Doctrine;High;LShakir_Dzheksenbaev;X
