IDC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
543045;Minister of Armament;Le Van Hoac;1936;1964;1999;FA;Theoretical Scientist;Medium;M542027;x
543046;Minister of Armament;H.R.H. Souvanna Rath;1936;1964;1999;NS;Administrative Genius;Medium;M540009;x
543047;Minister of Security;Pol Pot;1936;1964;1999;ST;Efficient Sociopath;Medium;M541014;x
543048;Minister of Security;The Lu;1936;1964;1999;LE;Silent Lawyer;Medium;M542035;x
543049;Minister of Security;Phomvihanh Kaysone;1936;1964;1999;LWR;Prince of Terror;Medium;M540029;x
543050;Minister of Security;Sisowath Youtevong;1936;1964;1999;SD;Compassionate Gentleman;Medium;M541005;x
543051;Minister of Security;Sisowath Monirak;1936;1964;1999;ML;Crime Fighter;High;M541023;x
543052;Minister of Security;Aphay Khou;1936;1964;1999;SC;Crooked Kleptocrat;Medium;M540034;x
543053;Minister of Security;Sakiwat Phirun;1936;1964;1999;PA;Efficient Sociopath;Medium;M541037;x
543054;Minister of Security;Ngo Dinh Nhu;1936;1964;1999;FA;Silent Lawyer;Medium;M542033;x
543055;Minister of Security;Phetsarath Mahaouphatat;1936;1964;1999;NS;Prince of Terror;Medium;M540008;x
543056;Head of Military Intelligence;Tea Banh;1936;1964;1999;ST;Dismal Enigma;Medium;M541043;x
543057;Head of Military Intelligence;Phan Huy Quat;1936;1964;1999;LE;Political Specialist;Medium;M542039;x
543058;Head of Military Intelligence;Khambulatom Oomau;1936;1964;1999;LWR;Technical Specialist;Medium;M540019;x
543059;Head of Military Intelligence;Son Ngoc Thanh;1936;1964;1999;SD;Industrial Specialist;Medium;M541006;x
543060;Head of Military Intelligence;Hy Weng;1936;1964;1999;ML;Dismal Enigma;Medium;M541041;x
543061;Head of Military Intelligence;Savang Vong;1936;1964;1999;SC;Political Specialist;Medium;M540037;x
543062;Head of Military Intelligence;Sisowath Youtevong;1936;1964;1999;PA;Technical Specialist;Medium;M541005;x
543063;Head of Military Intelligence;Pham Toc Quia;1936;1964;1999;FA;Industrial Specialist;Medium;M542038;x
543064;Head of Military Intelligence;Phousannani Kone;1936;1964;1999;NS;Naval Intelligence Specialist;Medium;M540031;x
543065;Chief of Staff;Kieng Vang;1936;1964;1999;ST;School of Mass Combat;Medium;M541047;x
543066;Chief of Staff;Vo Nguyen Giap;1936;1964;1999;LE;School of Psychology;Medium;M542044;x
543067;Chief of Staff;Phichith Douangchai;1936;1964;1999;LWR;School of Defence;Medium;M540035;x
543068;Chief of Staff;Norodom Sihanouk;1936;1964;1999;SD;School of Manoeuvre;Medium;M541044;x
543069;Chief of Staff;Chhun Lim;1936;1964;1999;ML;School of Mass Combat;Medium;M541045;x
543070;Chief of Staff;H.R.H. Souphanou Vong;1936;1964;1999;SC;School of Psychology;Medium;M540041;x
543071;Chief of Staff;Sisowath Monireth;1936;1964;1999;PA;School of Defence;Medium;M541046;x
543072;Chief of Staff;Nguyen Huu Coo;1936;1964;1999;FA;School of Manoeuvre;Medium;M542043;x
543073;Chief of Staff;Aphay Khou;1936;1964;1999;NS;School of Fire Support;Medium;M540034;x
543074;Chief of Army;Son Sen;1936;1964;1999;ST;Guns and Butter Doctrine;Medium;M541051;x
543075;Chief of Army;Ho Chi Minh;1936;1964;1999;LE;Elastic Defence Doctrine;Medium;M542047;x
543076;Chief of Army;Vang Pao;1936;1964;1999;LWR;Static Defence Doctrine;Medium;M540038;x
543077;Chief of Army;Sisowath Monireth;1936;1964;1999;SD;Decisive Battle Doctrine;High;M541046;x
543078;Chief of Army;Sisowath Watchayavong;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M541049;x
543079;Chief of Army;Phetsarath Mahaouphatat;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M540008;x
543080;Chief of Army;Lon Nol;1936;1964;1999;PA;Static Defence Doctrine;Medium;M541035;x
543081;Chief of Army;Duong Van Minh;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M542046;x
543082;Chief of Army;Savang Vong;1936;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M540037;x
543083;Chief of Navy;You Hok Kry;1936;1964;1999;ST;Base Control Doctrine;Medium;M541055;x
543084;Chief of Navy;Thrang Tun Doc;1936;1964;1999;LE;Power Projection Doctrine;Medium;M542052;x
543085;Chief of Navy;H.R.H. Souphanou Vong;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M540041;x
543086;Chief of Navy;Lon Nol;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M541035;x
543087;Chief of Navy;Hy Weng;1936;1964;1999;ML;Base Control Doctrine;Medium;M541041;x
543088;Chief of Navy;H.R.H. Souvanna Rath;1936;1964;1999;SC;Power Projection Doctrine;Medium;M540009;x
543089;Chief of Navy;Norodom Sihanouk;1936;1964;1999;PA;Open Seas Doctrine;Medium;M541054;x
543090;Chief of Navy;Ho Tan Quyen;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M542051;x
543091;Chief of Navy;Aphay Khou;1936;1964;1999;NS;Indirect Approach Doctrine;Medium;M540034;x
543092;Chief of Air Force;Proum Sokha;1936;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M541059;x
543093;Chief of Air Force;Nguyen Huu Tho;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M542055;x
543094;Chief of Air Force;Vang Pao;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M540038;x
543095;Chief of Air Force;Chai Saing Yun;1936;1964;1999;SD;Naval Aviation Doctrine;Medium;M541029;x
543096;Chief of Air Force;Sisowath Youtevong;1936;1964;1999;ML;Vertical Envelopment Doctrine;High;M541005;x
543097;Chief of Air Force;H.R.H. Boun Oum;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M540010;x
543098;Chief of Air Force;Norodom Sihanouk;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M541058;x
543099;Chief of Air Force;Duong Van Minh;1936;1964;1999;FA;Naval Aviation Doctrine;Medium;M542046;x
543100;Chief of Air Force;Sourith Sasorith;1936;1964;1999;NS;Carpet Bombing Doctrine;Medium;M540043;x
543101;Head of State;Ho Chi Minh;1936;1964;1999;LE;Ruthless Powermonger;High;Ho_Chi_Minh;x
543102;Head of Government;Truong Tchin;1936;1964;1999;LE;Backroom Backstabber;High;M542019;x
543103;Foreign Minister;Pham Van Dong;1936;1964;1999;LE;Ideological Crusader;High;M542024;x
543104;Minister of Armament;Le Duan;1936;1964;1999;LE;Military Entrepreneur;Medium;M542030;x
543105;Minister of Security;The Lu;1936;1964;1999;LE;Silent Lawyer;Medium;M542035;x
543106;Head of Military Intelligence;Phan Huy Quat;1936;1964;1999;LE;Political Specialist;Medium;M542039;x
543107;Chief of Staff;Vo Nguyen Giap;1936;1964;1999;LE;School of Psychology;Medium;Vo_Nguyen_Giap;x
543108;Chief of Army;Ho Chi Minh;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;Ho_Chi_Minh;x
543109;Chief of Navy;Thrang Tun Doc;1936;1964;1999;LE;Power Projection Doctrine;Medium;M542052;x
543110;Chief of Air Force;Nguyen Huu Tho;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M542055;x
543111;Head of State;H.R.H. Rama VIII;1936;1964;1999;PA;Popular Figurehead;High;M62001;x
543112;Head of Government;Phot Bhahalyodin;1936;1964;1999;PA;Happy Amateur;High;M62002;x
543113;Foreign Minister;Ha Samptasiri;1936;1964;1999;PA;Apologetic Clerk;Medium;M62003;x
543114;Minister of Armament;Phot Bhahalyodin;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M62002;x
543115;Minister of Security;Pridi Phanomyong;1936;1964;1999;PA;Back Stabber;Low;M62005;x
543116;Head of Military Intelligence;Pridi Phanomyong;1936;1964;1999;PA;Industrial Specialist;Medium;M62005;x
543117;Chief of Staff;Luang Phibunsongkhram;1936;1964;1999;PA;School of Mass Combat;Medium;M62007;x
543118;Chief of Army;Luang Phibunsongkhram;1936;1964;1999;PA;Guns and Butter Doctrine;High;M62007;x
543119;Chief of Navy;Pridi Phanomyong;1936;1964;1999;PA;Base Control Doctrine;Medium;M62005;x
543120;Chief of Air Force;Phra Vechayanrangsarit;1936;1964;1999;PA;Army Aviation Doctrine;High;M62010;x
543121;Head of State;H.R.H. Prince Rangsit of Chainand;1942;1964;1999;PA;Autocratic Charmer;High;M62031;x
543122;Head of State;H.R.H. Rama VIII;1945;1964;1999;SC;Popular Figurehead;High;M62001;x
543123;Head of State;H.R.H. Rama IX;1946;1964;1999;PA;Benevolent Gentleman;High;M62011;x
543124;Head of Government;Luang Phibunsongkhram;1938;1964;1999;FA;Old General;High;M62007;x
543125;Head of Government;Kuang Abhayavongsa;1944;1964;1999;PA;Silent Workhorse;High;M62036;x
543126;Head of Government;Thawee Punyaketu;1945;1964;1999;SC;Smiling Oilman;High;M62015;x
543127;Head of Government;Seni Pramoja;1946;1964;1999;SC;Corporate Suit;High;M62012;x
543128;Head of Government;Kuang Abhayavongsa;1946;1964;1999;ML;Silent Workhorse;High;M62036;x
543129;Head of Government;Pridi Phanomyong;1946;1964;1999;PA;Old Admiral;High;M62005;x
543130;Head of Government;Thawon Thamrongnawasawat;1946;1964;1999;PA;Political Protege;High;M62029;x
543131;Head of Government;Phot Bhahalyodin;1939;1964;1999;SC;Happy Amateur;High;M62002;x
543132;Foreign Minister;Phraya Chitnasongkhla;1938;1964;1999;FA;Apologetic Clerk;Medium;M62026;x
543133;Foreign Minister;Wichit Wichitwathakarn;1942;1964;1999;FA;Ideological Crusader;Very High;M62044;x
543134;Foreign Minister;Luang Phibunsongkhram;1943;1964;1999;FA;General Staffer;High;M62007;x
543135;Foreign Minister;Pridi Phanomyong;1943;1964;1999;FA;Iron Fisted Brute;Low;M62005;x
543136;Foreign Minister;Atthakitti Banomyong;1944;1964;1999;PA;Biased Intellectual;Medium;M62047;x
543137;Foreign Minister;Thawee Punyaketu;1945;1964;1999;SC;General Staffer;Medium;M62015;x
543138;Foreign Minister;Seni Pramoja;1945;1964;1999;SC;Ideological Crusader;Medium;M62012;x
543139;Foreign Minister;Direk Phajayanama;1945;1964;1999;ML;Great Compromiser;Low;M62014;x
543140;Foreign Minister;Tianliang Huntrakool;1946;1964;1999;PA;Apologetic Clerk;Medium;M62051;x
543141;Foreign Minister;Thawon Thamrongnawasawat;1946;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M62029;x
543142;Minister of Armament;Phya Bidadhkosha;1937;1964;1999;PA;Administrative Genius;Medium;M62054;x
543143;Minister of Armament;Phraya Wichcitcholathai;1937;1964;1999;PA;Battle Fleet Proponent;Medium;M62055;x
543144;Minister of Armament;Pridi Phanomyong;1938;1964;1999;FA;Tank Proponent;Low;M62005;x
543145;Minister of Armament;Serm Khrishnamra;1939;1964;1999;SC;Air Superiority Proponent;Medium;M62057;x
543146;Minister of Armament;Phra Vechayanrangsarit;1941;1964;1999;FA;Air to Ground Proponent;High;M62010;x
543147;Minister of Armament;Phya Burinavarasth;1941;1964;1999;SC;Resource Industrialist;Medium;M62059;x
543148;Minister of Armament;H.R.H. Prince Charoon;1943;1964;1999;FA;Military Entrepreneur;Medium;M62060;x
543149;Minister of Armament;Phraya Chalermarkiart;1943;1964;1999;FA;Strategic Air Proponent;Medium;M62061;x
543150;Minister of Armament;Phraya Preechacholayudha;1944;1964;1999;ML;Submarine Proponent;Medium;M62019;x
543151;Minister of Armament;Phraya Thayarnpikart;1944;1964;1999;PA;Air Superiority Proponent;Medium;M62063;x
543152;Minister of Armament;Direk Phajayanama;1945;1964;1999;SC;Laissez-Faire Capitalist;Low;M62014;x
543153;Minister of Armament;Pridi Phanomyong;1945;1964;1999;SC;Air to Ground Proponent;Low;M62005;x
543154;Minister of Armament;Kuang Abhayavongsa;1946;1964;1999;ML;Infantry Proponent;Medium;M62036;x
543155;Minister of Armament;A.G. Ellis;1939;1964;1999;SC;Theoretical Scientist;Medium;M62016;x
543156;Minister of Armament;Tianliang Huntrakool;1946;1964;1999;PA;Tank Proponent;Medium;M62051;x
543157;Minister of Armament;Luang Sinthusongkhramchai;1946;1964;1999;PA;Air to Sea Proponent;Medium;M62069;x
543158;Minister of Armament;Phao Peeralert;1946;1964;1999;PA;laissez-faire capitalist;Medium;M62024;x
543159;Minister of Security;Chuei Maghaviphulaya;1936;1964;1999;PA;Efficient Sociopath;Medium;M62072;x
543160;Minister of Security;Luang Phibunsongkhram;1938;1964;1999;FA;Efficient Sociopath;High;M62007;x
543161;Minister of Security;Phot Bhahalyodin;1939;1964;1999;SC;Crime Fighter;Medium;M62002;x
543162;Minister of Security;Srisena Sampatisiri;1943;1964;1999;FA;Silent Lawyer;Medium;M62075;x
543163;Minister of Security;Ha Samptasiri;1944;1964;1999;PA;Back Stabber;Medium;M62003;x
543164;Minister of Security;Seni Pramoja;1944;1964;1999;SC;Compassionate Gentleman;Medium;M62012;x
543165;Minister of Security;Thawee Punyaketu;1945;1964;1999;SC;Man of the People;Medium;M62015;x
543166;Minister of Security;Chit Munsilpa Sinadyodharaksa;1945;1964;1999;SC;Prince of Terror;Medium;M62079;x
543167;Minister of Security;Chuang Chawengsangsongkram;1946;1964;1999;PA;Silent Lawyer;Medium;M62081;x
543168;Minister of Security;Thawon Thamrongnawasawat;1946;1964;1999;PA;Crime Fighter;Medium;M62029;x
543169;Minister of Security;Bung Suphachahlasai;1946;1964;1999;PA;Compassionate Gentleman;Medium;M62083;x
543170;Head of Military Intelligence;A.G. Ellis;1937;1964;1999;SC;Technical Specialist;Medium;M62016;x
543171;Head of Military Intelligence;Luang Phibunsongkhram;1938;1964;1999;FA;Logistics Specialist;Medium;M62007;x
543172;Head of Military Intelligence;Sawat Phutianands;1943;1964;1999;FA;Naval Intelligence Specialist;Medium;M62086;x
543173;Head of Military Intelligence;Serm Khrishnamra;1944;1964;1999;PA;Industrial Specialist;Medium;M62057;x
543174;Head of Military Intelligence;Phraya Chitnasongkhla;1945;1964;1999;SC;Political Specialist;Medium;M62026;x
543175;Head of Military Intelligence;Chuang Chawengsangsongkram;1945;1964;1999;ML;Dismal Enigma;Medium;M62081;x
543176;Chief of Staff;Mangkon Phromyothi;1938;1964;1999;FA;School of Mass Combat;Medium;M62025;x
543177;Chief of Staff;Sindhu Kamalanavin;1944;1964;1999;PA;School of Psychology;Low;M62017;x
543178;Chief of Staff;Chit Munsilpa Sinadyodharaksa;1945;1964;1999;SC;School of Defence;Low;M62079;x
543179;Chief of Staff;Jiri Wichitsongkram;1945;1964;1999;ML;School of Manoeuvre;Low;M62094;x
543180;Chief of Staff;Suk Nakrob;1946;1964;1999;PA;School of Fire Support;Medium;M62095;x
543181;Chief of Staff;Thawon Thamrongnawasawat;1946;1964;1999;PA;School of Manoeuvre;Medium;M62029;x
543182;Chief of Army;Manphya Khanphialong;1938;1964;1999;FA;Static Defence Doctrine;Medium;M62097;x
543183;Chief of Army;Thawi Bunyaket;1944;1964;1999;PA;Guns and Butter Doctrine;Very High;M62098;x
543184;Chief of Army;Sindhu Kamalanavin;1945;1964;1999;SC;Elastic Defence Doctrine;Low;M62017;x
543185;Chief of Army;Phraya Chitnasongkhla;1945;1964;1999;ML;Decisive Battle Doctrine;Low;M62026;x
543186;Chief of Army;Tianliang Huntrakool;1946;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M62051;x
543187;Chief of Navy;Sawat Phutianands;1938;1964;1999;FA;Power Projection Doctrine;Medium;M62086;x
543188;Chief of Navy;Phraya Wichcitcholathai;1944;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M62055;x
543189;Chief of Navy;Phraya Preechacholayudha;1945;1964;1999;SC;Indirect Approach Doctrine;Medium;M62019;x
543190;Chief of Navy;Luang Chamnanarthayutha;1945;1964;1999;ML;Base Control Doctrine;Medium;M62105;x
543191;Chief of Navy;Thawon Thamrongnawasawat;1946;1964;1999;PA;Open Seas Doctrine;Medium;M62029;x
543192;Chief of Air Force;Luang Sinthusongkhramchai;1938;1964;1999;FA;Naval Aviation Doctrine;Medium;M62069;x
543193;Chief of Air Force;Phraya Chalermarkiart;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M62061;x
543194;Chief of Air Force;Phraya Thayarnpikart;1945;1964;1999;SC;Air Superiority Doctrine;Medium;M62063;x
543195;Chief of Air Force;Phra Silpasakrakorn;1945;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M62110;x
543196;Chief of Air Force;Luang Kajsongkram;1946;1964;1999;PA;Army Aviation Doctrine;Medium;M62111;x
543197;Head of State;H.R.H. Rama VIII;1936;1964;1999;FA;Popular Figurehead;High;M62001;x
543198;Head of Government;Luang Phibunsongkhram;1948;1964;1999;SC;BAckroom Backstabber;High;M62007;x
543199;Foreign Minister;Pote Sarasin;1948;1964;1999;SC;Great Compromiser;Medium;M62114;x
