ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
3219;Head of State;Pius XI;1936;1964;1999;FA;Stern Imperialist;High;kaiserreich piusxi;x
3220;Head of Government;Alfredo Cardinal Ottaviani;1936;1964;1999;FA;Political Protege;High;kaiserreich AlfredoOttaviani;x
3221;Head of Government;Josef von Österreich-Toskana;1936;1964;1999;FA;Old General;High;kaiserreich josefferdinandvOT;x
3222;Foreign Minister;Alfredo Cardinal Ottaviani;1936;1964;1999;FA;The Cloak N Dagger Schemer;High;kaiserreich AlfredoOttaviani;x
3223;Foreign Minister;Josef von Österreich-Toskana;1936;1964;1999;PA;General Staffer;High;kaiserreich josefferdinandvOT;x
3224;Chief of Staff;Josef von Österreich-Toskana;1936;1964;1999;PA;School of Mass Combat;Medium;kaiserreich josefferdinandvOT;x
3225;Head of Government;Eugenio Cardinal Pacelli;1936;1964;1999;PA;Naive Optimist;Very High;kaiserreich ecPacelli;x
3226;Foreign Minister;Eugenio Cardinal Pacelli;1936;1964;1999;FA;Great Compromiser;Very High;kaiserreich ecPacelli;x
3227;Minister of Armament;Eugenio Cardinal Pacelli;1936;1964;1999;FA;Administrative Genius;Very High;kaiserreich ecPacelli;x
3228;Minister of Armament;Francesco Cardinal Marchetti-Selvaggiani;1936;1964;1999;FA;Laissez-Faire Capitalist;Very High;kaiserreich marchetti;x
3229;Minister of Security;Donato Cardinal Sbarretti;1936;1964;1999;FA;Silent Lawyer;Very High;kaiserreich sbarretti1;x
3230;Minister of Security;Elia Cardinal dalla Costa;1936;1964;1999;FA;Compassionate Gentleman;Very High;kaiserreich dallacosta;x
3231;Head of Military Intelligence;Giovanni Cardinal Montini;1936;1964;1999;PA;Dismal Enigma;Very High;kaiserreich montini1;x
3232;Head of Military Intelligence;Domenico Cardinal Tardini;1936;1964;1999;FA;Political Specialist;Very High;kaiserreich tardini;x
3233;Head of Military Intelligence;Angelo Giuseppe Cardinal Roncalli;1936;1964;1999;SD;Political Specialist;Very High;kaiserreich_ITA_angelo_roncalli;x
3234;Head of State;Pius XII;1936;1964;1999;PA;Pig-headed Isolationist;Very High;kaiserreich ecPacelli;x
3235;Head of Government;Luigi Cardinal Maglione;1936;1964;1999;PA;Political Protege;Very High;kaiserreich maglione;x
3236;Head of Government;Pius XII;1936;1964;1999;PA;Silent Workhorse;Very High;kaiserreich ecPacelli;x
3237;Foreign Minister;Luigi Cardinal Maglione;1936;1964;1999;PA;Apologetic Clerk;Very High;kaiserreich maglione;x
3238;Foreign Minister;Giovanni Cardinal Montini;1936;1964;1999;PA;Ideological Crusader;Very High;kaiserreich montini1;x
3239;Foreign Minister;Domenico Cardinal Tardini;1936;1964;1999;PA;Apologetic Clerk;Very High;kaiserreich tardini;x
3240;Minister of Armament;Lorenzo Cardinal Lauri;1936;1964;1999;PA;Administrative Genius;Very High;kaiserreich lauri;x
3241;Minister of Armament;Domenico Cardinal Tardini;1936;1964;1999;PA;Administrative Genius;Very High;kaiserreich tardini;x
3242;Minister of Armament;Giovanni Cardinal Montini;1936;1964;1999;PA;Laissez-Faire Capitalist;Very High;kaiserreich montini1;x
3243;Minister of Armament;Mother Pasqualina Lehnert;1936;1964;1999;PA;Corrupt Kleptocrat;Very High;kaiserreich pasq;x
3244;Minister of Security;Francesco Cardinal Marchetti-Selvaggiani;1936;1964;1999;PA;Silent Lawyer;Very High;kaiserreich marchetti;x
3245;Head of Government;Stephen X;1936;1964;1999;PA;Happy Amateur;Very High;kaiserreich dallacosta;x
3246;Head of Government;Eugenio Cardinal Pacelli;1936;1964;1999;PA;Naive Optimist;Very High;kaiserreich ecPacelli;x
3247;Foreign Minister;Eugène Cardinal Tisserant;1936;1964;1999;PA;Biased Intellectual;Very High;kaiserreich tisserant;x
3248;Minister of Security;Eugène Cardinal Tisserant;1936;1964;1999;PA;Crime Fighter;Very High;kaiserreich tisserant;x
3249;Head of State;John XXIII;1936;1964;1999;SD;Die-hard Reformer;Very High;kaiserreich_ITA_Lienart;x
3250;Head of Government;Eugène Cardinal Tisserant;1936;1964;1999;SD;Silent Workhorse;Very High;kaiserreich tisserant;x
3251;Head of State;Julius IV;1936;1964;1999;NS;Ruthless Powermonger;Very High;kaiserreich innitzer;x
3252;Head of Government;Julius IV;1936;1964;1999;NS;Flamboyant Tough Guy;Very High;kaiserreich innitzer;x
3253;Foreign Minister;Pedro Cardinal Segura y Sáenz;1936;1964;1999;NS;iron fisted brute;Very High;kaiserreich_ITA_pedro_segura;x
3254;Minister of Security;Elias I di Borbone-Parma;1936;1964;1999;NS;Prince of Terror;Very High;kaiserreich_ITA_elias_parma;x
3255;Minister of Security;Theodor Cardinal Innitzer;1936;1964;1999;NS;Prince of Terror;Very High;kaiserreich innitzer;x
3256;Head of State;The College of Cardinals;1936;1964;1999;PA;Popular Figurehead;Very High;kaiserreich papalconclave;x
3257;Head of State;S.M.R. Josef I von Österreich-Toskana;1936;1964;1999;PA;Weary Stiffneck;Medium;kaiserreich josefferdinandvOT;x
3258;Head of Government;The College of Cardinals;1948;1964;1999;PA;Political Protege;Very High;kaiserreich papalconclave;x
3259;Head of State;Gregorius XVII;1948;1964;1999;FA;Weary Stiffneck;Very High;kaiserreich_ITA_Gregorius_XVII;x
3260;Head of Government;Gregorius XVII;1948;1964;1999;FA;Backroom Backstabber;Very High;kaiserreich_ITA_Gregorius_XVII;x
3261;Head of State;Paulus VI;1948;1964;1999;PA;Die-hard Reformer;Very High;kaiserreich_ITA_Paulus_VI;x
3262;Head of Government;Paulus VI;1948;1964;1999;PA;Silent Workhorse;Very High;kaiserreich_ITA_Paulus_VI;x
3263;Head of State;John XXIII;1948;1964;1999;SD;Popular Figurehead;Very High;kaiserreich_ITA_John_XXIII_XXIV;x
3264;Head of Government;John XXIII;1948;1964;1999;SD;Naive Optimist;Very High;kaiserreich_ITA_John_XXIII_XXIV;x
3265;Head of State;John XXIV;1948;1964;1999;SD;Popular Figurehead;Very High;kaiserreich_ITA_John_XXIII_XXIV;x
3266;Head of Government;John XXIV;1948;1964;1999;SD;Naive Optimist;Very High;kaiserreich_ITA_John_XXIII_XXIV;x
3267;Head of State;S.M.R. Gottfried I von Österreich-Toskana;1937;1964;1999;PA;Die-hard Reformer;Medium;kaiserreich_ITA_Gottfried;x
3271;Foreign Minister;Augusta Cardinal da Silva;1948;1964;1999;PA;Ideological Crusader;High;kaiserreich_ITA_Da_Silva;x
3272;Minister of Armament;Adeodato Cardinal Piazza;1937;1964;1999;PA;Military Entrepreneur;High;kaiserreich_ITA_Piazza;x
3273;Minister of Security;Benedetto Cardinal Masella;1946;1964;1999;PA;Silent Lawyer;High;kaiserreich_ITA_Masella;x
3274;Foreign Minister;Monsignor Angelo dell'Acqua;1948;1964;1999;SD;Great Compromiser;High;kaiserreich_ITA_DellAcqua;x
3275;Minister of Armament;Giacomo Cardinal Lercaro;1948;1964;1999;SL;Laissez-Faire Capitalist;High;kaiserreich_ITA_Lercaro;x
3276;Minister of Security;Alberto Cardinal di Jorio;1948;1964;1999;SD;Back Stabber;High;kaiserreich_ITA_DiJorio;x
3277;Foreign Minister;Alfredo Ildefonso Cardinal Schuster;1936;1964;1999;PA;Great Compromiser;High;kaiserreich_ITA_Schuster;x
3278;Minister of Security;Giuseppe Cardinal Pizzardo;1937;1964;1999;PA;Efficient Sociopath;High;kaiserreich_ITA_Pizzardo;x
3279;Head of Government;Giuseppe Cardinal Siri;1944;1964;1999;FA;Flamboyant Tough Guy;High;kaiserreich_ITA_Siri;x
3280;Foreign Minister;Marcel Cardinal Lefebvre;1948;1964;1999;NS;iron fisted brute;High;kaiserreich_ITA_Lefebvre;x
3281;Minister of Armament;Antonio Cardinal Bacci;1948;1964;1999;FA;Theoretical Scientist;High;kaiserreich_ITA_Bacci;x
3282;Minister of Security;Josef Cardinal Frings;1948;1964;1999;FA;Man of the People;High;kaiserreich_ITA_Frings;x
3283;Head of Military Intelligence;Antonio Cardinal Bacci;1948;1964;1999;FA;Dismal Enigma;High;kaiserreich_ITA_Bacci;x
3284;Head of Military Intelligence;Giuseppe Cardinal Siri;1944;1964;1999;FA;Political Specialist;High;kaiserreich_ITA_Siri;x
3285;Head of State;Stephen X;1936;1964;1999;PA;Insignificant Layman;Very High;kaiserreich dallacosta;x
3286;Head of State;S.M.R. Amedeo I di Savoia-Aosta;1936;1964;1999;SC;Die-hard Reformer;High;kaiserreich_ITA_amedeo_aosta;x
3301;Head of State;Ivanoe Bonomi;1936;1964;1999;SL;Insignificant Layman;High;M3048;x
3302;Head of Government;Bartolomeo Meuccio Ruini;1936;1964;1999;SL;Naive Optimist;High;kaiserreich_ITA_Meuccio_Ruini;x
3303;Foreign Minister;Carlo Sforza;1936;1964;1999;SL;The Cloak N Dagger Schemer;High;kaiserreich_ITA_Sforza;x
3304;Minister of Armament;Manlio Brosio;1936;1964;1999;SL;Laissez-Faire Capitalist;High;kaiserreich_ITA_Brosio;x
3305;Minister of Security;Umberto Tupini;1936;1964;1999;SL;Compassionate Gentleman;High;kaiserreich_ITA_Tupini;x
3306;Head of Military Intelligence;Carlo Sforza;1936;1964;1999;SL;Industrial Specialist;High;kaiserreich_ITA_Sforza;x
3307;Chief of Staff;Luigi Gasparotto;1936;1964;1999;SL;School of Manoeuvre;High;M3136;x
3308;Chief of Army;Luigi Gasparotto;1936;1964;1999;SL;Guns and Butter Doctrine;High;M3136;x
3309;Chief of Navy;Angelo Iachino;1936;1964;1999;SL;Open Seas Doctrine;High;kaiserreich_ITA_Iachino;x
3310;Chief of Air Force;Luigi Gasparotto;1936;1964;1999;SL;Air Superiority Doctrine;High;M3136;x
3311;Head of State;Luigi Einaudi;1936;1964;1999;SL;Benevolent Gentleman;High;M3085;x
3312;Head of Government;Ivanoe Bonomi;1937;1964;1999;SL;Silent Workhorse;High;M3048;x
3313;Foreign Minister;Ivanoe Bonomi;1936;1964;1999;SL;Apologetic Clerk;High;M3048;x
3314;Minister of Armament;Luigi Einaudi;1937;1964;1999;SL;Laissez-Faire Capitalist;High;M3085;x
3315;Minister of Security;Ivanoe Bonomi;1936;1964;1999;SL;Efficient Sociopath;High;M3048;x
3322;Head of Government;Bruno Villabruna;1945;1964;1999;SL;Ambitious Union Boss;High;kaiserreich_ITA_Villabruna;x
3323;Foreign Minister;Luigi Einaudi;1936;1964;1999;SL;Ideological Crusader;High;M3085;x
3324;Minister of Armament;Conte Alessandro Casati;1939;1964;1999;SL;Tank Proponent;Medium;M3081;x
3325;Minister of Security;Salvatore Aldisio;1936;1964;1999;SL;Prince of Terror;High;M3102;x
3332;Head of Government;Luigi Einaudi;1944;1964;1999;SL;Naive Optimist;High;M3085;x
3333;Chief of Staff;Randolfo Pacciardi;1936;1964;1999;SL;School of Defence;High;M3133;x
3334;Chief of Staff;Conte Alessandro Casati;1939;1964;1999;SL;School of Defence;High;M3134;x
3401;Head of State;Vittorio Emanuele Orlando;1936;1964;1999;SD;Pig-headed Isolationist;High;kaiserreich_ITA_Vittorio_Emanuele_Orlando;x
3402;Head of Government;Ferruccio Parri;1936;1964;1999;SD;Naive Optimist;High;M3049;x
3403;Foreign Minister;Marcello Soleri;1936;1964;1999;SD;Apologetic Clerk;High;kaiserreich_ITA_Soleri;x
3404;Minister of Armament;Ugo La Malfa;1936;1964;1999;SD;Resource Industrialist;High;kaiserreich_ITA_La_Malfa;x
3405;Minister of Security;Roberto Tremelloni;1936;1964;1999;SD;Man of the People;High;kaiserreich_ITA_Tremelloni;x
3406;Head of Military Intelligence;Giacomo Carboni;1936;1964;1999;SD;Industrial Specialist;Low;M3112;x
3407;Chief of Staff;Marcello Soleri;1936;1964;1999;SD;School of Manoeuvre;High;kaiserreich_ITA_Soleri;x
3408;Chief of Army;Amedeo, Duca d'Aosta;1936;1964;1999;SL;Guns and Butter Doctrine;High;kaiserreich_ITA_amedeo_aosta;x
3409;Chief of Navy;Aimone, Duca di Spoleto;1936;1964;1999;SL;Decisive Naval Battle Doctrine;High;kaiserreich_ITA_aimone_spoleto;x
3410;Chief of Air Force;Amedeo, Duca d'Aosta;1936;1964;1999;SL;Air Superiority Doctrine;High;kaiserreich_ITA_amedeo_aosta;x
3411;Head of State;Ferruccio Parri;1952;1964;1999;SD;Insignificant Layman;High;M3049;x
3415;Minister of Security;Ferruccio Parri;1938;1964;1999;SD;Man of the People;High;M3049;x
3419;Chief of Navy;Carlo Bergamini;1939;1964;1999;SD;Power Projection Doctrine;High;kaiserreich_ITA_Bergamini;x
3501;Head of State;Alcide de Gasperi;1936;1964;1999;SC;Die-Hard Reformer;High;M3038;x
3502;Head of Government;Don Luigi Sturzo;1936;1964;1999;SC;Political Protege;High;kaiserreich_ITA_Sturzo;x
3503;Foreign Minister;Alcide de Gasperi;1936;1964;1999;SC;Ideological Crusader;High;M3038;x
3504;Minister of Armament;Giovanni Gronchi;1936;1964;1999;SC;Infantry Proponent;High;kaiserreich_ITA_Gronchi;x
3505;Minister of Security;Amintore Fanfani;1936;1964;1999;SC;Compassionate Gentleman;High;kaiserreich_ITA_Fanfani;x
3506;Head of Military Intelligence;Don Luigi Sturzo;1936;1964;1999;SC;Political Specialist;High;kaiserreich_ITA_Sturzo;x
3507;Chief of Staff;Pietro Badoglio;1936;1964;1999;SC;School of Mass Combat;Medium;M3125;x
3508;Chief of Navy;Arturo Riccardi;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;M3149;x
3509;Chief of Army;Enrico Mattei;1936;1964;1999;SC;Decisive Battle Doctrine;High;M3018;x
3510;Chief of Air Force;Antonio Scialoja;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;M3166;x
3512;Head of Government;Alcide de Gasperi;1936;1964;1999;SC;Backroom Backstabber;High;M3038;x
3513;Foreign Minister;Pier Federico Martinetti;1936;1964;1999;SC;Apologetic Clerk;High;M3057;x
3514;Minister of Armament;Taddeo Orlando;1940;1964;1999;SC;Theoretical Scientist;High;M3080;x
3515;Minister of Security;Vito Reale;1940;1964;1999;SC;Crime Fighter;High;M3100;x
3516;Head of Military Intelligence;Giuseppe Pella;1938;1964;1999;SC;Logistics Specialist;High;M3116;x
3517;Chief of Staff;Mario Cingolani;1936;1964;1999;SC;School of Fire Support;High;M3130;x
3522;Head of Government;Giovanni Gronchi;1936;1964;1999;SC;Silent Workhorse;High;kaiserreich_ITA_Gronchi;x
3523;Foreign Minister;Conte Bernardo Attolico;1938;1964;1999;SC;Biased Intellectual;High;M3058;x
3524;Minister of Armament;Giulio Andreotti;1946;1964;1999;SC;Laissez-Faire Capitalist;High;kaiserreich_ITA_Andreotti;x
3526;Head of Military Intelligence;Ezio Vanoni;1940;1964;1999;SC;Naval Intelligence Specialist;High;M3117;x
3527;Chief of Staff;Ettore Conti;1945;1964;1999;SC;School of Manoeuvre;High;M3132;x
3601;Head of State;Pietro Secchia;1936;1964;1999;LWR;Stern Imperialist;High;kaiserreich_ITA_Secchia;x
3602;Head of Government;Giuliano Vassalli;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich_ITA_Vassalli;x
3603;Foreign Minister;Giuseppe Modigliani;1936;1964;1999;LWR;Ideological Crusader;High;kaiserreich_ITA_Modigliani;x
3604;Minister of Armament;Alceste De Ambris;1936;1964;1999;LWR;Resource Industrialist;High;kaiserreich_ITA_De_Ambris;x
3605;Minister of Security;Achille Grandi;1936;1964;1999;LWR;Compassionate Gentleman;High;kaiserreich_ITA_Grandi;x
3606;Head of Military Intelligence;Aldo Aniasi;1936;1964;1999;LWR;Industrial Specialist;High;kaiserreich_ITA_Aniasi;x
3607;Chief of Staff;Ilio Barontini;1936;1964;1999;LWR;School of Fire Support;Medium;kaiserreich_ITA_Barontini;x
3608;Chief of Army;Ilio Barontini;1936;1964;1999;LWR;Static Defence Doctrine;High;kaiserreich_ITA_Barontini;x
3609;Chief of Army;Peppino Garibaldi;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;MItaGaribaldi;x
3610;Foreign Minister;Peppino Garibaldi;1936;1964;1999;SL;General Staffer;Medium;MItaGaribaldi;x
3611;Head of Military Intelligence;Peppino Garibaldi;1936;1964;1999;SL;Logistics Specialist;High;MItaGaribaldi;x
3011;Head of State;S.M.R. Charles Albert II;1936;1964;1999;SC;russian aristocrat;High;kai_chrlalbrtii;x
3012;Head of State;S.M.R. Charles Albert II;1936;1964;1999;PA;russian aristocrat;High;kai_chrlalbrtii;x
3013;Head of State;S.M.R. Gottfried I von Österreich-Toskana;1936;1964;1999;SC;Popular Figurehead;High;kaiserreich_ITA_Gottfried;x
3014;Head of State;S.M.R. Vittorio Emanuele III;1910;1934;1935;ML;Insignificant Layman;High;2728;X
3015;Head of Government;Vittorio Emanuele Orlando;1912;1934;1935;SL;Naive Optimist;Very High;2723;X
