HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
78111;Chief of Air Force;Antoine Levelt;1946;1964;1999;PA;Carpet Bombing Doctrine;High;M78075;x
78112;Chief of Air Force;Belmeau Max-Pierre;1941;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M78076;x
78115;Foreign Minister;Leon Laleau;1936;1964;1999;SL;Ideological Crusader;High;M78115;x
78114;Head of State;Paul Magloire;1950;1964;1999;PA;Ruthless Powermonger;High;M78043;x
78116;Foreign Minister;Louis-Dantes Bellegarde;1936;1964;1999;SD;Great Compromiser;Medium;M78005;x
78117;Chief of Army;Alfred Auguste Nemours;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;M78009;x
78118;Chief of Staff;Alfred Auguste Nemours;1936;1964;1999;FA;School of Psychology;Medium;M78009;x
78119;Foreign Minister;Alfred Auguste Nemours;1936;1964;1999;FA;General Staffer;Medium;M78009;x
78120;Head of State;Alfred Auguste Nemours;1936;1964;1999;FA;Stern Imperialist;Medium;M78009;x
78121;Head of Government;Alfred Auguste Nemours;1936;1964;1999;FA;Old General;Medium;M78009;x
78122;Minister of Security;Démosthenes Pétrus Calixte;1936;1964;1999;SD;Man of the People;Medium;M78037;x
78123;Chief of Staff;Démosthenes Pétrus Calixte;1936;1964;1999;SD;School of Mass Combat;Medium;M78037;x
78124;Chief of Army;Démosthenes Pétrus Calixte;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M78037;x
78125;Head of State;Joseph Louis Borno;1937;1964;1999;SC;Insignificant Layman;High;M78079;x
78126;Head of Government;Joseph Louis Borno;1937;1964;1999;SC;Naive Optimist;High;M78079;x
78127;Minister of Armament;Joseph Louis Borno;1937;1964;1999;SC;Laissez-Faire Capitalist;High;M78079;x
78128;Head of State;Leon Laleau;1936;1964;1999;SL;Die-hard Reformer;High;M78115;x
78129;Head of Government;Leon Laleau;1936;1964;1999;SL;Happy Amateur;High;M78115;x
78130;Chief of Navy;Philippe Kieffer;1945;1964;1999;SL;Base Control Doctrine;Medium;HAI_Kieffer;x
78131;Minister of Security;Philippe Kieffer;1945;1964;1999;SL;Crime Fighter;Medium;HAI_Kieffer;x
78132;Head of Military Intelligence;Philippe Kieffer;1945;1964;1999;SL;Naval Intelligence Specialist;Medium;HAI_Kieffer;x
78133;Head of State;Charlemagne Péralte;1936;1964;1999;LWR;Stern Imperialist;High;HAI_peralte;x
78134;Head of Government;Charlemagne Péralte;1936;1964;1999;LWR;Flamboyant Tough Guy;High;HAI_peralte;x
78135;Chief of Army;Charlemagne Péralte;1936;1964;1999;LWR;Guns and Butter Doctrine;High;HAI_peralte;x
78136;Chief of Staff;Charlemagne Péralte;1936;1964;1999;LWR;School of Manoeuvre;High;HAI_peralte;x
78137;Chief of Air Force;Charles Terres Weymann;1936;1964;1999;SD;Army Aviation Doctrine;Medium;HAI_weymann;x
78138;Minister of Armament;Charles Terres Weymann;1936;1964;1999;SD;Resource Industrialist;Medium;HAI_weymann;x
78139;Minister of Security;Jacques Roumain;1936;1964;1999;LWR;Prince of Terror;Medium;HAI_roumain;x
78140;Foreign Minister;Jacques Roumain;1936;1964;1999;LWR;the cloak n dagger schemer;Medium;HAI_roumain;x
78141;Minister of Security;Max Hudicourt;1940;1964;1999;LE;Crime Fighter;Medium;HAI_hudicourt;x
78142;Head of Military Intelligence;Max Hudicourt;1940;1964;1999;LE;Political Specialist;Medium;HAI_hudicourt;x
78143;Head of State;Max Hudicourt;1940;1964;1999;LE;Popular Figurehead;Medium;HAI_hudicourt;x
78144;Head of Government;Max Hudicourt;1940;1964;1999;LE;Ambitious Union Boss;Medium;HAI_hudicourt;x
78145;Chief of Air Force;Alix Pasquet;1945;1964;1999;LWR;Air Superiority Doctrine;Medium;HAI_pasquet;x
78146;Head of Government;Démosthenes Pétrus Calixte;1936;1964;1999;SD;Happy Amateur;High;M78037;x
78147;Head of Government;Franck Lavaud;1940;1964;1999;PA;Old General;High;M78035;x
78148;Head of State;François Duvalier;1950;1964;1999;PA;Barking Buffoon;High;HAI_duvalier;x
78149;Head of Government;François Duvalier;1950;1964;1999;PA;Corporate Suit;High;HAI_duvalier;x
78150;Head of State;Clement Jumelle;1946;1964;1999;SL;Pig-headed Isolationist;High;M78057;x
78151;Head of Government;Clement Jumelle;1946;1964;1999;SL;Corporate Suit;High;M78057;x
