FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
2050;Foreign Minister;Pierre Comert;1936;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M2050;X
2051;Foreign Minister;Léon Blum;1936;1964;1999;LWR;Great Compromiser;Very High;M2033;X
2052;Foreign Minister;Yvon Delbos;1936;1964;1999;SL;Biased Intellectual;Medium;M2048;X
2053;Foreign Minister;Georges Bonnet;1938;1964;1999;SL;Iron Fisted Brute;Medium;M2053;X
2054;Foreign Minister;Edouard Daladier;1939;1964;1999;SD;Great Compromiser;High;M2037;X
2055;Foreign Minister;Paul Reynaud;1940;1964;1999;SL;Ideological Crusader;Undying;M2038;X
2056;Foreign Minister;George Bidault;1941;1964;1999;ML;General Staffer;High;M2039;X
2057;Foreign Minister;Pierre Laval;1938;1964;1999;ST;Great Compromiser;Undying;M2040;X
2058;Foreign Minister;Antoine Henri Queuille;1941;1964;1999;SC;Iron Fisted Brute;High;M2043;X
2059;Foreign Minister;René Charron;1944;1964;1999;SC;Apologetic Clerk;Medium;M2059;X
2060;Foreign Minister;Pierre Henri Watier;1947;1964;1999;SC;Biased Intellectual;Medium;M2060;X
2061;Foreign Minister;René Lucien Massigli;1943;1964;1999;SC;The Cloak N Dagger Schemer;High;M2061;X
2062;Foreign Minister;Marcel Cachin;1936;1964;1999;ST;Biased Intellectual;Very High;M2017;X
2063;Foreign Minister;Marcel Gitton;1936;1964;1999;ST;Apologetic Clerk;Medium;M2020;X
2064;Foreign Minister;Laurent Casenove;1937;1964;1999;LE;Great Compromiser;Medium;M2064;X
2065;Foreign Minister;Jacques Duclos;1936;1964;1999;ST;Ideological Crusader;Very High;M2012;X
2066;Foreign Minister;Maurice Bourges-Maunoroy;1938;1964;1999;PA;General Staffer;High;M2066;X
2068;Minister of Armament;Edouard Daladier;1937;1964;1999;SD;Laissez-Faire Capitalist;Low;M2037;X
2069;Minister of Armament;Louis Barthou;1936;1964;1999;SD;Military Entrepreneur;Medium;M2069;X
2070;Minister of Armament;Léon Jouhaux;1936;1964;1999;LE;Planned Economy Proponent;Medium;kaiserreich leonjouhaux;X
2071;Minister of Armament;Guy Mollet;1936;1964;1999;LE;Bank President;Very High;M2071;X
2283;Head of Government;Guy Mollet;1950;1970;1999;LE;Happy Amateur;Very High;M2071;X
2072;Minister of Armament;André Le Troquer;1947;1964;1999;SD;Resource Industrialist;Medium;M2072;X
2073;Minister of Armament;Raoul Dautry;1936;1964;1999;SL;Theoretical Scientist;High;M2073;X
2074;Minister of Armament;Louis Loucheur;1937;1964;1999;SL;Air to Ground Proponent;Medium;M2074;X
2075;Minister of Armament;Albert Sarraut;1938;1964;1999;SL;Laissez-Faire Capitalist;Low;M2002;X
2076;Minister of Armament;Marcel Hoden;1939;1964;1999;SL;Air Superiority Proponent;Medium;M2076;X
2077;Minister of Armament;Charles de Gaulle;1940;1964;1999;SC;Tank Proponent;High;M2027;X
2078;Minister of Armament;Georges Bonnet;1941;1964;1999;SL;Resource Industrialist;Medium;M2053;X
2079;Minister of Armament;Jean Fabry;1936;1964;1999;SC;Resource Industrialist;Medium;M2079;X
2080;Minister of Armament;Joseph Louis Avenol;1937;1964;1999;SC;Battle Fleet Proponent;Medium;M2080;X
2081;Minister of Armament;Marie Emile Fayolle;1938;1964;1999;SC;Infantry Proponent;Medium;M2081;X
2082;Minister of Armament;Edouard Herriot;1939;1964;1999;ML;Laissez-Faire Capitalist;Medium;M2042;X
2083;Minister of Armament;Paul Marchandeau;1941;1964;1999;SC;Administrative Genius;Medium;M2083;X
2084;Minister of Armament;André Marie;1941;1964;1999;SC;Air Superiority Proponent;Medium;M2041;X
2085;Minister of Armament;Antoine Henri Queuille;1942;1964;1999;SC;Air to Ground Proponent;High;M2043;X
2086;Minister of Armament;Louis Armand;1944;1964;1999;SC;Tank Proponent;Medium;M2086;X
2087;Minister of Armament;Jules Romains;1947;1964;1999;SC;Submarine Proponent;Medium;M2087;X
2088;Minister of Armament;Robert Schumann;1940;1964;1999;ML;Administrative Genius;Medium;M2088;X
2089;Minister of Armament;Edmond Michelet;1944;1964;1999;SC;Laissez-Faire Capitalist;Medium;M2089;X
2090;Minister of Armament;René Pleven;1945;1964;1999;ML;Resource Industrialist;High;M2090;X
2091;Minister of Armament;Georges Lévy;1936;1964;1999;ST;Administrative Genius;Medium;M2014;X
2092;Minister of Armament;Laurent Casenove;1937;1964;1999;LE;Theoretical Scientist;Medium;M2064;X
2093;Minister of Armament;Jean Jérôme;1936;1964;1999;ST;Planned Economy Proponent;Medium;M2093;X
2094;Minister of Armament;Benoît Frachon;1936;1964;1999;LE;Industrialiser;Very High;kaiserreich benoitfrachon;X
2095;Minister of Armament;Auguste Lecoeur;1936;1964;1999;ST;Military Entrepreneur;Medium;M2095;X
2096;Minister of Armament;Daniel Renoult;1936;1964;1999;LE;Construction Magnate;Medium;M2096;X
2097;Minister of Armament;Jacques de Guillebon;1938;1964;1999;PA;Resource Industrialist;Medium;M2097;X
2098;Minister of Security;Pierre Auguste Chardigny;1936;1964;1999;SD;Prince of Terror;Low;M2098;X
2099;Minister of Security;Julien Luchaire;1936;1964;1999;LE;Efficient Sociopath;Medium;M2099;X
2100;Minister of Security;Adrien Tixier;1936;1964;1999;LE;Compassionate Gentleman;Very High;M2100;X
2101;Minister of Security;Henri Bonnet;1936;1964;1999;LE;Back Stabber;Medium;M2101;X
2102;Minister of Security;Paul Ramadier;1941;1964;1999;LWR;Crime Fighter;High;M2035;X
2103;Minister of Security;Albert Lebrun;1946;1964;1999;SD;Silent Lawyer;Medium;M2001;X
2104;Minister of Security;Jules Moch;1947;1964;1999;SD;Man of the People;High;M2104;X
2105;Minister of Security;Pierre Pené;1936;1964;1999;SL;Silent Lawyer;Medium;M2105;X
2106;Minister of Security;Arthur Fontaine;1937;1964;1999;SL;Efficient Sociopath;Medium;M2106;X
2107;Minister of Security;Henri Roy;1938;1964;1999;SL;Man of the People;Medium;M2107;X
2108;Minister of Security;Louis-Georges Mandel;1940;1964;1999;SL;Crime Fighter;Low;M2108;X
2109;Minister of Security;Jean Maillet;1947;1964;1999;SL;Back Stabber;High;M2109;X
2110;Minister of Security;Joseph Paganon;1936;1964;1999;SC;Silent Lawyer;Medium;M2006;X
2111;Minister of Security;Gaston Alexandre Clauzel;1938;1964;1999;SC;Man of the People;High;M2111;X
2112;Minister of Security;René Nicolau;1941;1964;1999;SC;Compassionate Gentleman;High;M2112;X
2113;Minister of Security;André Marie;1947;1964;1999;SC;Prince of Terror;Medium;M2041;X
2114;Minister of Security;Camille Chautemps;1940;1964;1999;SC;Man of the People;Medium;M2036;X
2115;Minister of Security;Robert Schumann;1944;1964;1999;ML;Crime Fighter;Medium;M2088;X
2116;Minister of Security;André Le Troquer;1943;1964;1999;SD;Compassionate Gentleman;Medium;M2072;X
2117;Minister of Security;Lucien Midol;1936;1964;1999;ST;Crime Fighter;High;M2015;X
2118;Minister of Security;Claudine Chomat;1937;1964;1999;ST;Health and Safety;Very High;M2118;X
2119;Minister of Security;Henri Gourdeaux;1936;1964;1999;LE;Silent Lawyer;High;M2119;X
2120;Minister of Security;Jean-Marie Clamamus;1940;1964;1999;ST;Man of the People;Medium;M2120;X
2121;Minister of Security;Maurice Thorez;1936;1964;1999;ST;Prince of Terror;Very High;M2011;X
2122;Minister of Security;Eugene Dunoyer de Segonzac;1938;1964;1999;PA;Compassionate Gentleman;Very High;M2122;X
2123;Head of Military Intelligence;Roger Salengro;1936;1964;1999;LE;Industrial Specialist;Medium;M2123;X
2124;Head of Military Intelligence;Felix Gouin;1936;1964;1999;LWR;Technical Specialist;Medium;M2034;X
2125;Head of Military Intelligence;Daniel Mayer;1936;1964;1999;LWR;Logistics Specialist;Medium;M2023;X
2126;Head of Military Intelligence;André Le Troquer;1936;1964;1999;SD;Dismal Enigma;Medium;M2072;X
2129;Head of Military Intelligence;Maurice Delage;1941;1964;1999;SL;Technical Specialist;High;M2129;X
2130;Head of Military Intelligence;Aimé Lepercq;1947;1964;1999;SL;Industrial Specialist;High;M2130;X
2131;Head of Military Intelligence;René Nicolau;1936;1964;1999;SC;Dismal Enigma;High;M2112;X
2132;Head of Military Intelligence;Jacques Brunschwig;1938;1964;1999;SC;Naval Intelligence Specialist;High;M2132;X
2133;Head of Military Intelligence;André Marie;1940;1964;1999;SC;Technical Specialist;Medium;M2041;X
2134;Head of Military Intelligence;Charles Luizet;1940;1964;1999;ML;Technical Specialist;High;M2134;X
2135;Head of Military Intelligence;André de Wawrin-Passy;1942;1964;1999;SC;Logistics Specialist;High;M2135;X
2136;Head of Military Intelligence;Roger Lantenois;1944;1964;1999;SC;Industrial Specialist;High;M2136;X
2137;Head of Military Intelligence;André Boulloche;1946;1964;1999;SC;Dismal Enigma;High;M2137;X
2138;Head of Military Intelligence;Waldeck Rochet;1936;1964;1999;ST;Dismal Enigma;High;M2016;X
2139;Head of Military Intelligence;Jean-Marie Clamamus;1936;1964;1999;ST;Industrial Specialist;Medium;M2120;X
2140;Head of Military Intelligence;Henri Gourdeaux;1936;1964;1999;LE;Logistics Specialist;High;M2119;X
2141;Head of Military Intelligence;Gustave Guéhenneux;1947;1964;1999;ST;Technical Specialist;Medium;M2141;X
2142;Head of Military Intelligence;Paul Repiton-Preneuf;1938;1964;1999;LWR;Logistics Specialist;Medium;M2142;X
2144;Chief of Staff;Jean-Marie Lattre de Tassigny;1936;1964;1999;SC;School of Mass Combat;Medium;M2047;X
2146;Chief of Staff;Maxime Weygand;1960;1964;1999;NS;School of Defence;Very High;M2146;X
2148;Chief of Staff;Paul Le Gentilhomme;1936;1964;1999;LE;School of Psychology;Medium;M2148;X
2150;Chief of Staff;Charles de Gaulle;1940;1964;1999;SC;School of Manoeuvre;High;M2027;X
2151;Chief of Staff;Pierre-Armand Billotte;1942;1964;1999;SC;School of Fire Support;Medium;M2151;X
2152;Chief of Staff;Pierre Bourges-Maunory;1944;1964;1999;SC;School of Psychology;High;M2152;X
2154;Chief of Staff;Marcel Cachin;1936;1964;1999;ST;School of Fire Support;Medium;M2017;X
2157;Chief of Army;Leon Victor Bourgeois;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M2157;X
2158;Chief of Army;Jean-Marie Lattre de Tassigny;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M2047;X
2160;Chief of Army;Pierre Auguste Chardigny;1941;1964;1999;SL;Elastic Defence Doctrine;Medium;M2098;X
2164;Chief of Army;Jean Bertin-Boussus;1940;1964;1999;SC;Elastic Defence Doctrine;Medium;M2164;X
2166;Chief of Army;André Marty;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;M2018;X
2167;Chief of Army;Pierre Fabien;1939;1964;1999;LWR;Decisive Battle Doctrine;Medium;M2167;X
2168;Chief of Army;Maxime Weygand;1938;1964;1999;PA;Elastic Defence Doctrine;Medium;M2146;X
2170;Chief of Navy;Joseph Paul Boncour;1936;1964;1999;LE;Base Control Doctrine;High;M2170;X
2171;Chief of Navy;Jean Gout;1944;1964;1999;SD;Power Projection Doctrine;High;M2171;X
2173;Chief of Navy;César Campinchi;1940;1964;1999;ML;Indirect Approach Doctrine;Very High;M2173;X
2176;Chief of Navy;Francois Pietri;1940;1964;1999;SC;Indirect Approach Doctrine;Medium;M2176;X
2178;Chief of Navy;Etienne Schlumberger;1940;1964;1999;SC;Decisive Naval Battle Doctrine;High;M2174;X
2179;Chief of Navy;André Marty;1936;1964;1999;LE;Indirect Approach Doctrine;Medium;M2018;X
2180;Chief of Navy;Charles Tillon;1936;1964;1999;ST;Base Control Doctrine;High;M2180;X
2181;Chief of Navy;Pierre Richard;1938;1964;1999;PA;Decisive Naval Battle Doctrine;High;M2181;X
2183;Chief of Air Force;Marcel Déat;1938;1964;1999;ST;Air Superiority Doctrine;Low;kaiserreich marceldeat;X
2184;Chief of Air Force;Pierre Cot;1940;1964;1999;SD;Army Aviation Doctrine;Very High;M2184;X
2187;Chief of Air Force;Joseph Vuillemin;1938;1964;1999;SL;Air Superiority Doctrine;Very High;M2187;X
2188;Chief of Air Force;Guy La Chambre;1940;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M2188;X
2191;Chief of Air Force;Robert Rossi;1940;1964;1999;SC;Army Aviation Doctrine;Very High;M2191;X
2193;Chief of Air Force;Martial Valín;1940;1964;1999;SC;Air Superiority Doctrine;Very High;M2185;X
2194;Chief of Air Force;Raymond Roques;1944;1964;1999;SC;Carpet Bombing Doctrine;Very High;M2194;X
2195;Chief of Air Force;Marcel Gitton;1936;1964;1999;ST;Air Superiority Doctrine;Medium;M2020;X
2196;Chief of Air Force;Charles Tillon;1940;1964;1999;ST;Army Aviation Doctrine;High;M2180;X
2201;Head of Government;Robert Schumann;1947;1964;1999;SL;Corporate Suit;High;M2088;X
2202;Foreign Minister;Maurice Dejean;1940;1964;1999;ML;Great Compromiser;High;M2202;X
2203;Foreign Minister;René Pleven;1942;1964;1999;ML;Biased Intellectual;High;M2090;X
2206;Chief of Army;Alphonse Georges;1937;1964;1999;LWR;Static Defence Doctrine;High;L24082;X
2207;Head of State;Jaques Doriot;1940;1964;1999;ST;Reformist Soldierhos;Very High;kaiserreich jacquesdoriot;X
2208;Head of State;Camille Chautemps;1940;1964;1999;SL;Popular Figurehead;Very High;M2036;X
2209;Head of Government;Louis-Georges Mandel;1940;1964;1999;SL;Backroom Backstabber;Medium;M2108;X
2210;Minister of Security;Yvon Delbos;1940;1964;1999;SL;Silent Lawyer;High;M2048;X
2211;Head of State;Henri-Honoré Giraud;1940;1964;1999;PA;Weary Stiffneck;Very High;L24084;X
2212;Head of Government;Henri-Honoré Giraud;1940;1964;1999;PA;Old General;Very High;L24084;X
2213;Foreign Minister;Charles-Emmanuel Mast;1940;1964;1999;LWR;General Staffer;High;L24224;X
2214;Minister of Armament;Marie-Pierre Koenig;1940;1964;1999;SC;Military Entrepreneur;Very High;L24107;X
2215;Chief of Staff;Henri-Honoré Giraud;1940;1964;1999;PA;School of Fire Support;Very High;L24084;X
2216;Head of State;Sébastien Faure;1936;1964;1999;LWR;Syndicalist Demagogue;Very High;kaiserreich sebastienfaure;X
2217;Head of Government;Marceau Pivert;1936;1964;1999;LE;Corporate Suit;Very High;kaiserreich marceaupivert;X
2218;Foreign Minister;Pierre Brossolette;1936;1964;1999;LE;General Staffer;Very High;kaiserreich pierrebrossolette;X
2219;Minister of Armament;Pierre Monatte;1936;1964;1999;LE;Infantry Proponent;Very High;kaiserreich pierremonat;X
2220;Minister of Security;Charles Rappoport;1936;1964;1999;LE;Health and Safety;Very High;kaiserreich charlesrappapport;X
2221;Head of Military Intelligence;May Picqueray;1936;1964;1999;LWR;Political Specialist;Very High;kaiserreich MayPicqueray;X
2222;Chief of Staff;Henri Tanguy;1936;1964;1999;LWR;School of Mass Combat;Medium;kaiserreich roltanguy;X
2223;Chief of Army;Jacques Doriot;1936;1964;1999;ST;Elastic Defence Doctrine;Medium;kaiserreich jacquesdoriot;X
2224;Chief of Navy;Marcel Déat;1936;1964;1999;ST;Base Control Doctrine;Medium;kaiserreich marceldeat;X
2225;Chief of Air Force;Antoine de Saint-Exupéry;1936;1964;1999;LE;Air Superiority Doctrine;Medium;saintexuperyqr1;X
2226;Head of State;Benoît Frachon;1936;1964;1999;LE;Die-hard Reformer;Medium;kaiserreich benoitfrachon;X
2278;Minister of Armament;Benoît Broutchoux;1936;1954;1954;LWR;Planned Economy Proponent;Very High;FRA_Broutchoux;X
2279;Head of Government;Benoît Broutchoux;1936;1970;1999;LWR;Respected War Hero;Very High;FRA_Broutchoux;X
2280;Foreign Minister;Fernand Desprès;1936;1970;1999;LWR;Ideological Crusader;Very High;FRA_Despres;X
2285;Minister of Security;Fernand Desprès;1950;1970;1999;LWR;Man of the People;Very High;FRA_Despres;X
2281;Foreign Minister;Robert Louzon;1936;1970;1999;LWR;Great Compromiser;Very High;FRA_Louzon;X
2282;Minister of Armament;Ambroise Croizat;1936;1970;1999;ST;Industrialiser;Very High;FRA_Croizat;X
2276;Head of Government;Benoît Frachon;1936;1970;1999;LE;Ambitious Union Boss;Very High;kaiserreich benoitfrachon;X
2277;Minister of Security;Gaston Monmousseau;1936;1970;1999;LE;Health and Safety;Very High;FRA_Monmousseau;X
2227;Head of State;Léon Jouhaux;1936;1964;1999;LE;Benevolent Gentleman;Medium;kaiserreich leonjouhaux;X
2228;Head of State;Marcel Déat;1936;1964;1999;ST;Powerhungry Demagogue;Medium;kaiserreich marceldeat;X
2229;Head of State;Georges Valois;1936;1964;1999;ST;Totalist President;Medium;kaiserreich georgevalois;X
2230;Head of State;Nestor Makhno;1936;1964;1999;LWR;Modernday Dombrowski;Very High;kaiserreich nestormakhno;X
2231;Head of Government;Boris Souvarine;1936;1964;1999;LE;Naive Optimist;Medium;kaiserreich borissouverain;X
2232;Head of Government;Georges Valois;1936;1964;1999;ST;Totalist Chairman;Medium;kaiserreich georgevalois;X
2233;Head of Government;Marcel Bucard;1936;1964;1999;ST;Flamboyant Tough Guy;Medium;kaiserreich bucard;X
2234;Head of Government;Daniel Guérin;1936;1964;1999;LWR;Happy Amateur;Very High;kaiserreich danielguerin;X
2284;Head of State;Daniel Guérin;1950;1970;1999;LWR;Die-hard Reformer;Very High;kaiserreich danielguerin;X
2235;Foreign Minister;Angelo Tasca;1936;1964;1999;ST;Biased Intellectual;Medium;kaiserreich angelotasca;X
2236;Foreign Minister;Charles Rappoport;1936;1964;1999;LE;Ideological Crusader;Very High;kaiserreich charlesrappapport;X
2237;Foreign Minister;Nestor Makhno;1936;1964;1999;LWR;General Staffer;Very High;kaiserreich nestormakhno;X
2238;Head of Government;Maurice Joyeux;1946;1964;1999;LWR;Ambitious Union Boss;Very High;kaiserreich mauricejoyeux;X
2239;Foreign Minister;Amédée Dunois;1936;1964;1999;LE;Ideological Crusader;Medium;kaiserreich amedeedunois;X
2240;Foreign Minister;Jean-Paul Sartre;1940;1964;1999;LWR;Biased Intellectual;Medium;kaiserreich sartre;X
2241;Minister of Armament;Jacques Doriot;1936;1964;1999;ST;Reformer;Medium;kaiserreich jacquesdoriot;X
2242;Minister of Armament;Marcel Déat;1937;1964;1999;ST;Air Superiority Proponent;Very High;kaiserreich marceldeat;X
2243;Minister of Armament;André Malraux;1938;1964;1999;LWR;Strategic Air Proponent;Medium;kaiserreich malraux;X
2244;Minister of Armament;Daniel Guérin;1936;1964;1999;LWR;Mixed Economy;Very High;kaiserreich danielguerin;X
2245;Minister of Armament;André Breton;1939;1964;1999;LWR;Construction Magnate;Very High;kaiserreich breton;X
2246;Minister of Security;Marcel Bucard;1936;1964;1999;ST;Secret Police Chief;Very High;kaiserreich bucard;X
2247;Minister of Security;Marceau Pivert;1936;1964;1999;LE;Compassionate Gentleman;Medium;kaiserreich marceaupivert;X
2248;Minister of Security;Sébastien Faure;1936;1964;1999;LWR;Crime Fighter;Medium;kaiserreich sebastienfaure;X
2249;Minister of Security;May Picqueray;1937;1964;1999;LWR;Secret Police Chief;Medium;kaiserreich maypicqueray;X
2250;Minister of Security;Maurice Joyeux;1936;1964;1999;LWR;Man of the People;Medium;kaiserreich mauricejoyeux;X
2251;Minister of Security;Louis Aragon;1940;1964;1999;ST;Health and Safety;Medium;kaiserreich aragon;X
2252;Minister of Security;Alfred Rosmer;1936;1964;1999;LE;Silent Lawyer;Medium;kaiserreich alfredrosmer;X
2253;Head of Military Intelligence;Albert Camus;1936;1964;1999;LWR;Dismal Enigma;Very High;kaiserreich albertcamus;X
2254;Head of Military Intelligence;Pierre Monatte;1936;1964;1999;LE;Political Specialist;Medium;kaiserreich pierremonat;X
2255;Head of Military Intelligence;Jean Moulin;1939;1964;1999;LE;Industrial Specialist;Medium;kaiserreich jeanmoulin;X
2256;Head of Military Intelligence;Pierre Villon;1936;1964;1999;ST;Technical Specialist;Medium;kaiserreich villon;X
2257;Head of Military Intelligence;Hubert Lagradelle;1936;1964;1999;ST;Technical Specialist;Medium;kaiserreich hubertlagradelle;X
2258;Chief of Staff;Jacques Doriot;1936;1964;1999;ST;School of Psychology;Medium;kaiserreich jacquesdoriot;X
2259;Chief of Army;Henri Tanguy;1936;1964;1999;LWR;Elastic Defence Doctrine;Very High;kaiserreich roltanguy;X
2286;Minister of Armament;Henri Tanguy;1936;1970;1999;LWR;Infantry Proponent;Very High;kaiserreich roltanguy;X
2260;Chief of Staff;Marcel Bucard;1936;1964;1999;ST;School of Mass Combat;Medium;kaiserreich bucard;X
2261;Chief of Army;Paul Le Gentilhomme;1936;1964;1999;LE;Armoured Spearhead Doctrine;Medium;M2148;X
2262;Chief of Staff;Missak Manouchian;1938;1964;1999;LE;School of Manoeuvre;Medium;kaiserreich manouchian;X
2263;Chief of Army;Joseph Epstein;1938;1964;1999;LE;Armoured Spearhead Doctrine;Medium;kaiserreich epstein;X
2264;Chief of Staff;Nestor Makhno;1936;1964;1999;LWR;Commando Doctrine Staff;Medium;kaiserreich nestormakhno;X
2265;Chief of Army;May Picqueray;1937;1964;1999;LWR;Commando Doctrine Army;Medium;kaiserreich maypicqueray;X
2266;Chief of Army;Maurice Joyeux;1938;1964;1999;LWR;Doctrine of Autonomy;Medium;kaiserreich mauricejoyeux;X
2267;Chief of Staff;Jacques Duclos;1936;1964;1999;ST;School of Manoeuvre;Medium;M2012;X
2268;Chief of Army;Jacques Duclos;1936;1964;1999;ST;Static Defence Doctrine;Medium;M2012;X
2269;Chief of Navy;Jean Moulin;1939;1964;1999;LE;Open Seas Doctrine;Medium;kaiserreich jeanmoulin;X
2270;Chief of Air Force;André Malraux;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;kaiserreich malraux;X
2271;Head of State;Marcel Cachin;1936;1964;1999;ST;Autocratic Charmer;High;M2017;X
2272;Head of Government;Comité de Salut Public;1936;1964;1999;LE;Silent Workhorse;High;KRCdSP;X
2273;Head of State;Comité de Salut Public;1936;1964;1999;LE;Die-hard Reformer;High;KRCdSP;X
2274;Foreign Minister;Maurice Thorez;1936;1964;1999;ST;Biased Intellectual;Very High;M2011;X
2275;Minister of Armament;Georges Dumoulin;1936;1970;1999;LE;Industrialiser;Very High;FRA_Dumoulin;X
