PRI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
527039;Chief of Army;Pavel Shein;1936;1964;1999;ML;Static Defence Doctrine;Medium;M527039;X
527040;Chief of Army;Pavel Panov;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M527040;X
527041;Chief of Navy;Dmytry Kulik;1936;1964;1999;LE;Indirect Approach Doctrine;Medium;M527041;X
527042;Chief of Navy;Igor Keppenrus;1936;1964;1999;ML;Power Projection Doctrine;Medium;M527042;X
527044;Chief of Air Force;Viktor Shavrov;1936;1964;1999;LE;Army Aviation Doctrine;Medium;M527044;X
527045;Chief of Air Force;Mikhail Shevrigin;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M527045;X
527046;Chief of Air Force;Grigorij Shubin;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M527046;X
527047;Chief of Navy;Aleksandr Kolchak;1936;1964;1999;FA;Power Projection Doctrine;High;Mrus kolchak;X
527048;Head of State;Sergei N. Wojciechowski;1936;1964;1999;PA;Resigned Generalissimo;High;Kaiserreich Wojciechowski;X
527050;Head of Government;Aleksandr Kolchak;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;Mrus kolchak;X
527051;Minister of Security;Nikolai Semenov;1936;1964;1999;NS;Crime Fighter;Very High;M4111;X
527052;Head of State;Gennadij Bukaev;1936;1964;1999;LE;Die-hard Reformer;Medium;M527025;X
527053;Head of State;Boris Shumyatsky;1936;1964;1999;SD;Die-hard Reformer;High;Shumyatksykai;X
527054;Head of State;Spiridon Merkulov;1936;1964;1999;SC;Insignificant Layman;High;MerkulovPkai;X
527055;Head of Government;Georgy Stark;1936;1964;1999;SC;Flamboyant Tough Guy;Very High;Starkkai;X
527056;Head of Government;Nikolay Uhtomski;1936;1964;1999;ML;Silent Workhorse;Very High;uhtomskikai;X
527057;Head of Government;Pyotr Nikiforov;1936;1964;1999;SD;Ambitious Union Boss;Very High;nikiforovkai;X
527058;Chief of Navy;Georgy Stark;1936;1964;1999;SC;Power Projection Doctrine;High;Starkkai;X
527059;Foreign Minister;Nikolai Merkulov;1936;1964;1999;SC;Ideological Crusader;High;Merkulovkai;X
527061;Foreign Minister;Genrich Eiche;1936;1964;1999;SD;Great Compromiser;High;GenrichEkai;X
527062;Head of Government;Anatoly Pepelyaev;1936;1964;1999;PA;Old General;High;kai_Anatoly Pepelyaev;X
527063;Chief of Staff;Anatoly Pepelyaev;1936;1964;1999;PA;School of Manoeuvre;High;kai_Anatoly Pepelyaev;X
527064;Minister of Armament;Anatoly Pepelyaev;1936;1964;1999;PA;Military Entrepreneur;High;kai_Anatoly Pepelyaev;X
527065;Chief of Staff;Mikhail Khanzhin;1936;1964;1999;SC;School of Fire Support;High;Khanzhin;X
527066;Chief of Army;Mikhail Khanzhin;1936;1964;1999;SC;Decisive Battle Doctrine;High;Khanzhin;X
527067;Chief of Air Force;Sergey Boyno-Rodzevich;1936;1964;1999;SC;Air Superiority Doctrine;High;Boyno-Rodzevich;X
