CUB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
33087;Head of Military Intelligence;Juan Valdéz Hilario;1940;1964;1999;ML;Logistics Specialist;Medium;M33016;X
33088;Head of Military Intelligence;Rafael Martinez Ortiz;1944;1964;1999;ML;Dismal Enigma;Medium;M33088;X
33089;Head of Military Intelligence;Ramon Grau San Martín;1936;1964;1999;SD;Political Specialist;Low;M33011;X
33090;Head of Military Intelligence;Carlos Hevia;1938;1964;1999;SD;Industrial Specialist;Low;M33015;X
33091;Head of Military Intelligence;Porfirio Franca;1940;1964;1999;SC;Dismal Enigma;Medium;M33066;X
33092;Head of Military Intelligence;Federico Laredo Brú;1944;1964;1999;PA;Technical Specialist;Medium;M33014;X
33093;Head of Military Intelligence;Juan Valdéz Hilario;1946;1964;1999;PA;Logistics Specialist;Medium;M33016;X
33094;Head of Military Intelligence;Antonio G. Holmes;1936;1964;1999;LWR;Dismal Enigma;Very Low;M33022;X
33095;Head of Military Intelligence;Fidel Castro;1944;1964;1999;LWR;Political Specialist;Very Low;M33095;X
33097;Chief of Staff;Fulgencio Batista;1936;1964;1999;SC;School of Mass Combat;Undying;M33097;X
33100;Chief of Staff;Juan Blas Hernandez;1936;1964;1999;LWR;School of Manoeuvre;Medium;M33027;X
33101;Minister of Security;Fidel Castro;1944;1964;1999;LWR;Man of the People;Very Low;M33095;X
33103;Chief of Army;Fulgencio Batista;1936;1964;1999;SC;Decisive Battle Doctrine;Undying;M33097;X
33106;Chief of Army;Juan Blas Hernandez;1936;1964;1999;LWR;Elastic Defence Doctrine;Medium;M33027;X
33107;Chief of Army;Raúl Castro;1944;1964;1999;LWR;Static Defence Doctrine;Medium;Raul;X
33109;Chief of Navy;Angel Gonzalez;1936;1964;1999;SC;Open Seas Doctrine;Medium;M33109;X
33112;Chief of Navy;Sandalio Junco;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M33025;X
33114;Chief of Air Force;Enrique C. Rolas;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M33020;X
33115;Chief of Air Force;Sergio Carbo;1944;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M33005;X
33118;Chief of Air Force;Palaez Menendez;1944;1964;1999;PA;Air Superiority Doctrine;High;M33118;X
33119;Chief of Air Force;Alvaro P. Quintana;1936;1964;1999;LWR;Air Superiority Doctrine;High;M33030;X
33120;Head of Military Intelligence;Gabriel de la Campa y Cuffi;1941;1964;1999;LWR;Technical Specialist;Low;M33085;X
33121;Head of Government;Raul Lopez y Castillo;1947;1964;1999;SC;Happy Amateur;High;M33121;X
33122;Head of Government;Manuel de Varona Loredo;1948;1964;1999;SC;Flamboyant Tough Guy;High;M33122;X
33123;Head of Government;Felix Lanchis Sanchez;1950;1964;1999;SC;Political Protege;High;M33123;X
33124;Head of Government;Oscar y Lopez-Martinez;1951;1964;1999;SC;Naive Optimist;High;M33124;X
33125;Foreign Minister;Carlos Prio Soccares;1947;1964;1999;SC;Ideological Crusader;Medium;M33125;X
33126;Minister of Security;Andres Perez Chaumont;1951;1964;1999;SC;Prince of Terror;Medium;M33126;X
33201;Head of State;Julio Antonio Mella;1936;1964;1999;LE;Die-hard Reformer;High;Kaiserreich_CUB_Julio_Antonio_Mella;X
33202;Head of Government;Fabio Grobart;1936;1964;1999;LE;Ambitious Union Boss;High;Kaiserreich_CUB_Fabio_Grobart;X
33203;Foreign Minister;Luis Amado-Blanco;1936;1964;1999;LE;Great Compromiser;High;Kaiserreich_CUB_Luis_Amado_Blanco;X
33204;Minister of Armament;Carlos Rafael Rodríguez;1936;1964;1999;LE;Resource Industrialist;High;Kaiserreich_CUB_Carlos_Rafael_Rodríguez;X
33205;Minister of Security;Roberto Agramonte;1936;1964;1999;LE;Crime Fighter;High;Kaiserreich_CUB_Roberto_Agramonte;X
33206;Head of Military Intelligence;Luis Amado-Blanco;1936;1964;1999;LE;Political Specialist;High;Kaiserreich_CUB_Luis_Amado_Blanco;X
33207;Chief of Staff;Alberto Bayo;1936;1964;1999;LE;School of Mass Combat;High;Kaiserreich_CUB_Alberto_Bayo;X
33208;Chief of Army;Alberto Bayo;1936;1964;1999;LE;Static Defence Doctrine;High;Kaiserreich_CUB_Alberto_Bayo;X
33210;Chief of Air Force;Mario Torres Menier;1936;1964;1999;LE;Air Superiority Doctrine;High;;X
33213;Foreign Minister;Roberto Agramonte;1936;1964;1999;LE;Biased Intellectual;High;Kaiserreich_CUB_Roberto_Agramonte;X
33216;Head of State;Raúl Castro;1944;1964;1999;LWR;Die-hard Reformer;Medium;Raul;X
33217;Foreign Minister;Raúl Castro;1944;1964;1999;LWR;Iron Fisted Brute;Medium;Raul;X
33218;Head of Government;Camilo Cienfuegos;1950;1964;1999;LWR;Happy Amateur;High;Cienfuegos;X
33219;Chief of Staff;Camilo Cienfuegos;1950;1964;1999;LWR;School of Mass Combat;High;Cienfuegos;X
33215;Minister of Security;Raúl Roa García;1936;1964;1999;LE;Silent Lawyer;High;Kaiserreich_CUB_Raúl_Roa_García;X
