CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
45069;Minister of Security;George W. Stephens;1944;1964;1999;ML;Compassionate Gentleman;Medium;M45069;X
45070;Minister of Security;Thomas A. Crerar;1936;1964;1999;SL;Man of the People;Very High;M45070;X
45071;Minister of Security;Gordon Graydon;1940;1964;1999;SC;Silent Lawyer;High;M45071;X
45072;Minister of Security;Louis St. Laurent;1936;1964;1999;ML;Silent Lawyer;High;M45042;X
45074;Minister of Security;Chuck Crate;1936;1964;1999;PA;Prince of Terror;Medium;M45015;X
45075;Minister of Security;Pierre St. Pierre;1937;1964;1999;PA;Man of the People;Medium;M45075;X
45076;Minister of Security;Thomas Adams;1941;1964;1999;PA;Compassionate Gentleman;Medium;M45076;X
45077;Minister of Security;Pierre Gagnon;1942;1964;1999;PA;Crime Fighter;Medium;M45062;X
45078;Minister of Security;Jean Couillard;1943;1964;1999;PA;Silent Lawyer;Medium;M45078;X
45079;Minister of Security;Robert Manion;1938;1964;1999;SC;Silent Lawyer;Medium;M45037;X
45080;Minister of Security;Tom McEwan;1936;1964;1999;LE;Crime Fighter;Medium;M45025;X
45081;Minister of Security;Robert Blackhawk;1940;1964;1999;LWR;Man of the People;Medium;M45081;X
45082;Minister of Security;Gino Verchiella;1941;1964;1999;LE;Efficient Sociopath;Medium;M45082;X
45083;Minister of Security;Quentin Piggott;1943;1964;1999;LE;Compassionate Gentleman;Medium;M45083;X
45085;Head of Military Intelligence;Herbert Brown Ames;1937;1964;1999;ML;Dismal Enigma;Very High;M45085;X
45086;Head of Military Intelligence;Kenneth Stuart;1936;1964;1999;ML;Logistics Specialist;Very High;M45086;X
45087;Head of Military Intelligence;Ralph Gibson;1944;1964;1999;ML;Industrial Specialist;High;M45087;X
45088;Head of Military Intelligence;Maurice Pope;1936;1964;1999;SC;Political Specialist;High;M45088;X
45089;Head of Military Intelligence;William G. Adams;1944;1964;1999;SC;Naval Intelligence Specialist;Medium;M45079;X
45090;Head of Military Intelligence;Andrew Greene Carnell;1936;1964;1999;PA;Political Specialist;Medium;M45016;X
45091;Head of Military Intelligence;Pierre Berton;1938;1964;1999;PA;Dismal Enigma;Medium;M45091;X
45092;Head of Military Intelligence;René St. Pierre;1941;1964;1999;PA;Industrial Specialist;Medium;M45061;X
45093;Head of Military Intelligence;Jean Couillard;1943;1964;1999;PA;Naval Intelligence Specialist;Medium;M45078;X
45094;Head of Military Intelligence;Jacques Robert;1936;1964;1999;LE;Political Specialist;Medium;M45094;X
45095;Head of Military Intelligence;John Lethbridge;1942;1964;1999;LE;Logistics Specialist;Medium;M45028;X
45096;Head of Military Intelligence;Jacques Richard;1943;1964;1999;LE;Naval Intelligence Specialist;Medium;M45096;X
45097;Head of Military Intelligence;William Dees;1945;1964;1999;LE;Technical Specialist;Medium;M45026;X
45099;Chief of Staff;Thomas Victor Anderson;1936;1964;1999;ML;School of Defence;High;M45099;X
45100;Chief of Staff;Henry Crerar;1937;1964;1999;ML;School of Psychology;High;M45006;X
45101;Chief of Staff;Kenneth Stuart;1936;1964;1999;ML;School of Mass Combat;Very High;M45086;X
45102;Chief of Staff;John Murchie;1940;1964;1999;SC;School of Fire Support;High;M45102;X
45103;Chief of Staff;Charles Foulkes;1944;1964;1999;SC;School of Manoeuvre;Very High;M45103;X
45104;Chief of Staff;Frederick M.W. Harvey;1936;1964;1999;PA;School of Mass Combat;Medium;M45017;X
45105;Chief of Staff;Robert M. Edwards;1936;1964;1999;LWR;School of Defence;Medium;M45065;X
45106;Chief of Staff;Samuel Cino;1943;1964;1999;LE;School of Fire Support;Medium;M45027;X
45167;Foreign Minister;Sidney Earle Smith;1936;1959;1999;SC;Biased Intellectual;Very High;CAN_EarleSmith;X
45108;Chief of Army;Thomas Victor Anderson;1936;1964;1999;ML;Static Defence Doctrine;High;M45099;X
45109;Chief of Army;Henry Crerar;1937;1964;1999;ML;Armoured Spearhead Doctrine;High;M45006;X
45110;Chief of Army;Kenneth Stuart;1936;1964;1999;ML;Decisive Battle Doctrine;Very High;M45086;X
45111;Chief of Army;John Murchie;1940;1964;1999;SC;Armoured Spearhead Doctrine;High;M45102;X
45112;Chief of Army;Charles Foulkes;1944;1964;1999;SC;Elastic Defence Doctrine;Very High;M45103;X
45113;Chief of Army;Frederick M.W. Harvey;1944;1964;1999;PA;Guns and Butter Doctrine;Medium;M45017;X
45114;Chief of Army;Jacques Robert;1936;1964;1999;LE;Static Defence Doctrine;Medium;M45094;X
45115;Chief of Army;John Lethbridge;1942;1964;1999;LE;Elastic Defence Doctrine;Medium;M45028;X
45118;Chief of Navy;Alasdair Murray;1936;1964;1999;PA;Base Control Doctrine;Medium;M45019;X
45119;Chief of Navy;Jean Couillard;1938;1964;1999;PA;Indirect Approach Doctrine;Medium;M45078;X
45120;Chief of Navy;John F. King;1936;1964;1999;LWR;Indirect Approach Doctrine;Medium;M45029;X
45121;Chief of Navy;Jacques Richard;1939;1964;1999;LE;Power Projection Doctrine;Medium;M45096;X
45123;Chief of Air Force;Joseph Roméo Vachon;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M45123;X
45124;Chief of Air Force;P.W. Oland;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M45020;X
45126;Chief of Air Force;Gino Verchiella;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M45082;X
45127;Chief of Air Force;Bob Mann;1943;1964;1999;LE;Army Aviation Doctrine;Medium;M45030;X
45128;Head of State;John Baron Tweedsmuir;1936;1964;1999;SC;Benevolent Gentleman;High;M45001;X
45129;Head of State;Sir Lyman Poore Duff;1940;1964;1999;SC;Popular Figurehead;High;M45129;X
45130;Head of State;Sir Lyman Poore Duff;1940;1964;1999;ML;Popular Figurehead;High;M45129;X
45131;Head of State;Augustus Earl of Athlone;1940;1964;1999;ML;Stern Imperialist;High;M45131;X
45132;Head of State;Augustus Earl of Athlone;1940;1964;1999;SC;Stern Imperialist;High;M45131;X
45133;Chief of Army;Harold Alexander;1936;1964;1999;SC;Static Defence Doctrine;High;L1006;X
45168;Foreign Minister;Howard Charles Green;1936;1970;1999;SC;Iron Fisted Brute;Very High;CAN_Green;X
45169;Foreign Minister;Charles Vincent Massey;1936;1970;1999;ML;Great Compromiser;Very High;CAN_Massey;X
45170;Minister of Armament;William Charles Good;1936;1970;1999;SD;Resource Industrialist;Very High;CAN_Good;X
45171;Foreign Minister;H. H. Stevens;1936;1970;1999;PA;Iron Fisted Brute;Very High;CAN_Stevens;X
45172;Head of Military Intelligence;Humphrey Mitchell;1936;1970;1999;SD;Political Specialist;Very High;CAN_Mitchell;X
45173;Minister of Armament;Kingsley Wood;1936;1954;1954;PA;Bank President;Very High;CAN_Wood;X
45179;Minister of Security;Maxwell Knight;1936;1968;1968;PA;Crime Fighter;Very High;M1094;X
45174;Head of Military Intelligence;Maxwell Knight;1936;1968;1968;PA;Logistics Specialist;Very High;M1094;X
45134;Chief of Staff;Harold Alexander;1936;1964;1999;SC;School of Defence;High;L1006;X
45135;Head of State;H.R.M. George V;1936;1964;1999;PA;Weary Stiffneck;High;M1001;X
45136;Head of State;H.R.M. Edward VIII;1936;1964;1999;FA;Revanchist Monarch;High;M1011;X
45137;Head of State;H.R.M. Edward VIII;1936;1964;1999;PA;Revanchist Monarch;High;M1011;X
45138;Head of State;H.R.M. Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
45139;Head of State;H.R.M. Edward VIII;1936;1964;1999;SL;Revanchist Monarch;High;M1011;X
45140;Head of State;H.R.M. Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
45141;Head of State;H.R.M. Edward VIII;1936;1964;1999;SD;Revanchist Monarch;High;M1011;X
45142;Chief of Staff;Sir Edmund Ironside;1936;1964;1999;SC;School of Manoeuvre;High;M1118;X
45143;Chief of Staff;Claude Auchinleck;1936;1964;1999;SC;School of Fire Support;High;Auchinleck;X
45144;Chief of Staff;Georges Vanier;1936;1964;1999;PA;School of Psychology;High;L52072;X
45145;Chief of Air Force;William Avery Bishop;1937;1964;1999;PA;Air Superiority Doctrine;High;L52099;X
45146;Chief of Navy;Sir Ernle Chatfield;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M1009;X
45147;Chief of Navy;Sir Roger Backhouse;1936;1940;1999;SC;Decisive Naval Battle Doctrine;High;M1137;X
45148;Chief of Navy;Dudley Pound;1937;1964;1999;SC;Open Seas Doctrine;Very High;M1140;X
45149;Head of State;Prince Albert;1936;1964;1999;ML;Benevolent Gentleman;High;M1033;X
45150;Head of State;Robert Brooke-Popham;1936;1964;1999;SC;Weary Stiffneck;High;L1051;X
45151;Head of State;Georges Vanier;1936;1964;1999;SC;Resigned Generalissimo;High;L52072;X
45152;Head of State;Frederick Banting;1936;1964;1999;ML;Popular Figurehead;High;kaissereich_CAN_Frederick_Banting;X
45153;Minister of Armament;C.B. MacPherson;1940;1964;1999;ML;Laissez-Faire Capitalist;High;KaiMacpherson;X
45154;Head of State;H.R.M. Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
45180;Head of Government;Sir Ernest Manning;1942;1964;1999;FA;Political Protege;Medium;Kaiserreich_Manning;X
45181;Foreign Minister;Sir Ernest Manning;1942;1964;1999;FA;Ideological Crusader;Medium;Kaiserreich_Manning;X
45182;Minister of Armament;Paul Hellyer;1954;1964;1999;ML;Theoretical Scientist;High;Kaiserreich_Hellyer;x
45183;Head of Government;Sir Donald Fleming;1950;1964;1999;SC;Corporate Suit;High;Kaiserreich_Fleming;x
45184;Foreign Minister;Sir Donald Fleming;1950;1964;1999;SC;Biased Intellectual;High;Kaiserreich_Fleming;x
45185;Minister of Armament;C.H. Douglas;1936;1964;1999;PA;Administrative Genius;Very High;Kaiserreich_Douglas;x
45186;Minister of Security;John Hargrave;1936;1964;1999;FA;Efficient Sociopath;Medium;Kaiserreich_Hargrave;x
45187;Head of Government;Sir Murdoch Alexander MacPherson;1944;1964;1999;SC;Silent Workhorse;High;Kaiserreich_Macpherson;x
45188;Foreign Minister;Sir Murdoch Alexander MacPherson;1944;1964;1999;SC;Iron fisted brute;High;Kaiserreich_Macpherson;x
45189;Minister of Armament;Sir Stephen Leacock;1936;1964;1999;SC;Resource Industrialist;Very High;Kaiserreich_Leacock;x
45190;Foreign Minister;Sir George A. Drew;1950;1964;1999;SC;Ideological Crusader;High;Kaiserreich_Drew;x 
45191;Head of Government;Sir George A. Drew;1950;1964;1999;SC;Backroom Backstabber;High;Kaiserreich_Drew;x 
45192;Minister of Armament;Sir Donald Fleming;1950;1964;1999;SC;Laissez-Faire Capitalist;Medium;Kaiserreich_Fleming;x 
45193;Foreign Minister;Sir William Aberhart;1936;1964;1999;FA;Ideological Crusader;Low;Kaiserreich_Aberhart;x
45194;Head of Government;Sir William Aberhart;1936;1964;1999;FA;Flamboyant Tough Guy;High;Kaiserreich_Aberhart;x
45195;Chief of Staff;Arthur Currie;1936;1964;1999;SC;school of fire support;High;kaiserreich_Currie;x 
45196;Chief of Army;Arthur Currie;1936;1964;1999;SC;decisive battle doctrine;High;kaiserreich_Currie;x 
45197;Chief of Staff;Archibald Montgomery-Massingberd;1936;1964;1999;SC;school of defence;High;kaiserreich_Montgomery-Massingberdy;x
45198;Chief of Army;Georges Vanier;1936;1964;1999;SC;elastic defence doctrine;Very High;L52072;x
