ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1307;Minister of Armament;Robert McIntyre;1944;1964;1999;LWR;Planned Economy Proponent;High;kaiserreich mcintyre;X
1308;Foreign Minister;Oliver Brown;1936;1964;1999;LWR;Iron Fisted Brute;High;kaiserreich obrown;X
1309;Minister of Security;Harold Nicolson;1936;1964;1999;LE;Crime Fighter;High;kaiserreich hnicolson;X
1310;Foreign Minister;Mary Agnes Hamilton;1936;1964;1999;LE;Great Compromiser;High;kaiserreich mhamilton;X
1311;Head of State;Sidney Webb;1936;1947;1947;SD;Popular Figurehead;Medium;kaiserreich webb1;X
1312;Head of Government;Beatrice Webb;1936;1943;1943;SD;Naive Optimist;Medium;kaiserreich webb2;X
1313;Head of State;Roy Jenkins;1946;1964;1999;SD;Insignificant Layman;High;kaiserreich royjenkins;X
1314;Foreign Minister;Ishbel MacDonald;1936;1964;1999;SD;Great Compromiser;High;kaiserreich ishbelmacdonald;X
1315;Minister of Armament;Malcom MacDonald;1936;1964;1999;SD;Mixed Economy;High;kaiserreich malcommacdonald;X
1316;Head of Government;Arthur Greenwood;1936;1954;1954;LWR;Naive Optimist;Very High;kaiserreich greenwood;X
1317;Head of Government;Tony Greenwood;1942;1964;1999;SD;Silent Workhorse;Very High;kaiserreich tonygreenwood;X
1318;Minister of Armament;Alliott Verdon Roe;1936;1964;1999;ST;Air Superiority Proponent;Very High;kaiserreich roe;X
1319;Chief of Army;Nicholas Mosley;1948;1964;1999;LWR;Commando Doctrine Army;Medium;kaiserreich nmosley;X
1320;Minister of Security;Hugh MacDiarmid;1936;1964;1999;LE;Compassionate Gentleman;Medium;kaiserreich macdiarmid;X
