CAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
572059;Chief of Staff;Robert M. Cannon;1945;1970;1999;SC;School of Fire Support;Very High;L60089;X
572060;Head of Military Intelligence;Walter Short;1936;1950;1999;SC;Logistics Specialist;Very High;Kaiserreich_Walter_short;X
572061;Head of Government;Henry Arnold;1936;1951;1999;SC;Old Airmarshal;High;M6167;X
572062;Head of State;Henry Arnold;1936;1951;1999;SC;Resigned Generalissimo;High;M6167;X
572063;Foreign Minister;Edwin T. Layton;1937;1970;1999;SD;General Staffer;High;Kaiserreich_Layton;X
572064;Minister of Security;Walter Short;1936;1950;1999;SC;Silent Lawyer;High;Kaiserreich_Walter_short;X
572065;Head of Military Intelligence;Edwin T. Layton;1937;1970;1999;SD;Naval Intelligence Specialist;High;Kaiserreich_Layton;X
572066;Chief of Navy;Richmond Turner;1936;1961;1999;SC;Power Projection Doctrine;High;Richmond_K;X
572067;Head of Government;Clarence D. Martin;1936;1956;1999;ML;Silent Workhorse;High;mayor_martin_lg;X
572068;Head of State;Culbert Levy Olson;1936;1962;1999;SD;Die-hard Reformer;High;kaiserreich culbert_olson;X
572069;Head of Government;William Myron Keck;1936;1964;1999;SC;Smiling Oilman;High;williamkeck;X
572070;Foreign Minister;William H. Standley;1936;1964;1999;SC;General Staffer;High;Standley;X
572071;Foreign Minister;Sheridan Downey;1938;1962;1999;SL;Great Compromiser;High;downey;X
572072;Foreign Minister;Homer Truett Bone;1936;1970;1999;SL;Biased Intellectual;High;homerbone;X
572073;Foreign Minister;Franck R. Havenner;1936;1968;1999;SC;Apologetic Clerk;High;MFranck_Roberts_Havenner;X
572074;Head of Government;Glen H. Taylor;1942;1970;1999;SD;Flamboyant Tough Guy;High;MGlen_Hearst_Taylor;X
572075;Head of Government;Charles A. Sprague;1938;1969;1999;ML;Silent Workhorse;High;MCharles_Arthur_Sprague;X
572214;Foreign Minister;Charles A. Sprague;1938;1969;1999;ML;Apologetic Clerk;High;MCharles_Arthur_Sprague;X
572076;Minister of Security;Charles A. Sprague;1938;1969;1999;ML;Media Magnate;High;MCharles_Arthur_Sprague;X
572077;Head of Government;J. Bracken Lee;1944;1970;1999;SC;Pragmatic Statesman;High;MJoseph_Bracken_Lee;X
572213;Head of State;J. Bracken Lee;1944;1970;1999;SC;Benevolent Gentleman;High;MJoseph_Bracken_Lee;X
572078;Minister of Armament;J. Bracken Lee;1944;1970;1999;SC;Balanced Budget Economy;High;MJoseph_Bracken_Lee;X
572079;Minister of Security;Thomas M. Storke;1939;1970;1999;SL;Media Magnate;High;MThomas_More_Storke;X
572080;Foreign Minister;William F. Knowland;1945;1970;1999;PA;Biased Intellectual;High;MWilliam_Fife_Knowland;X
572081;Minister of Security;Thomas Kuchel;1946;1970;1999;SC;Silent Lawyer;High;MThomas_Henry_Kuchel;X
572082;Minister of Security;Clair Engle;1942;1964;1999;SL;Compassionate Gentleman;High;MClair_Engle;X
572083;Chief of Navy;James O. Richardson;1936;1970;1999;ML;Hydrographic Service Proponent;High;LJames_Otto_Richardson;X
572084;Chief of Navy;Robert Ghormley;1936;1958;1999;SC;Decisive Naval Battle Doctrine;High;L60406;X
572085;Chief of Navy;Thomas C. Hart;1936;1970;1999;ML;Open Seas Doctrine;High;L60417;X
572086;Minister of Armament;Thomas C. Hart;1936;1970;1999;ML;Submarine Proponent;High;L60417;X
572087;Minister of Armament;Richmond Turner;1936;1961;1999;SC;Carrier Proponent;High;Richmond_K;X
572088;Chief of Navy;Wilhelm L. Friedell;1936;1958;1999;SC;Indirect Approach Doctrine;High;LWilhelm_Lee_Friedell;X
572089;Head of Military Intelligence;Stanford C. Hooper;1936;1955;1999;ML;Technical Specialist;High;LStanford_Caldwell_Hooper;X
572090;Chief of Navy;Jesse Oldendorf;1942;1970;1999;ML;Decisive Naval Battle Doctrine;High;LStanford_Caldwell_Hooper;X
572091;Minister of Armament;Jesse Oldendorf;1942;1970;1999;ML;Battle Fleet Proponent;High;LStanford_Caldwell_Hooper;X
572211;Head of Military Intelligence;John Fujio Aiso;1936;1970;1999;ML;Political Specialist;High;CAL_John Aiso;X
572092;Chief of Air Force;DeWitt Ramsey;1938;1962;1999;SC;Naval Aviation Doctrine;High;LDeWitt_Clinton_Ramsey;X
572093;Minister of Armament;DeWitt Ramsey;1938;1962;1999;SC;Air to Sea Proponent;High;LDeWitt_Clinton_Ramsey;X
572094;Chief of Navy;Donald Beary;1937;1966;1999;ML;Merchant Navy Focus;High;L60382;X
572095;Chief of Navy;Daniel Barbey;1937;1969;1999;SC;Base Control Doctrine;High;L60381;X
572096;Chief of Navy;Harry W. Hill;1943;1970;1999;SC;Open Seas Doctrine;High;L60420;X
572097;Chief of Navy;Arthur Struble;1948;1970;1999;ML;Open Seas Doctrine;High;LArthur_Dewey_Struble;X
572098;Chief of Navy;James Fife Jr.;1944;1970;1999;SC;Indirect Approach Doctrine;High;L60403;X
572099;Chief of Navy;William Fechteler;1947;1970;1999;SC;Decisive Naval Battle Doctrine;High;L60402;X
572100;Chief of Navy;William M. Callaghan;1946;1970;1999;SL;Merchant Navy Focus;High;LWilliam_McCombe_Callaghan;X
572101;Chief of Navy;James S. Russell;1953;1970;1999;ML;Power Projection Doctrine;High;LJames_Sargent_Russell;X
572102;Chief of Air Force;James S. Russell;1953;1970;1999;ML;Naval Aviation Doctrine;High;LJames_Sargent_Russell;X
572103;Minister of Armament;James S. Russell;1953;1970;1999;ML;Air to Sea Proponent;High;LJames_Sargent_Russell;X
572104;Chief of Staff;John H. Sides;1950;1970;1999;SC;Strategic Missile Focus;High;LJohn_Harold_Sides;X
572105;Chief of Navy;John H. Sides;1950;1970;1999;SC;Power Projection Doctrine;High;LJohn_Harold_Sides;X
572106;Chief of Air Force;Millard Harmon Jr.;1936;1964;1999;ML;Air Superiority Doctrine;High;L60522;X
572107;Chief of Air Force;Leo A. Walton;1940;1962;1999;SC;Army Aviation Doctrine;High;L60564;X
572108;Chief of Air Force;Edwin B. Lyon;1940;1970;1999;ML;Army Aviation Doctrine;High;LEdwin_Bowman_Lyon;X
572109;Minister of Armament;Edwin B. Lyon;1940;1970;1999;ML;Air to Ground Proponent;High;LEdwin_Bowman_Lyon;X
572110;Chief of Air Force;John K. Cannon;1943;1964;1999;SC;Tactical Aviation Doctrine;High;L60495;X
572111;Chief of Air Force;Muir Fairchild;1942;1964;1999;SC;Carpet Bombing Doctrine;High;LMuir_Stephen_Fairchild;X
572112;Minister of Armament;Muir Fairchild;1942;1964;1999;SC;Strategic Air Proponent;High;LMuir_Stephen_Fairchild;X
572113;Minister of Armament;Edward Heinemann;1936;1970;1999;ML;Air to Ground Proponent;High;LEdward_Henry_Heinemann;X
572114;Minister of Armament;Arthur E. Raymond;1936;1970;1999;ML;Strategic Air Proponent;High;LArthur_Emmons_Raymond;X
572115;Minister of Armament;Apollo M.O. Smith;1942;1970;1999;ML;Air Superiority Proponent;High;LApollo_Milton_Olin_Smith;X
572116;Head of Military Intelligence;Don Z. Zimmerman;1942;1970;1999;ML;Technical Specialist;High;LDon_Zabriskie_Zimmerman;X
572117;Foreign Minister;Oliver S. Picher;1948;1970;1999;SC;General Staffer;High;LOliver_Stanton_Picher;X
572118;Chief of Air Force;Oliver S. Picher;1948;1970;1999;SC;Carpet Bombing Doctrine;High;LOliver_Stanton_Picher;X
572119;Chief of Air Force;Frederick Castle;1946;1970;1999;SL;Carpet Bombing Doctrine;High;Walter;X
572120;Chief of Air Force;Richard C. Mangrum;1952;1970;1999;SC;Naval Aviation Doctrine;High;LRichard_C_Mangrum;X
572121;Chief of Air Force;Stephen Jurika;1946;1970;1999;PA;Naval Aviation Doctrine;High;LStephen_Jurika;X
572122;Head of Military Intelligence;Stephen Jurika;1946;1970;1999;PA;Naval Intelligence Specialist;High;LStephen_Jurika;X
572123;Chief of Air Force;John C. Herbst;1953;1970;1999;ML;Air Superiority Doctrine;High;LJohn_Coleman_Herbst;X
572124;Chief of Air Force;James Ferguson;1952;1970;1999;ML;Tactical Aviation Doctrine;High;LJames_Ferguson;X
572125;Head of Military Intelligence;Robert G. Emmens;1948;1970;1999;SC;Dismal Enigma;High;LRobert_Gabel_Emmens;X
572126;Minister of Armament;Val Allen Browning;1936;1970;1999;ML;Military Entrepreneur;High;MVal_Allen_Browning;X
572127;Minister of Armament;George S. Eccles;1936;1970;1999;SC;Bank President;High;MGeorge_S_Eccles;X
572128;Minister of Armament;Joshua Green;1936;1949;1999;ML;Administrative Genius;High;MJoshua_Green;X
572129;Minister of Armament;Frederick C. Finkle;1936;1949;1999;ML;Construction Magnate;High;MFrederick_C_Finkle;X
572130;Minister of Armament;Daniel Jackling;1936;1956;1999;SC;Steel Magnate;High;MDaniel_Cowan_Jackling;X
572131;Minister of Armament;Harvey S. Mudd;1936;1955;1999;ML;Steel Magnate;High;MHarvey_Seeley_Mudd;X
572132;Minister of Armament;Reuben Fleet;1936;1970;1999;ML;Industrialiser;High;MReuben_Hollis_Fleet;X
572133;Minister of Armament;Armen Alchian;1946;1970;1999;ML;Laissez-Faire Capitalist;High;MArmen_Alchian;X
572134;Minister of Armament;Louis O. Kelso;1946;1970;1999;SL;Mixed Economy;High;MLouis_Orth_Kelso;X
572135;Head of Military Intelligence;Louis O. Kelso;1946;1970;1999;SL;Industrial Specialist;High;MLouis_Orth_Kelso;X
572136;Chief of Army;Albert Bowley Sr.;1936;1946;1999;SC;Static Defence Doctrine;High;L60051;X
572137;Chief of Army;Benjamin Lear;1936;1954;1999;SC;Old Cavalry General;High;L60240;X
572138;Head of Military Intelligence;George Grunert;1936;1970;1999;ML;Logistics Specialist;High;L60186;X
572139;Chief of Army;George Grunert;1936;1970;1999;ML;Guns and Butter Doctrine;High;L60186;X
572140;Chief of Staff;Charles F.B. Price;1936;1954;1999;SC;School of Defence;High;LCharles_FB_Price;X
572141;Chief of Navy;Henry T. Burgin;1936;1958;1999;ML;Coastal Defence Doctrine;High;LHenry_Tacitus_Burgin;X
572142;Minister of Armament;H. Conger Pratt;1936;1966;1999;ML;Reformer;High;LHenry_Conger_Pratt;X
572143;Chief of Staff;H. Conger Pratt;1936;1966;1999;ML;School of Manoeuvre;High;LHenry_Conger_Pratt;X
572144;Chief of Army;H. Conger Pratt;1936;1966;1999;ML;Elastic Defence Doctrine;High;LHenry_Conger_Pratt;X
572145;Chief of Army;Jonathan Wainwright;1938;1954;1999;SC;Elastic Defence Doctrine;High;L60359;X
572146;Minister of Armament;Oscar Griswold;1936;1959;1999;ML;Infantry Proponent;High;L60182;X
572147;Chief of Army;Clarence L. Sturdevant;1936;1951;1999;ML;Combat Engineering Doctrine;High;LClarence_Lynn_Sturdevant;X
572148;Chief of Air Force;Robert M. Perkins;1939;1960;1999;ML;Air Defence Doctrine;High;LRobert_Meredith_Perkins;X
572149;Chief of Staff;Geoffrey Keyes;1940;1967;1999;SC;School of Manoeuvre;High;L60231;X
572150;Chief of Army;Sereno Brett;1937;1953;1999;ML;Armoured Spearhead Doctrine;High;L60062;X
572151;Minister of Armament;Sereno Brett;1937;1953;1999;ML;Tank Proponent;High;L60062;X
572152;Chief of Staff;George W. Sliney;1944;1966;1999;ML;School of Fire Support;High;LGeorge_Wesley_Sliney;X
572153;Chief of Army;George W. Sliney;1944;1966;1999;ML;Decisive Battle Doctrine;High;LGeorge_Wesley_Sliney;X
572154;Head of Military Intelligence;Burton C. Andrus;1942;1970;1999;SL;Logistics Specialist;High;LBurton_Curtis_Andrus;X
572155;Minister of Security;Burton C. Andrus;1942;1970;1999;SL;Crime Fighter;High;LBurton_Curtis_Andrus;X
572156;Chief of Staff;Wilhelm Styer;1942;1970;1999;ML;School of Defence;High;LWilhelm_Delp_Styer;X
572157;Chief of Army;Wilhelm Styer;1942;1970;1999;ML;Static Defence Doctrine;High;LWilhelm_Delp_Styer;X
572158;Head of Military Intelligence;Wilhelm Styer;1942;1970;1999;ML;Industrial Specialist;High;LWilhelm_Delp_Styer;X
572159;Chief of Army;Arthur R. Wilson;1940;1957;1999;SC;Guns and Butter Doctrine;High;LArthur_Riehl_Wilson;X
572160;Head of Military Intelligence;Boniface Campbell;1946;1970;1999;SC;Counterintelligence Specialist;High;LBoniface_Campbell;X
572161;Chief of Air Force;William M. Miley;1942;1970;1999;ML;Vertical Envelopment Doctrine;High;L60272;X
572162;Chief of Staff;James G. Christiansen;1943;1970;1999;ML;School of Manoeuvre;High;L60096;X
572163;Chief of Staff;Ray A. Robinson;1946;1970;1999;ML;School of Psychology;High;LRay_Albert_Robinson;X
572164;Chief of Army;Ray A. Robinson;1946;1970;1999;ML;Doctrine of Autonomy;High;LRay_Albert_Robinson;X
572165;Chief of Air Force;Claude A. Larkin;1942;1970;1999;SC;Air Superiority Doctrine;High;L60236;X
572166;Head of Military Intelligence;Edwin K. Wright;1946;1970;1999;SC;Dismal Enigma;High;MEdwin_Kennedy_Wright;X
572167;Foreign Minister;John W. Middleton;1945;1970;1999;ML;General Staffer;High;LJohn_William_Middleton;X
572168;Chief of Air Force;Robert M. Montague;1946;1964;1999;ML;Air Defence Doctrine;High;L60277;X
572169;Chief of Staff;George W. Read Jr.;1950;1970;1999;ML;School of Manoeuvre;High;L60305;X
572170;Chief of Army;George W. Read Jr.;1950;1970;1999;ML;Armoured Spearhead Doctrine;High;L60305;X
572171;Chief of Army;William F. Cassidy;1947;1970;1999;ML;Static Defence Doctrine;High;LWilliam_F_Cassidy;X
572172;Chief of Staff;William F. Cassidy;1947;1970;1999;ML;School of Defence;High;LWilliam_F_Cassidy;X
572173;Chief of Staff;Robert T. Frederick;1943;1970;1999;ML;Commando Doctrine Staff;High;L60160;X
572174;Chief of Army;Robert T. Frederick;1943;1970;1999;ML;Commando Doctrine Army;High;L60160;X
572175;Chief of Army;Francis McAlister;1946;1970;1999;SC;Combat Engineering Doctrine;High;LFrancis_Marion_McAlister;X
572176;Chief of Navy;Francis McAlister;1946;1970;1999;SC;Base Control Doctrine;High;LFrancis_Marion_McAlister;X
572177;Head of Military Intelligence;Francis McAlister;1946;1970;1999;SC;Logistics Specialist;High;LFrancis_Marion_McAlister;X
572178;Chief of Staff;Herbert B. Powell;1951;1970;1999;SL;School of Mass Combat;High;LHerbert_Butler_Powell;X
572179;Chief of Army;Herbert B. Powell;1951;1970;1999;SL;Guns and Butter Doctrine;High;LHerbert_Butler_Powell;X
572180;Minister of Armament;Ernest Lawrence;1936;1959;1999;ML;Theoretical Scientist;High;MErnest_Lawrence;X
572181;Minister of Armament;Robert G. Sproul;1936;1970;1999;SL;Theoretical Scientist;High;MRobert_Gordon_Sproul;X
572182;Minister of Armament;Stephen Bechtel Sr.;1936;1970;1999;ML;Construction Magnate;High;MStephen_Davison_Bechtel;X
572183;Head of State;Kenneth B. Wolfe;1948;1970;1999;SC;Resigned Generalissimo;High;MKenneth_Bonner_Wolfe;X
572184;Head of Government;Kenneth B. Wolfe;1948;1970;1999;SC;Old Airmarshal;High;MKenneth_Bonner_Wolfe;X
572185;Minister of Armament;Kenneth B. Wolfe;1948;1970;1999;SC;Strategic Air Proponent;High;MKenneth_Bonner_Wolfe;X
572186;Head of State;Arthur Langlie;1948;1967;1999;SC;Weary Stiffneck;High;MArthur_Bernard_Langlie;X
572187;Head of Government;Arthur Langlie;1941;1967;1999;SC;Corporate Suit;High;MArthur_Bernard_Langlie;X
572188;Foreign Minister;Arthur Langlie;1941;1967;1999;SC;Ideological Crusader;High;MArthur_Bernard_Langlie;X
572189;Head of State;Edmund 'Pat' Brown;1950;1970;1999;SD;Die-hard Reformer;High;MEdmund_Gerald_Brown;X
572190;Head of Government;Edmund 'Pat' Brown;1950;1970;1999;SD;Silent Workhorse;High;MEdmund_Gerald_Brown;X
572191;Minister of Armament;Edmund 'Pat' Brown;1950;1970;1999;SD;Administrative Genius;High;MEdmund_Gerald_Brown;X
572192;Minister of Security;Edmund 'Pat' Brown;1943;1970;1999;SD;Silent Lawyer;High;MEdmund_Gerald_Brown;X
572193;Head of State;Warren Magnuson;1950;1970;1999;SL;Benevolent Gentleman;High;MWarren_Magnuson;X
572194;Head of Government;Warren Magnuson;1944;1970;1999;SL;Respected War Hero;High;MWarren_Magnuson;X
572195;Minister of Security;Warren Magnuson;1944;1970;1999;SL;Man of the People;High;MWarren_Magnuson;X
572196;Head of State;Henry M. Jackson;1952;1970;1999;ML;Reformist Soldierhos;High;MHenry_Martin_Jackson;X
572197;Head of Government;Henry M. Jackson;1946;1970;1999;ML;Reformist Soldierhog;High;MHenry_Martin_Jackson;X
572198;Foreign Minister;Henry M. Jackson;1946;1970;1999;ML;General Staffer;High;MHenry_Martin_Jackson;X
572199;Minister of Security;Henry M. Jackson;1946;1970;1999;ML;Compassionate Gentleman;High;MHenry_Martin_Jackson;X
572200;Minister of Armament;Dave Beck;1936;1970;1999;SD;Corrupt Kleptocrat;High;CAL Dave Beck;X
572201;Minister of Security;Jeffery Cohelan;1953;1970;1999;SD;Health and Safety;High;CAL Jeffery Cohelan;X
572202;Foreign Minister;Clara Fraser;1945;1970;1999;LE;Ideological Crusader;High;CAL Clara Fraser;X
572203;Head of Military Intelligence;Willard Earl Givens;1936;1970;1999;SD;Technical Specialist;High;CAL Willard Earl Givens;X
572204;Foreign Minister;John Henning;1950;1970;1999;SD;Biased Intellectual;Very High;CAL John_f_henning;X
572205;Minister of Armament;Larry Itliong;1940;1970;1999;LE;Keynesian Economy;High;CAL Larry Itliong;X
572206;Minister of Security;William Ross Knudsen;1936;1970;1999;LE;Man of the People;High;CAL William Ross Knudsen;X
572207;Minister of Armament;Gilbert Padilla;1945;1970;1999;LWR;Construction Magnate;High;CAL Gilbert Padilla;X
572208;Minister of Armament;Carl Breer;1936;1970;1999;SL;Motorisation Proponent;High;MCarl_Breer;X
572209;Minister of Armament;Paul Pigott;1936;1961;1999;SC;Motorisation Proponent;High;MPaul_Pigott;X
572210;Minister of Armament;Paul Emmett;1943;1970;1999;ML;Industrial Chemist;High;MPaul_Hugh_Emmett;X
