CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
44040;Head of Government;Salvador Allende;1945;1964;1999;LWR;Ambitious Union Boss;High;M44039;x
44041;Head of Government;Carlos Ibáñez del Campo;1946;1964;1999;SC;Old General;High;M44035;x
44042;Head of Government;Alfredo Duhalde Vasquez;1946;1964;1999;SD;Naive Optimist;High;M44159;x
44043;Head of Government;Gabriel Gonzalez Videla;1946;1964;1999;SD;Backroom Backstabber;High;M44033;x
44044;Foreign Minister;Jorge Gonzalez von Mareés;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich jorgegonzalezvonmarees;x
44045;Foreign Minister;J.R.Guiterréz Allende;1936;1964;1999;SL;Biased Intellectual;High;M44059;x
44046;Foreign Minister;Luis Arteaga Garcia;1938;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M44023;x
44047;Foreign Minister;Luis Arteaga Garcia;1938;1964;1999;LE;The Cloak N Dagger Schemer;Medium;M44023;x
44048;Foreign Minister;Abraham Ortega Aguayo;1938;1964;1999;SD;Iron Fisted Brute;Medium;M44051;x
44049;Foreign Minister;Carlos D. Soto;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M44063;x
44050;Foreign Minister;Cristobál Saénz Cerda;1940;1964;1999;SD;Apologetic Clerk;Medium;M44052;x
44051;Foreign Minister;Manuel Mora Miranda;1940;1964;1999;SD;Great Compromiser;Medium;M44045;x
44052;Foreign Minister;Manuel Bianchi Gúndian;1940;1964;1999;SD;Iron Fisted Brute;Medium;M44054;x
44053;Foreign Minister;Luis Alamos Barros;1941;1964;1999;SD;Ideological Crusader;High;M44055;x
44054;Foreign Minister;Ernesto Barras Jarpa;1942;1964;1999;SD;General Staffer;Medium;M44056;x
44055;Foreign Minister;J. Fernandez y Fernandéz;1942;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M44057;x
44056;Foreign Minister;Raúl Juliet Gómez;1945;1964;1999;SD;Apologetic Clerk;Medium;M44058;x
44057;Foreign Minister;Miguel Cruchaga Tocornal;1942;1964;1999;PA;Iron Fisted Brute;Medium;M44003;x
44058;Foreign Minister;Francisco O'Ryan Orrego;1942;1964;1999;SC;General Staffer;Medium;M44062;x
44059;Foreign Minister;Luis Renard Valenzuela;1936;1964;1999;SC;Apologetic Clerk;High;M44064;x
44060;Foreign Minister;Fernando Brown Morales;1946;1964;1999;LWR;Apologetic Clerk;Medium;M44067;x
44061;Minister of Armament;Ramón Callís;1936;1964;1999;FA;Infantry Proponent;Low;M44014;x
44062;Minister of Armament;José Luis Sánchez Besa;1936;1964;1999;SL;Air to Ground Proponent;High;M44076;x
44063;Minister of Armament;Cristobál Saénz Cerda;1938;1964;1999;SL;Administrative Genius;Medium;M44052;x
44064;Minister of Armament;Enrique Villegas;1938;1964;1999;SC;laissez-faire capitalist;High;M44078;x
44065;Minister of Armament;Carlos Garcia Palacios;1938;1964;1999;SD;Theoretical Scientist;High;M44068;x
44066;Minister of Armament;Juan Rios Morales;1938;1964;1999;SD;Resource Industrialist;High;M44069;x
44067;Minister of Armament;C.L. Blest Riffo;1938;1964;1999;LE;Theoretical Scientist;Very Low;M44022;x
44068;Minister of Armament;Victor Larens Quijada;1939;1964;1999;SC;Submarine Proponent;High;M44079;x
44069;Minister of Armament;Luis Alamos Barros;1939;1964;1999;SD;Infantry Proponent;High;M44055;x
44070;Minister of Armament;Pedro Aguirre Cerda;1940;1964;1999;SD;laissez-faire capitalist;Medium;M44031;x
44071;Minister of Armament;Carlos Fuentes Rabe;1941;1964;1999;SD;Military Entrepreneur;High;M44072;x
44072;Minister of Armament;Francisco Walker Linares;1942;1964;1999;SD;Tank Proponent;Very High;M44073;x
44073;Minister of Armament;Francisco O'Ryan Orrego;1943;1964;1999;SC;Battle Fleet Proponent;Medium;M44062;x
44074;Minister of Armament;Ernesto Barras Jarpa;1942;1964;1999;PA;Corrupt Kleptocrat;Medium;M44056;x
44075;Minister of Armament;Manuel Bianchi Gúndian;1942;1964;1999;PA;Infantry Proponent;Medium;M44054;x
44076;Minister of Armament;Augustin Edwards;1936;1964;1999;LE;Air Superiority Proponent;Medium;M44089;x
44078;Minister of Armament;Dario Mujica Gamboa;1944;1964;1999;SD;Air Superiority Proponent;Medium;M44010;x
44079;Minister of Armament;Carlos Puga Monsalve;1944;1964;1999;FA;Air to Sea Proponent;High;M44087;x
44080;Minister of Armament;Aurelio Celedon Palma;1946;1964;1999;LWR;Strategic Air Proponent;High;M44090;x
44081;Minister of Armament;Manuel C. Pereira;1946;1964;1999;SD;Resource Industrialist;High;M44075;x
44082;Minister of Armament;Misael Galleguillos;1946;1964;1999;SC;Corrupt Kleptocrat;Low;M44012;x
44083;Minister of Armament;Gustavo Ross Santa Maria;1946;1964;1999;SC;Administrative Genius;Medium;M44002;x
44084;Minister of Security;Abraham Ortega Aguayo;1936;1964;1999;SL;Crime Fighter;Medium;M44051;x
44085;Minister of Security;Carlos Ibáñez del Campo;1936;1964;1999;PA;Man of the People;Medium;M44035;x
44086;Minister of Security;Antonio Huneeus;1937;1964;1999;SL;Man of the People;High;M44095;x
44087;Minister of Security;Carlos Keller;1938;1964;1999;FA;Back Stabber;Low;M44015;x
44088;Minister of Security;Marmaduke Grove;1938;1964;1999;LE;Man of the People;Medium;M44021;x
44089;Minister of Security;Miguel Gonzalez Rios;1938;1964;1999;SL;Crooked Kleptocrat;Medium;M44096;x
44090;Minister of Security;Manuel Salinas;1938;1964;1999;SD;Silent Lawyer;High;M44091;x
44091;Minister of Security;Manuel Mora Miranda;1941;1964;1999;SD;Back Stabber;Medium;M44045;x
44092;Minister of Security;Dario Mujica Gamboa;1942;1964;1999;SD;Efficient Sociopath;Medium;M44010;x
44093;Minister of Security;Vicente Merino Bielich;1942;1964;1999;PA;Prince of Terror;Medium;M44102;x
44094;Minister of Security;J.R.Guiterréz Allende;1942;1964;1999;SC;Crime Fighter;High;M44059;x
44095;Minister of Security;Manuel Rivas Vicuna;1943;1964;1999;SC;Prince of Terror;High;M44099;x
44096;Minister of Security;Cristobál Saénz Cerda;1945;1964;1999;LWR;Prince of Terror;Medium;M44052;x
44097;Minister of Security;Antonio J. Rios;1936;1964;1999;SD;Prince of Terror;High;M44032;x
44098;Minister of Security;Ernesto Barras Jarpa;1946;1964;1999;SC;Crooked Kleptocrat;Medium;M44056;x
44099;Head of Military Intelligence;Carlos Fuentes Rabe;1936;1964;1999;SL;Industrial Specialist;High;M44072;x
44100;Head of Military Intelligence;Ariosto Herrera;1936;1964;1999;FA;Logistics Specialist;High;M44016;x
44101;Head of Military Intelligence;Julio Allard Pinto;1938;1964;1999;LE;Political Specialist;Medium;M44006;x
44102;Head of Military Intelligence;Federico Escamante;1938;1964;1999;SD;Logistics Specialist;Medium;M44106;x
44103;Head of Military Intelligence;Carlos Puga Monsalve;1936;1964;1999;SL;Technical Specialist;High;M44087;x
44104;Head of Military Intelligence;Juan Rios Morales;1941;1964;1999;SD;Dismal Enigma;High;M44069;x
44105;Head of Military Intelligence;Eduardo Hillman;1942;1964;1999;SD;Naval Intelligence Specialist;High;M44004;x
44106;Head of Military Intelligence;Victor Larens Quijada;1942;1964;1999;SC;Naval Intelligence Specialist;High;M44079;x
44107;Head of Military Intelligence;Federico Claude;1943;1964;1999;SL;Industrial Specialist;High;M44115;x
44108;Head of Military Intelligence;Salvador Allende;1943;1964;1999;SD;Industrial Specialist;Low;M44039;x
44109;Head of Military Intelligence;Pietro Campos Valenzana;1944;1964;1999;PA;Industrial Specialist;High;M44118;x
44110;Head of Military Intelligence;Dario Mujica Gamboa;1946;1964;1999;SD;Technical Specialist;Medium;M44010;x
44111;Head of Military Intelligence;Dario Cellejas Rojas;1946;1964;1999;SC;Logistics Specialist;Medium;M44116;x
44112;Chief of Staff;Carlos Puga Monsalve;1936;1964;1999;SL;School of Mass Combat;High;M44087;x
44113;Chief of Staff;E. Novoa Fuentes;1936;1964;1999;PA;School of Defence;Medium;M44008;x
44114;Chief of Staff;Diaz Valderrama;1936;1964;1999;FA;School of Defence;Very Low;M44017;x
44115;Chief of Staff;Gustavo Silva;1938;1964;1999;LE;School of Manoeuvre;Medium;M44027;x
44116;Chief of Staff;Ernesto M. Orlando;1938;1964;1999;SD;School of Mass Combat;High;M44121;x
44117;Chief of Staff;Dario Cellejas Rojas;1942;1964;1999;SC;School of Psychology;Medium;M44116;x
44118;Chief of Staff;Raul Array Stiglich;1944;1964;1999;SC;School of Manoeuvre;Medium;M44125;x
44119;Chief of Staff;Arturo Espinoza Mujica;1945;1964;1999;SC;School of Fire Support;High;M44122;x
44120;Chief of Staff;Luis Vidal Vargas;1946;1964;1999;SC;School of Fire Support;Medium;M44126;x
44121;Chief of Army;Carlos Fuentes Rabe;1936;1964;1999;SL;Decisive Battle Doctrine;High;M44072;x
44122;Chief of Army;Diaz Valderrama;1936;1964;1999;FA;Static Defence Doctrine;Medium;M44017;x
44123;Chief of Army;Julio Allard Pinto;1936;1964;1999;LE;Elastic Defence Doctrine;Medium;M44006;x
44124;Chief of Army;Luis Otero Mujica;1938;1964;1999;SD;Armoured Spearhead Doctrine;High;M44130;x
44125;Chief of Army;Rafael Fernandez Reyes;1942;1964;1999;PA;Elastic Defence Doctrine;Medium;M44135;x
44126;Chief of Army;Arturo Espinoza Mujica;1943;1964;1999;SC;Static Defence Doctrine;High;M44122;x
44127;Chief of Army;Salvador Arron Galvéz;1944;1964;1999;SD;Guns and Butter Doctrine;High;M44131;x
44128;Chief of Army;Oscar Izurieta Molina;1946;1964;1999;SC;Guns and Butter Doctrine;Medium;M44134;x
44129;Chief of Navy;Francisco O'Ryan Orrego;1936;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M44062;x
44130;Chief of Navy;Hernan Sarratea;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M44019;x
44131;Chief of Navy;Gustavo Silva;1938;1964;1999;LE;Indirect Approach Doctrine;Medium;M44027;x
44132;Chief of Navy;Juan Rodriguez;1936;1964;1999;SD;Open Seas Doctrine;Medium;M44138;x
44133;Chief of Navy;Julio Gerken Mahn;1944;1964;1999;SD;Power Projection Doctrine;Medium;M44139;x
44134;Chief of Navy;Gaston Kulzcewski Garcia;1946;1964;1999;SC;Base Control Doctrine;Medium;M44142;x
44135;Chief of Air Force;José Luis Sánchez Besa;1936;1964;1999;SL;Carpet Bombing Doctrine;High;M44076;x
44136;Chief of Air Force;Ismael Sarazua Teran;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;M44149;x
44137;Chief of Air Force;Ariosto Herrera;1936;1964;1999;FA;Air Superiority Doctrine;Very High;M44016;x
44138;Chief of Air Force;Marmaduke Grove;1938;1964;1999;LE;Naval Aviation Doctrine;Very Low;M44021;x
44139;Chief of Air Force;Diego Aracena;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M44146;x
44140;Chief of Air Force;Gustavo Silva;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M44027;x
44141;Chief of Air Force;Raúl Gonzalez Nolle;1946;1964;1999;SL;Army Aviation Doctrine;Medium;M44147;x
44142;Chief of Air Force;Manuel Tovarias;1946;1964;1999;SC;Army Aviation Doctrine;Low;M44150;x
44143;Head of State;Carlos Keller;1936;1964;1999;FA;Die-hard Reformer;Low;M44015;x
44144;Head of Government;Jorge Gonzalez von Mareés;1936;1964;1999;FA;Naive Optimist;Very High;kaiserreich jorgegonzalezvonmarees;x
