MOZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
569039;Minister of Armament;Lázaro N'Kavandame;1936;1964;1999;LWR;Infantry Proponent;Medium;MOZ_lazaro_cavandame;x
5690010;Head of State;José Pereira Cabral;1936;1964;1999;PA;Resigned Generalissimo;High;M569001;x
5690020;Head of Government;José Nunes de Oliveira;1936;1964;1999;PA;old airmarshal;High;M569002;x
5690030;Foreign Minister;Louis de Sousa é Vasconcelos;1936;1964;1999;PA;General Staffer;High;M569003;x
5690040;Minister of Armament;Augusto Nunes Diaz;1936;1964;1999;PA;Military Entrepreneur;Medium;M569004;x
5690050;Minister of Security;Joao Tristao de Bettencourt;1936;1964;1999;PA;Prince of Terror;Medium;M569005;x
5690060;Head of Military Intelligence;Antonio Conceicao Neves;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M569006;x
5690070;Chief of Staff;Louis de Sousa é Vasconcelos;1936;1964;1999;PA;School of Psychology;Medium;M569003;x
5690080;Chief of Army;Joao Martins de Carvalho;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M569008;x
5690090;Chief of Navy;Tomas Garcia Rosado;1936;1964;1999;PA;Power Projection Doctrine;Medium;M569009;x
5690100;Chief of Air Force;José de Sá Aruajo;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M569010;x
5690110;Head of State;Henrique Nunes Garcia;1936;1964;1999;SL;Benevolent Gentleman;High;M569011;x
5690130;Head of Government;José Zaluar Nunes;1936;1964;1999;SL;Political Protege;High;M569013;x
5690150;Foreign Minister;Joao Reis é Canto;1936;1964;1999;SL;Ideological Crusader;High;M569015;x
5690170;Minister of Armament;Adolfo Camaraquintinga;1936;1964;1999;SL;laissez-faire capitalist;Medium;M569017;x
5690190;Minister of Security;Luis Pereira Gomes;1936;1964;1999;SL;Compassionate Gentleman;Medium;M569019;x
5690210;Head of Military Intelligence;Joao Kaulza de Arriaga;1944;1964;1999;PA;Logistics Specialist;Medium;M569021;x
5690220;Head of Military Intelligence;Joao Silva Nunes;1936;1964;1999;SL;Technical Specialist;Medium;M569022;x
5690240;Chief of Staff;Artur Ivens Ferraz;1942;1964;1999;PA;School of Mass Combat;Medium;M569024;x
5690250;Chief of Staff;Jose Lobato Guerra;1936;1964;1999;SL;School of Fire Support;Medium;M569025;x
5690270;Chief of Army;Jose de Barros Rodrigues;1942;1964;1999;PA;Elastic Defence Doctrine;Medium;M569027;x
5690280;Chief of Army;Antonio Taveira Pereira;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M569028;x
5690300;Chief of Navy;Antonio Rodrigues Ribeiro;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M569030;x
5690320;Chief of Air Force;Antonio Val-Covo;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;M569032;x
5690321;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
5690322;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
