DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
507055;Minister of Armament;Albert Kuntz;1936;1964;1999;ST;Resource Industrialist;High;M105;x
507056;Minister of Armament;Willie Munzenberg;1936;1964;1999;ST;Administrative Genius;High;M24;x
507057;Foreign Minister;Georg Derlinger;1936;1964;1999;ST;Ideological Crusader;High;M507003;x
507058;Minister of Security;Karl Steinhoff;1936;1964;1999;ST;Crooked Kleptocrat;Low;M507005;x
507059;Head of Military Intelligence;Wilhelm Zaisser;1936;1964;1999;ST;Political Specialist;Very High;M507006;x
507060;Minister of Armament;Albert Kuntz;1936;1964;1999;ST;Resource Industrialist;High;M105;x
507061;Minister of Armament;Wilhelm Pieck;1936;1964;1999;ST;Theoretical Scientist;High;M507016;x
507062;Minister of Security;Otto Grotewohl;1936;1964;1999;ST;Efficient Sociopath;High;M507021;x
507063;Head of Military Intelligence;Ernst Wollweber;1936;1964;1999;ST;Industrial Specialist;Very High;M27;x
507064;Head of Military Intelligence;Erich Mielke;1936;1964;1999;ST;Logistics Specialist;Very High;M507024;x
507065;Chief of Staff;Ernst Wollweber;1936;1964;1999;ST;School of Mass Combat;Very High;M27;x
507066;Head of Military Intelligence;Heinrich Müller;1936;1964;1999;ST;Dismal Enigma;Very High;M26;x
507067;Head of Military Intelligence;Fritz Scheelen;1936;1964;1999;ST;Naval Intelligence Specialist;Very High;M29;x
507068;Chief of Navy;Fritz Scheelen;1936;1964;1999;ST;Base Control Doctrine;Very High;M29;x
507069;Chief of Staff;Erich Weinert;1936;1964;1999;ST;School of Psychology;High;M152;x
507070;Chief of Staff;Erwin Jollasse;1936;1964;1999;ST;School of Manoeuvre;High;L507120;x #
507071;Chief of Staff;Xaver Sattler;1936;1964;1999;ST;School of Fire Support;High;L507227;x #
507072;Chief of Air Force;Wilhelm Speidel;1936;1964;1999;ST;Vertical Envelopment Doctrine;Very High;L507237;x
507073;Chief of Army;Hans Kahle;1936;1964;1999;ST;Decisive Battle Doctrine;Very High;M28;x #
507074;Chief of Air Force;Willi Bredel;1936;1964;1999;ST;Carpet Bombing Doctrine;Very High;M30;x #
507075;Chief of Army;Otto Korfes;1936;1964;1999;LE;Elastic Defence Doctrine;Very High;L169;x
507076;Chief of Army;Walter Freytag;1936;1964;1999;LE;Armoured Spearhead Doctrine;Very High;L77;x
507077;Chief of Navy;Otto Groos;1936;1964;1999;ST;Open Seas Doctrine;Very High;L507158;x #
507078;Chief of Air Force;Franz Nowak;1936;1964;1999;LE;Air Superiority Doctrine;Very High;L507220;x #
