GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
57;Foreign Minister;Heinrich Class;1936;1964;1999;NS;Ideological Crusader;Very High;GER_Heinrich Class;X
58;Foreign Minister;Wilhelm Solf;1936;1964;1999;SC;Great Compromiser;Very High;Kaiserreich Solf;X
59;Foreign Minister;Johann Schwerin von Krosigk;1945;1964;1999;PA;Apologetic Clerk;Very High;M49;X
60;Foreign Minister;Ludwig Kastl;1936;1964;1999;PA;Biased Intellectual;High;M60;X
62;Foreign Minister;Oskar Meissner;1942;1964;1999;PA;The Cloak N Dagger Schemer;Low;M44;X
63;Foreign Minister;Johann Schwerin von Krosigk;1936;1964;1999;PA;Apologetic Clerk;High;M49;X
64;Foreign Minister;Thomas Mann;1936;1964;1999;PA;General Staffer;Medium;M64;X
65;Foreign Minister;Albert Dufour-Feronce;1938;1964;1999;PA;Great Compromiser;Medium;M46;X
66;Foreign Minister;Wilhelm Waetzoldt;1938;1964;1999;PA;Apologetic Clerk;Medium;M66;X
67;Foreign Minister;Franz von Papen;1940;1964;1999;PA;Great Compromiser;Very High;M67;X
68;Foreign Minister;Friedrich-Werner von der Schulenberg;1936;1964;1999;PA;Ideological Crusader;Medium;M68;X
70;Foreign Minister;Carl Melchior;1945;1964;1999;PA;Ideological Crusader;Medium;M70;X
71;Foreign Minister;Theodor Heuss;1946;1964;1999;SC;Apologetic Clerk;Very High;M38;X
72;Foreign Minister;Konrad Adenauer;1947;1964;1999;SC;Great Compromiser;Very High;M50;X
73;Foreign Minister;Walter Ulbricht;1936;1964;1999;ST;The Cloak N Dagger Schemer;High;M53;X
74;Foreign Minister;Helmut Herzfelde;1940;1964;1999;ST;Ideological Crusader;High;M23;X
76;Minister of Armament;Heinrich Class;1938;1964;1999;NS;Planned Economy Proponent;Very High;GER_Heinrich Class;X
77;Minister of Armament;Hjalmar Schacht;1936;1964;1999;PA;Bank President;Medium;M14;X
78;Minister of Armament;Friedrich Flick;1937;1964;1999;NS;Laissez-Faire Capitalist;Medium;M78;X
79;Minister of Armament;Hermann Göring;1960;1964;1999;NS;Air to Ground Proponent;Very High;M10;X
80;Minister of Armament;Walter Funk;1939;1964;1999;NS;Resource Industrialist;Very High;M80;X
81;Minister of Armament;Gerhard Rossbach;1936;1964;1999;NS;Military Entrepreneur;Very High;GER_Rossbach;X
82;Minister of Armament;Hans-Jürgen von Blumenthal;1937;1964;1999;FA;Reformer;Very High;GER_von Blumenthal;X
83;Minister of Armament;Max Amann;1941;1964;1999;NS;Battle Fleet Proponent;Very High;M83;X
84;Minister of Armament;Franz Xavier-Schwarz;1936;1964;1999;NS;Resource Industrialist;Very High;M84;X
85;Minister of Armament;Johann Schwerin von Krosigk;1936;1964;1999;PA;Resource Industrialist;Very High;M49;X
87;Minister of Armament;Oswald Pohl;1943;1964;1999;NS;Military Entrepreneur;High;M87;X
88;Minister of Armament;Theodor Duesterberg;1936;1964;1999;NS;Industrial Chemist;High;GER_Duesterberg;X
89;Minister of Armament;Karl Otto Saur;1945;1964;1999;NS;Military Entrepreneur;High;M89;X
90;Minister of Armament;Fritz Thyssen;1936;1964;1999;PA;Steel Magnate;Very High;M90;X
91;Minister of Armament;Heinz Guderian;1937;1964;1999;PA;Reformer;Very High;M157;X
93;Minister of Armament;Hans-Georg von Friedeburg;1942;1964;1999;NS;Submarine Proponent;Very High;M93;X
94;Minister of Armament;Fritz Tornow;1944;1964;1999;FA;Military Entrepreneur;Medium;M94;X
95;Minister of Armament;Julius Curtius;1936;1964;1999;PA;Resource Industrialist;Medium;M95;X
96;Minister of Armament;Paul Lejeune-Jung;1938;1964;1999;PA;Industrial Chemist;Very High;M96;X
97;Minister of Armament;Alfried Krupp;1936;1964;1999;PA;Balanced Budget Economy;Very High;M97;X
98;Minister of Armament;Georg Thomas;1940;1964;1999;PA;Theoretical Scientist;Low;M98;X
99;Minister of Armament;Carl Friedrich Goerdeler;1940;1964;1999;PA;Mixed Economy;Very High;M12;X
100;Minister of Armament;Walter Gropius;1936;1964;1999;PA;Administrative Genius;Very High;GER_Gropius;X
101;Minister of Armament;Johannes Popitz;1943;1964;1999;PA;Resource Industrialist;Very High;M101;X
102;Minister of Armament;Claus Schenck von Stauffenberg;1944;1964;1999;PA;Reformer;High;M102;X
104;Minister of Armament;Ludwig Erhard;1947;1964;1999;SC;Administrative Genius;Very High;M104;X
105;Minister of Armament;Albert Kuntz;1936;1964;1999;ST;Resource Industrialist;High;M105;X
106;Minister of Armament;Willie Munzenberg;1942;1964;1999;ST;Administrative Genius;High;M24;X
108;Minister of Security;Wilhelm Frick;1938;1964;1999;NS;Prince of Terror;Very High;M5;X
109;Minister of Security;Viktor Lutze;1939;1964;1999;NS;Compassionate Gentleman;Very High;M109;X
110;Minister of Security;Artur Mahraun;1936;1964;1999;NS;Secret Police Chief;Very High;GER_Mahraun;X
111;Minister of Security;Heinrich Müller;1943;1964;1999;NS;Prince of Terror;Very Low;M26;X
112;Minister of Security;Stephanie von Hohenlohe;1938;1964;1999;FA;Crooked Kleptocrat;Medium;Kaiserreich von Hohenlohe;X
113;Minister of Security;Karl Hanke;1944;1964;1999;NS;Back Stabber;Very Low;M113;X
114;Minister of Security;Otto Georg Thierack;1942;1964;1999;NS;Crime Fighter;Very High;M114;X
115;Minister of Security;Franz von Papen;1946;1964;1999;PA;Compassionate Gentleman;Very High;M47;X
116;Minister of Security;Ernst Trendelenburg;1936;1964;1999;PA;Compassionate Gentleman;Medium;M116;X
117;Minister of Security;Alfred Hugenberg;1936;1964;1999;PA;Media Magnate;Medium;M117;X
118;Minister of Security;Heinrich Müller;1939;1964;1999;PA;Efficient Sociopath;Very Low;M26;X
119;Minister of Security;Arthur Nebe;1942;1964;1999;FA;Secret Police Chief;Low;M119;X
120;Minister of Security;Arthur Axmann;1945;1964;1999;FA;Man of the People;Low;M120;X
121;Minister of Security;Johann von Bernstorff;1936;1964;1999;PA;Back Stabber;Medium;M121;X
122;Minister of Security;Karl Sack;1936;1964;1999;PA;Silent Lawyer;Medium;M122;X
123;Minister of Security;Wilhelm von Gayl;1938;1964;1999;PA;Secret Police Chief;High;M15;X
124;Minister of Security;Walter Schellenberg;1939;1964;1999;PA;Efficient Sociopath;Low;M124;X
125;Minister of Security;Josef Wirmer;1942;1964;1999;PA;Man of the People;Medium;M125;X
126;Minister of Security;Fritz von Schulenburg;1942;1964;1999;PA;Compassionate Gentleman;Very High;M126;X
127;Minister of Security;Henning von Tresckow;1938;1964;1999;PA;Crime Fighter;Very High;M127;X
128;Minister of Security;Hermann Ehrhardt;1937;1964;1999;NS;Prince of Terror;Very High;GER_Ehrhardt;X
131;Minister of Security;Ernst Toller;1936;1964;1999;ST;Man of the People;Low;M25;X
132;Minister of Security;Ludwig Renn;1939;1964;1999;ST;Efficient Sociopath;Very High;M21;X
133;Minister of Security;Julius Leber;1942;1964;1999;ST;Compassionate Gentleman;High;M133;X
134;Minister of Security;Walter Ulbricht;1944;1964;1999;ST;Prince of Terror;High;M53;X
136;Head of Military Intelligence;Hans-Georg von Friedeburg;1942;1964;1999;NS;Naval Intelligence Specialist;Medium;M93;X
137;Head of Military Intelligence;Kurt Ludwig;1938;1964;1999;PA;Technical Specialist;High;Kaiserreich KLudwig;X
138;Head of Military Intelligence;Karl Boy-Ed;1936;1964;1999;PA;Technical Specialist;High;Kaiserreich Boy-Ed;X
139;Head of Military Intelligence;Hermann Ehrhardt;1936;1964;1999;NS;Naval Intelligence Specialist;Very High;GER_Ehrhardt;X
140;Head of Military Intelligence;Hjalmar Schacht;1940;1964;1999;PA;Industrial Specialist;Medium;M14;X
141;Head of Military Intelligence;Oskar von Hindenburg;1936;1964;1999;PA;Political Specialist;Medium;M33;X
142;Head of Military Intelligence;Franz von Rintelen;1936;1964;1999;PA;Political Specialist;High;Kaiserreich von Rintelen;X
143;Head of Military Intelligence;Stephanie von Hohenlohe;1938;1964;1999;FA;Dismal Enigma;Medium;Kaiserreich von Hohenlohe;X
144;Head of Military Intelligence;Carl von Schubert;1936;1964;1999;PA;Logistics Specialist;High;M144;X
146;Head of Military Intelligence;Hans Oster;1939;1964;1999;PA;Political Specialist;High;M146;X
147;Head of Military Intelligence;Georg Hansen;1940;1964;1999;PA;Technical Specialist;Medium;M147;X
148;Head of Military Intelligence;Heinrich Albert;1936;1964;1999;PA;Political Specialist;High;Kaiserreich Heinrich Albert;X
150;Head of Military Intelligence;Reinhard Gehlen;1941;1964;1999;SC;Dismal Enigma;High;M150;X
151;Head of Military Intelligence;Ernst Thalmann;1936;1964;1999;ST;Industrial Specialist;High;M22;X
152;Head of Military Intelligence;Erich Weinert;1938;1964;1999;ST;Logistics Specialist;High;M152;X
153;Head of Military Intelligence;Heinrich Müller;1943;1964;1999;ST;Political Specialist;Very High;M26;X
155;Chief of Staff;Franz Halder;1938;1964;1999;FA;School of Fire Support;Medium;M155;X
156;Chief of Staff;Alfred Jodl;1939;1964;1999;NS;School of Psychology;High;M156;X
157;Chief of Staff;Heinz Guderian;1937;1964;1999;PA;School of Manoeuvre;Medium;M157;X
158;Chief of Staff;Hans Krebs;1945;1964;1999;NS;School of Defence;Medium;M158;X
159;Chief of Staff;Fritz Bayerlein;1936;1964;1999;PA;School of Psychology;High;M159;X
160;Chief of Staff;Erich Hoepner;1937;1964;1999;FA;School of Fire Support;Medium;M18;X
162;Chief of Staff;Erwin von Witzleben;1936;1964;1999;PA;School of Fire Support;High;M17;X
163;Chief of Staff;Kurt Zeitzler;1942;1964;1999;FA;School of Defence;Medium;M163;X
165;Chief of Staff;Erwin Rommel;1943;1964;1999;PA;School of Manoeuvre;High;M165;X
168;Chief of Staff;Adolf Heusinger;1942;1964;1999;PA;School of Mass Combat;Low;M168;X
169;Chief of Staff;Walther von Seydlitz-Kurzbach;1936;1964;1999;PA;School of Manoeuvre;High;L251;X
170;Chief of Staff;Hans Speidel;1946;1964;1999;SC;School of Mass Combat;High;M170;X
171;Chief of Staff;Ernst Wollweber;1936;1964;1999;ST;School of Mass Combat;Very High;M27;X
172;Chief of Staff;Erich Weinert;1944;1964;1999;ST;School of Psychology;High;M152;X
174;Chief of Army;Walther von Brauchitsch;1938;1964;1999;FA;Armoured Spearhead Doctrine;High;M174;X
175;Chief of Army;Kurt von Hammerstein-Equord;1939;1964;1999;FA;Guns and Butter Doctrine;High;M175;X
176;Chief of Army;Wilhelm Keitel;1940;1964;1999;NS;Armoured Spearhead Doctrine;Very High;M176;X
179;Chief of Army;Erich von Ludendorff;1936;1964;1999;NS;Elastic Defence Doctrine;High;M179;X
180;Chief of Army;Werner von Blomberg;1937;1964;1999;NS;Guns and Butter Doctrine;High;M4;X
182;Chief of Army;Fedor von Bock;1939;1964;1999;FA;Decisive Battle Doctrine;High;M182;X
183;Chief of Army;Erich Hoepner;1942;1964;1999;FA;Armoured Spearhead Doctrine;High;M18;X
184;Chief of Army;Erwin von Witzleben;1938;1964;1999;PA;Static Defence Doctrine;High;M17;X
185;Chief of Army;Walter von Lüttwitz;1936;1964;1999;PA;Decisive Battle Doctrine;Low;M185;X
187;Chief of Army;Hans-Jürgen von Arnim;1936;1964;1999;FA;Static Defence Doctrine;High;L272;X
188;Chief of Army;Theodor Blank;1946;1964;1999;SC;Armoured Spearhead Doctrine;High;M188;X
189;Chief of Army;Hans Speidel;1947;1964;1999;SC;Decisive Battle Doctrine;High;M170;X
190;Chief of Army;Hans Kahle;1936;1964;1999;ST;Decisive Battle Doctrine;Very High;M28;X
192;Chief of Navy;Karl Dönitz;1942;1964;1999;NS;Indirect Approach Doctrine;Very High;M32;X
193;Chief of Navy;Hans-Georg von Friedeburg;1936;1964;1999;FA;Open Seas Doctrine;Medium;M93;X
194;Chief of Navy;Kurt Freiwald;1945;1964;1999;NS;Base Control Doctrine;Medium;M194;X
195;Chief of Navy;Alfred Saalwächter;1936;1964;1999;FA;Open Seas Doctrine;High;M195;X
198;Chief of Navy;Conrad Albrecht;1939;1964;1999;PA;Open Seas Doctrine;Medium;M198;X
199;Chief of Navy;Gustav Kieseritzky;1940;1964;1999;PA;Base Control Doctrine;Medium;M199;X
200;Chief of Navy;Erich Bey;1946;1964;1999;SC;Open Seas Doctrine;High;M200;X
201;Chief of Navy;Fritz Scheelen;1936;1964;1999;ST;Base Control Doctrine;Very High;M29;X
203;Chief of Air Force;Hugo Sperrle;1939;1964;1999;NS;Carpet Bombing Doctrine;High;M203;X
204;Chief of Air Force;Robert Ritter von Greim;1936;1964;1999;NS;Air Superiority Doctrine;Medium;M204;X
205;Chief of Air Force;Karl Koller;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M205;X
206;Chief of Air Force;Erhard Milch;1942;1964;1999;FA;Air Superiority Doctrine;Medium;M206;X
207;Chief of Air Force;Albert Kesselring;1937;1964;1999;FA;Vertical Envelopment Doctrine;High;M207;X
208;Chief of Air Force;Carl Friedrich von Siemens;1936;1964;1999;PA;Air Superiority Doctrine;High;M208;X
209;Chief of Air Force;Ernst Udet;1940;1964;1999;PA;Army Aviation Doctrine;High;M20;X
210;Chief of Air Force;Wilhelm Oxenius;1945;1964;1999;PA;Naval Aviation Doctrine;Medium;M210;X
23;Foreign Minister;Helmet Herzfelde;1936;1964;1999;ST;Ideological Crusader;High;M23;X
214;Head of Government;Franz Xaver Ritter von Epp;1936;1964;1999;NS;Old General;Very High;M214;X
216;Head of Government;Gregor Strasser;1936;1964;1999;NS;Flamboyant Tough Guy;Very High;kaiserreich gregorstrasser;X
217;Head of Government;Friedrich Wilhelm Kritzinger;1945;1964;1999;NS;Naive Optimist;Very High;M217;X
219;Minister of Armament;Franz Xaver Ritter von Epp;1936;1964;1999;NS;Infantry Proponent;Very High;M214;X
220;Minister of Armament;Franz Seldte;1936;1964;1999;NS;Military Entrepreneur;Very High;M220;X
221;Minister of Armament;Gregor Strasser;1936;1964;1999;NS;Planned Economy Proponent;Very High;kaiserreich GregorStrasser;X
222;Minister of Armament;Xaver Dorsch;1944;1964;1999;FA;Air Superiority Proponent;Very High;M222;X
223;Minister of Security;Franz Gürtner;1936;1964;1999;FA;Silent Lawyer;Medium;M223;X
224;Minister of Security;Hans-Jürgen von Blumenthal;1936;1964;1999;FA;Compassionate Gentleman;Very High;GER_von Blumenthal;X
226;Minister of Security;Walter Buch;1937;1964;1999;NS;Man of the People;High;M226;X
227;Minister of Security;Hans Frank;1941;1964;1999;FA;Prince of Terror;Very High;M227;X
229;Chief of Staff;Erich von Manstein;1942;1964;1999;PA;School of Manoeuvre;Medium;L324;X
230;Chief of Staff;Ernst Busch;1945;1964;1999;NS;School of Fire Support;High;L33;X
231;Chief of Army;Günther von Kluge;1942;1964;1999;PA;Decisive Battle Doctrine;Medium;L311;X
232;Chief of Army;Wilhelm Ritter von Thoma;1936;1964;1999;PA;Armoured Spearhead Doctrine;Very High;L345;X
233;Chief of Navy;Wilhelm Marschall;1941;1964;1999;NS;Open Seas Doctrine;High;L407;X
234;Chief of Navy;Walter Warzecha;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;L891;X
235;Chief of Air Force;Otto Dessloch;1939;1964;1999;NS;Army Aviation Doctrine;High;L434;X
236;Chief of Air Force;Ulrich Grauert;1936;1964;1999;FA;Air Superiority Doctrine;High;L439;X
237;Chief of Air Force;Hans-Jürgen Stumpff;1944;1964;1999;NS;Army Aviation Doctrine;Very High;L471;X
238;Chief of Staff;Walther von Reichenau;1941;1964;1999;NS;School of Fire Support;Very High;L334;X
239;Head of Military Intelligence;Ernst Wollweber;1936;1964;1999;ST;Industrial Specialist;Very High;M27;X
240;Minister of Armament;Karl Dönitz;1944;1964;1999;NS;Submarine Proponent;Very High;M32;X
241;Minister of Armament;Lutz von Schwerin-Krosigk;1945;1964;1999;PA;Planned Economy Proponent;Very High;M241;X
242;Minister of Security;Paul Giesler;1945;1964;1999;NS;Efficient Sociopath;Very High;M242;X
243;Minister of Security;Werner Naumann;1945;1964;1999;NS;Compassionate Gentleman;Very High;M243;X
244;Minister of Security;Reinhard Heydrich;1960;1964;1999;NS;Prince of Terror;Very High;M244;X
245;Minister of Armament;Alfred Hugenberg;1936;1964;1999;PA;Construction Magnate;High;M117;X
246;Minister of Security;Helmuth von Moltke;1939;1964;1999;SC;Compassionate Gentleman;High;M246;X
247;Head of Military Intelligence;Hans Gisevius;1939;1964;1999;SC;Dismal Enigma;Medium;M247;X
248;Minister of Security;Hans Dohnanyi;1936;1964;1999;SC;Silent Lawyer;Medium;M248;X
249;Head of Military Intelligence;Hans Dohnanyi;1936;1964;1999;SC;Political Specialist;Medium;M248;X
250;Minister of Security;Rudolf Diels;1936;1964;1999;PA;Crime Fighter;Medium;M250;X
251;Minister of Armament;Gustav Krupp;1936;1964;1999;PA;Steel Magnate;High;M251;X
252;Minister of Armament;Walter Caspari;1936;1964;1999;NS;Infantry Proponent;Very High;GER_Caspari;X
253;Chief of Navy;Ludwig von Reuter;1936;1964;1999;PA;Power Projection Doctrine;High;kaiserreich reutervonludwig;X
254;Chief of Staff;August Von Mackensen;1936;1964;1999;FA;School of Fire Support;High;kaiserreich mackensenvonaugust;X
255;Chief of Army;August Von Mackensen;1936;1964;1999;FA;Decisive Battle Doctrine;High;kaiserreich mackensenvonaugust;X
256;Head of Government;August Von Mackensen;1936;1964;1999;FA;Respected War Hero;High;kaiserreich mackensenvonaugust;X
257;Chief of Staff;Hans von Seeckt;1936;1964;1999;FA;School of Psychology;High;kaiserreich hansvonseeckt2;X
258;Chief of Army;Hans von Seeckt;1936;1964;1999;FA;Elastic Defence Doctrine;High;kaiserreich hansvonseeckt2;X
259;Head of State;Paul von Lettow-Vorbeck;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich lettowvorbeckvonpaul;X
260;Head of Government;Paul von Lettow-Vorbeck;1936;1964;1999;SC;The Lion Of Africa;Very High;kaiserreich lettowvorbeckvonpaul;X
261;Chief of Staff;Paul von Lettow-Vorbeck;1939;1964;1999;SC;School of Psychology;High;kaiserreich lettowvorbeckvonpaul;X
262;Chief of Army;Paul von Lettow-Vorbeck;1939;1964;1999;SC;Doctrine of Autonomy;High;kaiserreich lettowvorbeckvonpaul;X
263;Head of Government;Kurt von Schleicher;1936;1964;1999;PA;Silent Workhorse;High;kaiserreich schleichervonkurt;X
264;Minister of Security;Kurt von Schleicher;1936;1964;1999;PA;Silent Lawyer;High;kaiserreich schleichervonkurt;X
265;Chief of Navy;Wilhelm Souchon;1936;1964;1999;PA;Open Seas Doctrine;Very High;kaiserreich souchonwilhelm;X
266;Minister of Armament;Wilhelm Groener;1936;1964;1999;PA;Military Entrepreneur;High;kaiserreich groenerwilhelm;X
267;Chief of Staff;Wilhelm Groener;1936;1964;1999;PA;School of Psychology;High;M166;X
268;Minister of Armament;Albert Einstein;1939;1964;1999;ML;Theoretical Scientist;High;kaiserreich alberteinstein;X
269;Head of Government;Walther von Rathenau;1936;1964;1999;ML;Corporate Suit;High;kaiserreich walthervonrathennau;X
270;Minister of Armament;Walther von Rathenau;1936;1964;1999;ML;Administrative Genius;High;kaiserreich walthervonrathennau;X
271;Head of Government;Erich von Ludendorff;1936;1964;1999;NS;Flamboyant Tough Guy;High;M179;X
272;Minister of Armament;Hans von Blumenthal;1936;1964;1999;PA;Battle Fleet Proponent;High;kaiserreich HansvonBlumenthal;X
273;Chief of Air Force;Manfred Freiherr von Richthofen;1936;1964;1999;PA;The Red Baron;High;kaiserreich manfredvonrichtofen;X
274;Head of Government;Manfred Freiherr von Richthofen;1936;1964;1999;PA;Old Airmarshal;High;kaiserreich manfredvonrichtofen;X
275;Chief of Army;Georg von Bruchmüller;1936;1964;1999;PA;Elastic Defence Doctrine;High;Kaiserreich Bruchmüller;X
276;Chief of Navy;Felix Graf von Luckner;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;Kaiserreich Luckner;X
278;Head of Government;Heinrich Brüning;1936;1964;1999;PA;Silent Workhorse;Medium;kaiserreich heinrichbruning;X
280;Head of State;S.K.M. Wilhelm IV von Preussen;1936;1964;1999;PA;Benevolent Gentleman;High;kaiserreichwilhelmIV;X
281;Head of State;Otto Wels;1936;1964;1999;SD;Pig-headed Isolationist;High;kaiserreich ottowells;X
282;Head of Government;Otto Wels;1936;1964;1999;SD;Corporate Suit;High;kaiserreich ottowells;X
283;Minister of Armament;Otto Wels;1936;1964;1999;SD;Mixed Economy;High;kaiserreich ottowells;X
284;Head of Government;Arthur Crispien;1936;1964;1999;SD;Political Protege;High;kaiserreich arthurchrispian;X
285;Minister of Security;Arthur Crispien;1936;1964;1999;SD;Silent Lawyer;High;kaiserreich arthurchrispian;X
286;Head of State;Hans Vogel;1936;1964;1999;SD;Benevolent Gentleman;High;kaiserreich hansvogel;X
287;Head of Government;Hans Vogel;1936;1964;1999;SD;Ambitious Union Boss;High;kaiserreich hansvogel;X
288;Foreign Minister;Hans Vogel;1936;1964;1999;SD;Great Compromiser;High;kaiserreich hansvogel;X
289;Minister of Armament;Gustav Bauer;1936;1964;1999;SD;Keynesian Economy;High;kaiserreich gustavbauer;X
290;Minister of Security;Gustav Bauer;1936;1964;1999;SD;Man of the People;High;kaiserreich gustavbauer;X
291;Head of Government;Kurt Schumacher;1936;1964;1999;SD;Ambitious Union Boss;High;M506011;X
292;Minister of Armament;Kurt Schumacher;1936;1964;1999;SD;Mixed Economy;High;M506011;X
293;Minister of Security;Gustav Noske;1936;1964;1999;SD;Crime Fighter;High;kaiserreich gustavnoske;X
294;Head of Military Intelligence;Gustav Noske;1936;1964;1999;SD;Logistics Specialist;High;kaiserreich gustavnoske;X
295;Foreign Minister;Erich Ollenhauer;1936;1964;1999;SD;Iron Fisted Brute;Very High;M506014;X
296;Minister of Security;Georg August Zinn;1936;1964;1999;SD;Prince of Terror;High;M506023;X
297;Head of Military Intelligence;Eugen Gerstenmaier;1936;1964;1999;SD;Technical Specialist;High;M506028;X
298;Chief of Staff;Hans Speidel;1936;1964;1999;SD;School of Fire Support;Medium;L506191;X
299;Chief of Army;Oskar Hansen;1936;1964;1999;SD;Decisive Battle Doctrine;Medium;L118;X
300;Chief of Navy;Conrad Patzig;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;L506300;X
301;Chief of Air Force;Josef Kammhuber;1936;1964;1999;ML;Army Aviation Doctrine;Medium;L448;X
302;Head of State;Walther von Rathenau;1936;1964;1999;ML;Benevolent Gentleman;Very High;kaiserreich walthervonrathennau;X
303;Head of Government;Wilhelm Külz;1936;1964;1999;ML;Ambitious Union Boss;Very High;kaiserreich wilhelmkuelz;X
304;Foreign Minister;Wilhelm Roepke;1936;1964;1999;ML;Biased Intellectual;Very High;kaiserreich wilhelmroepke;X
305;Minister of Armament;Dr. Otto Gessler;1936;1964;1999;ML;Corrupt Kleptocrat;Very High;kaiserreich ottogessler;X
306;Head of Military Intelligence;Hanns Seidel;1936;1964;1999;ML;Naval Intelligence Specialist;High;M506029;X
307;Minister of Security;Reinhold Maier;1936;1964;1999;ML;Compassionate Gentleman;High;M506024;X
308;Chief of Staff;Josef Kammhuber;1936;1964;1999;ML;School of Psychology;Medium;L448;X
309;Chief of Army;Karl Heinrich Lübke;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M506033;X
310;Chief of Navy;Erich Köhler;1936;1964;1999;ML;Base Control Doctrine;Medium;M506035;X
311;Chief of Air Force;Franz Josef Strauss;1936;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M506027;X
312;Head of State;Theodor Heuss;1936;1964;1999;ML;Die-hard Reformer;High;M38;X
313;Head of Government;Franz Blücher;1936;1964;1999;ML;Political Protege;High;M506012;X
315;Foreign Minister;Theodor Heuss;1936;1964;1999;ML;Apologetic Clerk;Very High;M38;X
316;Foreign Minister;Heinrich von Brentano;1936;1964;1999;ML;Ideological Crusader;Very High;M506013;X
317;Foreign Minister;Thomas Dehler;1936;1964;1999;ML;Apologetic Clerk;Very High;M506015;X
318;Minister of Security;Gustav Heinemann;1936;1964;1999;ML;Man of the People;High;M130;X
320;Minister of Armament;Franz Etzel;1936;1964;1999;ML;Bank President;Very High;M506004;X
321;Minister of Armament;Heinz Starke;1936;1964;1999;ML;Theoretical Scientist;Very High;M506019;X
