GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
46024;Head of Government;Jose Figueres Ferrer;1936;1964;1999;SD;Political Protege;High;M47041;x
46025;Head of Government;Guillermo Cuadra;1936;1964;1999;SD;Ambitious Union Boss;High;M48012;x
46026;Head of Government;Manuel Mora Valverde;1940;1964;1999;LE;Happy Amateur;High;M47021;x
46027;Head of Government;Andrés Ignacio Menéndez;1944;1964;1999;SD;Naive Optimist;High;M77011;x
46028;Head of Government;Juan Arevalo Bermejo;1945;1964;1999;LE;Backroom Backstabber;High;M46022;x
46029;Head of Government;Manuel Orellana;1945;1964;1999;SD;Smiling Oilman;High;M46012;x
46030;Head of Government;Isalino de Silva Londres;1947;1964;1999;LWR;Political Protege;NA;M47040;x
46031;Foreign Minister;Luis Cardenal;1936;1964;1999;LE;Ideological Crusader;Very High;M48021;x
46032;Foreign Minister;Julio Enrique Ávila;1936;1964;1999;SD;Iron Fisted Brute;Medium;M77038;x
46033;Foreign Minister;Manuel Mora Valverde;1940;1964;1999;LE;The Cloak N Dagger Schemer;Medium;M47021;x
46034;Foreign Minister;Carlos Argumedo Salazar;1944;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M46035;x
46035;Foreign Minister;Otilio Ulate;1944;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M47031;x
46036;Foreign Minister;Jorge Torriello Garrido;1945;1964;1999;SD;General Staffer;Medium;M46011;x
46037;Foreign Minister;Enrique Muñoz Meany;1946;1964;1999;SD;Biased Intellectual;Medium;M46037;x
46038;Foreign Minister;Luís Fernandéz Rodríguez;1947;1964;1999;SD;Ideological Crusader;Medium;M47024;x
46039;Foreign Minister;Enrique Díaz Toledo;1947;1964;1999;LWR;Apologetic Clerk;Medium;M47066;x
46040;Foreign Minister;Franco Amerigo Paz;1948;1964;1999;PA;Iron Fisted Brute;Medium;M77067;x
46041;Minister of Armament;Teophilo S. Grálles;1936;1964;1999;ST;Strategic Air Proponent;Medium;M48024;x
46042;Minister of Armament;Luís Fernandéz Rodríguez;1936;1964;1999;LE;Air to Ground Proponent;Medium;M47024;x
46043;Minister of Armament;Juan Arevalo Bermejo;1936;1964;1999;LWR;Resource Industrialist;Medium;M46022;x
46044;Minister of Armament;Jacopo Arbenz Guzman;1936;1964;1999;SD;Infantry Proponent;Medium;M46021;x
46045;Minister of Armament;Julio Herrera;1945;1964;1999;LWR;Resource Industrialist;Medium;M46045;x
46046;Minister of Armament;Diego A. Castro Arigon;1946;1964;1999;SD;Administrative Genius;Medium;M46044;x
46047;Minister of Armament;Ignacio Mendéz Alino;1947;1964;1999;LWR;Corrupt Kleptocrat;High;M47014;x
46048;Minister of Armament;Jose Figueres Ferrer;1944;1964;1999;SD;Administrative Genius;Medium;M47041;x
46049;Minister of Armament;Calufa Fallas Sinaja;1947;1964;1999;SD;Submarine Proponent;High;M47068;x
46050;Minister of Security;Franco Hernandez Ávila;1936;1964;1999;LE;Compassionate Gentleman;Medium;M77025;x
46051;Minister of Security;Guillermo Cuadra;1936;1964;1999;SD;Crime Fighter;High;M48012;x
46052;Minister of Security;Juan Y. Masquez;1936;1964;1999;LWR;Efficient Sociopath;Medium;M48025;x
46053;Minister of Security;Isalino de Silva Londres;1940;1964;1999;LWR;Crime Fighter;Low;M47040;x
46054;Minister of Security;Calufa Fallas Sinaja;1944;1964;1999;SD;Silent Lawyer;Medium;M47068;x
46055;Minister of Security;Manuel Orellana;1944;1964;1999;LWR;Crime Fighter;Medium;M46012;x
46056;Minister of Security;Manuel Valladares;1945;1964;1999;SD;Silent Lawyer;Medium;M46015;x
46057;Minister of Security;Carmen Lyra;1947;1964;1999;LWR;Prince of Terror;Low;M47025;x
46058;Minister of Security;Jose Figueres Ferrer;1947;1964;1999;SD;Man of the People;High;M47041;x
46059;Head of Military Intelligence;Jose Figueres Ferrer;1936;1964;1999;SD;Political Specialist;Medium;M47041;x
46060;Head of Military Intelligence;Juan Pablo Esquerra;1936;1964;1999;LWR;Dismal Enigma;Medium;M48026;x
46061;Head of Military Intelligence;Hugo Montés Ramirez;1940;1964;1999;LE;Logistics Specialist;Medium;M47100;x
46062;Head of Military Intelligence;Salvador Peña Trejo;1944;1964;1999;SD;Logistics Specialist;Medium;M77026;x
46063;Head of Military Intelligence;Tomas Mendoza Urribe;1945;1964;1999;SD;Naval Intelligence Specialist;Medium;M46009;x
46064;Head of Military Intelligence;Jacopo Arbenz Guzman;1947;1964;1999;SD;Political Specialist;Medium;M46021;x
46065;Head of Military Intelligence;Miguel Ramirez Alcantara;1947;1964;1999;LWR;Dismal Enigma;Medium;M47026;x
46066;Chief of Staff;Augustín Farabundo Martí;1936;1964;1999;LE;School of Fire Support;Medium;M77021;x
46067;Chief of Staff;Juan Pablo Esquerra;1936;1964;1999;LWR;School of Psychology;Medium;M48026;x
46068;Chief of Staff;Felipe Abreu Castro;1936;1964;1999;SD;School of Fire Support;High;M47102;x
46069;Chief of Staff;Hugo Montés Ramirez;1940;1964;1999;LE;School of Psychology;Medium;M47100;x
46070;Chief of Staff;Manuel Orellana;1944;1964;1999;LWR;School of Defence;Medium;M46012;x
46071;Chief of Staff;Carlos Diaz de Leon;1945;1964;1999;SD;School of Manoeuvre;Medium;M46063;x
46072;Chief of Staff;Miguel Ramirez Alcantara;1947;1964;1999;LWR;School of Fire Support;Medium;M47026;x
46073;Chief of Staff;Jose Figueres Ferrer;1947;1964;1999;SD;School of Mass Combat;High;M47103;x
46074;Chief of Army;Manuel Corovél Kirsch;1936;1964;1999;LWR;Static Defence Doctrine;Medium;M48018;x
46075;Chief of Army;Manuel Orellana;1936;1964;1999;SD;Static Defence Doctrine;Medium;M46012;x
46076;Chief of Army;Hugo Montés Ramirez;1940;1964;1999;LE;Decisive Battle Doctrine;Medium;M47100;x
46077;Chief of Army;José Angél Castillo;1944;1964;1999;SD;Guns and Butter Doctrine;Low;M77028;x
46078;Chief of Army;Jacopo Arbenz Guzman;1944;1964;1999;LWR;Decisive Battle Doctrine;Medium;M46021;x
46079;Chief of Army;Carlos Diaz de Leon;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M46063;x
46080;Chief of Army;Francisco Rosendo Arguello;1947;1964;1999;LWR;Guns and Butter Doctrine;Medium;M47028;x
46081;Chief of Army;Jose Figueres Ferrer;1947;1964;1999;SD;Decisive Battle Doctrine;High;M47103;x
46082;Chief of Navy;Noel Esto Niño Miranda;1936;1964;1999;LWR;Open Seas Doctrine;Very High;M48019;x
46083;Chief of Navy;Raul Rodolfí Sanchez;1936;1964;1999;LE;Open Seas Doctrine;Medium;M77009;x
46084;Chief of Navy;Tomas Mendoza Urribe;1936;1964;1999;SD;Indirect Approach Doctrine;Medium;M46009;x
46085;Chief of Navy;Manuel Mora Valverde;1940;1964;1999;LE;Base Control Doctrine;Medium;M47021;x
46086;Chief of Navy;Tomas Mendoza Urribe;1945;1964;1999;SD;Indirect Approach Doctrine;Medium;M46009;x
46087;Chief of Navy;Hugo Siedler Mendoza;1947;1964;1999;LWR;Indirect Approach Doctrine;Medium;M47029;x
46088;Chief of Air Force;Oscar Padilla Sellean;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;x
46089;Chief of Air Force;Joel Garcia Zaldana;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M48020;x
46090;Chief of Air Force;Manuel Mora Valverde;1936;1964;1999;LE;Army Aviation Doctrine;Medium;M47021;x
46091;Chief of Air Force;Guillermo Macho Nuñez;1936;1964;1999;SD;Air Superiority Doctrine;Medium;M47127;x
46092;Chief of Air Force;Milton Andrade Cabrera;1944;1964;1999;SD;Army Aviation Doctrine;Medium;M77030;x
46093;Chief of Air Force;W. Tesch Orlando;1945;1964;1999;SD;Air Superiority Doctrine;Medium;M46077;x
46094;Chief of Air Force;Oscar Padilla Sellean;1947;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;x
46095;Head of State;Jorge Ubico Castaneda;1936;1964;1999;PA;Pig-headed Isolationist;High;M46001;x
46096;Head of Government;Jorge Ubico Castaneda;1936;1964;1999;PA;Silent Workhorse;High;M46001;x
46097;Foreign Minister;Alfredo Skinner Klee;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M46003;x
46098;Minister of Armament;Guillermo Flores Arendano;1936;1964;1999;PA;Infantry Proponent;Medium;M46004;x
46099;Minister of Security;T. Castro Dominguez;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M46005;x
46100;Head of Military Intelligence;Eduardo Villagran Ariza;1936;1964;1999;PA;Logistics Specialist;Medium;M46006;x
46101;Chief of Staff;Federico Ponce Vaides;1936;1964;1999;PA;School of Manoeuvre;Medium;M46007;x
46102;Chief of Army;Jorge Ubico Castaneda;1936;1964;1999;PA;Static Defence Doctrine;High;M46001;x
46103;Chief of Navy;Tomas Mendoza Urribe;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M46009;x
46104;Chief of Air Force;R. Buenaventure Pineda;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M46010;x
46105;Head of State;Jorge Torriello Garrido;1938;1964;1999;SL;Resigned Generalissimo;High;M46011;x
46106;Head of State;R. Buenaventure Pineda;1938;1964;1999;SC;Resigned Generalissimo;High;M46010;x
46107;Head of Government;Manuel Orellana;1938;1964;1999;SL;Smiling Oilman;High;M46012;x
46108;Head of Government;Eduardo Villagran Ariza;1938;1964;1999;SC;Political Protege;High;M46006;x
46109;Foreign Minister;Francisco Javier Arana;1938;1964;1999;SC;Iron Fisted Brute;Medium;M46027;x
46110;Foreign Minister;Carlos Argumedo Salazar;1938;1964;1999;PA;Great Compromiser;Medium;M46035;x
