CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
51060;Chief of Army;Fu Chen Sung;1936;1964;1999;NS;Decisive Battle Doctrine;Medium;MCHCFuChen;x
51061;Minister of Security;Xiao Chang Ming;1936;1964;1999;NS;Man of the People;Very high;MCHCChangming;x
51062;Chief of Army;Tang Juwu;1936;1964;1999;NS;elastic defence doctrine;Medium;MCHCTangJuwu;x
51063;Head of State;H.D.B.X. Zhu Rongji;1947;1964;1999;NS;son of heaven pretender;High;CHC_zhurongji;x
51064;Head of Government;Zhou Enlai;1947;1964;1999;NS;pragmatic statesman;High;M51051;x
51065;Foreign Minister;Chen Yi;1937;1964;1999;NS;Ideological Crusader;High;M51045;x
51066;Minister of Armament;Peng Dehuai;1937;1964;1999;NS;Infantry Proponent;High;M51053;x
51067;Minister of Security;Luo Ruiqing;1937;1964;1999;NS;Crime Fighter;High;CHC_luoruiqing;x
51068;Chief of Staff;Han Xianchu;1937;1964;1999;NS;School of Defence;High;CHC_hanxianchu;x
51069;Foreign Minister;Pan Hua Ling;1936;1964;1999;NS;Ideological Crusader;High;MCHCTji;x
51070;Foreign Minister;Chen Bo Ling;1936;1964;1999;NS;Great Compromiser;Medium;CHCChe;x
51071;Minister of Security;Lao Qian Ren;1942;1964;1999;NS;Crime Fighter;High;CHCRen;x
