SAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
63050;Chief of Army;Aziz Ali al-Misri;1936;1964;1999;PA;Guns and Butter Doctrine;High;SAUAzi;X
63051;Chief of Navy;Jamil al Midfai;1936;1964;1999;PA;Indirect Approach Doctrine;High;SAUJam;X
63052;Chief of Navy;Tahsin Qadri;1936;1964;1999;SC;Base Control Doctrine;High;k_TahsinQadri;X
63053;Chief of Air Force;Yusuf Al-Azmah;1936;1964;1999;PA;Army Aviation Doctrine;Medium;SAUYus;X
63054;Chief of Air Force;Yasin Hilmi Salman;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;M91002;X
63055;Foreign Minister;Rafiq al-Tamimi;1936;1964;1999;SC;Apologetic Clerk;Medium;SAURaf;X
63056;Minister of Security;Musa Alami;1936;1964;1999;SC;Compassionate Gentleman;Medium;SAUMus;X
63057;Head of Military Intelligence;Mu'in al-Madi;1936;1964;1999;SC;Political Specialist;Medium;SAUMui;X
63058;Minister of Security;Subhi al-Khadra;1936;1964;1999;SC;Crime Fighter;High;SAUSub;X
63059;Head of State;Abdul Aziz al Saud;1936;1964;1999;PA;Ruthless Powermonger;High;M63001;X
63060;Head of Government;Saud al Saud;1936;1964;1999;PA;Backroom Backstabber;High;M63002;X
63061;Foreign Minister;Faisal al Saud;1936;1964;1999;PA;Apologetic Clerk;High;M63003;X
63062;Minister of Armament;Faisal al Saud;1936;1964;1999;PA;Resource Industrialist;High;M63003;X
63063;Minister of Security;Khalid al Saud;1936;1964;1999;PA;Crooked Kleptocrat;High;M63005;X
63064;Head of Military Intelligence;Khalid al Saud;1936;1964;1999;PA;Logistics Specialist;High;M63005;X
63065;Chief of Staff;Saud al Saud;1936;1964;1999;PA;School of Manoeuvre;High;M63002;X
63066;Chief of Army;Faisal al Saud;1936;1964;1999;PA;Guns and Butter Doctrine;High;M63003;X
63067;Chief of Navy;Faisal al Saud;1936;1964;1999;PA;Open Seas Doctrine;High;M63003;X
63068;Chief of Air Force;Faisal al Saud;1936;1964;1999;PA;Army Aviation Doctrine;High;M63003;X
