TUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
532099;Foreign Minister;Mohamed Fadhel Ben Achour;1936;1964;1999;LWR;Apologetic Clerk;High;Achour;X
532100;Minister of Armament;Georges Adda;1936;1964;1999;LWR;Administrative Genius;Very High;Adda;X
532101;Minister of Armament;Mhamed Hachemi Baccouche;1936;1964;1999;LWR;Theoretical Scientist;Very High;Baccouche;X
532102;Minister of Security;Mohamed Fadhel Ben Achour;1936;1964;1999;LWR;Efficient Sociopath;Very High;Achour;X
532103;Head of Military Intelligence;Georges Adda;1936;1964;1999;LWR;Political Specialist;Very High;Adda;X
532104;Head of Military Intelligence;Mhamed Hachemi Baccouche;1936;1964;1999;LWR;Technical Specialist;Very High;Baccouche;X
532105;Head of Military Intelligence;Mohamed Fadhel Ben Achour;1936;1964;1999;LWR;Dismal Enigma;Very High;Achour;X
532106;Head of State;Under Italian Administration;1936;1964;1999;PA;Stern Imperialist;Very High;LBY_under_italian_protection;x
532107;Head of Government;Giuseppe Tellera;1936;1964;1999;FA;Political Protege;Medium;LBY_giuseppe_tellera;x
532108;Foreign Minister;Ettore Bastico;1936;1964;1999;FA;General Staffer;High;L6021;x
532109;Minister of Armament;Giacomo Acerbo;1936;1964;1999;FA;Military Entrepreneur;High;M3073;x
532110;Minister of Security;Umberto Ricci;1936;1964;1999;FA;Silent Lawyer;High;M3015;x
532111;Head of Military Intelligence;Giovanni Messe;1936;1964;1999;PA;Logistics Specialist;Medium;L6102;x
532112;Chief of Staff;Lorenzo Dalmazzo;1936;1964;1999;PA;School of Manoeuvre;Medium;L6052;x
532113;Chief of Army;Mario Berti;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;LBY_mario_berti;x
532114;Chief of Air Force;Giulio Gavotti;1936;1964;1999;PA;Army Aviation Doctrine;Medium;LBY_giulio_gavotti;x
532115;Chief of Navy;Stefano de Laurentiis;1936;1964;1999;PA;Base Control Doctrine;Medium;L6166;x
