SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
7061;Minister of Security;Anders Lindstedt;1937;1964;1999;SD;Compassionate Gentleman;Very High;M7061;x
7063;Minister of Security;Peter G.A. Wijkman;1938;1964;1999;ML;Back Stabber;Very High;M7063;x
7064;Minister of Security;Richard J. Sandler;1939;1964;1999;SD;Prince of Terror;Very High;M7038;x
7065;Minister of Security;K.G. Westman;1940;1964;1999;SL;Crime Fighter;Very High;M7003;x
7066;Minister of Security;Arvid G. Richert;1940;1964;1999;SD;Man of the People;Very High;M7066;x
7068;Head of Military Intelligence;Helge Jung;1942;1964;1999;SC;Political Specialist;Low;M7006;x
7069;Head of Military Intelligence;Erik Palmstierna;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M7050;x
7070;Head of Military Intelligence;Åke Hammerskiöld;1941;1964;1999;SL;Dismal Enigma;High;M7070;x
7072;Chief of Staff;Olof Thörnell;1937;1964;1999;SC;School of Fire Support;Very High;M7072;x
7073;Chief of Staff;Axel Rappe;1940;1964;1999;SC;school of manoeuvre;Low;M7073;x
7074;Chief of Staff;Samuel Åkerhielm;1941;1964;1999;ML;School of Mass Combat;Medium;M7074;x
7075;Chief of Staff;Axel Bredberg;1942;1964;1999;ML;School of Psychology;High;M7075;x
7076;Chief of Staff;Carl Gustav Ehrensvärd;1944;1964;1999;SC;School of Manoeuvre;Medium;M7076;x
7077;Chief of Staff;Nils Swedlund;1946;1964;1999;ML;School of Psychology;Very High;M7077;x
7079;Chief of Army;Per Sylvan;1937;1964;1999;SC;Static Defence Doctrine;Medium;M7079;x
7080;Chief of Army;Olof Thörnell;1940;1964;1999;SC;Guns and Butter Doctrine;Very High;M7072;x
7081;Chief of Army;Helge Jung;1943;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M7006;x
7082;Chief of Army;Archibald Douglas;1943;1964;1999;PA;Decisive Battle Doctrine;Medium;M7017;x
7083;Chief of Army;Axel Rappe;1943;1964;1999;SC;Elastic Defence Doctrine;Very Low;M7073;x
7084;Chief of Army;Bengt Nordenskiöld;1943;1964;1999;SD;Decisive Battle Doctrine;Low;M7070;x
7085;Chief of Army;Axel Bredberg;1943;1964;1999;SL;Static Defence Doctrine;High;M7075;x
7086;Chief of Navy;Erik Palmstierna;1936;1964;1999;SD;Base Control Doctrine;Medium;M7050;x
7087;Chief of Navy;Gösta Ehrensvärd;1942;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M7087;x
7088;Chief of Navy;Fabian Tamm;1944;1964;1999;SC;Open Seas Doctrine;High;M7088;x
7089;Chief of Navy;Helge Strömbäck;1945;1964;1999;SL;Indirect Approach Doctrine;High;M7089;x
7091;Chief of Air Force;Bengt Nordenskiöld;1942;1964;1999;ML;Air Superiority Doctrine;High;M7070;x
7092;Chief of Air Force;Axel Ljungdahl;1944;1964;1999;SL;Vertical Envelopment Doctrine;Very High;M7092;x
7011;Head of State;Martin Ekström;1936;1964;1999;NS;Powerhungry Demagogue;High;M7011;x
7012;Head of Government;Martin Ekström;1936;1964;1999;NS;Naive Optimist;High;M7011;x
7013;Foreign Minister;Erik von Rosen;1936;1964;1999;NS;Ideological Crusader;Very High;M7013;x
7014;Minister of Armament;Arthur Lindén;1936;1964;1999;NS;Laissez-Faire Capitalist;Medium;M7014;x
7015;Minister of Security;Sven Hedín;1936;1964;1999;FA;Back Stabber;Very High;M7015;x
7016;Head of Military Intelligence;Hermann Nilsson-Ehle;1936;1964;1999;NS;Technical Specialist;Very High;M7016;x
7017;Chief of Staff;Archibald Douglas;1936;1964;1999;NS;School of Manoeuvre;High;M7017;x
7018;Chief of Army;Martin Ekström;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;M7011;x
7019;Chief of Navy;Charles de Champs;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Very High;M7009;x
7020;Chief of Air Force;Axel Gyllenkrok;1936;1964;1999;PA;Army Aviation Doctrine;Low;M7020;x
7021;Head of State;Sven Linderot;1936;1964;1999;ST;Insignificant Layman;High;M7021;x
7022;Head of Government;Sven Linderot;1936;1964;1999;ST;Happy Amateur;High;M7021;x
7023;Foreign Minister;Hugo Sellén;1936;1964;1999;ST;Ideological Crusader;Very High;M7023;x
7024;Minister of Armament;Hilding Hagberg;1936;1964;1999;ST;Resource Industrialist;Very High;M7024;x
7025;Minister of Security;Karl Kilbom;1936;1964;1999;LE;Crime Fighter;High;M7025;x
7026;Head of Military Intelligence;C.H. Hermansson;1936;1964;1999;ST;Naval Intelligence Specialist;High;M7026;x
7027;Chief of Staff;Gunnar Johansson;1936;1964;1999;ST;School of Mass Combat;Very High;unknown;x
7028;Chief of Army;Axel Pettersson;1936;1964;1999;ST;Decisive Battle Doctrine;Very High;unknown;x
7029;Chief of Navy;Per M. Eriksson;1936;1964;1999;ST;Decisive Naval Battle Doctrine;Very High;unknown;x
7030;Chief of Air Force;Krister Reuterswärd;1936;1964;1999;LWR;Army Aviation Doctrine;Low;unknown;x
7093;Head of State;H.M. Gustav V;1936;1964;1999;PA;Powerhungry Demagogue;High;M7001;x
7032;Head of State;H.M. Gustav V;1936;1964;1999;LWR;Powerhungry Demagogue;High;M7001;x
