EST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
26091;Chief of Army;Juhan Tuuling;1936;1964;1999;NS;Decisive Battle Doctrine;Medium;M26018;x
26092;Chief of Army;Alfons Rebane;1941;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M26092;x
26093;Chief of Army;Nikolay G. Karotamm;1936;1964;1999;ST;Decisive Battle Doctrine;Medium;M26027;x
26094;Chief of Navy;Alex Nirk;1936;1964;1999;ML;Power Projection Doctrine;Medium;M26094;x
26096;Chief of Navy;Alfred Vendt;1936;1964;1999;FA;Indirect Approach Doctrine;Medium;M26014;x
26097;Chief of Navy;Johannes Vares-Barbaruse;1936;1964;1999;ST;Power Projection Doctrine;Medium;M26021;x
26098;Chief of Air Force;Leo Sepp;1936;1964;1999;ML;Carpet Bombing Doctrine;Medium;M26056;x
26100;Chief of Air Force;Juhan Tuuling;1936;1964;1999;NS;Army Aviation Doctrine;Medium;M26018;x
26101;Chief of Air Force;Oskar Eiriksson;1936;1964;1999;ST;Carpet Bombing Doctrine;Medium;M26030;x
26102;Head of Government;Jüri Uluots;1939;1964;1999;PA;Smiling Oilman;High;M26032;x
26103;Head of State;Boris Kumm;1946;1964;1999;ST;Pig-headed Isolationist;High;M26074;x
26104;Chief of Navy;Oskar Eiriksson;1946;1964;1999;ST;Open Seas Doctrine;Medium;M26030;x
