HON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
79053;Foreign Minister;Jacinto Escudero Oycandadel;1937;1964;1999;LWR;Iron Fisted Brute;Medium;M79023;x
79054;Foreign Minister;Hernan Fernandez Silva;1941;1964;1999;SD;Great Compromiser;Medium;M79043;x
79055;Foreign Minister;Orlando Rodriguez Jimino;1945;1964;1999;SD;Ideological Crusader;High;M79036;x
79056;Minister of Armament;Miguel A. Navarro;1937;1964;1999;SC;Infantry Proponent;Medium;M79056;x
79057;Minister of Armament;Carlos Alberto Ucles;1939;1964;1999;SC;Military Entrepreneur;Medium;M79002;x
79058;Minister of Armament;Rafael Alvarado Guerrero;1941;1964;1999;SC;Corrupt Kleptocrat;Medium;M79058;x
79059;Minister of Armament;Didier Masson;1942;1964;1999;SC;Air Superiority Proponent;Medium;M79059;x
79060;Minister of Armament;Fausto Davilá;1945;1964;1999;SC;Resource Industrialist;Medium;M79014;x
79061;Minister of Armament;Roberto Ortíz Almendares;1946;1964;1999;SC;Administrative Genius;Medium;M79015;x
79062;Minister of Armament;Juan Manuel Galvez;1947;1964;1999;SC;Theoretical Scientist;Medium;M79017;x
79063;Minister of Armament;Roberto Michelleti Bain;1937;1964;1999;SL;Resource Industrialist;Medium;M79004;x
79064;Minister of Armament;Oswaldo López Arellano;1939;1964;1999;SL;Battle Fleet Proponent;Medium;M79064;x
79065;Minister of Armament;Juan B. Valladares;1941;1964;1999;SL;Tank Proponent;Low;M79011;x
79066;Minister of Armament;dr. Ramon Villeda Morales;1945;1964;1999;SL;laissez-faire capitalist;Medium;M79066;x
79067;Minister of Armament;Augustin Espinoza Reyes;1937;1964;1999;LWR;Administrative Genius;Medium;M79024;x
79068;Minister of Armament;Misael Becker Villarroel;1941;1964;1999;SD;Military Entrepreneur;Medium;M79068;x
79069;Minister of Armament;Carlos Molina Dejonje;1945;1964;1999;SD;Submarine Proponent;Medium;M79069;x
79070;Minister of Armament;Jaime Herda Garcia;1946;1964;1999;SD;laissez-faire capitalist;Medium;M79070;x
79071;Minister of Security;Miguel A. Navarro;1937;1964;1999;SC;Crooked Kleptocrat;Medium;M79056;x
79072;Minister of Security;Rafael Alvarado Guerrero;1938;1964;1999;SC;Back Stabber;Medium;M79058;x
79073;Minister of Security;Abraham Williams Calderon;1941;1964;1999;SC;Prince of Terror;Medium;M79039;x
79074;Minister of Security;Roberto Ortíz Almendares;1937;1964;1999;SL;Compassionate Gentleman;Medium;M79015;x
79075;Minister of Security;Juan Codigo Ramirez;1937;1964;1999;LWR;Prince of Terror;Medium;M79022;x
79076;Minister of Security;Augustin Espinoza Reyes;1941;1964;1999;SD;Back Stabber;Medium;M79024;x
79077;Minister of Security;Jaime Herda Garcia;1945;1964;1999;SD;Efficient Sociopath;Medium;M79070;x
79078;Minister of Security;Carlos Molina Dejonje;1946;1964;1999;SD;Man of the People;Medium;M79069;x
79079;Head of Military Intelligence;Roberto Ortíz Almendares;1937;1964;1999;SC;Dismal Enigma;Medium;M79015;x
79080;Head of Military Intelligence;Tiburcio Carias Andina;1941;1964;1999;SC;Political Specialist;Medium;M79001;x
79081;Head of Military Intelligence;José Zuñiga Huete;1937;1964;1999;SL;Naval Intelligence Specialist;High;M79032;x
79082;Head of Military Intelligence;Julio Lozano Díaz;1941;1964;1999;SL;Dismal Enigma;High;M79042;x
79083;Head of Military Intelligence;Hernan Fernandez Silva;1945;1964;1999;SL;Industrial Specialist;High;M79043;x
79084;Head of Military Intelligence;Vicente Tapia Lobo;1937;1964;1999;LWR;Naval Intelligence Specialist;Medium;M79026;x
79085;Head of Military Intelligence;Enrique Doll Rojas;1941;1964;1999;LWR;Technical Specialist;Medium;M79027;x
79086;Head of Military Intelligence;Raul Sanchez Banados;1945;1964;1999;SD;Industrial Specialist;Medium;M79021;x
79088;Chief of Staff;Raimundo Stochler Garcia;1941;1964;1999;SC;School of Defence;Very High;M79006;x
79089;Chief of Staff;Oswaldo López Arellano;1937;1964;1999;SL;School of Manoeuvre;Medium;M79064;x
79090;Chief of Staff;Enrique Ortiz Pinel;1945;1964;1999;SL;School of Fire Support;Medium;M79090;x
79091;Chief of Staff;Enrique Doll Rojas;1937;1964;1999;LWR;School of Psychology;Medium;M79027;x
79092;Chief of Staff;Vicente Tapia Lobo;1941;1964;1999;LWR;School of Manoeuvre;Medium;M79026;x
79094;Chief of Army;Juan Manuel Galvez;1937;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M79017;x
79095;Chief of Army;José Zuñiga Huete;1937;1964;1999;SL;Decisive Battle Doctrine;High;M79032;x
79096;Chief of Army;Enrique Ortiz Pinel;1941;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M79090;x
79097;Chief of Army;Enrique Doll Rojas;1937;1964;1999;LWR;Static Defence Doctrine;Medium;M79027;x
79098;Chief of Army;Francisco S. Tapio Toro;1945;1964;1999;SD;Armoured Spearhead Doctrine;High;M79045;x
79100;Chief of Navy;Oswaldo López Arellano;1937;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M79064;x
79101;Chief of Navy;Vicente Tapia Lobo;1937;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M79026;x
79102;Chief of Air Force;Didier Masson;1937;1964;1999;SC;Air Superiority Doctrine;Medium;M79059;x
79106;Chief of Air Force;Miguel Ángel Sevilla;1945;1964;1999;SD;Naval Aviation Doctrine;Medium;M79106;x
79107;Chief of Navy;Francisco S. Tapio Toro;1945;1964;1999;SD;Base Control Doctrine;High;M79045;x
79108;Foreign Minister;Antonio Bermúdez Meza;1936;1964;1999;PA;Ideological Crusader;High;M79108;x
79017;Chief of Staff;Juan Manuel Galvez;1936;1964;1999;SC;School of Manoeuvre;Medium;M79017;x
79019;Chief of Navy;Carlos Vaupel Comeza;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;M79009;x
79029;Chief of Navy;Carlos Vaupel Comeza;1936;1964;1999;LWR;Indirect Approach Doctrine;Medium;M79009;x
79109;Head of State;Juan Manuel Galvez;1949;1964;1999;SC;Resigned Generalissimo;High;M79017;x
79110;Head of Government;Hernan Fernandez Silva;1949;1964;1999;SC;Corporate Suit;High;M79043;x
