RSI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
508028;Head of Government;Attilio Sassi;1936;1958;1999;LE;naive Optimist;High;kaiserreich_Attilio_Sassi;x
508029;Head of Government;Giuseppe Romita;1936;1959;1999;LWR;happy amateur;High;M3105;x
508030;Head of Government;Giacomo Matteotti;1936;1960;1999;LWR;Silent Workhorse;High;kaiserreich_RSI_Matteotti;x
508031;Head of Government;Gaetano Salvemini;1936;1958;1999;LWR;happy amateur;High;kaiserreich_RSI_Salvemini;x
508032;Head of Government;Achille Grandi;1936;1947;1999;LWR;Silent Workhorse;High;kaiserreich_ITA_Grandi;x
508041;Foreign Minister;Dino Grandi;1936;1989;1999;ST;Great Compromiser;High;M3056;x
508042;Foreign Minister;Manlio Morgagni;1936;1955;1999;LE;Ideological Crusader;High;kaiserreich_Manlio_Morgagni;x
508043;Foreign Minister;Sergio Panunzio;1936;1962;1999;LE;biased intellectual;High;kaiserreich_Sergio_Panunzio;x
508044;Foreign Minister;Tullio Cianetti;1936;1977;1999;LE;Ideological Crusader;High;kaiserreich_Tullio_Cianetti;x
508045;Foreign Minister;Pietro Nenni;1936;1981;1999;LE;Ideological Crusader;High;M3062;x
508046;Foreign Minister;Luigi Longo;1936;1981;1999;LE;Ideological Crusader;High;M3022;x
508047;Foreign Minister;Dante Bernamonti;1936;1954;1999;LE;apologetic clerk;High;kaiserreich_Dante_Bernamonti;x
508048;Foreign Minister;Vincenzo Vacirca;1936;1957;1999;LE;apologetic clerk;High;kaiserreich_Vincenzo_Vacirca;x
508049;Foreign Minister;Giuseppe Saragat;1936;1989;1999;LWR;biased intellectual;High;kaiserreich_RSI_Saragat;x
508050;Foreign Minister;Giacomo Matteotti;1936;1960;1999;LWR;Biased Intellectual;High;kaiserreich_RSI_Matteotti;x
508051;Foreign Minister;Guido Mazzali;1936;1961;1999;LWR;apologetic clerk;High;kaiserreich_Guido_Mazzali;x
508052;Foreign Minister;Altiero Spinelli;1941;1987;1999;LWR;Great Compromiser;High;kaiserreich_Altiero_Spinelli;x
508061;Minister of Armament;Tullio Cianetti;1936;1977;1999;ST;Keynesian economy;High;kaiserreich_Tullio_Cianetti;x
508062;Minister of Armament;Giuseppe Giulietti;1936;1954;1999;ST;battle fleet proponent;High;kaiserreich_Giuseppe_Giulietti;x
508063;Minister of Armament;Nicola Bombacci;1936;1955;1999;ST;Keynesian economy;High;kaiserreich_Nicola_Bombacci;x
508064;Minister of Armament;Edmondo Rossoni;1936;1966;1999;ST;Planned economy proponent;High;kaiserreich_Edmondo_Rossoni;x
508065;Minister of Armament;Giuseppe Di Vittorio;1936;1958;1999;LE;Reformer;High;M3120;x
508066;Minister of Armament;Bruno Buozzi;1936;1957;1999;LE;Steel magnate;High;kaiserreich_Bruno_Buozzi;x
508067;Minister of Armament;Pietro Ferrero;1936;1968;1999;LE;infantry proponent;High;kaiserreich_Pietro_Ferrero;x
508068;Minister of Armament;Alceste De Ambris;1936;1950;1999;LE;Planned economy proponent;High;kaiserreich_ITA_De_Ambris;x
508069;Minister of Armament;Altiero Spinelli;1941;1987;1999;LE;Mixed economy;High;kaiserreich_Altiero_Spinelli;x
508070;Minister of Armament;Achille Grandi;1936;1947;1999;LE;Keynesian economy;High;kaiserreich_ITA_Grandi;x
508071;Minister of Armament;Olindo Vernocchi;1936;1949;1999;LE;resource industrialist;High;kaiserreich_Olindo_Vernocchi;x
508072;Minister of Armament;Alberto Beneduce;1936;1953;1999;LE;Military Entrepreneur;High;kaiserreich_RSI_Beneduce;x
508081;Minister of Security;Dino Grandi;1936;1989;1999;ST;silent lawyer;High;M3056;x
508082;Minister of Security;Vittorio Vidali;1936;1984;1999;ST;Efficient Sociopath;High;M3087;x
508083;Minister of Security;Luigi Razza;1936;1968;1999;ST;Man of the People;High;kaiserreich_Luigi_Razza;x
508084;Minister of Security;Roberto Farinacci;1936;1968;1999;ST;Prince of Terror;High;M3096;x
508085;Minister of Security;Maria Rygier;1936;1954;1999;LE;Back Stabber;High;kaiserreich_Maria_Rygier;x
508086;Minister of Security;Ruggero Grieco;1936;1956;1999;LE;Compassionate Gentleman;High;kaiserreich_RSI_Greco;x
508087;Minister of Security;Walter Audisio;1943;1974;1999;LE;Crime Fighter;High;kaiserreich_Walter_Audisio;x
508088;Minister of Security;Ilio Barontini;1936;1952;1999;LE;Prince of Terror;High;kaiserreich_ITA_Barontini;x
508089;Minister of Security;Giuseppe Romita;1936;1959;1999;LWR;Compassionate Gentleman;High;M3105;x
508090;Minister of Security;Olindo Vernocchi;1936;1949;1999;LWR;silent lawyer;High;kaiserreich_Olindo_Vernocchi;x
508091;Minister of Security;Francesco Fausto Nitti;1936;1975;1999;LWR;Crime Fighter;High;kaiserreich_Francesco_Fausto_Nitti;x
508092;Minister of Security;Francesco De Martino;1943;2003;2003;LWR;Man of the People;High;kaiserreich_RSI_De_Martino;x
508101;Head of Military Intelligence;Dino Grandi;1936;1989;1999;ST;political specialist;High;M3056;x
508102;Head of Military Intelligence;Vittorio Vidali;1936;1984;1999;ST;Logistics Specialist;High;M3087;x
508103;Head of Military Intelligence;Luigi Razza;1936;1968;1999;ST;Dismal Enigma;High;kaiserreich_Luigi_Razza;x
508104;Head of Military Intelligence;Edmondo Rossoni;1936;1966;1999;ST;industrial specialist;High;kaiserreich_Edmondo_Rossoni;x
508105;Head of Military Intelligence;Palmiro Togliatti;1936;1965;1999;LE;Technical Specialist;High;M3021;x
508106;Head of Military Intelligence;Vincenzo Vacirca;1936;1957;1999;LE;political specialist;High;kaiserreich_Vincenzo_Vacirca;x
508107;Head of Military Intelligence;Michele Moretti;1943;1996;1999;LE;Logistics Specialist;High;kaiserreich_Michele_Moretti;x
508108;Head of Military Intelligence;Walter Audisio;1943;1974;1999;LE;Technical Specialist;High;kaiserreich_Walter_Audisio;x
508109;Head of Military Intelligence;Elio Vittorini;1936;1967;1999;LWR;Political Specialist;High;Elio_Vittorini;x
508110;Head of Military Intelligence;Tito Zaniboni;1936;1961;1999;LWR;Logistics Specialist;High;kaiserreich_Tito_Zaniboni;x
508111;Head of Military Intelligence;Ada Prospero;1937;1969;1999;LWR;Political Specialist;High;kaiserreich_Ada_Prospero;x
508112;Head of Military Intelligence;Francesco Fausto Nitti;1936;1975;1999;LWR;Logistics Specialist;High;kaiserreich_Francesco_Fausto_Nitti;x
508121;Chief of Staff;Alfredo Pizzoni;1936;1959;1999;LE;School of Fire Support;High;kaiserreich_RSI_Pizzoni;x
508122;Chief of Staff;Umberto Marzocchi;1936;1987;1999;LE;School of Defence;High;kaiserreich_RSI_Marzocchi;x
508123;Chief of Staff;Ilio Barontini;1936;1952;1999;LE;School of Psychology;High;kaiserreich_ITA_Barontini;x
508124;Chief of Staff;Cino Moscatelli;1943;1982;1999;LE;Commando Doctrine Staff;High;kaiserreich_Cino_Moscatelli;x
508125;Chief of Staff;Pietro Secchia;1938;1974;1999;LE;School of Defence;High;kaiserreich_RSI_Secchia;x
508141;Chief of Army;Umberto Marzocchi;1936;1987;1999;LE;Guns and Butter Doctrine;High;kaiserreich_RSI_Marzocchi;x
508142;Chief of Army;Ilio Barontini;1936;1952;1999;LE;Guerilla warfare doctrine;High;kaiserreich_ITA_Barontini;x
508143;Chief of Army;Randolfo Pacciardi;1936;1992;1999;LE;Static defence doctrine;High;M3133;x
508144;Chief of Army;Pietro Secchia;1938;1974;1999;LE;Decisive Battle Doctrine;High;kaiserreich_RSI_Secchia;x
508145;Chief of Army;Cino Moscatelli;1943;1982;1999;LE;Elastic Defence Doctrine;High;kaiserreich_Cino_Moscatelli;x
508161;Chief of Navy;Vladimiro Pini;1936;1960;1999;LE;Decisive Naval Battle Doctrine;High;kaiserreich_Vladimiro_Pini;x
508162;Chief of Navy;Inigo Campioni;1936;1954;1999;LE;Indirect Approach Doctrine;High;kaiserreich_Inigo_Campioni;x
508163;Chief of Navy;Riccardo Paladini;1936;1955;1999;LE;Base Control Doctrine;High;L6182;x
508164;Chief of Navy;Romeo Bernotti;1936;1975;1999;LE;Power Projection Doctrine;High;kaiserreich_Romeo_Bernotti;x
508181;Chief of Air Force;Umberto Nobile;1936;1979;1999;LE;Naval Aviation Doctrine;High;kaiserreich_Umberto_Nobile;x
508182;Chief of Air Force;Ugo Macchieraldo;1942;1985;1999;LE;Army Aviation Doctrine;High;kaiserreich_Ugo_Macchieraldo;x
508183;Chief of Air Force;Nicola Ugo Stame;1943;1984;1999;LE;Air Superiority Doctrine;High;kaiserreich_Nicola_Ugo_Stame;x
508184;Chief of Air Force;Italo Piccagli;1944;1985;1999;LE;Carpet Bombing Doctrine;High;kaiserreich_Italo_Piccagli;x
